# reference_flux:         23.7463
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1928.11921      1928.10453         25.1207          4.8971         16.9399          0.2117       -433.6128         -2.0478        3.732436        4.897072
     1928.14004      1928.12536         28.4245          4.9488         16.8058          0.1890       -446.8912         -2.0478        8.130235        4.948827
     1928.16087      1928.14620         28.2278          5.0126         16.8133          0.1928       -463.8827         -2.5720       22.184091        5.012625
     1928.18171      1928.16703         43.8792          5.0363         16.3344          0.1246       -449.7672         -2.5720       21.709444        5.036284
     1928.20254      1928.18786         21.7694          4.9409         17.0954          0.2464       -415.0225         -2.5720       15.988293        4.940922
     1928.22337      1928.20870         -0.6977          4.5058         17.6128         99.9000       -453.4425         -3.0615       -2.047829        4.505759
     1928.24421      1928.22953          0.9008          4.5093         17.6119         99.9000       -540.4605         -3.0615       -6.689216        4.509321
     1928.26504      1928.25036         16.6335          4.4811         17.3875          0.2925       -571.3184         -2.5720       -0.461506        4.481106
     1928.28587      1928.27120         24.9794          4.6039         16.9460          0.2001       -557.1415         -2.5720        2.309693        4.603895
     1928.30671      1928.29203         16.9836          4.5234         17.3649          0.2892       -633.7589         -2.5720       -2.571994        4.523438
     1928.32754      1928.31286          7.9783          4.6199         17.5856         99.9000       -698.4132         -2.0478       -5.272451        4.619917
     1928.34837      1928.33370         12.3528          4.2029         17.6883         99.9000       -647.0892         -2.0478      -15.094084        4.202914
     1928.36920      1928.35453          1.5060          4.1482         17.7026         99.9000       -650.4939         -1.0559       -7.046483        4.148153
     1928.39004      1928.37536          7.5180          4.1471         17.7028         99.9000       -665.4376         -0.4615      -11.483951        4.147056
     1928.41087      1928.39620         11.1295          4.1589         17.6997         99.9000       -698.8553         -0.4615       -5.893861        4.158908
     1928.43170      1928.41703          5.4017          4.0822         17.7200         99.9000       -695.0858          0.3064       -6.360883        4.082185
     1928.45254      1928.43786          1.7644          4.0283         17.7344         99.9000       -682.2409         -0.4615       -8.026106        4.028269
     1928.47337      1928.45870          7.0470          4.0707         17.7230         99.9000       -714.1346         -0.4615       -9.957376        4.070737
     1928.49420      1928.47953         17.4606          3.9796         17.3348          0.2475       -774.4360          0.3064        1.989646        3.979625
     1928.51504      1928.50036          7.9289          3.9771         17.7483         99.9000       -728.6582          0.3064        0.527947        3.977087
     1928.53587      1928.52120         20.3569          4.1340         17.1682          0.2205       -843.8235          0.3064        1.237886        4.134018
     1928.55670      1928.54203         29.7925          4.1381         16.7547          0.1508       -807.4805          0.3064       -4.183280        4.138109
     1928.57754      1928.56286         12.1699          4.3169         17.6593         99.9000       -946.4901          0.3064        5.911458        4.316931
     1928.59837      1928.58370         22.7922          4.1680         17.0455          0.1985       -867.5823         -0.2097        0.306365        4.167999
     1928.61920      1928.60453          4.3454          4.3179         17.6590         99.9000       -941.2713         -0.2097       -7.954612        4.317875
     1928.64004      1928.62536          9.3031          4.3155         17.6596         99.9000      -1102.2139         -0.2097       -4.729320        4.315456
     1928.66087      1928.64620          6.3235          4.2117         17.6860         99.9000      -1023.4113         -0.4615      -10.154032        4.211729
     1928.68170      1928.66703         14.4217          4.1500         17.5425          0.3124       -959.9696         -0.5264       -3.061548        4.149973
     1928.70254      1928.68786         12.7974          4.2672         17.6718         99.9000      -1171.9474         -0.5264       -3.166646        4.267234
     1928.72337      1928.70870          8.7647          4.1683         17.6973         99.9000      -1130.4935         -0.5264        6.934396        4.168290
     1928.74420      1928.72953         12.6068          4.2437         17.6778         99.9000      -1199.9137         -0.5264       -1.055931        4.243688
     1928.76504      1928.75036         19.1050          4.0872         17.2371          0.2323      -1058.6076         -0.4615        6.325994        4.087243
     1928.78587      1928.77120         21.0630          4.3045         17.1312          0.2219      -1204.4138         -0.5264       -4.865387        4.304547
