# reference_flux:        -99.5405
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1928.11511      1928.10452        -10.6202          1.2411         19.0127         99.9000        -14.9960         -3.1156       -3.582719        1.241092
     1928.13595      1928.12536        -13.2678          1.6013         18.7360         99.9000        -26.3440         -3.1156       -2.750994        1.601345
     1928.15678      1928.14619        -14.5891          1.7275         18.6536         99.9000        -20.1521         -3.1156       -4.799280        1.727545
     1928.17761      1928.16702        -15.6957          1.7306         18.6517         99.9000        -27.7768         -3.1156       -5.537099        1.730569
     1928.19845      1928.18786        -14.6364          1.7198         18.6585         99.9000        -28.4937         -3.1665       -4.961826        1.719777
     1928.21928      1928.20869        -16.8252          1.7776         18.6226         99.9000        -30.7694         -3.1665       -3.594475        1.777550
     1928.24011      1928.22952        -22.1391          1.7402         18.6457         99.9000        -29.8125         -3.1665       -5.493198        1.740206
     1928.26094      1928.25036        -14.4952          1.7218         18.6572         99.9000        -31.4362         -3.1665       -6.177461        1.721845
     1928.28178      1928.27119        -17.3304          1.6297         18.7169         99.9000        -31.6756         -3.1808       -6.000665        1.629734
     1928.30261      1928.29202        -18.2043          1.6643         18.6941         99.9000        -34.9722         -3.1808       -3.497787        1.664321
     1928.32344      1928.31286        -19.4018          1.5616         18.7633         99.9000        -28.6442         -3.1808       -3.519968        1.561562
     1928.34428      1928.33369        -12.7298          1.5436         18.7758         99.9000        -30.0403         -3.1808       -3.115552        1.543626
     1928.36511      1928.35452        -18.7008          1.4040         18.8788         99.9000        -23.4666         -3.1665       -3.949516        1.403989
     1928.38594      1928.37536        -16.0316          1.3369         18.9319         99.9000        -21.2988         -3.1665       -1.946879        1.336919
     1928.40678      1928.39619        -15.9910          1.2691         18.9885         99.9000        -19.4768         -3.1156       -2.572747        1.269087
     1928.42761      1928.41702        -12.3917          1.1134         19.1306         99.9000        -19.1007         -2.8941       -0.981132        1.113389
     1928.44844      1928.43786        -13.7030          1.2482         19.0065         99.9000        -18.6766         -2.8080       -1.615784        1.248175
     1928.46928      1928.45869         -8.5478          1.1518         19.0938         99.9000        -17.9098         -2.7510        0.784330        1.151789
     1928.49011      1928.47952        -12.9572          1.2193         19.0319         99.9000        -20.4765         -2.7510       -2.807982        1.219274
     1928.51094      1928.50036        -15.0353          1.2357         19.0174         99.9000        -20.8687         -2.7510       -2.549066        1.235715
     1928.53178      1928.52119         -9.2974          1.1886         19.0596         99.9000        -20.8368         -2.7223       -1.643538        1.188607
     1928.55261      1928.54202         -9.4839          1.0918         19.1519         99.9000        -16.6101         -2.5846       -1.970556        1.091751
     1928.57344      1928.56286        -11.6631          1.0227         19.2229         99.9000        -15.2607         -2.5727       -0.737186        1.022655
     1928.59428      1928.58369        -11.3254          1.1008         19.1429         99.9000        -18.2056         -2.5491       -1.698349        1.100802
     1928.61511      1928.60452        -11.6586          1.1018         19.1419         99.9000        -17.2979         -2.5414       -1.073568        1.101846
     1928.63594      1928.62536        -10.8776          1.1364         19.1084         99.9000        -17.9573         -2.5414       -2.584604        1.136390
     1928.65678      1928.64619        -13.6407          1.2726         18.9854         99.9000        -24.1648         -2.5414       -3.166456        1.272627
     1928.67761      1928.66702        -13.5629          1.2602         18.9961         99.9000        -23.9063         -2.4297       -4.733589        1.260185
     1928.69844      1928.68786         -9.9067          1.1012         19.1426         99.9000        -17.7604         -2.0569       -2.429738        1.101160
     1928.71928      1928.70869        -10.0489          1.0545         19.1896         99.9000        -15.2342         -2.0569       -1.898569        1.054464
     1928.74011      1928.72952        -12.1602          1.1202         19.1239         99.9000        -17.4125         -2.0569       -0.477015        1.120209
     1928.76094      1928.75036        -11.7540          1.1809         19.0666         99.9000        -21.5033         -2.0569       -3.180779        1.180949
     1928.78178      1928.77119        -12.2367          1.1059         19.1379         99.9000        -15.4671         -2.0495       -2.049496        1.105864
     1928.80261      1928.79202        -10.3547          1.1860         19.0619         99.9000        -17.2864         -1.9706       -2.541374        1.186039
     1928.82344      1928.81286        -11.8323          1.3039         18.9591         99.9000        -18.5431         -1.9706       -2.894114        1.303930
     1928.84428      1928.83369        -14.2723          1.1042         19.1396         99.9000        -16.2224         -1.9706       -0.405714        1.104173
     1928.86511      1928.85452        -12.8486          1.1428         19.1023         99.9000        -18.7719         -1.9706       -1.165480        1.142790
     1928.88594      1928.87536        -13.3741          1.1955         19.0533         99.9000        -20.7208         -1.9706       -1.890667        1.195488
     1928.90678      1928.89619        -11.3862          1.1791         19.0683         99.9000        -19.9651         -1.9892       -0.881772        1.179141
     1928.92761      1928.91702        -13.1747          1.0716         19.1721         99.9000        -15.6507         -1.9892       -2.722347        1.071569
     1928.94844      1928.93786        -10.3642          0.9961         19.2515         99.9000        -12.9789         -2.0495       -1.588477        0.996051
     1928.96928      1928.95869        -18.3964          1.1956         19.0532         99.9000        -19.2263         -2.0569       -3.600483        1.195631
     1928.99011      1928.97952        -12.7812          1.1055         19.1383         99.9000        -18.1567         -2.1522       -0.760432        1.105498
     1929.01094      1929.00036        -10.6379          1.1730         19.0740         99.9000        -19.9345         -2.1226       -1.541573        1.172988
     1929.03177      1929.02119         -9.2903          1.0578         19.1862         99.9000        -14.8785         -2.1226       -0.795898        1.057760
     1929.05261      1929.04202        -10.8155          1.1071         19.1368         99.9000        -17.5386         -2.1522       -1.432029        1.107073
     1929.07344      1929.06286        -11.6236          1.0498         19.1944         99.9000        -15.9023         -2.1536        0.037768        1.049833
     1929.09427      1929.08369        -15.7073          1.0203         19.2253         99.9000        -13.0398         -2.4297       -2.056900        1.020346
     1929.11511      1929.10452        -11.4638          1.0248         19.2206         99.9000        -12.6825         -2.5414       -4.116682        1.024821
     1929.13594      1929.12536        -13.3870          1.0443         19.2002         99.9000        -13.2713         -2.5414       -2.841460        1.044283
     1929.15677      1929.14619        -10.9897          1.1959         19.0530         99.9000        -19.3739         -2.4771        0.354842        1.195883
     1929.17761      1929.16702        -11.5084          1.0072         19.2394         99.9000        -12.7793         -2.4771       -1.094085        1.007168
     1929.19844      1929.18786        -11.5329          1.0145         19.2315         99.9000        -12.4102         -2.4771       -2.153557        1.014538
     1929.21927      1929.20869        -16.9892          1.1177         19.1264         99.9000        -21.3490         -2.5414       -3.998855        1.117690
     1929.24011      1929.22952        -11.7161          1.0098         19.2366         99.9000        -12.5720         -2.5539       -2.893839        1.009811
     1929.26094      1929.25036        -14.4211          1.0427         19.2018         99.9000        -21.0725         -2.6778       -1.378980        1.042733
     1929.28177      1929.27119        -16.9649          1.0570         19.1870         99.9000        -21.2279         -2.6778       -1.736614        1.057003
     1929.30261      1929.29202        -12.2434          1.0230         19.2225         99.9000        -20.5791         -2.7223       -3.710898        1.022999
     1929.32344      1929.31286        -15.1096          0.9867         19.2617         99.9000        -18.2006         -2.8043       -4.450269        0.986704
     1929.34427      1929.33369        -14.9058          0.9965         19.2510         99.9000        -18.9002         -2.8043       -1.989238        0.996470
     1929.36511      1929.35452        -15.0677          0.9662         19.2845         99.9000        -15.2819         -2.8043       -3.056051        0.966238
     1929.38594      1929.37536        -17.2416          1.0200         19.2257         99.9000        -19.7111         -2.8415       -4.182688        1.019969
     1929.40677      1929.39619        -14.1616          0.9797         19.2695         99.9000        -18.0221         -2.8938       -2.553902        0.979692
     1929.42761      1929.41702        -12.9952          0.9524         19.3002         99.9000        -17.7531         -3.0255       -2.152200        0.952396
     1929.44844      1929.43786        -16.1241          0.9590         19.2927         99.9000        -19.6204         -3.0561       -3.025461        0.958960
     1929.46927      1929.45869        -13.4227          0.9106         19.3489         99.9000        -17.2317         -3.2475       -3.325104        0.910615
     1929.49011      1929.47952        -15.3223          0.9644         19.2865         99.9000        -19.4447         -3.2475       -2.122575        0.964411
     1929.51094      1929.50036        -17.8637          1.0515         19.1926         99.9000        -17.6864         -3.2598       -4.098401        1.051543
     1929.53177      1929.52119        -14.8988          1.0776         19.1661         99.9000        -18.4064         -3.2862       -3.417173        1.077578
     1929.55261      1929.54202        -16.3209          0.9586         19.2931         99.9000        -19.0970         -3.3251       -5.031447        0.958574
     1929.57344      1929.56286        -15.5617          0.9568         19.2952         99.9000        -17.7704         -3.4172       -3.259848        0.956755
     1929.59427      1929.58369        -16.6796          0.9677         19.2828         99.9000        -19.2323         -3.4497       -3.449749        0.967734
     1929.61511      1929.60452        -17.2697          0.9418         19.3124         99.9000        -18.9939         -3.4886       -0.735297        0.941756
     1929.63594      1929.62536        -13.8750          0.8653         19.4042         99.9000        -16.2074         -3.4886       -2.477117        0.865339
     1929.65677      1929.64619        -14.2940          0.9626         19.2886         99.9000        -19.7986         -3.7037       -3.286193        0.962577
     1929.67761      1929.66702        -13.1123          0.9383         19.3164         99.9000        -18.1027         -3.7109       -5.078204        0.938270
     1929.69844      1929.68786        -14.1107          0.9339         19.3214         99.9000        -19.3629         -3.7254       -4.030267        0.933933
     1929.71927      1929.70869        -12.3355          0.9426         19.3114         99.9000        -17.9248         -3.9989       -2.677754        0.942598
     1929.74011      1929.72952        -15.7792          0.8798         19.3862         99.9000        -15.5223         -4.0303       -4.608263        0.879832
     1929.76094      1929.75036        -16.3482          1.1262         19.1182         99.9000        -21.8621         -4.0303       -7.175967        1.126169
     1929.78177      1929.77119        -13.9184          0.8832         19.3820         99.9000        -16.7692         -4.0303       -2.804299        0.883233
     1929.80260      1929.79202        -14.7411          0.8649         19.4048         99.9000        -14.3760         -4.0984       -4.447750        0.864914
     1929.82344      1929.81286        -17.8971          0.8855         19.3792         99.9000        -14.4302         -4.1827       -4.374718        0.885529
     1929.84427      1929.83369        -13.5179          1.0451         19.1993         99.9000        -20.1299         -4.1827       -2.078293        1.045087
     1929.86510      1929.85452        -16.3731          0.8767         19.3901         99.9000        -16.0084         -4.3668       -3.247494        0.876681
     1929.88594      1929.87536        -14.7779          0.8745         19.3929         99.9000        -16.0588         -4.3668       -3.725369        0.874457
     1929.90677      1929.89619        -17.2804          1.0670         19.1768         99.9000        -21.0940         -4.3747       -5.655477        1.067001
     1929.92760      1929.91702        -15.4954          1.1018         19.1419         99.9000        -24.3688         -4.4100       -5.549574        1.101811
     1929.94844      1929.93786        -17.4786          1.0729         19.1708         99.9000        -23.0471         -4.4100       -5.830478        1.072919
     1929.96927      1929.95869        -18.7586          1.0731         19.1706         99.9000        -21.7544         -4.4477       -3.488627        1.073085
     1929.99010      1929.97952        -20.4988          1.0980         19.1457         99.9000        -21.5423         -4.4477       -4.882028        1.098021
     1930.01094      1930.00036        -14.6859          1.0470         19.1973         99.9000        -19.1130         -4.4477       -4.801987        1.047040
     1930.03177      1930.02119        -20.2483          1.0881         19.1555         99.9000        -25.3460         -4.4477       -5.631282        1.088138
     1930.05260      1930.04202        -18.3187          1.0907         19.1530         99.9000        -24.3916         -4.4477       -3.703671        1.090659
     1930.07344      1930.06286        -18.0864          1.0446         19.1998         99.9000        -21.6618         -4.4100       -5.997006        1.044608
     1930.09427      1930.08369        -16.8471          1.0866         19.1570         99.9000        -21.9467         -4.4100       -6.995756        1.086625
     1930.11510      1930.10452        -16.6732          1.0187         19.2271         99.9000        -16.7241         -4.4100       -6.659917        1.018709
     1930.13594      1930.12536        -13.6845          1.0045         19.2423         99.9000        -18.9384         -4.4477       -4.410003        1.004535
     1930.15677      1930.14619        -20.2038          1.0233         19.2222         99.9000        -19.6382         -4.4477       -7.400197        1.023335
     1930.17760      1930.16702        -15.9418          1.0057         19.2410         99.9000        -19.6881         -4.4477       -6.172650        1.005694
     1930.19844      1930.18786        -20.9126          1.0050         19.2417         99.9000        -18.1885         -4.4100       -4.366837        1.005046
     1930.21927      1930.20869        -18.2628          0.9910         19.2571         99.9000        -18.3433         -4.4100       -5.631499        0.990953
     1930.24010      1930.22952        -18.5831          0.9636         19.2874         99.9000        -16.7328         -4.4100       -3.644574        0.963617
     1930.26094      1930.25036        -16.0943          0.9831         19.2657         99.9000        -18.2220         -4.3747       -2.806446        0.983127
     1930.28177      1930.27119        -18.3666          0.9908         19.2572         99.9000        -20.0568         -4.3668       -5.063939        0.990810
     1930.30260      1930.29202        -17.7940          0.9896         19.2585         99.9000        -18.1155         -4.3668       -7.141017        0.989605
     1930.32344      1930.31286        -18.8956          0.9853         19.2633         99.9000        -19.2276         -4.1666       -5.390480        0.985268
     1930.34427      1930.33369        -19.6391          0.9938         19.2539         99.9000        -18.0214         -3.9221       -5.498003        0.993843
     1930.36510      1930.35452        -18.4791          1.0615         19.1824         99.9000        -20.4564         -4.1666       -3.922059        1.061534
     1930.38594      1930.37536        -17.9849          0.9674         19.2832         99.9000        -17.1848         -4.1666       -5.774790        0.967411
     1930.40677      1930.39619        -19.9011          1.0715         19.1722         99.9000        -16.5457         -4.1666       -4.757123        1.071539
     1930.42760      1930.41702        -19.9525          1.0305         19.2146         99.9000        -16.6069         -3.9221       -3.502530        1.030458
     1930.44844      1930.43786        -19.8511          1.0197         19.2260         99.9000        -15.1873         -3.7938       -4.783997        1.019671
     1930.46927      1930.45869        -13.9886          0.8132         19.4717         99.9000         -9.6884         -3.7037       -1.528602        0.813196
     1930.49010      1930.47952        -17.2755          1.0267         19.2186         99.9000        -15.6489         -3.7938        0.744516        1.026730
     1930.51094      1930.50036        -17.7396          1.0269         19.2184         99.9000        -15.1572         -3.7938       -2.086264        1.026913
     1930.53177      1930.52119        -18.8650          1.0084         19.2381         99.9000        -14.3435         -3.7938       -2.083060        1.008379
     1930.55260      1930.54202        -18.4402          0.9986         19.2487         99.9000        -13.9868         -3.7037       -0.383821        0.998572
     1930.57343      1930.56286        -23.4328          1.0199         19.2258         99.9000        -11.6457         -3.6446       -2.383259        1.019946
     1930.59427      1930.58369        -19.2753          1.0319         19.2131         99.9000        -16.4004         -3.5296       -3.529614        1.031926
     1930.61510      1930.60452        -18.6630          0.9959         19.2516         99.9000        -12.6433         -3.5025       -5.046038        0.995913
     1930.63593      1930.62536        -21.2364          1.0319         19.2131         99.9000        -16.0891         -3.4795       -3.265684        1.031884
     1930.65677      1930.64619        -20.9153          1.0077         19.2389         99.9000        -12.7008         -3.2799       -3.793805        1.007714
     1930.67760      1930.66702        -17.6874          0.9867         19.2617         99.9000        -13.9723         -3.2657       -2.928902        0.986714
     1930.69843      1930.68786        -20.3416          0.9916         19.2563         99.9000        -14.3403         -3.1382       -2.320642        0.991617
     1930.71927      1930.70869        -17.1922          0.9734         19.2765         99.9000        -12.5396         -3.0783       -2.870722        0.973395
     1930.74010      1930.72952        -20.4643          1.0214         19.2242         99.9000        -15.1070         -3.0486       -4.166554        1.021389
     1930.76093      1930.75036        -20.1549          0.9724         19.2776         99.9000        -13.6639         -3.0486       -2.181786        0.972410
     1930.78177      1930.77119        -18.4408          1.0005         19.2467         99.9000        -13.2459         -3.0783       -1.890976        1.000484
     1930.80260      1930.79202        -18.5613          0.9696         19.2807         99.9000        -10.0224         -3.0783       -1.577258        0.969586
     1930.82343      1930.81286        -17.4367          0.9476         19.3056         99.9000        -12.3965         -3.0486       -1.700901        0.947613
     1930.84427      1930.83369        -24.9489          0.9784         19.2709         99.9000        -11.2633         -3.0486       -4.447998        0.978360
     1930.86510      1930.85452        -16.8886          0.9759         19.2736         99.9000        -13.1393         -3.0320       -3.078271        0.975940
     1930.88593      1930.87536        -16.7346          0.9724         19.2776         99.9000        -11.3857         -2.9739       -2.882078        0.972350
     1930.90677      1930.89619        -19.3258          0.9988         19.2485         99.9000        -11.8708         -2.9289       -0.939456        0.998821
