# reference_flux:       -113.5081
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1955.80549      1955.79200          1.8068          1.3082         18.9555         99.9000          1.4016         -0.3100       -0.309985        1.308202
     1955.82633      1955.81283         -0.1544          1.3063         18.9571         99.9000         -0.6456         -0.3100       -0.087578        1.306336
     1955.84716      1955.83367          1.3056          1.3049         18.9582         99.9000         -0.7474         -0.3100       -0.354149        1.304934
     1955.86800      1955.85450         -2.1119          1.3046         18.9585         99.9000          2.5228         -0.3100       -0.697767        1.304616
     1955.88883      1955.87533          0.5417          1.3029         18.9599         99.9000         -0.1824         -0.3100        0.272764        1.302889
     1955.90966      1955.89617         -3.7741          1.3037         18.9593         99.9000         -0.3580         -0.3100       -0.897109        1.303691
     1955.93050      1955.91700          0.8203          1.3100         18.9540         99.9000          0.2072         -0.3100        0.061594        1.310014
     1955.95133      1955.93783         -3.5251          1.3085         18.9552         99.9000          1.5372         -0.2911       -1.818956        1.308526
     1955.97216      1955.95867         -2.3692          1.3107         18.9534         99.9000         -1.1527         -0.2911       -0.780084        1.310735
     1955.99300      1955.97950          0.9303          1.3055         18.9578         99.9000         -0.7072         -0.2911        1.297142        1.305458
     1956.01383      1956.00033         -2.6944          1.3079         18.9558         99.9000         -0.4874         -0.2911       -0.291142        1.307874
     1956.03467      1956.02117         -1.6887          1.3045         18.9586         99.9000          3.4396         -0.1343       -0.827831        1.304513
     1956.05550      1956.04200         -2.6821          1.3051         18.9581         99.9000          1.4748         -0.0876       -0.884166        1.305112
     1956.07633      1956.06283         -4.4486          1.3009         18.9616         99.9000         -0.2014         -0.0876       -1.486778        1.300896
     1956.09717      1956.08367         -0.0157          1.3033         18.9595         99.9000          1.1548          0.0033        0.227018        1.303344
     1956.11800      1956.10450         -1.8969          1.2977         18.9642         99.9000         -0.5322          0.0033       -0.604287        1.297732
     1956.13884      1956.12533          1.1444          1.3011         18.9615         99.9000          2.6345          0.0616        0.394205        1.301053
     1956.15967      1956.14617          0.5150          1.3033         18.9596         99.9000          1.5142          0.0616       -1.084523        1.303264
     1956.18050      1956.16700          0.6640          1.3024         18.9604         99.9000          1.7185          0.2270       -0.134309        1.302373
     1956.20134      1956.18783          1.0776          1.3061         18.9573         99.9000         -0.8861          0.2728        0.678558        1.306056
     1956.22217      1956.20867         -0.7408          1.2994         18.9629         99.9000         -0.9722          0.2728       -1.032888        1.299384
     1956.24300      1956.22950         -0.8798          1.3053         18.9579         99.9000         -0.0925          0.3942        0.456813        1.305286
     1956.26384      1956.25033         -0.4539          1.3047         18.9585         99.9000          0.9612          0.4170        0.003284        1.304654
     1956.28467      1956.27117          0.2870          1.3071         18.9565         99.9000         -5.9233          0.4568        0.416970        1.307064
     1956.30550      1956.29200          0.2672          1.3129         18.9516         99.9000         -5.9892          0.6786       -0.741903        1.312874
     1956.32634      1956.31283          1.9819          1.3253         18.9414         99.9000          1.2731          0.7476        0.747602        1.325291
     1956.34717      1956.33367         -1.3640          1.3375         18.9314         99.9000         29.9731          1.2685        1.750156        1.337538
     1956.36801      1956.35450          2.5224          1.3792         18.8982         99.9000         59.4724          1.2971        5.306206        1.379152
     1956.38884      1956.37533          0.7132          1.4008         18.8812         99.9000        112.8054          1.7502        5.972148        1.400829
     1956.40967      1956.39617          0.5116          1.4259         18.8620         99.9000        147.1219          1.8331       10.450468        1.425854
     1956.43051      1956.41700         -5.0767          1.4471         18.8460         99.9000        172.1154          3.8814        3.881440        1.447071
     1956.45134      1956.43783         -2.4787          1.4772         18.8236         99.9000        196.0826          5.3062        1.268509        1.477173
     1956.47218      1956.45867         31.0074          1.3972         16.7113          0.0489        134.9643          5.9721        7.125076        1.397170
     1956.49301      1956.47950         21.5853          1.4215         17.1046          0.0715        192.2985          7.1251        1.833133        1.421489
     1956.51384      1956.50033         22.8216          1.4405         17.0441          0.0685        160.8058          8.5888       10.178624        1.440530
     1956.53468      1956.52117         32.9014          1.4373         16.6470          0.0474        167.0696         10.1786       17.225463        1.437336
     1956.55551      1956.54200         38.1214          1.4617         16.4871          0.0416        179.9266         10.4505       20.519625        1.461653
     1956.57634      1956.56283         34.7055          1.4932         16.5890          0.0467        183.1807         16.8911       18.431417        1.493215
     1956.59718      1956.58367         38.1262          1.5252         16.4869          0.0434        181.0544         17.0323       16.891056        1.525207
     1956.61801      1956.60450         36.1063          1.5571         16.5460          0.0468        185.1982         17.2255       19.102818        1.557076
     1956.63884      1956.62533         44.3816          1.5866         16.3220          0.0388        303.7957         17.2255       26.777677        1.586598
     1956.65968      1956.64617         42.0536          1.6162         16.3805          0.0417        145.1334         17.2255       17.032336        1.616245
     1956.68051      1956.66700         36.3012          1.6515         16.5402          0.0494        270.4250         17.2255       20.139789        1.651493
     1956.70135      1956.68783         37.9264          1.6857         16.4926          0.0483        249.6539         17.2255       24.483206        1.685703
     1956.72218      1956.70867         35.4385          1.7160         16.5663          0.0526        238.1803         17.2255       24.154208        1.715997
     1956.74301      1956.72950         37.7447          1.7537         16.4979          0.0504        219.0886         17.2255       27.084326        1.753657
     1956.76385      1956.75033         35.1317          1.7886         16.5758          0.0553        193.0502         17.2255       22.890203        1.788584
     1956.78468      1956.77117         34.1184          1.8292         16.6075          0.0582        176.8580         17.2255       23.424832        1.829194
     1956.80552      1956.79200         44.1435          1.8670         16.3278          0.0459        154.2359         17.2255       31.713280        1.867029
     1956.82635      1956.81283        -28.3190          2.5864         18.2154         99.9000        294.4271         17.2255        8.588782        2.586421
     1956.84718      1956.83367         31.1614          1.9448         16.7060          0.0678        142.5449         17.2255       24.584429        1.944833
     1956.86802      1956.85450         29.2431          1.9691         16.7749          0.0731        145.7170         17.2255       21.976453        1.969057
     1956.88885      1956.87533         33.9010          1.9879         16.6145          0.0637        145.1856         17.2255       25.974699        1.987898
     1956.90968      1956.89617         43.1167          2.0034         16.3534          0.0504        121.7023         17.2255       30.262425        2.003441
     1956.93052      1956.91700         34.4094          2.0213         16.5983          0.0638        132.6434         17.2255       26.959251        2.021277
     1956.95135      1956.93783         35.4275          2.0229         16.5666          0.0620         99.8361         17.2255       25.070484        2.022898
     1956.97219      1956.95867         37.9605          2.0325         16.4917          0.0581         96.9535         17.2255       24.850086        2.032450
     1956.99302      1956.97950         27.1370          2.0392         16.8561          0.0816         93.3898         17.2255       17.753151        2.039158
     1957.01385      1957.00033         34.4006          2.0411         16.5986          0.0644         90.8890         17.2255       23.226345        2.041108
     1957.03469      1957.02117         37.8228          2.0406         16.4956          0.0586         82.7702         17.2255       22.601890        2.040620
     1957.05552      1957.04200         33.3054          2.0258         16.6337          0.0660        101.1609         17.0323       22.292574        2.025753
     1957.07635      1957.06283         32.3743          2.0281         16.6645          0.0680         85.1527         16.8911       19.428808        2.028137
     1957.09719      1957.08367         30.9258          2.0260         16.7142          0.0711         65.5479         15.1781       18.413803        2.026005
     1957.11802      1957.10450         20.9455          2.0124         17.1373          0.1043         61.9409         14.1586       15.178123        2.012418
     1957.13886      1957.12533         37.9132          2.0103         16.4930          0.0576         64.2558         12.6623       14.158628        2.010284
     1957.15969      1957.14617         27.5211          2.0059         16.8408          0.0791         49.4554         12.2120       12.662259        2.005875
     1957.18052      1957.16700         33.3741          1.9980         16.6315          0.0650         35.2695         10.7542       10.697151        1.998010
     1957.20136      1957.18783         27.4653          1.9790         16.8430          0.0782          6.4099         10.6972       10.754186        1.979018
     1957.22219      1957.20867         29.1498          1.9635         16.7784          0.0731          9.2271          8.6892       12.212015        1.963485
     1957.24303      1957.22950         27.2436          1.9490         16.8518          0.0777         -0.8203          8.5888        7.101162        1.949043
