# reference_flux:         45.7371
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1955.80567      1955.79200         48.2908          0.6697         16.2303          0.0151         -0.6354          0.2031        2.052500        0.669729
     1955.82651      1955.81283         46.4302          0.6653         16.2730          0.0156         -0.9796          0.2031        0.051822        0.665288
     1955.84734      1955.83367         48.3808          0.6672         16.2283          0.0150         -0.2229          0.2031        1.746302        0.667198
     1955.86817      1955.85450         47.8076          0.6648         16.2413          0.0151         -0.2232          0.2031        0.332998        0.664789
     1955.88901      1955.87533         46.7163          0.6666         16.2663          0.0155          0.0583          0.2031        0.904547        0.666629
     1955.90984      1955.89617         46.0574          0.6626         16.2818          0.0156         -1.1929          0.2031       -1.390171        0.662622
     1955.93067      1955.91700         45.0518          0.6669         16.3057          0.0161         -0.0420          0.2770       -0.470229        0.666946
     1955.95151      1955.93783         48.2863          0.6700         16.2304          0.0151          0.1049          0.2770        1.792269        0.670044
     1955.97234      1955.95867         46.2719          0.6666         16.2767          0.0156          0.8758          0.3330        0.649581        0.666596
     1955.99317      1955.97950         47.0259          0.6658         16.2592          0.0154          0.8871          0.3330        1.033189        0.665830
     1956.01401      1956.00033         48.2013          0.6668         16.2324          0.0150         -0.4308          0.3330        0.824842        0.666823
     1956.03484      1956.02117         47.0203          0.6674         16.2593          0.0154         -0.2083          0.4752        1.642359        0.667388
     1956.05567      1956.04200         45.4400          0.6769         16.2964          0.0162          0.4772          0.4798       -0.439037        0.676918
     1956.07651      1956.06283         45.7443          0.6777         16.2892          0.0161         -0.1233          0.4798        0.203109        0.677702
     1956.09734      1956.08367         47.9283          0.6765         16.2385          0.0153         -1.9424          0.4752        0.016357        0.676537
     1956.11817      1956.10450         47.2188          0.6673         16.2547          0.0153         -0.0661          0.4752        1.141394        0.667285
     1956.13901      1956.12533         47.9866          0.6677         16.2372          0.0151         -0.8057          0.4752        0.277033        0.667710
     1956.15984      1956.14617         45.2802          0.6690         16.3002          0.0160          0.4172          0.4752       -1.202666        0.668952
     1956.18067      1956.16700         43.0133          0.6656         16.3560          0.0168          0.5377          0.4798       -0.797138        0.665589
     1956.20151      1956.18783         47.2069          0.6683         16.2550          0.0154          0.2276          0.5310       -0.165199        0.668276
     1956.22234      1956.20867         45.7414          0.6661         16.2892          0.0158         -0.3119          0.5310       -0.005836        0.666118
     1956.24317      1956.22950         45.0405          0.6678         16.3060          0.0161          0.7571          0.5310       -0.170916        0.667826
     1956.26401      1956.25033         45.9698          0.6763         16.2838          0.0160          0.3290          0.5310       -0.429092        0.676255
     1956.28484      1956.27117         46.1689          0.6663         16.2791          0.0157          1.0374          0.6496        0.479779        0.666286
     1956.30567      1956.29200         45.2646          0.6670         16.3006          0.0160         -0.1924          0.6496        0.171837        0.667002
     1956.32650      1956.31283         44.9306          0.6731         16.3086          0.0163          1.1655          0.6496       -1.099399        0.673137
     1956.34734      1956.33367         45.6847          0.6821         16.2906          0.0162          4.0214          0.6931       -0.210660        0.682128
     1956.36817      1956.35450         47.9425          0.6951         16.2382          0.0157          7.0300          0.6931       -0.039014        0.695085
     1956.38900      1956.37533         48.5679          0.7092         16.2241          0.0159         10.1025          0.7050        0.475190        0.709181
     1956.40984      1956.39617         48.3851          0.7339         16.2282          0.0165         18.8237          0.7050        0.530989        0.733904
     1956.43067      1956.41700         50.9995          0.7555         16.1711          0.0161         24.7298          0.7799        1.583568        0.755462
     1956.45150      1956.43783         49.3578          0.7722         16.2066          0.0170         34.9706          0.7893        2.700392        0.772160
     1956.47234      1956.45867         48.7470          0.7857         16.2201          0.0175         37.6691          0.7893        1.228412        0.785732
     1956.49317      1956.47950         46.9431          0.8067         16.2611          0.0187         45.3371          0.8248        1.609290        0.806741
     1956.51400      1956.50033         45.4740          0.8224         16.2956          0.0196         44.2009          0.8248        0.940810        0.822440
     1956.53484      1956.52117         46.0306          0.8333         16.2824          0.0197         48.8899          0.7893        2.171469        0.833296
     1956.55567      1956.54200         47.3258          0.8463         16.2523          0.0194         61.1457          0.7893        1.056937        0.846335
     1956.57650      1956.56283         48.3002          0.8703         16.2301          0.0196         60.0475          0.9408        0.328990        0.870275
     1956.59734      1956.58367         47.7569          0.8891         16.2424          0.0202         54.4838          1.0569        0.704988        0.889147
     1956.61817      1956.60450         47.7679          0.8957         16.2422          0.0204         59.9747          1.1414        1.460791        0.895655
     1956.63900      1956.62533         44.0441          0.9060         16.3303          0.0223         61.0275          1.0569        0.779916        0.906016
     1956.65984      1956.64617         46.9227          0.9114         16.2615          0.0211         51.5430          1.2284        1.833786        0.911399
     1956.68067      1956.66700         48.5593          0.9270         16.2243          0.0207         62.5582          1.2921        1.649807        0.927040
     1956.70150      1956.68783         47.5969          0.9386         16.2461          0.0214         62.1110          1.4096        1.292130        0.938642
     1956.72234      1956.70867         48.7035          0.9573         16.2211          0.0213         56.3449          1.4096        0.413888        0.957269
     1956.74317      1956.72950         44.9726          0.9694         16.3076          0.0234         60.3081          1.4608        2.279077        0.969386
     1956.76400      1956.75033         46.0894          0.9960         16.2810          0.0235         62.3531          1.4608        2.217419        0.995961
     1956.78484      1956.77117         48.9545          1.0206         16.2155          0.0226         57.4366          1.4608        3.129785        1.020618
     1956.80567      1956.79200         46.5535          1.0401         16.2701          0.0243         69.9477          1.4608        0.693124        1.040104
     1956.82650      1956.81283         48.3684          1.0680         16.2286          0.0240         71.1280          1.4608        2.246849        1.067967
     1956.84734      1956.83367         49.3210          1.0933         16.2074          0.0241         67.6287          1.4608        1.990122        1.093319
     1956.86817      1956.85450         47.9960          1.1133         16.2370          0.0252         71.2500          1.4985        1.409558        1.113340
     1956.88900      1956.87533         45.8564          1.1381         16.2865          0.0269         68.4026          1.4985        1.498547        1.138105
