# reference_flux:         33.0944
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1955.80154      1955.79201         34.9135          0.7080         16.5825          0.0220          0.2392         -0.1406        0.287890        0.708037
     1955.82237      1955.81284         32.2898          0.7037         16.6673          0.0237          1.1417          0.0955       -0.875933        0.703653
     1955.84320      1955.83367         34.1849          0.7084         16.6054          0.0225         -0.0696          0.0955        0.580115        0.708386
     1955.86403      1955.85451         33.9787          0.7051         16.6120          0.0225         -1.2660          0.0955        0.666493        0.705059
     1955.88487      1955.87534         32.6986          0.7009         16.6537          0.0233          0.5025          0.0955        0.202378        0.700854
     1955.90570      1955.89617         34.0356          0.6914         16.6102          0.0221         -0.1927          0.0955        0.095451        0.691394
     1955.92653      1955.91701         32.6122          0.6853         16.6565          0.0228         -0.0761          0.2024       -0.990125        0.685296
     1955.94737      1955.93784         32.0567          0.6839         16.6752          0.0232          1.2981          0.2024       -0.825330        0.683923
     1955.96820      1955.95867         32.3441          0.6788         16.6655          0.0228          0.8247          0.2879       -0.885396        0.678753
     1955.98903      1955.97951         32.6485          0.6861         16.6553          0.0228          0.2144          0.2024        0.389421        0.686133
     1956.00986      1956.00034         30.8495          0.6725         16.7169          0.0237          0.2455          0.2024       -1.132455        0.672544
     1956.03070      1956.02117         34.6629          0.6938         16.5903          0.0217          0.8268          0.0955        0.648588        0.693816
     1956.05153      1956.04201         35.0312          0.7000         16.5789          0.0217          0.8754          0.0955        0.480719        0.699994
     1956.07236      1956.06284         33.7278          0.6924         16.6200          0.0223         -0.1506          0.0955        1.270873        0.692432
     1956.09320      1956.08367         34.9714          0.6854         16.5807          0.0213         -0.4002          0.0955        0.822954        0.685410
     1956.11403      1956.10451         35.0537          0.6933         16.5782          0.0215         -1.1499          0.0955        1.926929        0.693268
     1956.13486      1956.12534         32.1441          0.6896         16.6722          0.0233         -2.4114          0.0955       -1.471615        0.689637
     1956.15569      1956.14617         34.4830          0.6878         16.5960          0.0217          1.5671          0.0955       -0.422400        0.687835
     1956.17653      1956.16701         32.1691          0.6988         16.6714          0.0236         -0.6993          0.0955       -0.633305        0.698791
     1956.19736      1956.18784         32.3737          0.6928         16.6645          0.0232          1.3186         -0.1044       -0.338058        0.692840
     1956.21819      1956.20867         35.4053          0.6988         16.5673          0.0214          1.1456         -0.1406        0.844286        0.698779
     1956.23903      1956.22951         33.5433          0.6965         16.6260          0.0225         -0.8582         -0.3381       -0.140575        0.696513
     1956.25986      1956.25034         29.4608          0.6981         16.7669          0.0257          1.1775         -0.4224       -1.826625        0.698114
     1956.28069      1956.27117         31.1347          0.6960         16.7069          0.0243          2.3096         -0.4224       -0.746964        0.696033
     1956.30152      1956.29201         32.1950          0.7078         16.6705          0.0239          1.8920         -0.4224        0.385850        0.707755
     1956.32236      1956.31284         34.5617          0.7114         16.5935          0.0223          0.5525         -0.5373        1.328228        0.711387
     1956.34319      1956.33367         32.9965          0.7158         16.6438          0.0236         -0.9681         -0.5373       -1.122188        0.715850
     1956.36402      1956.35451         32.5388          0.7176         16.6590          0.0239         -3.3586         -0.6149       -0.537334        0.717595
     1956.38486      1956.37534         34.2530          0.7279         16.6033          0.0231          1.3865         -0.6333        1.265208        0.727869
     1956.40569      1956.39617         35.4963          0.7260         16.5645          0.0222          0.9841         -0.7470        0.846726        0.726043
     1956.42652      1956.41701         36.2880          0.7386         16.5406          0.0221         -1.9517         -0.8253        1.897963        0.738614
     1956.44735      1956.43784         34.2068          0.7662         16.6047          0.0243         -2.3856         -0.8253        0.645580        0.766207
     1956.46819      1956.45867         34.8120          0.7735         16.5857          0.0241         -5.2233         -0.8320       -0.104429        0.773462
     1956.48902      1956.47951         31.8709          0.7647         16.6815          0.0260         -5.3919         -0.8320       -0.614940        0.764657
     1956.50985      1956.50034         34.9005          0.7847         16.5829          0.0244         -5.9313         -0.8407       -0.831998        0.784741
     1956.53069      1956.52117         36.2640          0.7933         16.5413          0.0238         -6.3324         -0.8407        0.517531        0.793297
     1956.55152      1956.54201         32.8172          0.8134         16.6497          0.0269         -4.2247         -0.8437       -0.840729        0.813424
     1956.57235      1956.56284         36.4805          0.8238         16.5348          0.0245         -3.2924         -0.8790        1.545755        0.823784
     1956.59318      1956.58367         32.6474          0.8316         16.6554          0.0277         -4.7514         -0.9997       -1.168632        0.831555
     1956.61402      1956.60451         30.5515          0.8418         16.7274          0.0299         -3.9452         -1.1222       -2.740641        0.841791
     1956.63485      1956.62534         31.5730          0.8647         16.6917          0.0297         -5.9526         -1.1686       -1.436913        0.864655
     1956.65568      1956.64617         28.8184          0.8543         16.7908          0.0322         -3.7520         -1.1686       -2.173520        0.854266
     1956.67652      1956.66701         31.8701          0.8794         16.6815          0.0300         -9.4003         -1.1686       -2.255853        0.879415
     1956.69735      1956.68784         34.5212          0.8899         16.5948          0.0280         -8.0301         -1.1686       -1.365350        0.889947
     1956.71818      1956.70867         32.0967          0.8845         16.6738          0.0299         -8.5736         -1.2655       -0.878983        0.884521
     1956.73901      1956.72951         28.4989          0.8887         16.8029          0.0339         -6.5908         -1.2655       -3.981953        0.888702
     1956.75985      1956.75034         27.8184          0.8912         16.8292          0.0348         -5.2340         -1.2655       -2.051554        0.891159
     1956.78068      1956.77117         34.7939          0.8912         16.5862          0.0278         -4.7357         -1.2655        0.929980        0.891214
     1956.80151      1956.79201         25.3775          0.8908         16.9289          0.0381         -3.2824         -1.2712       -5.437265        0.890845
     1956.82235      1956.81284         28.1874          0.9090         16.8149          0.0350        -12.3413         -1.2712       -1.265486        0.909009
     1956.84318      1956.83367         29.4733          0.8786         16.7664          0.0324         -1.5609         -1.3413       -3.694184        0.878648
     1956.86401      1956.85451         31.2046          0.8852         16.7045          0.0308         -4.7068         -1.3653       -3.147219        0.885208
     1956.88484      1956.87534         29.8526          0.8948         16.7525          0.0325         -6.1069         -1.4155       -2.987114        0.894771
     1956.90568      1956.89617         31.9170          0.9043         16.6799          0.0308         -3.5677         -1.4369       -3.211162        0.904304
     1956.92651      1956.91701         26.9213          0.9048         16.8648          0.0365         -4.7118         -1.6021       -3.887177        0.904790
     1956.94734      1956.93784         29.4943          0.9115         16.7657          0.0336         -5.0817         -1.6021       -2.202565        0.911492
     1956.96817      1956.95867         32.4515          0.9142         16.6619          0.0306         -7.1303         -1.6723       -2.165054        0.914151
     1956.98901      1956.97951         28.7879          0.9134         16.7920          0.0344         -3.6584         -1.6723       -1.797328        0.913352
     1957.00984      1957.00034         32.9861          0.9061         16.6442          0.0298         -3.2809         -1.7525       -0.843723        0.906120
     1957.03067      1957.02117         32.9307          0.9065         16.6460          0.0299         -4.8670         -1.7525       -1.415531        0.906536
     1957.05151      1957.04201         31.5005          0.9046         16.6942          0.0312         -3.9407         -1.7525       -1.341267        0.904618
     1957.07234      1957.06284         31.0029          0.9024         16.7115          0.0316         -8.3020         -1.7818       -0.999708        0.902438
     1957.09317      1957.08367         31.6073          0.9130         16.6905          0.0314         -4.0978         -1.7973       -1.672322        0.913038
     1957.11401      1957.10451         30.8871          0.9173         16.7156          0.0322         -4.1348         -1.7973       -2.022486        0.917305
     1957.13484      1957.12534         33.2433          0.9057         16.6357          0.0296         -3.9929         -1.7973       -1.602096        0.905720
     1957.15567      1957.14617         31.9489          0.9074         16.6789          0.0308         -3.2927         -1.7973       -0.897030        0.907409
     1957.17650      1957.16701         32.4796          0.9117         16.6610          0.0305         -0.3128         -1.7818       -0.720351        0.911706
     1957.19734      1957.18784         32.2305          0.9138         16.6693          0.0308         -5.9154         -1.7525       -3.190166        0.913848
     1957.21817      1957.20867         35.1597          0.9169         16.5749          0.0283         -6.0111         -1.7525        0.145815        0.916890
     1957.23900      1957.22951         31.9442          0.9354         16.6790          0.0318         -6.5841         -1.7818       -0.415554        0.935396
     1957.25984      1957.25034         31.8833          0.9346         16.6811          0.0318        -11.4796         -1.7818       -1.271191        0.934599
     1957.28067      1957.27117         27.7274          0.9266         16.8327          0.0363         -4.8668         -1.7818       -3.020093        0.926621
     1957.30150      1957.29201         34.5750          0.9281         16.5931          0.0291        -13.1897         -1.7973       -0.415280        0.928083
     1957.32233      1957.31284         29.0925          0.9318         16.7805          0.0348        -10.4933         -1.7818       -3.496501        0.931841
     1957.34317      1957.33367         31.0040          0.9112         16.7115          0.0319        -11.0015         -1.7973       -1.752514        0.911246
     1957.36400      1957.35451         28.8577          0.9060         16.7893          0.0341        -10.4089         -1.7818       -2.757388        0.906028
     1957.38483      1957.37534         27.8110          0.9017         16.8295          0.0352         -9.9158         -1.7818       -1.992549        0.901678
     1957.40566      1957.39617         31.1601          0.8997         16.7060          0.0314        -10.6051         -1.7525       -2.334010        0.899745
     1957.42650      1957.41701         30.8175          0.9294         16.7180          0.0327        -13.7996         -1.7088       -0.762154        0.929417
     1957.44733      1957.43784         30.5511          0.9097         16.7274          0.0323        -16.1334         -1.7088       -2.094392        0.909670
     1957.46816      1957.45867         33.4085          0.9064         16.6304          0.0295        -12.3028         -1.6723       -0.529361        0.906392
     1957.48900      1957.47951         30.4155          0.8982         16.7323          0.0321        -12.3133         -1.6723       -2.360220        0.898181
     1957.50983      1957.50034         30.6217          0.9001         16.7249          0.0319        -10.1381         -1.6581       -1.509123        0.900103
     1957.53066      1957.52117         32.0700          0.8910         16.6748          0.0302         -9.3477         -1.6723       -0.029978        0.890995
     1957.55149      1957.54201         31.7367          0.8870         16.6861          0.0303        -10.3227         -1.7088       -1.781786        0.887023
     1957.57233      1957.56284         30.9761          0.8943         16.7124          0.0313        -10.2502         -1.7088       -2.055291        0.894328
     1957.59316      1957.58367         30.4230          0.8947         16.7320          0.0319        -11.5827         -1.7088       -1.589695        0.894684
     1957.61399      1957.60451         26.3267          0.9097         16.8890          0.0375         -9.5883         -1.7088       -3.574353        0.909654
     1957.63483      1957.62534         28.4449          0.9148         16.8050          0.0349         -8.1621         -1.6581       -1.708802        0.914770
     1957.65566      1957.64617         30.1006          0.9167         16.7436          0.0331        -16.0434         -1.7088       -1.027426        0.916664
     1957.67649      1957.66701         34.1124          0.9184         16.6077          0.0292        -13.2247         -1.7488        0.891577        0.918380
     1957.69733      1957.68784         31.0626          0.9194         16.7094          0.0321        -12.4664         -1.7488       -0.747726        0.919359
     1957.71816      1957.70867         30.9586          0.9207         16.7130          0.0323        -13.5096         -1.7088       -2.030640        0.920682
     1957.73899      1957.72951         28.5980          0.9185         16.7992          0.0349        -11.1963         -1.7088       -2.363035        0.918486
     1957.75982      1957.75034         31.9404          0.9089         16.6791          0.0309        -17.1570         -1.7088       -2.406396        0.908905
     1957.78066      1957.77117         30.3974          0.9142         16.7329          0.0327         -8.6769         -1.7088       -2.267355        0.914207
     1957.80149      1957.79201         30.2577          0.9129         16.7379          0.0328         -9.6056         -1.6581       -0.801623        0.912927
     1957.82232      1957.81284         29.2886          0.9043         16.7733          0.0335        -13.8759         -1.6581       -2.798074        0.904277
     1957.84315      1957.83367         32.6333          0.9053         16.6558          0.0301        -11.6994         -1.6581       -0.757514        0.905301
     1957.86399      1957.85451         29.9488          0.9095         16.7490          0.0330        -15.5529         -1.6581       -2.614840        0.909460
     1957.88482      1957.87534         33.0779          0.8983         16.6412          0.0295        -16.7955         -1.6581        0.131730        0.898290
     1957.90565      1957.89617         35.3580          0.8911         16.5688          0.0274        -16.5266         -1.5897        0.536917        0.891085
     1957.92649      1957.91701         29.7863          0.8944         16.7550          0.0326        -15.2367         -1.5091       -3.822769        0.894381
     1957.94732      1957.93784         31.1407          0.8907         16.7067          0.0311        -14.2955         -1.5897       -0.615329        0.890704
     1957.96815      1957.95867         26.7754          0.8868         16.8707          0.0360        -14.8867         -1.5091       -2.513812        0.886771
     1957.98898      1957.97951         33.9567          0.8923         16.6127          0.0285        -17.7346         -1.5897       -1.658133        0.892302
     1958.00982      1958.00034         26.1723          0.8969         16.8954          0.0372        -14.6687         -1.5091       -4.289491        0.896886
     1958.03065      1958.02117         30.9642          0.8981         16.7129          0.0315        -17.0737         -1.5897       -1.789168        0.898087
     1958.05148      1958.04201         31.1634          0.9061         16.7059          0.0316        -20.2239         -1.5897       -1.148279        0.906061
     1958.07232      1958.06284         29.1315          0.8936         16.7791          0.0333        -17.3751         -1.5897       -1.092153        0.893560
     1958.09315      1958.08367         32.2548          0.8976         16.6685          0.0302        -20.1378         -1.4836       -1.483617        0.897650
     1958.11398      1958.10451         32.9902          0.9004         16.6440          0.0296        -19.1380         -1.3819       -0.447866        0.900442
     1958.13481      1958.12534         31.8039          0.8939         16.6838          0.0305        -17.7597         -1.2615       -2.361020        0.893909
     1958.15565      1958.14617         30.6869          0.8803         16.7226          0.0311        -19.4799         -1.2615       -1.748817        0.880309
     1958.17648      1958.16701         31.9342          0.8818         16.6794          0.0300        -16.5675         -1.2615       -0.485013        0.881764
     1958.19731      1958.18784         31.9794          0.8925         16.6778          0.0303         -9.3182         -1.3819       -0.682058        0.892493
     1958.21815      1958.20867         33.2477          0.8822         16.6356          0.0288        -10.0459         -1.3819       -0.027967        0.882189
     1958.23898      1958.22951         34.8214          0.8527         16.5854          0.0266        -15.0050         -1.3029        0.508158        0.852700
     1958.25981      1958.25034         33.4861          0.8587         16.6278          0.0278        -13.4828         -1.2615       -0.945771        0.858655
     1958.28064      1958.27117         33.7482          0.8578         16.6194          0.0276        -18.3892         -1.2615        1.196465        0.857768
     1958.30148      1958.29201         32.5990          0.8666         16.6570          0.0289        -11.1505         -1.2615       -1.044804        0.866591
     1958.32231      1958.31284         31.4169          0.8633         16.6971          0.0298        -10.1770         -1.2615       -1.746435        0.863306
     1958.34314      1958.33367         30.4660          0.8572         16.7305          0.0305        -11.3790         -1.1483       -2.454124        0.857156
     1958.36398      1958.35451         31.9446          0.8637         16.6790          0.0294        -12.5763         -1.1483       -1.712032        0.863717
     1958.38481      1958.37534         33.2726          0.8455         16.6348          0.0276        -12.1154         -1.1016       -1.261547        0.845541
     1958.40564      1958.39617         30.4874          0.8461         16.7297          0.0301        -16.1254         -1.1483       -1.381949        0.846126
     1958.42647      1958.41701         33.6826          0.8499         16.6215          0.0274        -14.6861         -1.2615       -1.669278        0.849936
     1958.44731      1958.43784         34.1966          0.8489         16.6050          0.0270        -16.0488         -1.1483       -0.189657        0.848926
