# reference_flux:        711.5370
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1955.79901      1955.79201        710.6297          1.2305         13.3109          0.0019          1.8593          1.5289       -0.478873        1.230547
     1955.81984      1955.81285        716.3386          1.2460         13.3022          0.0019          0.8552          1.5289        1.764373        1.245968
     1955.84067      1955.83368        713.9453          1.2424         13.3058          0.0019          2.6410          1.5289        2.030186        1.242351
     1955.86151      1955.85451        712.5605          1.2365         13.3079          0.0019          1.3065          1.5289        0.510250        1.236462
     1955.88234      1955.87535        712.5808          1.2156         13.3079          0.0019          1.6338          1.5289        1.936379        1.215648
     1955.90317      1955.89618        708.4481          1.2174         13.3142          0.0019          0.6658          1.4458       -0.640002        1.217367
     1955.92401      1955.91701        714.5457          1.2277         13.3049          0.0019          1.1581          1.4458        2.097969        1.227705
     1955.94484      1955.93785        712.7098          1.2326         13.3077          0.0019          0.3843          1.4458        2.483895        1.232551
     1955.96567      1955.95868        709.2770          1.2205         13.3130          0.0019          2.2105          1.4458        1.062222        1.220504
     1955.98651      1955.97951        711.9546          1.2259         13.3089          0.0019          2.6688          1.0622        1.957234        1.225894
     1956.00734      1956.00035        711.2149          1.2468         13.3100          0.0019         -0.5685          1.0622        1.445813        1.246752
     1956.02817      1956.02118        708.5990          1.2307         13.3140          0.0019          3.0851          1.0622       -1.194736        1.230733
     1956.04901      1956.04201        709.1499          1.2387         13.3132          0.0019          2.6914          1.0622        0.423681        1.238708
     1956.06984      1956.06285        713.8600          1.2276         13.3060          0.0019          3.3446          1.0622        0.354294        1.227643
     1956.09067      1956.08368        709.8417          1.2274         13.3121          0.0019          3.4034          1.0622        0.112074        1.227426
     1956.11151      1956.10451        715.8769          1.2085         13.3029          0.0018          1.2256          0.9738        3.039861        1.208529
     1956.13234      1956.12535        714.7222          1.2231         13.3047          0.0019          3.3412          0.8212        2.288598        1.223147
     1956.15317      1956.14618        715.9080          1.2283         13.3029          0.0019          3.6495          0.5460        2.471784        1.228308
     1956.17400      1956.16701        713.1124          1.2278         13.3071          0.0019          4.1707          0.5102        0.973786        1.227802
     1956.19484      1956.18785        715.4610          1.2126         13.3035          0.0018          3.6812          0.5102        1.646687        1.212630
     1956.21567      1956.20868        714.3206          1.2386         13.3053          0.0019          2.0285          0.5102        1.528914        1.238628
     1956.23650      1956.22951        714.5231          1.2227         13.3050          0.0019          2.0919          0.4237        1.857264        1.222736
     1956.25734      1956.25035        720.4486          1.2254         13.2960          0.0018          2.3325          0.3543        0.821205        1.225357
     1956.27817      1956.27118        717.0270          1.2443         13.3012          0.0019          2.6385          0.1121        3.237328        1.244289
     1956.29900      1956.29201        719.2355          1.2656         13.2978          0.0019          0.0646          0.1121        0.545990        1.265624
     1956.31984      1956.31285        717.3721          1.3009         13.3006          0.0020         -0.6395          0.1121       -0.377391        1.300906
     1956.34067      1956.33368        717.1772          1.4055         13.3009          0.0021        -10.2152         -0.1889        2.887090        1.405500
     1956.36150      1956.35451        720.4340          1.4786         13.2960          0.0022        -21.9281         -0.3433        2.506050        1.478628
     1956.38234      1956.37535        716.3187          1.5155         13.3022          0.0023        -32.3489         -0.3774       -0.343349        1.515537
     1956.40317      1956.39618        715.7478          1.6190         13.3031          0.0025        -46.7176         -0.4502       -0.450202        1.618966
