# reference_flux:        535.0111
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1983.65917      1983.64617        540.7732          1.1470         13.6075          0.0023        -10.9853          0.3034        1.487890        1.148078
     1983.68000      1983.66701        540.6485          1.1674         13.6077          0.0023        -13.8195          0.3034        0.684120        1.168446
     1983.70084      1983.68784        544.0786          1.1811         13.6008          0.0024        -15.4629          0.2641        2.506185        1.182145
     1983.72167      1983.70867        543.2532          1.1952         13.6025          0.0024        -20.3239          0.3034        3.247831        1.196246
     1983.74250      1983.72951        542.2703          1.2093         13.6045          0.0024        -19.4981          0.2641       -0.642426        1.210330
     1983.76334      1983.75034        542.8042          1.2220         13.6034          0.0024        -20.9473          0.3034        0.303432        1.222992
     1983.78417      1983.77117        543.8602          1.2331         13.6013          0.0025        -23.0644          0.3034        2.749993        1.234132
     1983.80500      1983.79201        540.9156          1.2415         13.6072          0.0025        -22.3893          0.3034        0.264106        1.242546
     1983.82584      1983.81284        540.9359          1.2494         13.6071          0.0025        -18.9992          0.3034        1.991037        1.250458
     1983.84667      1983.83367        540.2245          1.2560         13.6086          0.0025        -20.6436          0.3034       -0.183408        1.257052
     1983.86750      1983.85451        539.2739          1.2614         13.6105          0.0025        -19.8461          0.3034       -0.964818        1.262396
     1983.88834      1983.87534        543.3783          1.2666         13.6022          0.0025        -21.9968          0.3221        2.770805        1.267556
     1983.90917      1983.89617        544.1850          1.2717         13.6006          0.0025        -20.5121          0.3034        3.328318        1.272655
     1983.93001      1983.91701        538.6140          1.2756         13.6118          0.0026        -21.0640          0.3034       -0.836424        1.276563
     1983.95084      1983.93784        540.9854          1.2807         13.6070          0.0026        -23.0271          0.3034        2.634313        1.281731
     1983.97167      1983.95867        535.2080          1.2858         13.6187          0.0026        -22.0532          0.3034       -0.922606        1.286798
     1983.99251      1983.97951        532.8448          1.2915         13.6235          0.0026        -21.0177          0.3034       -2.545092        1.292492
     1984.01334      1984.00034        537.8541          1.2986         13.6133          0.0026        -24.7686          0.3034       -0.266794        1.299561
     1984.03417      1984.02117        536.4119          1.3058         13.6163          0.0026        -24.4363          0.2765       -0.174004        1.306799
     1984.05501      1984.04201        536.0873          1.3128         13.6169          0.0027        -23.7998          0.2641       -0.785120        1.313832
     1984.07584      1984.06284        537.4217          1.3197         13.6142          0.0027        -24.3754          0.2765        1.055261        1.320670
     1984.09667      1984.08367        540.7070          1.3270         13.6076          0.0027        -24.5560          0.2641       -0.621335        1.328032
     1984.11751      1984.10451        539.2339          1.3337         13.6106          0.0027        -25.8280          0.2641        0.509402        1.334709
     1984.13834      1984.12534        536.6145          1.3395         13.6158          0.0027        -26.6544         -0.0511        0.322143        1.340513
     1984.15917      1984.14617        536.9235          1.3437         13.6152          0.0027        -26.0816         -0.0511       -0.179306        1.344640
     1984.18001      1984.16701        539.1270          1.3467         13.6108          0.0027        -26.7167         -0.1386       -1.396188        1.347659
     1984.20084      1984.18784        537.4868          1.3492         13.6141          0.0027        -30.7390         -0.1740        1.635151        1.350189
     1984.22168      1984.20867        535.7551          1.3500         13.6176          0.0027        -29.1500         -0.1793       -0.664013        1.351008
     1984.24251      1984.22951        531.6543          1.3492         13.6259          0.0028        -30.5064         -0.1834        0.869408        1.350145
     1984.26334      1984.25034        532.8859          1.3481         13.6234          0.0027        -28.2540         -0.1793       -0.467331        1.349060
     1984.28418      1984.27117        529.5161          1.3459         13.6303          0.0028        -30.6175         -0.1793       -1.532799        1.346879
     1984.30501      1984.29201        534.9160          1.3431         13.6193          0.0027        -26.8511         -0.1834        1.819643        1.344054
     1984.32584      1984.31284        535.9558          1.3402         13.6172          0.0027        -25.0943         -0.1834       -0.051121        1.341233
     1984.34668      1984.33367        535.3138          1.3367         13.6185          0.0027        -26.5293         -0.1834        2.042631        1.337732
     1984.36751      1984.35451        534.5453          1.3343         13.6200          0.0027        -26.1737         -0.1793        1.264988        1.335289
     1984.38834      1984.37534        532.4782          1.3334         13.6242          0.0027        -25.9277         -0.1740       -1.232930        1.334387
     1984.40918      1984.39617        535.4408          1.3339         13.6182          0.0027        -26.4544         -0.1740        1.134926        1.334901
     1984.43001      1984.41701        530.7539          1.3353         13.6278          0.0027        -26.1481         -0.1740       -1.198322        1.336236
     1984.45084      1984.43784        532.7538          1.3369         13.6237          0.0027        -27.5026         -0.1740       -0.862465        1.337883
     1984.47168      1984.45867        531.3361          1.3391         13.6266          0.0027        -25.6952         -0.1793       -0.245700        1.340091
     1984.49251      1984.47951        532.0097          1.3415         13.6252          0.0027        -25.3247         -0.1740        0.276496        1.342484
     1984.51334      1984.50034        533.7932          1.3461         13.6216          0.0027        -27.8291         -0.1740       -2.398511        1.347069
     1984.53418      1984.52117        531.5107          1.3522         13.6262          0.0028        -26.6430         -0.1740       -0.138609        1.353198
     1984.55501      1984.54201        531.2482          1.3564         13.6268          0.0028        -27.2325         -0.1793        1.306405        1.357425
     1984.57584      1984.56284        531.0400          1.3623         13.6272          0.0028        -28.6105         -0.1793       -1.418938        1.363290
     1984.59668      1984.58367        530.8564          1.3693         13.6276          0.0028        -27.2966         -0.2457        0.640469        1.370298
     1984.61751      1984.60451        525.9859          1.3762         13.6376          0.0028        -30.2911         -0.1793       -2.531047        1.377178
     1984.63835      1984.62534        534.0140          1.3842         13.6211          0.0028        -29.6472         -0.2457        0.366839        1.385123
     1984.65918      1984.64617        529.4133          1.3915         13.6305          0.0029        -27.6110         -0.2457       -0.522306        1.392474
     1984.68001      1984.66701        528.3890          1.3979         13.6326          0.0029        -27.8864         -0.3738       -0.842721        1.398885
     1984.70085      1984.68784        532.9822          1.4030         13.6232          0.0029        -26.6034         -0.3738       -0.735584        1.403983
     1984.72168      1984.70867        528.0829          1.4074         13.6332          0.0029        -31.1188         -0.4673       -0.832363        1.408335
     1984.74251      1984.72951        530.9890          1.4116         13.6273          0.0029        -32.9035         -0.4673        1.261607        1.412593
     1984.76335      1984.75034        535.6306          1.4164         13.6178          0.0029        -34.4835         -0.5223        2.609861        1.417376
     1984.78418      1984.77117        529.5025          1.4213         13.6303          0.0029        -33.3403         -0.6177       -1.481698        1.422264
     1984.80501      1984.79201        526.6277          1.4256         13.6362          0.0029        -32.4783         -0.5223        0.014360        1.426518
     1984.82585      1984.81284        526.8980          1.4289         13.6357          0.0029        -34.0834         -0.5223        1.624693        1.429818
     1984.84668      1984.83367        529.2444          1.4311         13.6309          0.0029        -32.7799         -0.6177        0.765477        1.432070
     1984.86751      1984.85451        532.2611          1.4313         13.6247          0.0029        -33.8672         -0.6177        1.533130        1.432257
     1984.88835      1984.87534        533.5623          1.4297         13.6220          0.0029        -29.6158         -0.6177        0.927287        1.430654
     1984.90918      1984.89617        532.3735          1.4279         13.6245          0.0029        -33.2050         -0.6177        2.171766        1.428887
     1984.93002      1984.91701        529.3651          1.4252         13.6306          0.0029        -31.2977         -0.7356       -1.115595        1.426118
     1984.95085      1984.93784        528.7400          1.4212         13.6319          0.0029        -31.6299         -0.6177       -0.373777        1.422177
     1984.97168      1984.95867        531.5508          1.4184         13.6261          0.0029        -28.3046         -0.6177        0.531410        1.419389
     1984.99252      1984.97951        526.2039          1.4158         13.6371          0.0029        -26.6965         -0.7356       -3.241971        1.416763
     1985.01335      1985.00034        527.1519          1.4136         13.6352          0.0029        -26.2774         -0.7779       -1.156768        1.414529
     1985.03418      1985.02117        525.7095          1.4118         13.6381          0.0029        -24.5370         -0.7356       -0.973900        1.412805
     1985.05502      1985.04201        524.3241          1.4101         13.6410          0.0029        -29.3789         -0.7779       -1.362104        1.411036
     1985.07585      1985.06284        527.2004          1.4107         13.6351          0.0029        -26.8005         -0.7779       -0.617729        1.411685
     1985.09668      1985.08367        522.8711          1.4099         13.6440          0.0029        -23.8224         -0.7356        0.081323        1.410877
     1985.11752      1985.10451        523.2389          1.4080         13.6432          0.0029        -24.7181         -0.7779       -3.440266        1.408940
     1985.13835      1985.12534        522.9249          1.4062         13.6439          0.0029        -26.5277         -0.7779       -0.037286        1.407175
     1985.15918      1985.14617        520.9498          1.4038         13.6480          0.0029        -28.1569         -0.8266       -2.953482        1.404713
     1985.18002      1985.16701        520.0939          1.4022         13.6498          0.0029        -24.9845         -0.8266       -2.793231        1.403162
     1985.20085      1985.18784        525.4805          1.4002         13.6386          0.0029        -24.1381         -0.8266       -1.704526        1.401152
     1985.22168      1985.20867        523.2265          1.3966         13.6433          0.0029        -24.3976         -0.8324       -1.789600        1.397547
     1985.24252      1985.22951        525.0266          1.3931         13.6395          0.0029        -24.2521         -0.8266       -0.826575        1.394069
     1985.26335      1985.25034        517.0588          1.3878         13.6562          0.0029        -20.9967         -0.9739       -1.856271        1.388771
     1985.28419      1985.27117        519.5144          1.3802         13.6510          0.0029        -22.9118         -0.9904        1.675073        1.381203
