# reference_flux:         59.1518
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1983.65534      1983.64616         58.9748          0.7061         16.0133          0.0130         -2.2917         -0.6409        0.483206        0.706378
     1983.67617      1983.66700         57.8278          0.7364         16.0347          0.0138          3.5022         -0.6409       -1.003940        0.736744
     1983.69701      1983.68783         62.3629          0.7531         15.9527          0.0131          0.7491         -0.6409        0.854714        0.753355
     1983.71784      1983.70866         62.4483          0.7561         15.9512          0.0131          2.2825         -0.6409       -2.105163        0.756395
     1983.73867      1983.72950         57.8320          0.7668         16.0346          0.0144         -0.6142         -0.4770       -2.526863        0.767110
     1983.75951      1983.75033         57.1490          0.7783         16.0475          0.0148          0.8859         -0.4770       -3.207877        0.778584
     1983.78034      1983.77116         57.4999          0.7842         16.0408          0.0148         -0.5940         -0.6409       -1.746538        0.784567
     1983.80117      1983.79200         60.0137          0.7908         15.9944          0.0143         -1.2354         -0.6409       -0.305755        0.791123
     1983.82200      1983.81283         60.0000          0.7973         15.9946          0.0144         -1.7658         -0.6409       -1.109156        0.797613
     1983.84284      1983.83366         60.4806          0.8055         15.9860          0.0145         -0.9942         -0.6409       -0.476980        0.805830
     1983.86367      1983.85450         59.8432          0.8097         15.9975          0.0147         -7.2342         -0.6409       -0.640865        0.810057
     1983.88450      1983.87533         59.2982          0.8124         16.0074          0.0149         -4.4745         -0.6409       -1.058378        0.812721
     1983.90534      1983.89616         56.3460          0.8168         16.0628          0.0157         -2.2908         -0.6409       -3.789003        0.817183
     1983.92617      1983.91700         62.0254          0.8173         15.9586          0.0143         -6.7319         -0.5697        0.026606        0.817661
     1983.94700      1983.93783         62.2552          0.8291         15.9546          0.0145         -8.1983         -0.5697        1.718878        0.829441
     1983.96783      1983.95866         64.0886          0.8337         15.9230          0.0141         -9.5755         -0.5697        0.417891        0.834078
     1983.98867      1983.97950         60.0807          0.8300         15.9932          0.0150         -1.4529         -0.5697       -0.466292        0.830321
     1984.00950      1984.00033         59.7528          0.8408         15.9991          0.0153         -4.9678         -0.5697       -0.068854        0.841156
     1984.03033      1984.02116         60.6521          0.8418         15.9829          0.0151         -8.6068         -0.5654        0.288681        0.842108
     1984.05117      1984.04200         60.9980          0.8426         15.9767          0.0150         -3.6855         -0.4770       -1.701659        0.842995
     1984.07200      1984.06283         60.6008          0.8488         15.9838          0.0152         -2.8704         -0.4770       -1.019269        0.849185
     1984.09283      1984.08366         59.2811          0.8512         16.0077          0.0156         -8.2090         -0.4663        1.750762        0.851598
     1984.11367      1984.10450         57.6230          0.8649         16.0385          0.0163         -9.3221         -0.4663       -0.938373        0.865269
     1984.13450      1984.12533         59.4507          0.8640         16.0046          0.0158         -8.5182         -0.3771        0.200286        0.864373
     1984.15533      1984.14616         58.6982          0.8645         16.0184          0.0160         -6.7758         -0.3771       -0.335743        0.864887
     1984.17616      1984.16700         59.2415          0.8624         16.0084          0.0158         -3.8765         -0.4663       -1.417674        0.862794
     1984.19700      1984.18783         63.4016          0.8575         15.9347          0.0147         -3.7701         -0.3771        0.640255        0.857896
     1984.21783      1984.20866         59.3724          0.8585         16.0060          0.0157         -5.1427         -0.3771       -0.038270        0.858817
     1984.23866      1984.22950         61.7241          0.8635         15.9639          0.0152         -9.6912         -0.3357       -1.114456        0.863890
     1984.25950      1984.25033         58.9758          0.8606         16.0133          0.0158         -5.9765         -0.3058       -1.562189        0.860981
     1984.28033      1984.27116         59.1441          0.8529         16.0102          0.0157         -5.7275         -0.2400       -1.847459        0.853258
     1984.30116      1984.29200         58.3334          0.8593         16.0252          0.0160         -9.0886         -0.2394       -0.377144        0.859656
     1984.32199      1984.31283         60.3033          0.8533         15.9891          0.0154        -10.1350         -0.2132       -0.565386        0.853610
     1984.34283      1984.33366         60.6658          0.8547         15.9826          0.0153        -11.1949         -0.2078       -0.207754        0.855024
     1984.36366      1984.35450         60.6199          0.8587         15.9835          0.0154         -9.3223         -0.1990        1.166248        0.859083
     1984.38449      1984.37533         59.3752          0.8551         16.0060          0.0156         -8.1373         -0.1990       -0.569665        0.855429
     1984.40533      1984.39616         61.6449          0.8569         15.9653          0.0151         -9.9511         -0.1990       -0.239355        0.857277
     1984.42616      1984.41700         58.6324          0.8568         16.0197          0.0159        -10.5750         -0.1990       -1.562362        0.857142
     1984.44699      1984.43783         58.8834          0.8615         16.0150          0.0159        -11.9294         -0.1990       -0.181120        0.861890
     1984.46782      1984.45866         61.5284          0.8627         15.9673          0.0152        -11.2789         -0.2078       -0.997534        0.863076
     1984.48866      1984.47950         60.1806          0.8623         15.9914          0.0156        -12.0501         -0.2132       -0.098156        0.862643
     1984.50949      1984.50033         59.9248          0.8625         15.9960          0.0156         -9.9569         -0.2132        0.324796        0.862910
     1984.53032      1984.52116         60.0845          0.8655         15.9931          0.0156        -12.1320         -0.2394        0.539279        0.865892
     1984.55116      1984.54200         60.8317          0.8677         15.9797          0.0155        -12.1438         -0.2394       -0.916555        0.868104
     1984.57199      1984.56283         61.9723          0.8785         15.9595          0.0154        -14.0041         -0.2394        0.325051        0.878829
     1984.59282      1984.58366         62.2631          0.8817         15.9544          0.0154        -13.4360         -0.2394       -0.240043        0.882038
     1984.61366      1984.60450         59.6136          0.8889         16.0016          0.0162        -12.8279         -0.2400       -0.198496        0.889269
     1984.63449      1984.62533         59.9699          0.8966         15.9952          0.0162        -18.3774         -0.2400        0.939650        0.896933
     1984.65532      1984.64616         58.6683          0.8974         16.0190          0.0166         -9.9379         -0.2400       -0.599926        0.897827
     1984.67615      1984.66699         57.6622          0.9035         16.0378          0.0170        -16.1165         -0.2400        0.118478        0.903840
     1984.69699      1984.68783         59.1683          0.9127         16.0098          0.0167        -18.2547         -0.2400        0.243860        0.913076
     1984.71782      1984.70866         59.2898          0.9141         16.0075          0.0167        -18.9495         -0.3030        0.158516        0.914476
     1984.73865      1984.72949         57.6450          0.9164         16.0381          0.0173        -20.1051         -0.3030       -0.213171        0.916761
     1984.75949      1984.75033         61.5051          0.9136         15.9677          0.0161        -23.7566         -0.3030        0.039993        0.913988
     1984.78032      1984.77116         58.6056          0.9199         16.0202          0.0170        -20.2078         -0.2400       -0.198981        0.920293
     1984.80115      1984.79199         59.6589          0.9169         16.0008          0.0167        -17.5585         -0.2394        0.341212        0.917253
     1984.82198      1984.81283         60.9415          0.9257         15.9777          0.0165        -19.8432         -0.2132        0.909078        0.926044
