# reference_flux: -1952946621714328320.0000
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2010.28444      2010.27114          4.7443          1.0370         18.7496          0.2373        -17.2596         -2.0302       -0.827866        1.036973
     2010.30528      2010.29198          5.0552          1.0389         18.6806          0.2231        -16.1547         -2.0302       -0.270751        1.038916
     2010.32611      2010.31281          4.9868          1.0418         18.6954          0.2268        -15.7892         -2.0302        0.691242        1.041784
     2010.34694      2010.33364          7.5477          1.0450         18.2455          0.1503        -17.3538         -2.0705        1.130727        1.045049
     2010.36778      2010.35448          9.3325          1.0477         18.0150          0.1219        -16.0559         -2.0302       -1.081745        1.047683
     2010.38861      2010.37531          5.3039          1.0520         18.6285          0.2153        -17.2304         -1.8754       -4.267485        1.051968
     2010.40944      2010.39614          4.4489          1.0594         18.8194          0.2585        -16.4539         -1.8754       -0.368490        1.059365
     2010.43028      2010.41698          3.5515          1.0673         19.0640          0.3263        -21.2971         -1.8659       -2.640073        1.067265
     2010.45111      2010.43781          4.5058          1.0769         18.8056          0.2595        -16.6889         -1.8659       -1.520961        1.076937
     2010.47194      2010.45864          2.4454          1.0876         19.1560         99.9000        -19.1133         -1.8659       -2.070543        1.087583
     2010.49278      2010.47948          4.4672          1.1009         18.8149          0.2676        -18.0335         -1.8283       -2.835797        1.100869
     2010.51361      2010.50031          4.8555          1.1113         18.7244          0.2485        -19.0871         -1.8659       -0.562022        1.111304
     2010.53444      2010.52114          3.7130          1.1228         19.0157          0.3283        -17.6264         -1.8283       -2.526497        1.122806
     2010.55528      2010.54198          8.2367          1.1341         18.1506          0.1495        -19.6285         -1.8283       -1.147273        1.134108
     2010.57611      2010.56281          4.8115          1.1436         18.7343          0.2581        -18.9598         -1.8283       -2.219695        1.143606
     2010.59694      2010.58364          4.9669          1.1519         18.6998          0.2518        -19.0946         -1.7716       -2.396142        1.151896
     2010.61778      2010.60448          4.0713          1.1591         18.9157          0.3091        -19.9909         -1.7716       -1.865904        1.159091
     2010.63861      2010.62531          3.5135          1.1645         19.0757          0.3599        -17.9350         -1.7716       -1.875413        1.164498
     2010.65944      2010.64614          1.8887          1.1683         19.0783         99.9000        -17.8444         -1.7716       -2.868077        1.168340
     2010.68028      2010.66698          2.7958          1.1718         19.0751         99.9000        -16.5407         -1.7469       -2.942205        1.171787
     2010.70111      2010.68781          7.3298          1.1743         18.2773          0.1739        -16.6157         -1.7469       -2.451475        1.174270
     2010.72194      2010.70864          8.9709          1.1775         18.0579          0.1425        -16.6371         -1.7469       -2.030181        1.177536
     2010.74278      2010.72948          9.5563          1.1825         17.9893          0.1344        -16.4446         -1.7469       -1.771638        1.182526
     2010.76361      2010.75031          7.6029          1.1882         18.2375          0.1697        -16.6318         -1.7469       -2.278999        1.188158
     2010.78444      2010.77114          6.8640          1.1948         18.3486          0.1890        -16.0034         -1.7469       -2.882904        1.194830
     2010.80528      2010.79198          7.3017          1.2030         18.2814          0.1789        -11.8603         -1.7469       -3.506384        1.202963
     2010.82611      2010.81281          2.5601          1.2111         19.0393         99.9000        -11.5869         -1.7469       -3.066416        1.211059
     2010.84694      2010.83364          7.2555          1.2184         18.2883          0.1823        -11.3732         -1.7469       -0.935426        1.218406
     2010.86778      2010.85448          8.7873          1.2238         18.0804          0.1512        -10.5091         -1.7469       -1.438473        1.223769
     2010.88861      2010.87531          4.6856          1.2272         18.7631          0.2844         -6.4275         -1.7469       -0.854372        1.227245
     2010.90945      2010.89614         11.2689          1.2300         17.8103          0.1185         -7.0899         -1.6926       -0.700836        1.230049
