# reference_flux:        169.5025
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2010.28507      2010.27114        171.1146          0.9162         14.8568          0.0058        -11.9892          1.3623       -0.955264        0.916245
     2010.30590      2010.29198        170.2003          0.9187         14.8626          0.0059         -8.9735          1.3623       -1.191839        0.918717
     2010.32674      2010.31281        169.3630          0.9171         14.8680          0.0059         -8.1188          1.3623       -0.787947        0.917130
     2010.34757      2010.33364        169.1572          0.9218         14.8693          0.0059         -8.6709          1.3623       -1.151489        0.921837
     2010.36840      2010.35448        171.3909          0.9242         14.8550          0.0059          1.6379          1.3623        1.082275        0.924229
     2010.38924      2010.37531        169.2556          0.9276         14.8686          0.0060         -9.6301          1.3623       -0.656198        0.927632
     2010.41007      2010.39614        168.7776          0.9420         14.8717          0.0061        -11.6666          1.3623       -2.424392        0.942005
     2010.43090      2010.41698        172.6474          0.9438         14.8471          0.0059        -12.6065          1.3623        1.362252        0.943762
     2010.45174      2010.43781        171.1415          0.9594         14.8566          0.0061        -11.7456          1.3623       -0.389212        0.959441
     2010.47257      2010.45864        171.0621          1.0259         14.8571          0.0065        -15.5562          1.3623        1.574656        1.025902
     2010.49340      2010.47948        173.3977          1.0379         14.8424          0.0065        -17.7130          1.3623        1.867887        1.037892
     2010.51424      2010.50031        171.8405          1.0493         14.8522          0.0066        -15.5259          1.3623       -0.951743        1.049349
     2010.53507      2010.52114        174.0902          1.0633         14.8381          0.0066        -18.6732          1.3623        1.390408        1.063267
     2010.55590      2010.54198        174.1389          1.0651         14.8378          0.0066        -15.5778          1.3904        1.087827        1.065148
     2010.57673      2010.56281        171.3507          1.0433         14.8553          0.0066        -14.9076          1.3623        1.862552        1.043311
     2010.59757      2010.58364        175.2675          1.0781         14.8307          0.0067        -16.3767          1.3623        2.193099        1.078093
     2010.61840      2010.60448        175.3412          1.0788         14.8303          0.0067        -23.3957          1.3623        2.992534        1.078847
     2010.63923      2010.62531        173.7085          1.0859         14.8404          0.0068        -19.9397          1.3623        3.347690        1.085898
     2010.66007      2010.64614        173.1346          1.0747         14.8440          0.0067         -9.9740          1.3904        3.582088        1.074738
     2010.68090      2010.66698        171.4970          1.0845         14.8544          0.0069         -8.6887          1.5747       -0.640477        1.084470
     2010.70173      2010.68781        173.6834          1.0807         14.8406          0.0068         -7.2462          1.7779        4.404852        1.080740
     2010.72257      2010.70864        173.8032          1.0806         14.8399          0.0068         -8.4487          1.7779        2.528415        1.080638
     2010.74340      2010.72948        173.1783          1.0847         14.8438          0.0068        -10.2288          1.7779        2.698973        1.084666
     2010.76423      2010.75031        173.3164          1.0832         14.8429          0.0068        -10.0068          1.7779        1.783645        1.083196
     2010.78507      2010.77114        174.7478          1.0794         14.8340          0.0067        -10.2174          1.7792        5.017851        1.079436
     2010.80590      2010.79198        171.6732          1.0870         14.8532          0.0069         -9.7414          1.7836        0.806533        1.087014
     2010.82673      2010.81281        170.1538          1.0925         14.8629          0.0070        -10.3363          1.8165        3.191333        1.092538
     2010.84757      2010.83364        171.0986          1.0917         14.8569          0.0069        -10.4133          1.8626        3.640900        1.091656
     2010.86840      2010.85448        173.4933          1.0895         14.8418          0.0068        -11.2576          1.8626        1.816481        1.089458
     2010.88923      2010.87531        175.1842          1.0906         14.8313          0.0068         -8.8479          1.8626        1.965779        1.090619
     2010.91007      2010.89614        174.2023          1.0841         14.8374          0.0068         -8.2215          1.8679        3.149524        1.084079
     2010.93090      2010.91698        173.9017          1.0814         14.8392          0.0068         -8.9637          1.9288        2.356599        1.081353
     2010.95173      2010.93781        173.2314          1.0765         14.8434          0.0067        -10.1645          1.9288        2.781061        1.076488
     2010.97257      2010.95864        171.7990          1.0678         14.8524          0.0067         -7.9636          1.9288        1.167897        1.067782
     2010.99340      2010.97948        170.1044          1.0571         14.8632          0.0067         -8.9009          1.9448        1.779152        1.057140
     2011.01423      2011.00031        171.0538          1.0547         14.8572          0.0067         -5.9779          1.9658        3.733183        1.054683
     2011.03507      2011.02114        172.0095          1.0495         14.8511          0.0066        -12.2388          1.9658        2.229919        1.049550
     2011.05590      2011.04198        171.3599          1.0495         14.8552          0.0066         -8.6340          2.0446        0.903207        1.049497
     2011.07673      2011.06281        173.7651          1.0478         14.8401          0.0065         -8.2858          2.0446        1.928845        1.047834
     2011.09757      2011.08364        171.2070          1.0369         14.8562          0.0066        -11.6860          2.1931        1.176642        1.036945
     2011.11840      2011.10448        170.1357          1.0406         14.8630          0.0066         -7.5850          2.0446        0.649986        1.040600
     2011.13923      2011.12531        173.0603          1.0373         14.8445          0.0065        -12.5412          2.0446        1.777945        1.037277
     2011.16007      2011.14614        171.5461          1.0434         14.8540          0.0066          0.0555          2.0446        2.355505        1.043384
     2011.18090      2011.16698        174.2610          1.0415         14.8370          0.0065        -11.3639          1.9658        3.473930        1.041506
     2011.20173      2011.18781        173.2769          1.0414         14.8431          0.0065        -11.4081          1.9658        1.274551        1.041427
     2011.22257      2011.20864        167.5486          1.0385         14.8796          0.0067        -11.4031          1.9448        0.897030        1.038454
     2011.24340      2011.22948        171.8217          1.0279         14.8523          0.0065        -11.1706          1.9288        1.662629        1.027865
     2011.26423      2011.25031        172.1138          1.0283         14.8505          0.0065        -11.8951          1.8777        2.044631        1.028273
     2011.28507      2011.27114        172.4325          1.0261         14.8485          0.0065         -8.7156          1.9288        2.669204        1.026140
     2011.30590      2011.29198        173.9422          1.0272         14.8390          0.0064        -10.0236          1.9288        2.226284        1.027171
     2011.32673      2011.31281        176.9438          1.0247         14.8204          0.0063        -10.0206          1.9288        3.420824        1.024733
     2011.34757      2011.33364        171.0566          1.0207         14.8572          0.0065         -9.3832          1.8777        0.165925        1.020671
     2011.36840      2011.35448        171.0826          1.0153         14.8570          0.0064        -11.6511          1.8165       -0.210783        1.015277
     2011.38923      2011.37531        173.3326          1.0149         14.8428          0.0064        -10.9847          1.7916        2.395893        1.014907
     2011.41007      2011.39614        174.5311          1.0119         14.8353          0.0063         -9.0808          1.7792        3.259114        1.011914
     2011.43090      2011.41698        171.8607          1.0226         14.8521          0.0065         -8.5093          1.7779        1.741111        1.022646
     2011.45173      2011.43781        173.4370          1.0161         14.8421          0.0064         -9.9154          1.7732        1.791647        1.016070
     2011.47257      2011.45864        174.4495          1.0199         14.8358          0.0063        -10.0744          1.7438        1.944819        1.019926
     2011.49340      2011.47948        173.7352          1.0325         14.8403          0.0065         -8.6222          1.7438        2.814799        1.032471
     2011.51423      2011.50031        171.5357          1.0508         14.8541          0.0067         -4.0089          1.7438        0.489618        1.050849
     2011.53506      2011.52114        171.0517          1.0619         14.8572          0.0067        -16.3724          1.7438        3.197128        1.061944
     2011.55590      2011.54198        171.1144          1.0828         14.8568          0.0069        -13.5888          1.7411        1.236060        1.082826
     2011.57673      2011.56281        172.2346          1.0907         14.8497          0.0069        -15.7970          1.7411        2.259262        1.090728
     2011.59756      2011.58364        170.7056          1.1077         14.8594          0.0070         -0.6924          1.7127        1.877681        1.107680
     2011.61840      2011.60448        171.5350          1.1146         14.8541          0.0071          2.3206          1.7411        4.375892        1.114580
     2011.63923      2011.62531        170.6077          1.1211         14.8600          0.0071         -1.2264          1.7411        2.293628        1.121054
     2011.66006      2011.64614        172.4836          1.1236         14.8481          0.0071        -15.7515          1.7411        1.035121        1.123603
     2011.68090      2011.66698        173.5621          1.1260         14.8414          0.0070        -12.7671          1.7127        1.712705        1.125968
     2011.70173      2011.68781        171.2519          1.1312         14.8559          0.0072        -14.1962          1.7127        1.743773        1.131175
     2011.72256      2011.70864        169.5648          1.1347         14.8667          0.0073        -16.2302          1.7127        0.896205        1.134650
     2011.74340      2011.72948        173.0847          1.1319         14.8444          0.0071        -17.0058          1.7127        0.520188        1.131861
     2011.76423      2011.75031        171.8142          1.1423         14.8524          0.0072        -16.2568          1.7411        2.382799        1.142344
     2011.78506      2011.77114        172.9702          1.1426         14.8451          0.0072        -19.2450          1.7411        2.354823        1.142557
     2011.80590      2011.79198        172.8962          1.1491         14.8455          0.0072        -20.3044          1.7127        1.773156        1.149132
     2011.82673      2011.81281        171.1529          1.1490         14.8565          0.0073        -18.5812          1.6441        0.274721        1.149038
     2011.84756      2011.83364        172.8918          1.1539         14.8456          0.0072        -16.0111          1.3150        1.315002        1.153948
     2011.86840      2011.85448        170.9934          1.0772         14.8576          0.0068        -19.8468          1.6441       -0.896555        1.077181
     2011.88923      2011.87531        173.1241          1.0633         14.8441          0.0067        -20.0830          1.7127        0.851576        1.063338
     2011.91006      2011.89614        173.8642          1.0642         14.8395          0.0066        -19.8632          1.6441        0.278627        1.064176
     2011.93090      2011.91698        173.7501          1.0562         14.8402          0.0066        -17.0582          1.3150       -0.341742        1.056242
     2011.95173      2011.93781        175.0098          1.0879         14.8323          0.0067        -16.9248          1.3150        1.644069        1.087901
     2011.97256      2011.95864        172.3302          1.0780         14.8491          0.0068        -17.8595          1.2956        0.623698        1.078024
     2011.99340      2011.97948        172.6968          1.1482         14.8468          0.0072          3.8678          1.2956        1.982615        1.148220
     2012.01423      2012.00031        171.0343          1.1501         14.8573          0.0073        -14.2412          1.2956        1.830073        1.150118
     2012.03506      2012.02114        173.9515          1.1507         14.8389          0.0072        -17.6363          1.3150        0.537926        1.150742
