# reference_flux:         -6.4011
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2010.28557      2010.27114         -7.0376          1.0069         19.2398         99.9000        -11.2992         -3.4044       -3.910034        1.006854
     2010.30640      2010.29198         -8.0789          1.0250         19.2204         99.9000        -12.1021         -3.4044       -3.565424        1.025023
     2010.32723      2010.31281         -4.5816          1.0405         19.2041         99.9000        -10.5081         -3.3406       -1.817363        1.040451
     2010.34807      2010.33364         -4.3430          1.0205         19.2251         99.9000        -11.7367         -3.3406       -2.267775        1.020522
     2010.36890      2010.35448         -3.2447          1.0347         19.2101         99.9000        -12.7048         -3.3406       -3.467912        1.034718
     2010.38973      2010.37531         -1.7828          1.0310         19.2140         99.9000        -13.8438         -3.3406       -2.145708        1.031012
     2010.41057      2010.39614         -7.2947          1.0576         19.1864         99.9000         -9.6625         -3.3406       -3.234395        1.057611
     2010.43140      2010.41698         -4.9737          1.0470         19.1973         99.9000        -10.1140         -3.3406       -2.188803        1.047032
     2010.45223      2010.43781         -5.3065          1.0555         19.1885         99.9000         -8.7574         -3.3406       -3.437703        1.055528
     2010.47307      2010.45864         -1.7280          1.0683         19.1754         99.9000        -14.4557         -3.3406       -1.271212        1.068322
     2010.49390      2010.47948         -2.2315          1.0718         19.1719         99.9000        -11.1489         -3.3406       -3.340577        1.071798
     2010.51473      2010.50031         -2.5083          1.2021         19.0473         99.9000        -16.7554         -3.3406       -0.910169        1.202127
     2010.53556      2010.52114         -1.6348          1.2332         19.0196         99.9000        -18.8968         -3.3406       -3.531466        1.233245
     2010.55640      2010.54198         -4.4845          1.2574         18.9985         99.9000        -19.3292         -3.3406       -3.404371        1.257436
     2010.57723      2010.56281         -2.0041          1.2723         18.9857         99.9000        -17.1977         -3.3473       -1.997613        1.272281
     2010.59806      2010.58364         -4.6008          1.1154         19.1286         99.9000         -9.6964         -3.4044       -3.417928        1.115391
     2010.61890      2010.60448         -6.6667          1.2824         18.9771         99.9000        -17.4284         -3.3473       -3.987221        1.282434
     2010.63973      2010.62531         -4.8758          1.2744         18.9840         99.9000        -19.5175         -3.4044       -2.081589        1.274362
     2010.66057      2010.64614         -6.7714          1.2714         18.9865         99.9000        -19.5903         -3.4179       -4.220358        1.271361
     2010.68140      2010.66698         -7.7068          1.2619         18.9946         99.9000        -16.5470         -3.4377       -2.805620        1.261890
     2010.70223      2010.68781         -4.5719          1.2521         19.0031         99.9000        -17.3776         -3.4377       -1.086647        1.252135
     2010.72307      2010.70864         -6.8499          1.2318         19.0208         99.9000        -19.2019         -3.4377       -4.666008        1.231843
     2010.74390      2010.72948         -7.8885          1.2258         19.0261         99.9000        -19.5201         -3.4377       -5.699542        1.225832
     2010.76473      2010.75031         -4.6672          1.2006         19.0487         99.9000        -18.6655         -3.4377       -3.688500        1.200603
     2010.78557      2010.77114         -6.7239          1.1926         19.0559         99.9000        -19.5421         -3.4179       -4.403172        1.192624
     2010.80640      2010.79198         -2.3130          1.1904         19.0580         99.9000        -21.8575         -3.4179       -1.383029        1.190404
     2010.82723      2010.81281         -6.8606          1.1783         19.0691         99.9000        -20.5421         -3.4044       -4.093145        1.178300
     2010.84807      2010.83364         -5.5537          1.1404         19.1046         99.9000        -13.9994         -3.4044       -3.111639        1.140390
     2010.86890      2010.85448         -4.8286          1.1487         19.0967         99.9000         -9.9508         -3.4044       -1.684807        1.148722
     2010.88973      2010.87531         -8.3585          1.1554         19.0903         99.9000        -12.4742         -3.3473       -4.389304        1.155449
     2010.91057      2010.89614         -3.4082          1.2087         19.0414         99.9000        -18.7926         -3.4044       -2.491402        1.208676
     2010.93140      2010.91698         -4.0535          1.1981         19.0510         99.9000        -20.4264         -3.4044       -1.606210        1.198072
     2010.95223      2010.93781         -5.9451          1.2037         19.0459         99.9000        -20.0036         -3.4044       -4.220562        1.203675
     2010.97307      2010.95864         -5.2301          1.1165         19.1276         99.9000         -4.5528         -3.3473       -1.934537        1.116451
     2010.99390      2010.97948         -6.9948          1.1199         19.1242         99.9000        -10.6838         -3.4044       -4.916367        1.119912
