# reference_flux:        158.7555
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2010.28395      2010.27116        157.3739          0.8991         14.9477          0.0062          9.7903         -1.9399       -0.789891        0.899097
     2010.30479      2010.29199        159.5589          0.9015         14.9327          0.0061         10.2687         -1.9399        0.300262        0.901512
     2010.32562      2010.31283        159.8009          0.9035         14.9311          0.0061         10.1659         -1.9399        0.612490        0.903499
     2010.34645      2010.33366        156.0391          0.9041         14.9569          0.0063          9.3451         -1.4811       -1.939886        0.904106
     2010.36728      2010.35449        157.7403          0.9022         14.9451          0.0062         10.2961         -1.4811       -0.230501        0.902166
     2010.38812      2010.37533        158.2930          0.9089         14.9413          0.0062          8.7630         -1.4811       -0.754893        0.908887
     2010.40895      2010.39616        159.7338          0.9167         14.9315          0.0062          9.7729         -1.4811       -0.488187        0.916691
     2010.42978      2010.41699        157.5081          0.9422         14.9467          0.0065         10.9975         -1.4811       -0.921441        0.942198
     2010.45062      2010.43783        157.0347          0.9358         14.9500          0.0065          9.8793         -1.4811        0.015665        0.935764
     2010.47145      2010.45866        158.0266          0.9709         14.9432          0.0067         12.9890         -1.4811        0.826014        0.970876
     2010.49228      2010.47949        159.6659          0.9870         14.9320          0.0067         12.8572         -1.4811        0.757055        0.987036
     2010.51312      2010.50033        155.4688          0.9992         14.9609          0.0070         15.1239         -1.4811       -0.984323        0.999159
     2010.53395      2010.52116        154.6838          1.0135         14.9664          0.0071         12.5506         -1.4811       -2.142602        1.013482
     2010.55478      2010.54199        156.1193          1.0292         14.9564          0.0072         11.3507         -1.4811       -3.874758        1.029172
     2010.57562      2010.56283        152.2449          1.0354         14.9836          0.0074         13.2800         -1.4811       -3.814765        1.035394
     2010.59645      2010.58366        153.7167          1.0464         14.9732          0.0074         31.9683         -1.6060       -3.371301        1.046360
     2010.61728      2010.60449        154.1394          1.0532         14.9702          0.0074          9.8014         -1.6060       -1.481057        1.053197
     2010.63811      2010.62533        153.8515          1.0545         14.9722          0.0074         14.4345         -1.9399       -2.537543        1.054496
     2010.65895      2010.64616        151.2702          1.0544         14.9906          0.0076         35.3486         -1.9399       -4.239858        1.054425
     2010.67978      2010.66699        153.6471          1.0541         14.9737          0.0074         34.6522         -2.1426       -3.282999        1.054116
     2010.70061      2010.68783        155.5874          1.0526         14.9601          0.0073         12.3556         -2.1540       -2.423481        1.052605
     2010.72145      2010.70866        158.6242          1.0510         14.9391          0.0072          9.4709         -2.1540       -3.477220        1.050999
     2010.74228      2010.72949        155.9078          1.0337         14.9578          0.0072          7.8054         -2.1565       -2.580933        1.033703
     2010.76311      2010.75033        151.8760          1.0352         14.9863          0.0074         11.6082         -2.3491       -4.373333        1.035159
     2010.78395      2010.77116        157.4948          1.0380         14.9468          0.0072         12.7760         -2.4235       -3.113006        1.038031
     2010.80478      2010.79199        155.4152          1.0372         14.9613          0.0072          8.4059         -2.4235       -2.765328        1.037227
     2010.82561      2010.81283        157.8336          1.0380         14.9445          0.0071          9.1710         -2.5248       -0.859642        1.038030
