# reference_flux:         34.4187
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2010.28077      2010.27115         33.2460          0.8600         16.6357          0.0281        -14.8325         -0.5891        0.457323        0.859962
     2010.30161      2010.29198         31.6578          0.8463         16.6888          0.0290        -13.7983         -0.4847        0.987878        0.846348
     2010.32244      2010.31282         33.3267          0.8366         16.6330          0.0273        -13.8694         -0.4847       -0.827619        0.836625
     2010.34327      2010.33365         30.2071          0.8726         16.7397          0.0314        -14.9843         -0.4847       -1.376405        0.872642
     2010.36411      2010.35448         31.0588          0.8489         16.7095          0.0297        -12.5493         -0.4847       -0.290040        0.848890
     2010.38494      2010.37532         32.7862          0.8437         16.6508          0.0279        -14.0973         -0.4315        0.168524        0.843710
     2010.40577      2010.39615         33.0555          0.8804         16.6419          0.0289        -14.2220         -0.4315        0.727645        0.880367
     2010.42661      2010.41698         30.3253          0.8934         16.7355          0.0320        -13.7571         -0.4315        0.811310        0.893381
     2010.44744      2010.43782         29.2919          0.8722         16.7731          0.0323        -14.3072         -0.4847       -0.096974        0.872215
     2010.46827      2010.45865         32.3463          0.8618         16.6654          0.0289        -13.4599         -0.4847        0.255339        0.861815
     2010.48910      2010.47948         33.2481          0.8861         16.6356          0.0289        -16.9882         -0.5891        0.680396        0.886100
     2010.50994      2010.50032         29.2052          0.8884         16.7763          0.0330        -16.9778         -0.5891       -2.324599        0.888353
     2010.53077      2010.52115         27.7858          0.8935         16.8304          0.0349        -18.2027         -0.5891       -2.357717        0.893505
     2010.55160      2010.54198         32.7210          0.8966         16.6529          0.0298        -17.8170         -0.4847       -0.431461        0.896648
     2010.57244      2010.56282         31.0168          0.9014         16.7110          0.0316        -19.2888         -0.5891        0.028218        0.901420
     2010.59327      2010.58365         29.0254          0.8930         16.7831          0.0334        -19.4207         -0.6449       -0.589063        0.893047
     2010.61410      2010.60448         31.2340          0.8892         16.7034          0.0309        -18.0557         -0.6449       -0.368733        0.889188
     2010.63494      2010.62532         30.2479          0.9039         16.7383          0.0324        -16.7387         -0.6449       -1.425199        0.903870
     2010.65577      2010.64615         29.8894          0.8905         16.7512          0.0323        -17.3775         -0.6449       -1.045952        0.890468
     2010.67660      2010.66698         28.7886          0.9065         16.7919          0.0342        -17.2505         -0.6449       -1.482275        0.906522
     2010.69743      2010.68782         29.9693          0.8976         16.7483          0.0325        -17.5845         -0.7363       -1.501201        0.897627
     2010.71827      2010.70865         31.1191          0.8909         16.7074          0.0311        -15.7359         -0.7363       -1.474726        0.890854
     2010.73910      2010.72948         27.9636          0.8786         16.8235          0.0341        -13.9125         -0.7363       -1.508507        0.878634
     2010.75993      2010.75032         32.4904          0.8816         16.6606          0.0295        -17.0750         -0.7363       -1.315865        0.881591
     2010.78077      2010.77115         31.5599          0.8780         16.6922          0.0302        -16.1165         -0.7955       -0.484716        0.878014
     2010.80160      2010.79198         28.6246          0.8770         16.7982          0.0333        -16.7746         -0.8276       -2.218858        0.876986
     2010.82243      2010.81282         29.4239          0.8876         16.7682          0.0328        -13.6808         -0.8276       -1.842276        0.887582
     2010.84326      2010.83365         27.5682          0.9086         16.8390          0.0358        -15.5867         -0.8516       -2.564472        0.908625
     2010.86410      2010.85448         31.8699          0.9085         16.6815          0.0310        -16.9087         -0.7955        0.224908        0.908489
     2010.88493      2010.87532         26.8251          0.8939         16.8686          0.0362        -13.5182         -0.7955       -2.408934        0.893923
     2010.90576      2010.89615         31.0142          0.8948         16.7111          0.0313        -18.6002         -0.7955       -0.644889        0.894774
     2010.92660      2010.91698         30.9854          0.8843         16.7121          0.0310        -15.9360         -0.7955       -1.523796        0.884318
     2010.94743      2010.93782         31.1191          0.8815         16.7074          0.0308        -16.5628         -0.8516       -0.736347        0.881480
     2010.96826      2010.95865         31.7277          0.8899         16.6864          0.0305        -13.9201         -0.9105       -1.476188        0.889938
     2010.98910      2010.97948         31.1898          0.8931         16.7050          0.0311        -14.3895         -0.9105       -0.354539        0.893101
     2011.00993      2011.00032         30.4958          0.8782         16.7294          0.0313        -13.6024         -1.0097       -1.458913        0.878173
     2011.03076      2011.02115         29.0374          0.8643         16.7826          0.0323        -13.0639         -0.9105       -0.472047        0.864269
     2011.05159      2011.04198         32.8587          0.8631         16.6484          0.0285        -14.7491         -0.9105       -1.176526        0.863142
     2011.07243      2011.06282         32.2549          0.8354         16.6685          0.0281        -13.4407         -0.9105       -1.857378        0.835423
     2011.09326      2011.08365         32.8396          0.8173         16.6490          0.0270        -13.0878         -1.0097       -0.122905        0.817344
     2011.11409      2011.10448         31.9664          0.8207         16.6783          0.0279        -11.4958         -1.0460       -0.384122        0.820662
     2011.13493      2011.12532         33.7223          0.8096         16.6202          0.0261        -11.7935         -1.0738        0.066451        0.809645
     2011.15576      2011.14615         31.7071          0.8311         16.6871          0.0285        -11.9593         -1.0460       -0.522311        0.831095
     2011.17659      2011.16698         33.0334          0.8459         16.6426          0.0278        -12.5530         -1.0097       -0.851575        0.845862
     2011.19743      2011.18782         31.7027          0.8466         16.6873          0.0290        -12.0918         -1.0097       -1.126408        0.846628
     2011.21826      2011.20865         33.5299          0.8279         16.6264          0.0268        -11.1709         -1.0097       -1.146680        0.827878
     2011.23909      2011.22948         33.8868          0.8173         16.6149          0.0262        -10.1052         -0.9105        0.383002        0.817314
     2011.25993      2011.25032         30.7930          0.8390         16.7189          0.0296         -9.9856         -0.9105       -0.795478        0.839012
     2011.28076      2011.27115         31.5303          0.8329         16.6932          0.0287        -11.1074         -0.8908       -1.460496        0.832943
