# reference_flux:        165.2493
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2010.27902      2010.27115        162.0266          0.9574         14.9160          0.0064          4.8524          1.3841       -0.428828        0.957420
     2010.29986      2010.29199        163.1357          0.9435         14.9086          0.0063          4.7479          1.3841        0.025894        0.943481
     2010.32069      2010.31282        160.9430          0.9469         14.9233          0.0064          5.0340          1.3841       -0.194018        0.946891
     2010.34152      2010.33365        163.0231          0.9506         14.9094          0.0063          3.0415          1.3841        1.384083        0.950619
     2010.36235      2010.35449        166.6111          0.9570         14.8857          0.0062          2.7537          1.3841        0.185851        0.957032
     2010.38319      2010.37532        160.7995          0.9509         14.9243          0.0064          5.8137          1.3841       -1.144408        0.950914
     2010.40402      2010.39615        164.4374          0.9588         14.9000          0.0063          3.3886          1.3841       -0.615435        0.958784
     2010.42485      2010.41699        164.2532          0.9633         14.9012          0.0064          1.8646          1.3841       -0.883072        0.963344
     2010.44569      2010.43782        166.0935          0.9684         14.8891          0.0063          3.8187          1.3841        0.910706        0.968353
     2010.46652      2010.45865        165.9639          0.9624         14.8900          0.0063          4.4248          1.3841        0.186029        0.962411
     2010.48735      2010.47949        167.4062          0.9721         14.8806          0.0063          3.4108          1.3841        2.853550        0.972053
     2010.50818      2010.50032        168.9504          0.9783         14.8706          0.0063          2.3474          1.3841        2.389305        0.978286
     2010.52902      2010.52115        166.4813          0.9922         14.8866          0.0065          3.7716          1.3841        1.750140        0.992181
     2010.54985      2010.54199        169.2422          1.0041         14.8687          0.0064          3.6596          1.3841        2.628920        1.004148
     2010.57068      2010.56282        168.5152          1.0178         14.8734          0.0066          5.0206          1.3171        2.154857        1.017798
     2010.59151      2010.58365        164.5892          1.0266         14.8990          0.0068          4.2212          1.3841        1.269947        1.026562
     2010.61235      2010.60449        165.7041          1.0430         14.8917          0.0068          2.3655          1.3841        1.414595        1.042978
     2010.63318      2010.62532        168.7323          1.0547         14.8720          0.0068          5.8664          1.3841        3.232680        1.054716
     2010.65401      2010.64615        167.4887          1.0419         14.8800          0.0068          5.5192          1.3841        3.856359        1.041945
     2010.67484      2010.66699        169.6374          1.0446         14.8662          0.0067          6.1511          1.3841        2.260364        1.044638
     2010.69568      2010.68782        168.4593          1.0191         14.8738          0.0066          3.3401          1.3841        2.660759        1.019124
     2010.71651      2010.70865        167.2185          1.0217         14.8818          0.0066          3.9568          1.3841        0.107349        1.021735
     2010.73734      2010.72949        168.8090          1.0060         14.8715          0.0065          5.5348          1.3841        4.194504        1.006028
     2010.75818      2010.75032        166.0663          0.9910         14.8893          0.0065          6.2976          1.4146        2.916326        0.990994
     2010.77901      2010.77115        167.4464          0.9924         14.8803          0.0064          3.8048          1.4146        1.194924        0.992439
     2010.79984      2010.79199        167.0206          0.9879         14.8831          0.0064          2.7684          1.4146        2.156800        0.987869
     2010.82068      2010.81282        165.0043          1.0109         14.8963          0.0067          4.2405          1.4146        2.071328        1.010932
     2010.84151      2010.83365        171.0253          1.0197         14.8573          0.0065          5.4017          1.4146        2.131573        1.019712
     2010.86234      2010.85449        165.9396          1.0131         14.8901          0.0066          3.7925          1.5212        1.317052        1.013119
     2010.88317      2010.87532        171.7725          1.0191         14.8526          0.0064          3.5325          1.5212        2.702724        1.019107
     2010.90401      2010.89615        167.9999          1.0289         14.8767          0.0066          4.3669          1.5212        2.318955        1.028888
     2010.92484      2010.91699        164.8659          1.0294         14.8972          0.0068          5.1761          1.5212        2.221388        1.029417
     2010.94567      2010.93782        168.9527          1.0168         14.8706          0.0065          2.9707          1.5212        2.624692        1.016804
     2010.96650      2010.95865        168.9845          1.0092         14.8704          0.0065          3.6401          1.5212        1.806113        1.009204
     2010.98734      2010.97949        170.6721          1.0010         14.8596          0.0064          3.4457          1.5212        4.015496        1.000965
     2011.00817      2011.00032        168.4747          0.9958         14.8737          0.0064          6.5550          1.4146        0.363981        0.995845
     2011.02900      2011.02115        166.6457          0.9841         14.8855          0.0064          3.8180          1.3171        2.027463        0.984123
     2011.04983      2011.04199        162.2001          0.9877         14.9149          0.0066          7.0155          1.2699       -0.859821        0.987748
     2011.07067      2011.06282        168.5543          0.9820         14.8732          0.0063          1.7844          1.2427        2.043910        0.981967
     2011.09150      2011.08365        165.9373          0.9857         14.8901          0.0064          3.4986          1.2082        0.122517        0.985703
     2011.11233      2011.10449        165.2127          0.9846         14.8949          0.0065          4.3590          1.1949        0.849597        0.984609
     2011.13317      2011.12532        165.8915          0.9731         14.8904          0.0064          3.3866          1.1872       -0.451734        0.973123
     2011.15400      2011.14615        165.2791          0.9906         14.8945          0.0065          4.4182          1.1388        1.208217        0.990601
     2011.17483      2011.16699        168.6537          0.9955         14.8725          0.0064          4.4843          1.1388        2.550652        0.995509
     2011.19566      2011.18782        161.8623          0.9950         14.9171          0.0067          3.3416          0.9561       -0.470430        0.994980
     2011.21650      2011.20865        163.7624          0.9848         14.9045          0.0065          3.7768          0.8593       -0.023814        0.984832
     2011.23733      2011.22949        165.0699          0.9762         14.8958          0.0064          1.0637          0.9561        2.035990        0.976227
     2011.25816      2011.25032        164.5349          0.9764         14.8994          0.0064          2.0303          0.8593        0.623919        0.976403
     2011.27900      2011.27115        165.8392          0.9884         14.8908          0.0065          1.7186          0.8496        1.138799        0.988380
     2011.29983      2011.29199        164.6314          0.9769         14.8987          0.0064          1.4294          0.7252       -0.359038        0.976919
     2011.32066      2011.31282        164.1659          0.9718         14.9018          0.0064          3.4427          0.6239       -0.604093        0.971777
     2011.34149      2011.33365        163.8922          0.9718         14.9036          0.0064          5.1476          0.5706        1.521155        0.971794
     2011.36233      2011.35449        157.9248          0.9680         14.9439          0.0067          2.7812          0.5706        0.100910        0.967955
     2011.38316      2011.37532        164.3127          0.9622         14.9008          0.0064          5.0248          0.5008       -1.209195        0.962178
     2011.40399      2011.39615        163.0245          0.9671         14.9094          0.0064          4.0746          0.5008       -0.072955        0.967076
     2011.42482      2011.41699        161.1839          0.9642         14.9217          0.0065          4.9339          0.4418       -0.665761        0.964172
     2011.44566      2011.43782        163.6349          0.9617         14.9053          0.0064          2.8029          0.4418        1.242692        0.961736
     2011.46649      2011.45865        162.8321          0.9654         14.9106          0.0064          3.5818          0.4418       -0.690904        0.965388
     2011.48732      2011.47949        164.6984          0.9566         14.8983          0.0063          2.0991          0.3640        0.044801        0.956592
     2011.50816      2011.50032        164.5992          0.9537         14.8989          0.0063          4.8688          0.2019       -0.158698        0.953686
     2011.52899      2011.52115        164.7638          0.9515         14.8978          0.0063          2.5697          0.1225       -0.414114        0.951477
     2011.54982      2011.54199        162.7182          0.9558         14.9114          0.0064          4.4256          0.1225       -0.708408        0.955826
