# reference_flux:          5.6827
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2036.28674      2036.27808         15.7326          1.3313         17.4480          0.0919         -5.9250             nan             nan             nan
     2036.29369      2036.28502          7.7486          1.3298         18.2169          0.1863         -2.7254             nan             nan             nan
     2036.30063      2036.29196          9.1021          1.3292         18.0421          0.1586         -5.2551             nan             nan             nan
     2036.30758      2036.29891          5.7178          1.3288         18.5469          0.2523         -3.5334             nan             nan             nan
     2036.31452      2036.30585          7.6744          1.3298         18.2274          0.1881         -3.5514             nan             nan             nan
     2036.32146      2036.31280         11.2893          1.3301         17.8083          0.1279         -5.0387             nan             nan             nan
     2036.32841      2036.31974          7.9841          1.3299         18.1844          0.1809         -1.7468             nan             nan             nan
     2036.33535      2036.32669          5.9082          1.3292         18.5114          0.2443         -4.6330             nan             nan             nan
     2036.34230      2036.33363          6.0767          1.3295         18.4808          0.2375         -1.9705             nan             nan             nan
     2036.34924      2036.34058          6.1658          1.3293         18.4650          0.2341         -0.7862             nan             nan             nan
     2036.35619      2036.34752          8.1119          1.3290         18.1672          0.1779         -2.6606             nan             nan             nan
     2036.36313      2036.35446          5.2107          1.3291         18.6478          0.2769         -1.5628             nan             nan             nan
     2036.37008      2036.36141          7.1887          1.3291         18.2984          0.2007         -2.1691             nan             nan             nan
     2036.37702      2036.36835          1.6566          1.3270         18.9400         99.9000         -3.3572             nan             nan             nan
     2036.38396      2036.37530          6.5544          1.3288         18.3987          0.2201         -2.9138             nan             nan             nan
     2036.39091      2036.38224          7.6377          1.3295         18.2326          0.1890         -2.5671             nan             nan             nan
     2036.39785      2036.38919          9.9016          1.3303         17.9507          0.1459         -0.6575             nan             nan             nan
     2036.40480      2036.39613          4.8568          1.3278         18.7241          0.2968         -3.0108             nan             nan             nan
     2036.41174      2036.40308          7.3412          1.3281         18.2756          0.1964         -1.2118             nan             nan             nan
     2036.41869      2036.41002          5.7967          1.3275         18.5321          0.2486         -1.6913             nan             nan             nan
     2036.42563      2036.41696          6.9996          1.3288         18.3273          0.2061         -2.0101             nan             nan             nan
     2036.43258      2036.42391          4.9985          1.3271         18.6929          0.2883         -1.3942             nan             nan             nan
     2036.43952      2036.43085          5.8298          1.3274         18.5259          0.2472         -0.0150             nan             nan             nan
     2036.44646      2036.43780          7.5204          1.3270         18.2494          0.1916         -3.3531             nan             nan             nan
     2036.45341      2036.44474          5.9532          1.3265         18.5031          0.2419         -0.5556             nan             nan             nan
     2036.46035      2036.45169          6.0964          1.3255         18.4773          0.2361         -3.1254             nan             nan             nan
     2036.46730      2036.45863          8.8366          1.3269         18.0743          0.1630         -1.5771             nan             nan             nan
     2036.47424      2036.46558          7.0352          1.3254         18.3218          0.2045         -2.8935             nan             nan             nan
     2036.48119      2036.47252          5.6161          1.3259         18.5664          0.2563         -1.1748             nan             nan             nan
     2036.48813      2036.47946         11.6149          1.3265         17.7775          0.1240         -2.5846             nan             nan             nan
     2036.49508      2036.48641          2.7299          1.3244         18.9421         99.9000         -0.3587             nan             nan             nan
     2036.50202      2036.49335          8.5143          1.3250         18.1146          0.1690         -4.1997             nan             nan             nan
     2036.50896      2036.50030          2.2950          1.3238         18.9426         99.9000          0.2895             nan             nan             nan
     2036.51591      2036.50724          9.8663          1.3261         17.9546          0.1459         -0.9781             nan             nan             nan
     2036.52285      2036.51419          9.0455          1.3263         18.0489          0.1592         -0.9663             nan             nan             nan
     2036.52980      2036.52113          4.3275          1.3244         18.8494          0.3323         -2.1335             nan             nan             nan
     2036.53674      2036.52808          7.9837          1.3249         18.1845          0.1802         -4.4097             nan             nan             nan
     2036.54369      2036.53502          7.9238          1.3250         18.1927          0.1816         -0.7887             nan             nan             nan
     2036.55063      2036.54196          5.5628          1.3253         18.5768          0.2587          0.6038             nan             nan             nan
     2036.55758      2036.54891          6.3515          1.3244         18.4328          0.2264         -2.7984             nan             nan             nan
     2036.56452      2036.55585          9.8754          1.3254         17.9536          0.1457         -2.1416             nan             nan             nan
     2036.57146      2036.56280          5.2293          1.3255         18.6439          0.2752         -0.0905             nan             nan             nan
     2036.57841      2036.56974          7.2665          1.3237         18.2867          0.1978         -3.8135             nan             nan             nan
     2036.58535      2036.57669          5.7257          1.3252         18.5454          0.2513         -0.8435             nan             nan             nan
     2036.59230      2036.58363          9.8903          1.3259         17.9520          0.1456         -1.6987             nan             nan             nan
     2036.59924      2036.59058          6.7246          1.3234         18.3708          0.2137         -0.0078             nan             nan             nan
     2036.60619      2036.59752          6.0918          1.3256         18.4781          0.2363         -0.3804             nan             nan             nan
     2036.61313      2036.60446          6.5814          1.3237         18.3942          0.2184         -2.0939             nan             nan             nan
     2036.62008      2036.61141          8.9709          1.3240         18.0579          0.1602         -3.2355             nan             nan             nan
     2036.62702      2036.61835          6.8940          1.3247         18.3438          0.2086         -1.4179             nan             nan             nan
     2036.63396      2036.62530          5.1635          1.3229         18.6576          0.2782         -0.9629             nan             nan             nan
     2036.64091      2036.63224          6.8074          1.3227         18.3575          0.2110         -3.0846             nan             nan             nan
     2036.64785      2036.63919          6.5349          1.3228         18.4019          0.2198         -0.4821             nan             nan             nan
     2036.65480      2036.64613          5.4857          1.3244         18.5919          0.2621         -2.0090             nan             nan             nan
     2036.66174      2036.65308          5.3625          1.3255         18.6166          0.2684         -0.3630             nan             nan             nan
     2036.66869      2036.66002          8.0659          1.3230         18.1734          0.1781         -0.7768             nan             nan             nan
     2036.67563      2036.66696          3.4204          1.3228         18.9435         99.9000         -0.4919             nan             nan             nan
     2036.68258      2036.67391          9.2800          1.3231         18.0211          0.1548         -1.4212             nan             nan             nan
     2036.68952      2036.68085          3.8609          1.3218         18.9443         99.9000         -1.0543             nan             nan             nan
     2036.69646      2036.68780          6.5652          1.3231         18.3969          0.2188         -2.6105             nan             nan             nan
     2036.70341      2036.69474          2.2864          1.3235         18.9429         99.9000         -0.8887             nan             nan             nan
     2036.71035      2036.70169          5.2064          1.3235         18.6487          0.2760         -0.6620             nan             nan             nan
     2036.71730      2036.70863         -1.0155          1.3215         18.9446         99.9000          0.7412             nan             nan             nan
     2036.72424      2036.71558         10.0020          1.3253         17.9398          0.1439          1.8122             nan             nan             nan
     2036.73119      2036.72252          6.4443          1.3242         18.4171          0.2231         -0.1614             nan             nan             nan
     2036.73813      2036.72946          6.5035          1.3238         18.4071          0.2210         -0.3491             nan             nan             nan
     2036.74507      2036.73641          5.6583          1.3232         18.5583          0.2539          0.4389             nan             nan             nan
     2036.75202      2036.74335          5.4472          1.3241         18.5996          0.2639          0.4928             nan             nan             nan
     2036.75896      2036.75030          7.6487          1.3236         18.2310          0.1879         -1.0970             nan             nan             nan
     2036.76591      2036.75724          2.4705          1.3222         18.9439         99.9000         -2.6675             nan             nan             nan
     2036.77285      2036.76419          3.9768          1.3223         18.9412          0.3610         -1.3148             nan             nan             nan
     2036.77980      2036.77113          4.4692          1.3228         18.8144          0.3214         -1.1537             nan             nan             nan
     2036.78674      2036.77808          2.4449          1.3236         18.9428         99.9000         -0.1753             nan             nan             nan
     2036.79369      2036.78502          4.1271          1.3224         18.9009          0.3479         -1.4188             nan             nan             nan
     2036.80063      2036.79196          7.6525          1.3240         18.2305          0.1878         -1.4598             nan             nan             nan
     2036.80757      2036.79891          3.6259          1.3240         18.9425         99.9000          1.0390             nan             nan             nan
     2036.81452      2036.80585          9.6173          1.3247         17.9824          0.1495         -1.9771             nan             nan             nan
     2036.82146      2036.81280          6.4413          1.3251         18.4176          0.2234         -0.8083             nan             nan             nan
     2036.82841      2036.81974         10.4367          1.3254         17.8936          0.1379         -1.0357             nan             nan             nan
     2036.83535      2036.82669          7.0958          1.3253         18.3125          0.2028         -0.4560             nan             nan             nan
     2036.84230      2036.83363          7.6400          1.3251         18.2323          0.1883          0.2352             nan             nan             nan
     2036.84924      2036.84058          5.3448          1.3248         18.6202          0.2691         -0.7167             nan             nan             nan
     2036.85619      2036.84752          6.8399          1.3238         18.3524          0.2101         -1.4741             nan             nan             nan
     2036.86313      2036.85446          5.3204          1.3244         18.6251          0.2703         -1.3464             nan             nan             nan
     2036.87007      2036.86141          5.7747          1.3237         18.5362          0.2489         -0.0835             nan             nan             nan
     2036.87702      2036.86835          5.9659          1.3239         18.5008          0.2409         -0.8949             nan             nan             nan
     2036.88396      2036.87530          4.8885          1.3240         18.7171          0.2941          0.5428             nan             nan             nan
     2036.89091      2036.88224          6.7608          1.3249         18.3650          0.2128          0.4558             nan             nan             nan
     2036.89785      2036.88919          5.2760          1.3238         18.6342          0.2724         -2.9351             nan             nan             nan
     2036.90480      2036.89613          8.1191          1.3251         18.1662          0.1772         -0.4156             nan             nan             nan
     2036.91174      2036.90308          5.2134          1.3247         18.6472          0.2759          0.9826             nan             nan             nan
     2036.91869      2036.91002          7.1644          1.3242         18.3020          0.2007         -1.1741             nan             nan             nan
     2036.92563      2036.91696          6.1700          1.3236         18.4643          0.2329         -1.0123             nan             nan             nan
     2036.93257      2036.92391          8.1632          1.3247         18.1604          0.1762         -1.2801             nan             nan             nan
     2036.93952      2036.93085          3.3171          1.3232         18.9431         99.9000         -1.4157             nan             nan             nan
     2036.94646      2036.93780         10.2433          1.3265         17.9139          0.1406         -0.0148             nan             nan             nan
     2036.95341      2036.94474         11.8530          1.3268         17.7554          0.1215         -0.3452             nan             nan             nan
     2036.96035      2036.95169         12.2844          1.3267         17.7166          0.1173         -1.3257             nan             nan             nan
