# reference_flux:      13514.6796
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2036.28679      2036.27808      13513.2819          1.6225         10.1131          0.0001          3.8657             nan             nan             nan
     2036.29373      2036.28502      13516.2642          1.6206         10.1129          0.0001          5.7382             nan             nan             nan
     2036.30067      2036.29196      13519.1510          1.6215         10.1126          0.0001          2.4774             nan             nan             nan
     2036.30762      2036.29891      13515.3811          1.6210         10.1129          0.0001          4.7291             nan             nan             nan
     2036.31456      2036.30585      13516.2319          1.6206         10.1129          0.0001          4.0881             nan             nan             nan
     2036.32151      2036.31280      13520.0698          1.6198         10.1126          0.0001          2.9319             nan             nan             nan
     2036.32845      2036.31974      13518.0472          1.6220         10.1127          0.0001          2.4139             nan             nan             nan
     2036.33540      2036.32669      13512.9507          1.6199         10.1131          0.0001          6.4543             nan             nan             nan
     2036.34234      2036.33363      13510.7150          1.6186         10.1133          0.0001          3.5518             nan             nan             nan
     2036.34928      2036.34058      13513.5770          1.6189         10.1131          0.0001          2.4495             nan             nan             nan
     2036.35623      2036.34752      13516.0636          1.6205         10.1129          0.0001          4.7247             nan             nan             nan
     2036.36317      2036.35446      13509.1114          1.6237         10.1134          0.0001          3.1392             nan             nan             nan
     2036.37012      2036.36141      13512.6398          1.6198         10.1131          0.0001          6.2571             nan             nan             nan
     2036.37706      2036.36835      13516.1519          1.6207         10.1129          0.0001          2.8987             nan             nan             nan
     2036.38401      2036.37530      13512.5089          1.6189         10.1132          0.0001          4.0591             nan             nan             nan
     2036.39095      2036.38224      13519.6153          1.6210         10.1126          0.0001          3.6421             nan             nan             nan
     2036.39790      2036.38919      13520.1106          1.6194         10.1125          0.0001          1.7765             nan             nan             nan
     2036.40484      2036.39613      13511.9854          1.6197         10.1132          0.0001          2.0530             nan             nan             nan
     2036.41178      2036.40308      13516.1017          1.6178         10.1129          0.0001          2.6078             nan             nan             nan
     2036.41873      2036.41002      13514.3413          1.6190         10.1130          0.0001          3.8868             nan             nan             nan
     2036.42567      2036.41696      13519.3149          1.6191         10.1126          0.0001          3.0101             nan             nan             nan
     2036.43262      2036.42391      13517.5537          1.6188         10.1128          0.0001          1.6607             nan             nan             nan
     2036.43956      2036.43085      13513.8899          1.6181         10.1130          0.0001         -1.8460             nan             nan             nan
     2036.44651      2036.43780      13514.4696          1.6181         10.1130          0.0001          2.2898             nan             nan             nan
     2036.45345      2036.44474      13515.5196          1.6166         10.1129          0.0001          2.5729             nan             nan             nan
     2036.46040      2036.45169      13519.6919          1.6180         10.1126          0.0001          1.3294             nan             nan             nan
     2036.46734      2036.45863      13509.2284          1.6153         10.1134          0.0001          2.7555             nan             nan             nan
     2036.47428      2036.46558      13521.5643          1.6181         10.1124          0.0001          1.8715             nan             nan             nan
     2036.48123      2036.47252      13514.4788          1.6221         10.1130          0.0001          1.6473             nan             nan             nan
     2036.48817      2036.47946      13518.7269          1.6173         10.1127          0.0001          1.7139             nan             nan             nan
     2036.49512      2036.48641      13517.5509          1.6172         10.1128          0.0001          1.1957             nan             nan             nan
     2036.50206      2036.49335      13515.9172          1.6157         10.1129          0.0001         -0.3338             nan             nan             nan
     2036.50901      2036.50030      13516.4540          1.6162         10.1128          0.0001          2.3851             nan             nan             nan
     2036.51595      2036.50724      13515.0762          1.6184         10.1130          0.0001          4.6419             nan             nan             nan
     2036.52290      2036.51419      13520.9941          1.6156         10.1125          0.0001          0.2753             nan             nan             nan
     2036.52984      2036.52113      13518.6738          1.6163         10.1127          0.0001          0.7403             nan             nan             nan
     2036.53678      2036.52808      13516.4780          1.6156         10.1128          0.0001          0.8282             nan             nan             nan
