# reference_flux:         31.8903
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2036.28567      2036.27809         31.3005          1.2625         16.7011          0.0438         -0.0705         -0.6658       -0.335624        1.262475
     2036.29261      2036.28504         27.5185          1.2368         16.8409          0.0488         -1.6245         -0.6058       -1.579350        1.236821
     2036.29956      2036.29198         30.9141          1.2695         16.7146          0.0446         -0.9563         -0.6058        2.543358        1.269528
     2036.30650      2036.29893         30.0334          1.3175         16.7460          0.0476          0.7899         -0.4817       -0.665768        1.317471
     2036.31344      2036.30587         32.1270          1.2552         16.6728          0.0424          0.0127         -0.4817       -1.763967        1.255189
     2036.32039      2036.31282         29.0079          1.2661         16.7837          0.0474         -0.4527         -0.4817       -0.036211        1.266145
     2036.32733      2036.31976         32.1775          1.2797         16.6711          0.0432         -1.4129         -0.4817       -0.149162        1.279673
     2036.33428      2036.32670         33.8813          1.2909         16.6151          0.0414         -2.2252         -0.4817       -0.481704        1.290913
     2036.34122      2036.33365         28.8474          1.2304         16.7897          0.0463         -0.4641         -0.4817       -1.811027        1.230399
     2036.34817      2036.34059         29.7555          1.2816         16.7561          0.0468         -1.2166         -0.4817       -1.305239        1.281611
     2036.35511      2036.34754         30.8829          1.2340         16.7157          0.0434         -0.7921         -0.4817       -0.306929        1.233963
     2036.36206      2036.35448         27.7817          1.2372         16.8306          0.0483          1.1388         -0.4817        0.179110        1.237155
     2036.36900      2036.36143         28.0625          1.2906         16.8197          0.0499          0.0774         -0.4817       -3.130310        1.290557
     2036.37595      2036.36837         31.8611          1.2978         16.6818          0.0442          0.4352         -0.6058        1.675574        1.297798
     2036.38289      2036.37532         27.8056          1.2906         16.8297          0.0504         -1.4822         -0.6541       -2.543303        1.290598
     2036.38983      2036.38226         30.5461          1.2526         16.7276          0.0445          1.3722         -0.6058       -3.005549        1.252578
     2036.39678      2036.38920         32.9809          1.3321         16.6443          0.0439         -2.0750         -0.6058       -0.213095        1.332110
     2036.40372      2036.39615         28.6331          1.3117         16.7978          0.0497         -0.3897         -0.6058       -2.102346        1.311722
     2036.41067      2036.40309         29.7919          1.2645         16.7548          0.0461          0.2217         -0.6058        0.394307        1.264516
     2036.41761      2036.41004         31.6482          1.2727         16.6891          0.0437         -2.1871         -0.6058       -2.273225        1.272651
     2036.42456      2036.41698         33.7273          1.2607         16.6200          0.0406          1.7660         -0.6058        1.525468        1.260674
     2036.43150      2036.42393         31.2804          1.2809         16.7018          0.0445          0.5443         -0.6058       -2.379224        1.280906
     2036.43845      2036.43087         31.9763          1.2984         16.6779          0.0441          1.2640         -0.6541        0.540197        1.298360
     2036.44539      2036.43782         29.6605          1.2551         16.7596          0.0459         -0.1750         -0.6541       -4.577983        1.255121
     2036.45234      2036.44476         31.5482          1.2437         16.6926          0.0428         -2.3886         -0.6658       -0.605761        1.243704
     2036.45928      2036.45170         30.7250          1.2614         16.7213          0.0446         -0.6436         -0.6658       -0.198472        1.261412
     2036.46622      2036.45865         31.2510          1.2496         16.7028          0.0434          2.3137         -0.6541        2.708340        1.249564
     2036.47317      2036.46559         32.7556          1.2675         16.6518          0.0420          2.0991         -0.6541        0.884063        1.267465
     2036.48011      2036.47254         33.8401          1.2875         16.6164          0.0413         -1.9637         -0.6058        1.659774        1.287481
     2036.48706      2036.47948         31.0881          1.2568         16.7085          0.0439         -0.3856         -0.6058       -0.654080        1.256784
     2036.49400      2036.48643         33.4006          1.2319         16.6306          0.0400         -1.1369         -0.6058        0.883469        1.231948
     2036.50095      2036.49337         33.1877          1.2541         16.6376          0.0410         -0.1478         -0.6058       -0.023128        1.254084
     2036.50789      2036.50032         28.6732          1.2513         16.7963          0.0474          1.0550         -0.6541       -2.769937        1.251330
     2036.51484      2036.50726         28.2195          1.2559         16.8136          0.0483          1.1122         -0.6058       -0.797307        1.255943
     2036.52178      2036.51420         27.9910          1.2622         16.8225          0.0490          1.8594         -0.6054       -2.860115        1.262158
     2036.52873      2036.52115         34.1422          1.2732         16.6068          0.0405         -0.8207         -0.6054       -0.708987        1.273202
     2036.53567      2036.52809         29.5988          1.2789         16.7618          0.0469         -0.5669         -0.6058       -3.440179        1.278910
     2036.54261      2036.53504         29.5871          1.2587         16.7622          0.0462         -0.0174         -0.6058       -0.693207        1.258682
     2036.54956      2036.54198         35.2960          1.2551         16.5707          0.0386         -0.4880         -0.6058        2.022444        1.255133
     2036.55650      2036.54893         28.1111          1.2543         16.8178          0.0484          1.4242         -0.6058       -1.302792        1.254324
     2036.56345      2036.55587         34.1765          1.2786         16.6057          0.0406          0.2522         -0.6058        1.431908        1.278625
     2036.57039      2036.56282         33.9581          1.2695         16.6126          0.0406         -0.2903         -0.6058        0.100272        1.269495
     2036.57734      2036.56976         32.3083          1.2487         16.6667          0.0420         -0.3022         -0.6054        2.463929        1.248720
     2036.58428      2036.57670         29.7529          1.2642         16.7562          0.0461         -1.6434         -0.6058       -2.123481        1.264198
     2036.59123      2036.58365         24.9068          1.2732         16.9492          0.0555         -0.9297         -0.6058       -6.179963        1.273152
     2036.59817      2036.59059         28.4499          1.2662         16.8048          0.0483         -0.8705         -0.6058       -1.048226        1.266204
     2036.60512      2036.59754         28.6831          1.2730         16.7959          0.0482         -0.1177         -0.6054       -1.295047        1.272994
     2036.61206      2036.60448         30.4885          1.2509         16.7297          0.0445          0.8881         -0.6054       -1.406462        1.250855
     2036.61900      2036.61143         36.2614          1.2604         16.5414          0.0377         -1.9080         -0.6054        0.798215        1.260357
