# reference_flux:       1014.9171
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2036.28624      2036.27809       1006.9829          2.0604         12.9324          0.0022         -1.8844         -1.5866       -1.395793        2.060424
     2036.29318      2036.28504       1002.5883          2.0536         12.9372          0.0022         -1.8795         -1.5866       -2.425655        2.053581
     2036.30013      2036.29198       1006.7272          2.0664         12.9327          0.0022         -0.9271         -1.4744       -0.303483        2.066372
     2036.30707      2036.29893       1007.1105          2.1091         12.9323          0.0023         -3.4618         -1.4744       -2.266515        2.109135
     2036.31402      2036.30587       1003.4471          2.0733         12.9363          0.0022         -5.0239         -1.5866       -1.395309        2.073348
     2036.32096      2036.31282       1011.4667          2.0961         12.9276          0.0023         -2.7124         -1.5866        0.448927        2.096104
     2036.32790      2036.31976       1006.5240          2.0655         12.9329          0.0022         -3.1596         -1.6498       -3.242299        2.065475
     2036.33485      2036.32670       1003.5035          2.0318         12.9362          0.0022         -4.4094         -1.6527        1.467238        2.031761
     2036.34179      2036.33365       1007.9436          1.9981         12.9314          0.0022         -3.1415         -1.6527       -0.877918        1.998116
     2036.34874      2036.34059       1008.8823          1.9856         12.9304          0.0021         -0.9736         -1.6498       -2.301055        1.985609
     2036.35568      2036.34754       1004.7337          1.9961         12.9349          0.0022         -1.6294         -1.6498       -2.043590        1.996136
     2036.36263      2036.35448       1005.6613          1.9747         12.9339          0.0021         -3.2696         -1.6498       -4.429021        1.974666
     2036.36957      2036.36143       1006.1995          1.9730         12.9333          0.0021         -2.4185         -1.6498       -2.664764        1.972993
     2036.37652      2036.36837       1008.0607          1.9894         12.9313          0.0021         -2.3749         -1.6498        0.921133        1.989406
     2036.38346      2036.37532       1000.6176          1.9886         12.9393          0.0022          0.5700         -1.6498       -1.316337        1.988561
     2036.39040      2036.38226       1007.5519          1.9067         12.9318          0.0021         -0.8329         -1.5866       -2.927961        1.906654
     2036.39735      2036.38920       1008.2104          1.9174         12.9311          0.0021         -0.3296         -1.6498       -0.654444        1.917442
     2036.40429      2036.39615       1007.0530          1.8794         12.9324          0.0020         -0.2907         -1.6527       -1.586562        1.879381
     2036.41124      2036.40309       1006.6425          1.9166         12.9328          0.0021         -1.0705         -1.6498        0.654488        1.916558
     2036.41818      2036.41004       1012.6588          1.9188         12.9263          0.0021         -1.8597         -1.6527       -1.474374        1.918771
     2036.42513      2036.41698       1008.0893          1.9514         12.9313          0.0021         -3.3918         -1.6527       -0.301829        1.951391
     2036.43207      2036.42393       1008.8906          1.9731         12.9304          0.0021         -1.1413         -1.6498       -1.764680        1.973108
     2036.43902      2036.43087       1005.8699          1.9285         12.9336          0.0021         -2.1641         -1.6498       -4.407632        1.928507
     2036.44596      2036.43782       1006.3690          1.9350         12.9331          0.0021         -2.3812         -1.6498       -1.652679        1.935013
     2036.45290      2036.44476       1011.4122          1.9658         12.9277          0.0021         -3.0496         -1.6498       -2.639398        1.965798
     2036.45985      2036.45170       1010.8552          1.9156         12.9283          0.0021         -1.0483         -1.6498       -0.446647        1.915630
     2036.46679      2036.45865        998.9810          2.0229         12.9411          0.0022         -0.7793         -1.5866       -6.078074        2.022868
     2036.47374      2036.46559       1013.9924          1.9623         12.9249          0.0021         -2.9401         -1.6498       -1.655196        1.962313
     2036.48068      2036.47254       1002.2092          1.9848         12.9376          0.0022          0.2846         -1.6498       -2.697553        1.984762
     2036.48763      2036.47948       1005.3707          1.9813         12.9342          0.0021          0.0531         -1.6527       -1.649850        1.981314
     2036.49457      2036.48643       1007.4111          1.9867         12.9320          0.0021         -0.4127         -1.6552       -1.665225        1.986660
     2036.50151      2036.49337       1008.2036          1.9905         12.9311          0.0021         -1.0775         -1.6527       -0.665775        1.990525
     2036.50846      2036.50032       1008.8825          1.9585         12.9304          0.0021          0.8997         -1.6527        0.500127        1.958494
     2036.51540      2036.50726       1007.3857          1.9834         12.9320          0.0021         -1.0803         -1.6552        0.363793        1.983411
     2036.52235      2036.51420       1004.6240          1.9777         12.9350          0.0021         -1.8579         -1.6527       -0.232792        1.977703
     2036.52929      2036.52115        997.5814          2.0696         12.9426          0.0023         -1.4953         -1.6498       -2.514866        2.069591
     2036.53624      2036.52809       1006.4927          2.0084         12.9330          0.0022         -2.2231         -1.5866       -2.078554        2.008415
     2036.54318      2036.53504       1003.7231          2.0208         12.9360          0.0022         -1.3416         -1.5866       -4.517311        2.020845
     2036.55013      2036.54198       1007.8367          2.0240         12.9315          0.0022         -2.4371         -1.5866        0.080407        2.024001
     2036.55707      2036.54893       1006.6210          2.0087         12.9328          0.0022         -2.6753         -1.5866       -1.897473        2.008724
     2036.56401      2036.55587       1007.1349          1.9759         12.9323          0.0021         -0.9352         -1.5866       -3.626959        1.975879
     2036.57096      2036.56282       1008.8642          2.0446         12.9304          0.0022          0.3421         -1.6498       -0.952311        2.044642
     2036.57790      2036.56976       1002.5572          1.9709         12.9372          0.0021         -1.4602         -1.6498       -1.986960        1.970945
     2036.58485      2036.57670       1009.5399          1.9733         12.9297          0.0021         -0.3958         -1.6498       -0.226186        1.973264
     2036.59179      2036.58365       1005.3923          2.0680         12.9342          0.0022         -0.2925         -1.6498       -0.002503        2.068005
     2036.59874      2036.59059       1006.1357          2.0366         12.9334          0.0022          0.3958         -1.6498        0.252414        2.036579
     2036.60568      2036.59754       1003.8744          2.0592         12.9358          0.0022         -2.4255         -1.6498       -2.065032        2.059217
     2036.61263      2036.60448       1007.8644          2.0014         12.9315          0.0022         -1.8225         -1.1926       -0.083848        2.001382
     2036.61957      2036.61143       1007.6444          2.0595         12.9317          0.0022         -2.4994         -1.1722       -0.245381        2.059484
     2036.62651      2036.61837       1003.7256          2.0510         12.9360          0.0022          0.3768         -1.1332       -0.320765        2.051021
     2036.63346      2036.62532       1000.2654          2.0506         12.9397          0.0022          0.5670         -1.1332       -3.986111        2.050613
     2036.64040      2036.63226       1006.1877          2.0272         12.9333          0.0022         -0.0917         -1.1332       -1.903756        2.027215
     2036.64735      2036.63920       1010.1907          1.9652         12.9290          0.0021         -1.6590         -1.1332       -2.552813        1.965238
     2036.65429      2036.64615       1007.8070          1.9278         12.9316          0.0021         -1.2747         -1.1332       -2.043110        1.927806
