# reference_flux:        -57.8891
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2061.85667      2061.84751         -1.7619          1.5691         18.7580         99.9000          3.0377         -0.2101       -1.334996        1.569130
     2061.86362      2061.85445         -1.2438          1.6089         18.7309         99.9000         -2.4894         -0.2101       -0.210085        1.608892
     2061.87056      2061.86140         -4.2878          1.6052         18.7334         99.9000          0.5205         -0.2101       -1.864619        1.605158
     2061.87751      2061.86834         -0.4229          1.5724         18.7558         99.9000         -0.5624         -0.2101        0.391830        1.572376
     2061.88445      2061.87529          2.5385          1.5996         18.7372         99.9000         -0.5221         -0.2101        0.738073        1.599596
     2061.89140      2061.88223         -3.8230          1.5896         18.7440         99.9000          0.7462         -0.2101       -0.737722        1.589606
     2061.89834      2061.88918          1.8965          1.5971         18.7389         99.9000         -2.6678         -0.2101        0.212146        1.597090
     2061.90528      2061.89612         -3.2169          1.6085         18.7311         99.9000         -1.3206         -0.2101       -0.772669        1.608515
     2061.91223      2061.90306         -0.6793          1.6069         18.7323         99.9000         -2.0280         -0.1355       -0.135509        1.606856
     2061.91917      2061.91001          3.3813          1.5738         18.7548         99.9000         -1.5065         -0.1355        1.760401        1.573810
     2061.92612      2061.91695         -1.4466          1.6072         18.7320         99.9000         -1.9674         -0.1355       -1.299099        1.607218
     2061.93306      2061.92390          0.2360          1.6071         18.7321         99.9000          2.9182         -0.1355        0.470838        1.607084
     2061.94001      2061.93084         -2.6741          1.6101         18.7301         99.9000         -2.5996         -0.1355       -0.047157        1.610091
     2061.94695      2061.93779         -4.1467          1.6053         18.7333         99.9000          2.0703         -0.1355       -0.909418        1.605284
     2061.95390      2061.94473         -0.4301          1.6053         18.7333         99.9000         -1.2419         -0.0472        0.191939        1.605268
     2061.96084      2061.95168         -6.8481          1.6057         18.7331         99.9000          1.4299         -0.0472       -3.859346        1.605653
     2061.96779      2061.95862         -0.6903          1.6080         18.7315         99.9000          0.6841         -0.0472       -1.386377        1.607991
     2061.97473      2061.96556         -4.4318          1.6082         18.7313         99.9000          1.6707          0.0545       -3.247815        1.608213
     2061.98167      2061.97251         -3.5190          1.6064         18.7326         99.9000          1.0300          0.0545        0.089880        1.606371
     2061.98862      2061.97945         -3.8872          1.6081         18.7314         99.9000          0.7823          0.0899       -1.976031        1.608062
     2061.99556      2061.98640         -1.1501          1.6052         18.7334         99.9000         -0.2515          0.0545       -0.265930        1.605219
     2062.00251      2061.99334         -0.8179          1.6130         18.7281         99.9000         -0.1231         -0.0472        0.136136        1.612976
     2062.00945      2062.00029          0.7947          1.6136         18.7277         99.9000          1.6017          0.0545        0.054475        1.613641
     2062.01640      2062.00723          3.6448          1.6033         18.7347         99.9000          0.0698          0.0545        0.305371        1.603273
     2062.02334      2062.01418         -0.8867          1.6079         18.7315         99.9000          0.8283          0.0899       -0.309833        1.607928
     2062.03029      2062.02112          1.4341          1.6128         18.7282         99.9000         -0.2519          0.1361        0.210127        1.612803
     2062.03723      2062.02806          1.6401          1.6141         18.7274         99.9000         -1.3715          0.1361        2.683299        1.614076
     2062.04417      2062.03501          3.6365          1.6078         18.7316         99.9000          0.5605          0.1361        1.644326        1.607848
     2062.05112      2062.04195          0.7377          1.6159         18.7262         99.9000          1.4987          0.0899       -1.525037        1.615907
     2062.05806      2062.04890         -0.0906          1.6035         18.7345         99.9000         -0.8093          0.0545       -1.900350        1.603519
     2062.06501      2062.05584          6.6213          1.6083         18.3876          0.2637          1.4669          0.0545        4.318429        1.608343
     2062.07195      2062.06279          2.0405          1.6120         18.7288         99.9000         -1.7303         -0.0472        0.407315        1.612031
     2062.07890      2062.06973          2.4470          1.6084         18.7312         99.9000          1.2186         -0.0472        0.264856        1.608415
     2062.08584      2062.07668          0.7434          1.6085         18.7311         99.9000          0.5715         -0.0472       -1.528788        1.608523
     2062.09279      2062.08362          0.8177          1.6094         18.7306         99.9000         -0.1565         -0.2321        0.530553        1.609361
     2062.09973      2062.09056          4.0678          1.6092         18.7307         99.9000          1.5607         -0.0472        0.499753        1.609212
     2062.10668      2062.09751          2.1183          1.6144         18.7271         99.9000          2.5919         -0.2321        2.272866        1.614434
     2062.11362      2062.10445          2.1628          1.6030         18.7348         99.9000         -1.0310         -0.2321        1.449328        1.603031
     2062.12056      2062.11140          4.0762          1.6148         18.7269         99.9000          0.4477         -0.2321        1.762801        1.614785
     2062.12751      2062.11834         -1.0128          1.6155         18.7264         99.9000         -0.2123         -0.2321       -1.758316        1.615479
     2062.13445      2062.12529          6.2591          1.6116         18.4487          0.2796         -0.2949          0.0545        1.216286        1.611609
