# reference_flux:        164.9689
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2061.85496      2061.84753        162.1034          1.2124         14.9155          0.0081          4.3981         -0.0906       -1.071057        1.212429
     2061.86191      2061.85447        165.4367          1.1834         14.8934          0.0078          0.7365         -0.0906        2.168254        1.183444
     2061.86885      2061.86141        169.4855          1.1589         14.8672          0.0074          0.2088         -0.0906        3.508619        1.158863
     2061.87580      2061.86836        169.1984          1.1803         14.8690          0.0076          1.8343         -0.0906       -0.443103        1.180340
     2061.88274      2061.87530        165.8514          1.2214         14.8907          0.0080         -0.7405         -0.1192        1.141095        1.221422
     2061.88969      2061.88225        167.9382          1.1637         14.8771          0.0075          2.5916         -0.1192        2.414880        1.163713
     2061.89663      2061.88919        167.7764          1.2135         14.8782          0.0079         -2.6702         -0.1192        1.180152        1.213528
     2061.90358      2061.89614        166.2192          1.1427         14.8883          0.0075          0.9338         -0.1192        2.817200        1.142662
     2061.91052      2061.90308        167.2822          1.1629         14.8814          0.0075         -0.3908         -0.2108       -0.757336        1.162927
     2061.91747      2061.91003        164.1990          1.2127         14.9016          0.0080          0.2090         -0.2108       -1.099035        1.212701
     2061.92441      2061.91697        163.2979          1.1725         14.9075          0.0078          2.1194         -0.1192       -0.854668        1.172487
     2061.93135      2061.92391        165.2335          1.1726         14.8948          0.0077          2.3005         -0.0906       -0.538071        1.172555
     2061.93830      2061.93086        164.0295          1.1850         14.9027          0.0078          1.8388         -0.0765       -0.412254        1.184953
     2061.94524      2061.93780        164.1169          1.1888         14.9021          0.0079         -1.2843          0.0427       -0.550618        1.188846
     2061.95219      2061.94475        167.2510          1.2322         14.8816          0.0080          0.9274          0.1873       -0.970024        1.232222
     2061.95913      2061.95169        164.5474          1.1465         14.8993          0.0076          1.2133          0.1873       -0.749335        1.146532
     2061.96608      2061.95864        168.0685          1.1811         14.8763          0.0076         -0.0329          0.1873        0.770604        1.181126
     2061.97302      2061.96558        163.5676          1.1778         14.9058          0.0078         -0.9375          0.0928        0.824561        1.177765
     2061.97997      2061.97253        167.8925          1.1910         14.8774          0.0077         -0.6444          0.0427        0.907406        1.191042
     2061.98691      2061.97947        163.3912          1.2115         14.9069          0.0081         -0.6161          0.0427       -0.210810        1.211480
     2061.99385      2061.98641        165.3989          1.1878         14.8937          0.0078          0.1002         -0.0765       -0.076513        1.187754
     2062.00080      2061.99336        165.5786          1.1854         14.8925          0.0078          0.9035          0.0427        0.948667        1.185376
     2062.00774      2062.00030        166.3516          1.1531         14.8874          0.0075         -0.8394         -0.0765        0.187319        1.153070
     2062.01469      2062.00725        163.6091          1.1904         14.9055          0.0079          1.5699         -0.0765       -0.090630        1.190381
     2062.02163      2062.01419        167.3999          1.1864         14.8806          0.0077          1.4109          0.0427       -0.119154        1.186432
     2062.02858      2062.02114        171.5820          1.1934         14.8538          0.0076          0.3889          0.0928        1.445968        1.193394
     2062.03552      2062.02808        172.1680          1.1810         14.8501          0.0074          0.9730          0.0928        2.311018        1.181008
     2062.04247      2062.03503        162.7885          1.1863         14.9109          0.0079          0.4262          0.0928       -0.520784        1.186278
     2062.04941      2062.04197        166.3232          1.1658         14.8876          0.0076         -1.8553          0.1873       -0.880608        1.165752
     2062.05636      2062.04891        162.2355          1.1979         14.9146          0.0080          2.2571          0.1873        0.042703        1.197857
     2062.06330      2062.05586        169.1574          1.1982         14.8693          0.0077         -0.2180          0.0928        3.555278        1.198233
     2062.07024      2062.06280        163.9279          1.1792         14.9034          0.0078          0.3516          0.0928       -2.128904        1.179162
     2062.07719      2062.06975        165.4745          1.1939         14.8932          0.0078          1.0775          0.0427       -1.078225        1.193874
     2062.08413      2062.07669        166.4366          1.1821         14.8869          0.0077          0.3969          0.0928        1.839640        1.182112
     2062.09108      2062.08364        167.1181          1.1809         14.8824          0.0077         -0.3063          0.1852        0.293584        1.180858
     2062.09802      2062.09058        167.9179          1.1802         14.8773          0.0076          0.1377          0.1852        0.631950        1.180208
     2062.10497      2062.09753        164.9002          1.1585         14.8969          0.0076         -0.1272          0.1873        0.325626        1.158454
     2062.11191      2062.10447        170.5798          1.1776         14.8602          0.0075          0.6980          0.1873        1.416042        1.177551
     2062.11886      2062.11141        159.0684          1.2009         14.9360          0.0082          2.0464          0.1873        0.092817        1.200907
     2062.12580      2062.11836        165.9142          1.1795         14.8903          0.0077         -0.2028          0.2832       -0.424078        1.179495
     2062.13275      2062.12530        161.9516          1.1657         14.9165          0.0078          0.2774          0.2832       -1.634899        1.165657
     2062.13969      2062.13225        163.9988          1.1527         14.9029          0.0076          0.8038          0.2832       -1.076100        1.152731
     2062.14663      2062.13919        168.2101          1.1736         14.8754          0.0076          3.6870          0.2832        1.450078        1.173632
     2062.15358      2062.14614        164.1232          1.1817         14.9021          0.0078          0.8818          0.2832       -0.525317        1.181675
     2062.16052      2062.15308        167.8961          1.1602         14.8774          0.0075          1.8691          0.2936        0.907367        1.160165
     2062.16747      2062.16003        163.9085          1.1560         14.9035          0.0077          0.6438          0.3256       -0.243040        1.155955
     2062.17441      2062.16697        165.7898          1.1211         14.8911          0.0073          1.1435          0.3256        1.803613        1.121069
     2062.18136      2062.17391        169.1019          1.1749         14.8696          0.0075          0.2938          0.4060        0.676356        1.174928
     2062.18830      2062.18086        165.3638          1.1577         14.8939          0.0076         -0.4098          0.4060        1.335103        1.157728
     2062.19525      2062.18780        163.5212          1.1366         14.9061          0.0075          1.0785          0.5142        0.514239        1.136555
