# reference_flux:         12.8676
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2088.24511      2088.23639          9.7418          1.3000         17.9684          0.1449          0.8380         -0.2334        0.938232        1.299975
     2088.25205      2088.24333         14.3046          1.2987         17.5513          0.0986          0.4485         -0.2334       -0.972158        1.298748
     2088.25900      2088.25027         13.3748          1.2959         17.6243          0.1052         -0.3785         -0.2334       -0.233450        1.295891
     2088.26594      2088.25722         15.2193          1.2951         17.4840          0.0924          0.0754         -0.2334        1.444541        1.295058
     2088.27289      2088.26416         11.6330          1.3007         17.7758          0.1214          2.1778         -0.2334        1.271336        1.300739
     2088.27983      2088.27111          9.0566          1.3051         18.0476          0.1565          1.0548         -0.2334       -1.083833        1.305062
     2088.28677      2088.27805         10.5303          1.2916         17.8839          0.1332          1.1550         -0.2334        0.312227        1.291558
     2088.29372      2088.28500          8.8589          1.2850         18.0715          0.1575          1.9917         -0.2334       -1.611472        1.285011
     2088.30066      2088.29194         12.0831          1.2823         17.7346          0.1152         -0.0476         -0.2334       -1.299919        1.282293
     2088.30761      2088.29889         13.8587          1.3015         17.5857          0.1020          0.4968         -0.2334        1.758433        1.301531
     2088.31455      2088.30583         13.3513          1.2878         17.6262          0.1047          0.8606         -0.2334        1.784600        1.287774
     2088.32150      2088.31277         14.1919          1.3036         17.5599          0.0997         -0.7074         -0.2334        1.061707        1.303596
     2088.32844      2088.31972         10.8436          1.3018         17.8521          0.1303         -0.5198         -0.2334       -0.762500        1.301795
     2088.33539      2088.32666         11.7122          1.3002         17.7684          0.1205          1.0523         -0.3063       -0.062791        1.300219
     2088.34233      2088.33361          9.8382          1.3035         17.9577          0.1438         -0.3345         -0.7218       -1.402975        1.303458
     2088.34927      2088.34055          7.1376          1.3059         18.3061          0.1986          3.0060         -0.7218       -2.892772        1.305919
     2088.35622      2088.34750         13.0873          1.3099         17.6479          0.1087          0.1972         -0.7218        0.830847        1.309909
     2088.36316      2088.35444         11.1021          1.3059         17.8265          0.1277         -0.6154         -0.3063       -1.116714        1.305899
     2088.37011      2088.36139         10.4710          1.3032         17.8900          0.1351          0.7652         -0.7218        0.165359        1.303214
     2088.37705      2088.36833         12.7070          1.3064         17.6799          0.1116         -1.1818         -0.3063        0.915978        1.306421
     2088.38400      2088.37527         11.2140          1.3035         17.8156          0.1262         -0.0387         -0.7218       -2.334372        1.303533
     2088.39094      2088.38222          8.1968          1.3045         18.1559          0.1728         -1.7132         -0.7218       -2.116510        1.304512
     2088.39789      2088.38916         10.1451          1.3087         17.9244          0.1401          1.5504         -0.7218       -1.177097        1.308702
     2088.40483      2088.39611         12.1110          1.3081         17.7320          0.1173          0.3922         -0.7218        0.947352        1.308066
     2088.41178      2088.40305          9.3923          1.3042         18.0081          0.1508          0.3958         -0.7218       -3.445797        1.304165
