# reference_flux:         30.1437
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2088.24454      2088.23639         29.2383          1.2698         16.7751          0.0472         -1.7439          0.5151        0.515122        1.269822
     2088.25148      2088.24333         29.6032          1.2724         16.7617          0.0467          2.3559          0.5459       -1.615303        1.272369
     2088.25843      2088.25027         31.6410          1.2603         16.6894          0.0432         -0.7362          0.5459        0.265529        1.260265
     2088.26537      2088.25722         30.7226          1.3061         16.7214          0.0462          0.5649          0.5459       -0.291455        1.306068
     2088.27232      2088.26416         31.6159          1.2691         16.6902          0.0436          1.9220          0.5459        0.877397        1.269056
     2088.27926      2088.27111         33.3825          1.2657         16.6312          0.0412          4.6546          0.5459        2.133714        1.265693
     2088.28621      2088.27805         31.0677          1.3023         16.7092          0.0455         -1.3586          0.5459        0.545938        1.302272
     2088.29315      2088.28500         23.2955          1.2796         17.0218          0.0596          2.0801          0.5459       -5.194680        1.279555
     2088.30010      2088.29194         31.6335          1.2836         16.6896          0.0441          2.7451          0.5151        1.020900        1.283595
     2088.30704      2088.29889         30.2447          1.2761         16.7384          0.0458         -1.3794          0.5151       -0.654097        1.276119
     2088.31398      2088.30583         30.4341          1.2910         16.7316          0.0461          0.2499          0.2655       -0.148648        1.290964
     2088.32093      2088.31277         24.0442          1.2845         16.9875          0.0580          2.4805          0.2655       -5.127658        1.284508
     2088.32787      2088.31972         32.6972          1.3242         16.6537          0.0440          1.1773          0.2655        1.609806        1.324185
     2088.33482      2088.32666         32.7638          1.2957         16.6515          0.0429         -2.0648          0.2655       -0.679486        1.295682
     2088.34176      2088.33361         28.2992          1.2756         16.8106          0.0489          0.6714          0.2655        0.711530        1.275627
     2088.34871      2088.34055         29.8041          1.3013         16.7543          0.0474          0.4899          0.5151        0.588520        1.301283
     2088.35565      2088.34750         34.9556          1.2666         16.5812          0.0393         -0.1485          0.2655        1.567185        1.266638
