# reference_flux:          9.5916
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2088.24516      2088.23639         12.7930          1.4268         17.6726          0.1211         -1.7681          0.3080        0.744302        1.426754
     2088.25211      2088.24333         10.5377          1.4264         17.8831          0.1470          1.0804          0.3080        1.427785        1.426372
     2088.25905      2088.25027          8.4222          1.4260         18.1264          0.1838          0.3201          0.2887       -3.248001        1.425989
     2088.26600      2088.25722          6.9380          1.4257         18.3369          0.2231          0.0476          0.2887       -2.381771        1.425733
     2088.27294      2088.26416         14.0825          1.4271         17.5683          0.1100         -0.5400          0.2887        2.629557        1.427118
     2088.27989      2088.27111         15.4630          1.4281         17.4668          0.1003         -0.8720          0.2887        4.247505        1.428095
     2088.28683      2088.27805          4.7316          1.4275         18.7525          0.3276          1.0780          0.2887       -3.504833        1.427499
     2088.29378      2088.28500         10.9939          1.4285         17.8371          0.1411          1.9931          0.2887        0.658080        1.428482
     2088.30072      2088.29194         11.6120          1.4298         17.7777          0.1337          0.5073          0.0020       -1.133285        1.429769
     2088.30767      2088.29889          7.4674          1.4263         18.2571          0.2074          1.5796          0.0020        2.000625        1.426294
     2088.31461      2088.30583         10.2132          1.4274         17.9171          0.1517         -0.0277          0.0020       -0.838807        1.427414
     2088.32155      2088.31277         10.0720          1.4266         17.9322          0.1538         -0.9038          0.0020        2.960760        1.426550
     2088.32850      2088.31972         12.9109          1.4282         17.6626          0.1201          1.6384          0.2887       -0.629122        1.428237
     2088.33544      2088.32666         11.6875          1.4281         17.7707          0.1327          0.8489          0.2887        2.603915        1.428093
     2088.34239      2088.33361         10.0200          1.4275         17.9378          0.1547         -0.2256          0.2887        0.002042        1.427482
     2088.34933      2088.34055         13.6138          1.4288         17.6051          0.1140          1.5025          0.0935        0.868275        1.428826
     2088.35628      2088.34750         15.5903          1.4311         17.4579          0.0997          0.6167          0.0935        0.288748        1.431052
     2088.36322      2088.35444         15.9063          1.4304         17.4361          0.0976          1.2497          0.0020        1.630217        1.430411
     2088.37017      2088.36139          9.4239          1.4278         18.0044          0.1645          2.6133          0.0020       -1.613186        1.427770
     2088.37711      2088.36833          7.4934          1.4273         18.2533          0.2068          1.9775         -0.3242       -0.324235        1.427307
     2088.38406      2088.37527          7.6779          1.4274         18.2269          0.2019          3.5272         -0.3242       -1.440352        1.427421
     2088.39100      2088.38222         10.4243          1.4292         17.8949          0.1489          0.5663          0.0020        0.405347        1.429212
     2088.39795      2088.38916          7.7877          1.4282         18.2115          0.1991          1.9423          0.0935        0.308033        1.428227
     2088.40489      2088.39611         12.1526          1.4288         17.7283          0.1277          2.1520          0.0935        0.352041        1.428792
     2088.41184      2088.40305          9.4001          1.4266         18.0072          0.1648         -1.7472          0.0020       -0.415440        1.426637
     2088.41878      2088.41000          6.7867          1.4264         18.3609          0.2282         -0.0303          0.0020       -2.281529        1.426379
     2088.42572      2088.41694          7.5736          1.4284         18.2417          0.2048          1.3525          0.0020       -3.543171        1.428362
     2088.43267      2088.42389          9.4554          1.4277         18.0008          0.1639          0.2278          0.0020       -3.704521        1.427672
     2088.43961      2088.43083          7.3010          1.4272         18.2815          0.2122          1.8413          0.0935       -1.362974        1.427247
     2088.44656      2088.43777         10.0976          1.4274         17.9295          0.1535          0.7399          0.0020       -0.811244        1.427386
     2088.45350      2088.44472         10.5407          1.4273         17.8828          0.1470          0.5099          0.0020        2.173314        1.427272
     2088.46045      2088.45166         10.4120          1.4288         17.8962          0.1490          3.5820          0.0020       -1.209107        1.428765
     2088.46739      2088.45861          9.5411          1.4264         17.9910          0.1623         -1.5469          0.0020        0.654524        1.426406
     2088.47434      2088.46555          9.0025          1.4269         18.0541          0.1721         -1.2417          0.0020       -1.632440        1.426911
     2088.48128      2088.47250         15.3097          1.4285         17.4776          0.1013         -0.4984         -0.0487        0.598151        1.428506
