# reference_flux:          2.5181
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2088.24546      2088.23639          1.3284          1.4557         18.8395         99.9000         -0.0674         -0.1810       -0.471225        1.455677
     2088.25240      2088.24333         -1.2337          1.4559         18.8394         99.9000          1.6302          0.0425       -1.040404        1.455851
     2088.25935      2088.25027         -0.1568          1.4576         18.8381         99.9000          1.3416          0.0425       -2.397127        1.457569
     2088.26629      2088.25722          5.9026          1.4586         18.5124          0.2683          0.7010          0.3588       -0.180968        1.458582
     2088.27323      2088.26416          4.4188          1.4566         18.8267          0.3579         -0.4791          0.3588        2.457852        1.456601
     2088.28018      2088.27111          3.8150          1.4581         18.8377         99.9000          1.0310          0.3588       -1.738340        1.458116
     2088.28712      2088.27805          3.9315          1.4578         18.8379         99.9000         -0.0966          0.3588        1.876430        1.457840
     2088.29407      2088.28500          1.9056          1.4563         18.8391         99.9000          1.1846          0.3588        1.082410        1.456323
     2088.30101      2088.29194          2.7299          1.4568         18.8387         99.9000         -1.8793          0.3588        0.402143        1.456832
     2088.30796      2088.29889         -3.9599          1.4570         18.8386         99.9000          0.0845          0.3588       -1.001693        1.456970
     2088.31490      2088.30583         -0.7365          1.4589         18.8371         99.9000          3.1116          0.3588        0.580373        1.458902
     2088.32185      2088.31277         -0.7558          1.4542         18.8406         99.9000          1.3972          0.3588        0.358806        1.454214
     2088.32879      2088.31972          1.2210          1.4544         18.8405         99.9000          0.5304          0.4021       -0.965795        1.454438
     2088.33574      2088.32666          1.9839          1.4542         18.8406         99.9000         -0.2654          0.4021        1.379226        1.454236
     2088.34268      2088.33361         -0.8806          1.4579         18.8379         99.9000          1.0672          0.4021        2.134200        1.457904
     2088.34963      2088.34055          0.7775          1.4481         18.8452         99.9000          1.0118          0.4021       -0.573079        1.448072
     2088.35657      2088.34750          1.1604          1.4566         18.8388         99.9000          2.3375          0.4021       -1.281840        1.456637
     2088.36351      2088.35444          1.8497          1.4506         18.8433         99.9000         -0.5421          0.3588        0.938642        1.450637
     2088.37046      2088.36139          2.5901          1.4522         18.8422         99.9000         -0.2901          0.0425        0.684465        1.452160
     2088.37740      2088.36833          3.5328          1.4538         18.8409         99.9000         -0.1798          0.0425        3.716784        1.453824
     2088.38435      2088.37527          2.2739          1.4504         18.8435         99.9000         -1.3969         -0.0297        0.042529        1.450394
     2088.39129      2088.38222         -0.0789          1.4505         18.8434         99.9000          3.1142          0.0056       -1.093961        1.450500
     2088.39824      2088.38916          4.1276          1.4517         18.8425         99.9000          0.4973          0.0425       -0.656731        1.451749
     2088.40518      2088.39611          3.1575          1.4533         18.8413         99.9000          0.2352          0.3588       -1.656086        1.453304
     2088.41213      2088.40305          2.6150          1.4530         18.8415         99.9000         -1.5736          0.4021        2.831807        1.453039
     2088.41907      2088.41000          2.9525          1.4539         18.8409         99.9000          0.1089          0.4021        0.795134        1.453902
     2088.42602      2088.41694          2.4173          1.4519         18.8423         99.9000          0.9455          0.4021        3.874257        1.451938
