# reference_flux:         33.6074
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2088.24538      2088.23639         29.0192          1.3306         16.7833          0.0498          0.2972         -0.8502        0.589089        1.330639
     2088.25232      2088.24333         37.4483          1.3500         16.5064          0.0391         -0.5328         -0.8502        0.474687        1.349999
     2088.25927      2088.25027         30.9749          1.3548         16.7125          0.0475          1.1879         -0.8071       -0.960529        1.354762
     2088.26621      2088.25722         32.0655          1.3851         16.6749          0.0469          1.0344         -0.8502       -0.850184        1.385114
     2088.27316      2088.26416         30.0389          1.3753         16.7458          0.0497          0.9129         -0.8071       -3.809541        1.375346
     2088.28010      2088.27111         35.1650          1.4121         16.5747          0.0436          1.3661         -0.8071        0.821333        1.412064
     2088.28704      2088.27805         34.3825          1.3836         16.5992          0.0437         -2.5356         -0.8071       -1.090340        1.383582
     2088.29399      2088.28500         33.1605          1.3778         16.6384          0.0451         -1.1598         -0.8502       -1.263317        1.377780
     2088.30093      2088.29194         29.6051          1.3943         16.7616          0.0511         -2.1119         -0.8502       -3.000310        1.394309
     2088.30788      2088.29889         36.2052          1.4070         16.5431          0.0422         -2.3569         -0.8502        2.194673        1.407008
     2088.31482      2088.30583         32.5002          1.3982         16.6603          0.0467         -0.5452         -0.8502        0.080653        1.398202
     2088.32177      2088.31277         32.9868          1.4398         16.6441          0.0474         -0.9155         -0.8502       -0.473442        1.439750
     2088.32871      2088.31972         36.1289          1.4218         16.5454          0.0427         -1.0900         -0.8502       -1.826189        1.421761
     2088.33566      2088.32666         35.3762          1.4466         16.5682          0.0444         -1.7592         -0.9078        1.704472        1.446628
     2088.34260      2088.33361         32.0263          1.4268         16.6762          0.0484         -2.3735         -0.9078       -0.807115        1.426797
     2088.34955      2088.34055         34.6690          1.4122         16.5901          0.0442         -0.0375         -0.9078       -0.502631        1.412173
     2088.35649      2088.34750         29.1787          1.4076         16.7773          0.0524         -0.3691         -0.8502       -1.903341        1.407628
     2088.36343      2088.35444         34.1654          1.4028         16.6060          0.0446         -1.9000         -0.8502       -0.109029        1.402839
     2088.37038      2088.36139         36.5656          1.4106         16.5323          0.0419         -1.3490         -0.8502        2.904102        1.410597
     2088.37732      2088.36833         36.0268          1.3985         16.5484          0.0421         -2.6633         -0.8502       -1.285366        1.398457
     2088.38427      2088.37527         30.6966          1.4037         16.7223          0.0496         -1.4568         -0.8502       -1.839592        1.403690
     2088.39121      2088.38222         35.7995          1.3810         16.5553          0.0419         -1.7253         -0.8502       -0.445912        1.380999
     2088.39816      2088.38916         33.3502          1.3755         16.6323          0.0448          0.0626         -0.8459       -1.103749        1.375523
     2088.40510      2088.39611         31.0548          1.4163         16.7097          0.0495         -0.4382         -0.8502       -0.907827        1.416258
