# reference_flux:         97.6806
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2088.24369      2088.23640         98.1579          1.5150         15.4602          0.0168          0.6131         -0.2298       -0.169366        1.515035
     2088.25063      2088.24335         97.5808          1.5280         15.4666          0.0170         -0.7828         -0.2298        0.440999        1.527990
     2088.25758      2088.25029         96.6910          1.5276         15.4765          0.0172          0.2345         -0.2298        0.706859        1.527605
     2088.26452      2088.25724         98.9945          1.5189         15.4510          0.0167         -0.7403         -0.2298       -0.224274        1.518899
     2088.27147      2088.26418         99.6641          1.5203         15.4437          0.0166         -0.3483         -0.2298        0.689249        1.520334
     2088.27841      2088.27113         94.5431          1.5190         15.5009          0.0174         -0.0951         -0.2298       -0.726270        1.519014
     2088.28536      2088.27807         95.9809          1.5283         15.4845          0.0173          0.4764         -0.2298       -0.806319        1.528327
     2088.29230      2088.28501         93.0696          1.5184         15.5180          0.0177         -0.5234         -0.2298       -2.947296        1.518370
     2088.29925      2088.29196         98.6373          1.5173         15.4549          0.0167          0.1410         -0.2298       -1.251880        1.517341
     2088.30619      2088.29890         92.8894          1.5106         15.5201          0.0177         -0.6011         -0.2731       -0.463280        1.510632
     2088.31313      2088.30585         96.4916          1.5185         15.4788          0.0171         -1.9512         -0.2298       -0.229810        1.518516
     2088.32008      2088.31279         95.8980          1.5068         15.4855          0.0171         -0.1667         -0.2298        0.080397        1.506763
     2088.32702      2088.31974         95.4767          1.5081         15.4903          0.0171         -0.1283         -0.2298       -0.133093        1.508063
     2088.33397      2088.32668         97.7158          1.5015         15.4651          0.0167         -0.8727         -0.2298       -0.728210        1.501549
     2088.34091      2088.33363         98.9283          1.4953         15.4517          0.0164         -1.5643         -0.2298       -1.008476        1.495329
     2088.34786      2088.34057         99.1804          1.5129         15.4489          0.0166          0.5776         -0.2243        1.480200        1.512938
     2088.35480      2088.34751         95.5542          1.5090         15.4894          0.0171         -0.0303         -0.2243       -0.684178        1.509048
     2088.36175      2088.35446         94.6633          1.5003         15.4995          0.0172          0.2071         -0.2243       -1.179934        1.500293
     2088.36869      2088.36140         96.2740          1.5105         15.4812          0.0170          2.2572         -0.1694        3.337306        1.510495
     2088.37564      2088.36835         97.7554          1.5012         15.4646          0.0167          1.1111         -0.1694        1.228720        1.501188
     2088.38258      2088.37529         94.8562          1.4985         15.4973          0.0172          2.0001         -0.1694        0.372613        1.498525
     2088.38952      2088.38224         98.0353          1.4977         15.4615          0.0166         -1.9228         -0.1694       -0.635670        1.497679
     2088.39647      2088.38918         96.6590          1.5003         15.4769          0.0169          1.7796         -0.1694        0.041540        1.500280
     2088.40341      2088.39613        100.1012          1.4992         15.4389          0.0163          0.3316         -0.1694       -0.273065        1.499154
     2088.41036      2088.40307         95.4550          1.5056         15.4905          0.0171          2.2893         -0.1694       -0.275327        1.505593
     2088.41730      2088.41001         93.8537          1.5130         15.5089          0.0175          1.6686         -0.2243       -0.964231        1.513043
     2088.42425      2088.41696         94.2277          1.5049         15.5046          0.0173          1.4695         -0.2243       -0.015234        1.504880
     2088.43119      2088.42390         99.1988          1.5129         15.4487          0.0166          2.5870         -0.2243        1.564051        1.512878
     2088.43814      2088.43085        100.7982          1.5189         15.4314          0.0164          0.9225         -0.1582        0.265800        1.518859
