# reference_flux:        997.1739
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2088.24362      2088.23640        997.9484          1.6171         12.9422          0.0018          2.0880          0.5031       -1.093166        1.617133
     2088.25056      2088.24335        998.1934          1.6203         12.9420          0.0018         -1.4370          0.5031        0.642984        1.620282
     2088.25750      2088.25029        999.8360          1.6136         12.9402          0.0018         -0.0601          0.5031        1.403089        1.613597
     2088.26445      2088.25724       1002.5179          1.6113         12.9373          0.0017          0.6144          0.5031        0.503076        1.611344
     2088.27139      2088.26418        997.7262          1.6284         12.9425          0.0018          0.7816          0.5031       -1.672016        1.628392
     2088.27834      2088.27113        998.6750          1.5992         12.9414          0.0017         -1.4235          0.5031        0.567101        1.599237
     2088.28528      2088.27807        999.9053          1.6042         12.9401          0.0017         -0.5713          0.5031        0.831328        1.604244
     2088.29223      2088.28501       1001.9561          1.6057         12.9379          0.0017          1.2886          0.5031        1.326857        1.605714
     2088.29917      2088.29196        996.0841          1.6009         12.9443          0.0017          3.5575          0.5031       -0.773169        1.600890
     2088.30612      2088.29890        999.9778          1.6061         12.9400          0.0017          1.0810          0.5671       -0.970048        1.606126
     2088.31306      2088.30585       1006.2667          1.6050         12.9332          0.0017          1.4029          0.5671       -0.123762        1.605002
     2088.32001      2088.31279       1006.3611          1.6101         12.9331          0.0017          1.5207          0.5671        3.294669        1.610136
     2088.32695      2088.31974       1007.4271          1.6033         12.9320          0.0017         -0.9969          0.5031        1.753768        1.603320
     2088.33390      2088.32668       1007.0472          1.6045         12.9324          0.0017          0.8247          0.5031       -0.257592        1.604548
     2088.34084      2088.33363       1002.8369          1.6094         12.9369          0.0017         -2.1881          0.5031        1.256699        1.609449
     2088.34779      2088.34057        995.5458          1.6087         12.9448          0.0018         -0.8369          0.5031       -1.285853        1.608713
     2088.35473      2088.34751        998.8281          1.6137         12.9413          0.0018         -0.2920          0.5671       -1.357279        1.613724
     2088.36167      2088.35446        999.5194          1.6098         12.9405          0.0017          1.6505          0.5031        1.761070        1.609777
     2088.36862      2088.36140       1001.3194          1.6035         12.9386          0.0017          0.5071          0.5031        2.639911        1.603482
     2088.37556      2088.36835        995.6505          1.6069         12.9447          0.0018         -0.8493          0.5031       -1.475875        1.606868
     2088.38251      2088.37529        996.4271          1.6006         12.9439          0.0017         -1.3018          0.5031       -0.666650        1.600637
     2088.38945      2088.38224       1005.8515          1.5965         12.9337          0.0017          2.9302          0.5031        0.979977        1.596484
     2088.39640      2088.38918        998.9987          1.6097         12.9411          0.0017         -0.3791          0.3126       -0.348664        1.609678
     2088.40334      2088.39613       1004.2517          1.6144         12.9354          0.0017         -0.7754          0.3126        1.085618        1.614358
     2088.41029      2088.40307        996.2438          1.5965         12.9441          0.0017         -2.4133          0.3126       -1.046063        1.596518
     2088.41723      2088.41001       1005.7038          1.6227         12.9338          0.0018         -0.5439          0.5031        2.940424        1.622743
     2088.42417      2088.41696       1003.7937          1.6103         12.9359          0.0017         -1.3293          0.5031       -1.107962        1.610284
     2088.43112      2088.42390       1000.3013          1.6195         12.9397          0.0018          1.2645          0.5031       -0.058329        1.619501
     2088.43806      2088.43085        997.0124          1.6030         12.9432          0.0017          2.1996          0.3126        1.901251        1.602972
     2088.44501      2088.43779        996.7024          1.6248         12.9436          0.0018          1.7179          0.3126        1.497802        1.624828
     2088.45195      2088.44474        997.8189          1.6036         12.9424          0.0017         -2.4058          0.1352       -0.272359        1.603644
     2088.45890      2088.45168       1001.0745          1.6055         12.9388          0.0017          0.3747          0.0037        1.521565        1.605549
     2088.46584      2088.45863       1008.4156          1.6131         12.9309          0.0017          0.4873          0.0037        3.339628        1.613142
     2088.47279      2088.46557       1002.3232          1.6205         12.9375          0.0018          0.2330          0.0037        0.651021        1.620459
     2088.47973      2088.47251       1002.5104          1.6054         12.9373          0.0017          0.7840          0.0037       -0.028707        1.605381
     2088.48668      2088.47946        996.8235          1.6166         12.9435          0.0018          0.8488          0.1352       -3.250451        1.616597
     2088.49362      2088.48640       1001.3037          1.6218         12.9386          0.0018         -1.5242          0.1352       -2.126491        1.621832
     2088.50057      2088.49335       1003.1151          1.6178         12.9366          0.0018         -0.7830          0.1352        0.003653        1.617802
     2088.50751      2088.50029        998.7028          1.6213         12.9414          0.0018          2.3749          0.1352        0.766310        1.621283
     2088.51445      2088.50724       1005.6530          1.6253         12.9339          0.0018          2.3187          0.1352        2.649895        1.625293
     2088.52140      2088.51418       1001.7765          1.6188         12.9381          0.0018         -2.0358          0.2539        0.312590        1.618797
     2088.52834      2088.52113        997.7578          1.6237         12.9424          0.0018          0.8136          0.2539        0.853348        1.623672
     2088.53529      2088.52807       1002.6655          1.6193         12.9371          0.0018         -0.2291          0.2539       -0.617531        1.619313
     2088.54223      2088.53501        997.9204          1.6165         12.9423          0.0018          1.5705          0.1352       -2.896785        1.616536
     2088.54918      2088.54196       1003.6676          1.6184         12.9360          0.0018         -0.7208          0.1352        2.446904        1.618396
     2088.55612      2088.54890        998.1913          1.6147         12.9420          0.0018          0.9544          0.2539       -1.485742        1.614741
     2088.56307      2088.55585       1004.5952          1.6173         12.9350          0.0017          1.1437          0.2539        2.236111        1.617288
     2088.57001      2088.56279       1002.9385          1.6086         12.9368          0.0017          0.3874          0.3126       -0.786777        1.608631
     2088.57696      2088.56974       1001.7224          1.6047         12.9381          0.0017          0.3364          0.2539        2.447965        1.604726
     2088.58390      2088.57668       1001.7997          1.6041         12.9380          0.0017          1.2205          0.2539        1.077897        1.604085
     2088.59085      2088.58363        999.5019          1.6231         12.9405          0.0018          1.5776          0.1352        1.740306        1.623108
     2088.59779      2088.59057        998.4557          1.6274         12.9417          0.0018         -0.7410          0.2539        0.135199        1.627368
     2088.60473      2088.59751        996.5685          1.6181         12.9437          0.0018         -0.4912          0.2539       -1.456356        1.618080
     2088.61168      2088.60446        998.6296          1.6084         12.9415          0.0017         -0.2987          0.2539       -2.097059        1.608415
     2088.61862      2088.61140        999.0863          1.6151         12.9410          0.0018         -3.3928          0.2539       -3.849318        1.615105
     2088.62557      2088.61835        997.1364          1.6233         12.9431          0.0018         -0.4272          0.2539        0.253879        1.623280
     2088.63251      2088.62529       1000.2799          1.6118         12.9397          0.0017         -1.3062          0.1352       -3.564445        1.611840
     2088.63946      2088.63224        993.8840          1.6268         12.9467          0.0018         -0.2947          0.1352       -2.613478        1.626825
     2088.64640      2088.63918       1001.6774          1.6056         12.9382          0.0017          1.0646          0.1352        1.135164        1.605602
     2088.65335      2088.64613       1001.7979          1.6036         12.9380          0.0017          0.3111          0.1352        0.450043        1.603618
     2088.66029      2088.65307       1001.5589          1.6072         12.9383          0.0017         -3.1827          0.2539        0.829153        1.607198
