# reference_flux:         25.7441
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2115.89101      2115.88221         26.7596          1.3331         16.8713          0.0541         -0.1887         -0.6701        1.451762        1.333120
     2115.89795      2115.88915         30.3641          1.3357         16.7341          0.0478          0.1610         -0.6701        1.786886        1.335733
     2115.90490      2115.89610         25.6552          1.3367         16.9171          0.0566         -0.6253         -0.4858        0.362814        1.336721
     2115.91184      2115.90304         22.4313          1.3264         17.0629          0.0642          0.8742         -0.4858        0.032144        1.326436
     2115.91879      2115.90998         25.3597          1.3353         16.9296          0.0572         -1.5842         -0.4858       -1.185723        1.335255
     2115.92573      2115.91693         25.6644          1.3312         16.9167          0.0563          0.1843         -0.4858        0.268823        1.331218
     2115.93268      2115.92387         26.2431          1.3320         16.8925          0.0551          0.3567         -0.4858       -0.311873        1.332048
     2115.93962      2115.93082         26.4219          1.3301         16.8851          0.0547         -0.3394         -0.4858        1.277953        1.330127
     2115.94657      2115.93776         23.5990          1.3601         17.0078          0.0626         -0.4261         -0.4858       -1.316074        1.360069
     2115.95351      2115.94471         25.9504          1.3276         16.9046          0.0555          0.8120         -0.3306       -0.670066        1.327577
     2115.96045      2115.95165         25.4245          1.3272         16.9269          0.0567         -1.2344         -0.3306       -1.460507        1.327200
     2115.96740      2115.95860         26.2853          1.3373         16.8907          0.0552          0.6703         -0.3306        0.309494        1.337320
     2115.97434      2115.96554         27.0302          1.3275         16.8604          0.0533          0.1661         -0.3306       -0.330610        1.327524
     2115.98129      2115.97248         25.0868          1.3295         16.9414          0.0575          0.4902         -0.3306       -1.410139        1.329540
     2115.98823      2115.97943         21.8672          1.3349         17.0905          0.0663         -0.2375         -0.3119       -0.748374        1.334891
     2115.99518      2115.98637         24.5267          1.3345         16.9659          0.0591         -0.8586         -0.3119       -2.096018        1.334511
     2116.00212      2115.99332         25.1789          1.3378         16.9374          0.0577         -0.4757         -0.0818       -0.746851        1.337807
     2116.00907      2116.00026         24.1825          1.3283         16.9812          0.0596         -0.2681         -0.0818       -1.198489        1.328268
     2116.01601      2116.00721         24.8911          1.3353         16.9499          0.0582         -0.8471         -0.0818       -0.485763        1.335337
     2116.02295      2116.01415         19.0507          1.3291         17.2402          0.0757          0.7816         -0.1750       -3.129939        1.329118
     2116.02990      2116.02110         24.8856          1.3267         16.9501          0.0579          1.0001         -0.1750        1.213627        1.326734
     2116.03684      2116.02804         25.2941          1.3307         16.9325          0.0571         -0.2714         -0.3119        1.466348        1.330653
     2116.04379      2116.03498         22.1195          1.3325         17.0781          0.0654          0.3770         -0.3306       -0.670793        1.332498
     2116.05073      2116.04193         19.7744          1.3260         17.1997          0.0728         -0.3536         -0.4858       -1.368520        1.325988
     2116.05768      2116.04887         23.6374          1.3303         17.0060          0.0611         -1.2427         -0.5305       -0.986195        1.330287
     2116.06462      2116.05582         25.7703          1.3322         16.9122          0.0561         -1.8304         -0.6701        1.279170        1.332219
     2116.07157      2116.06276         24.8056          1.3304         16.9536          0.0582         -0.4987         -0.6701        0.612672        1.330352
     2116.07851      2116.06971         24.2234          1.3285         16.9794          0.0595         -1.5378         -0.6701        0.705522        1.328497
     2116.08546      2116.07665         19.8895          1.3287         17.1934          0.0725          2.6212         -0.6708       -0.832182        1.328667
     2116.09240      2116.08360         25.4607          1.3281         16.9253          0.0566         -2.0884         -0.6708        0.654304        1.328069
     2116.09934      2116.09054         23.3966          1.3336         17.0171          0.0619         -0.1383         -0.7469       -0.530488        1.333638
     2116.10629      2116.09748         21.1481          1.3289         17.1268          0.0682         -0.1856         -0.7469       -1.297777        1.328863
     2116.11323      2116.10443         25.7253          1.3313         16.9141          0.0562         -1.1583         -0.7484        1.328815        1.331263
     2116.12018      2116.11137         26.3165          1.3329         16.8894          0.0550         -0.3601         -0.7469       -0.081838        1.332935
     2116.12712      2116.11832         20.5846          1.3315         17.1561          0.0702          0.2969         -0.7484       -1.385894        1.331478
     2116.13407      2116.12526         25.8617          1.3327         16.9084          0.0559         -1.3143         -0.7469       -1.797784        1.332661
     2116.14101      2116.13221         27.7400          1.3294         16.8322          0.0520         -1.6615         -0.7469        3.026241        1.329435
     2116.14796      2116.13915         23.9810          1.3287         16.9903          0.0602          2.1363         -0.7484        0.900379        1.328700
     2116.15490      2116.14610         24.4454          1.3369         16.9695          0.0594         -1.1711         -0.7469        0.427830        1.336907
     2116.16185      2116.15304         26.4337          1.3401         16.8846          0.0550         -0.0121         -0.7469        0.364127        1.340130
     2116.16879      2116.15998         26.3508          1.3302         16.8880          0.0548         -2.0462         -0.6708        1.647997        1.330227
     2116.17573      2116.16693         25.6626          1.3400         16.9167          0.0567          0.0510         -0.6708       -1.710245        1.339962
     2116.18268      2116.17387         23.8382          1.3319         16.9968          0.0607         -1.1067         -0.5305       -0.174980        1.331909
     2116.18962      2116.18082         19.6160          1.3326         17.2085          0.0738         -0.6634         -0.5305       -3.090193        1.332604
     2116.19657      2116.18776         21.6382          1.3342         17.1019          0.0669          1.9626         -0.5305       -1.558247        1.334188
     2116.20351      2116.19471         20.6236          1.3389         17.1541          0.0705         -1.9427         -0.5305       -3.132576        1.338890
     2116.21046      2116.20165         20.4459          1.3296         17.1635          0.0706         -0.7701         -0.6708       -1.421638        1.329633
     2116.21740      2116.20860         27.5744          1.3377         16.8387          0.0527         -1.6281         -0.5305       -0.993988        1.337689
     2116.22435      2116.21554         19.6639          1.3354         17.2058          0.0737          0.3587         -0.3960       -4.791121        1.335441
     2116.23129      2116.22248         26.6636          1.3353         16.8752          0.0544         -1.4063         -0.1750       -0.161324        1.335307
     2116.23823      2116.22943         23.9486          1.3332         16.9918          0.0604          1.0958         -0.1750        0.680347        1.333175
     2116.24518      2116.23637         21.1837          1.3311         17.1250          0.0682          0.5054         -0.3960       -1.523223        1.331092
     2116.25212      2116.24332         20.7810          1.3410         17.1458          0.0701          0.3155         -0.3960       -1.433119        1.340961
     2116.25907      2116.25026         24.8839          1.3300         16.9502          0.0580          0.9118         -0.3960       -2.721847        1.329955
     2116.26601      2116.25721         22.9044          1.3348         17.0402          0.0633          0.1651         -0.3960       -0.396019        1.334848
     2116.27296      2116.26415         22.2799          1.3293         17.0702          0.0648          1.5379         -0.3960       -0.873279        1.329302
     2116.27990      2116.27110         24.9850          1.3317         16.9458          0.0579          0.6253         -0.3960        1.213991        1.331726
     2116.28685      2116.27804         21.0360          1.3295         17.1326          0.0686         -0.0143         -0.6969       -1.753755        1.329525
     2116.29379      2116.28498         27.2547          1.3416         16.8514          0.0534         -1.8623         -0.6969        0.553382        1.341617
     2116.30074      2116.29193         24.8418          1.3325         16.9520          0.0582          0.8817         -0.6969        0.294616        1.332521
     2116.30768      2116.29887         19.1198          1.3422         17.2363          0.0762          2.0765         -0.6804       -2.715339        1.342220
     2116.31462      2116.30582         23.3405          1.3394         17.0197          0.0623         -0.3250         -0.6969        0.503886        1.339375
     2116.32157      2116.31276         23.5067          1.3342         17.0120          0.0616         -1.4482         -0.7102       -2.271902        1.334187
     2116.32851      2116.31971         26.4383          1.3387         16.8844          0.0550          0.5960         -0.7102        1.440006        1.338717
     2116.33546      2116.32665         21.2113          1.3312         17.1236          0.0681         -0.8473         -0.7102       -3.396011        1.331215
     2116.34240      2116.33360         25.4002          1.3418         16.9279          0.0574          0.2651         -0.7102        0.454778        1.341795
     2116.34935      2116.34054         21.7680          1.3417         17.0955          0.0669          0.7921         -0.6969        0.007759        1.341725
     2116.35629      2116.34748         22.6961          1.3423         17.0501          0.0642          1.1925         -0.6969       -1.705093        1.342286
     2116.36324      2116.35443         27.0428          1.3466         16.8599          0.0541         -2.4632         -0.6804        0.803077        1.346566
     2116.37018      2116.36137         27.3648          1.3406         16.8470          0.0532         -0.8687         -0.4539       -0.696899        1.340621
     2116.37712      2116.36832         24.3990          1.3346         16.9716          0.0594          0.5982         -0.3960        2.544919        1.334581
     2116.38407      2116.37526         26.6845          1.3459         16.8744          0.0548          0.1191         -0.3960       -0.159743        1.345913
     2116.39101      2116.38221         22.8880          1.3406         17.0410          0.0636          0.7419         -0.3960       -0.065876        1.340633
     2116.39796      2116.38915         25.0605          1.3406         16.9425          0.0581         -0.4425         -0.2068        1.359406        1.340591
     2116.40490      2116.39610         24.7852          1.3422         16.9545          0.0588         -1.3624         -0.3960       -0.710217        1.342181
     2116.41185      2116.40304         28.0495          1.3250         16.8202          0.0513         -0.7370         -0.3960        1.658920        1.324997
     2116.41879      2116.40998         17.7966          1.3451         17.3142          0.0821          1.3299         -0.2068       -3.948588        1.345150
     2116.42574      2116.41693         23.8866          1.3422         16.9946          0.0610          1.3522         -0.1954       -0.206827        1.342248
     2116.43268      2116.42387         22.7173          1.3418         17.0491          0.0641         -0.2601         -0.1954       -2.269715        1.341801
     2116.43962      2116.43082         26.5000          1.3461         16.8819          0.0552         -0.7173         -0.1954       -1.727531        1.346125
     2116.44657      2116.43776         22.0810          1.3300         17.0800          0.0654          0.2636         -0.1597       -2.133559        1.330021
     2116.45351      2116.44471         26.2192          1.3361         16.8934          0.0553         -1.0551         -0.1597       -0.680422        1.336071
     2116.46046      2116.45165         24.1886          1.3425         16.9810          0.0603         -1.9052         -0.1597       -1.223539        1.342494
     2116.46740      2116.45860         26.7681          1.3333         16.8710          0.0541         -0.1636         -0.1954        1.158883        1.333300
     2116.47435      2116.46554         20.9538          1.3358         17.1368          0.0692          1.6075         -0.2011       -3.208192        1.335822
     2116.48129      2116.47248         26.0670          1.3448         16.8998          0.0560         -0.0869         -0.2011       -0.856476        1.344805
     2116.48824      2116.47943         27.7179          1.3433         16.8331          0.0526         -1.0266         -0.2068        0.898464        1.343255
     2116.49518      2116.48637         23.3366          1.3379         17.0199          0.0622          1.1820         -0.2068        0.492536        1.337883
