# reference_flux:        -11.4105
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2115.89088      2115.88221          0.8319          1.3106         18.9535         99.9000          0.1704          0.0151        0.362760        1.310632
     2115.89783      2115.88915          1.2584          1.3321         18.9359         99.9000         -0.4300          0.0395       -1.320603        1.332053
     2115.90477      2115.89610          0.2660          1.3728         18.9032         99.9000         -1.0949          0.0151        0.015071        1.372816
     2115.91172      2115.90304          2.6650          1.3357         18.9329         99.9000         -0.5625          0.0151       -0.247297        1.335724
     2115.91866      2115.90998          1.2642          1.3496         18.9217         99.9000          0.5800          0.0151        2.198153        1.349560
     2115.92560      2115.91693          1.3221          1.3569         18.9158         99.9000         -2.5172         -0.2473        1.557520        1.356902
     2115.93255      2115.92387         -0.6947          1.3759         18.9008         99.9000         -0.7977         -0.2473       -0.429071        1.375859
     2115.93949      2115.93082         -2.3116          1.3772         18.8997         99.9000         -0.1000         -0.2473       -1.595964        1.377233
     2115.94644      2115.93776         -2.4854          1.2845         18.9754         99.9000         -0.3624         -0.2473       -1.207823        1.284489
     2115.95338      2115.94471         -2.7823          1.3704         18.9051         99.9000         -1.2959         -0.2473       -1.987298        1.370379
     2115.96033      2115.95165         -2.5892          1.4012         18.8810         99.9000         -0.2834         -0.2473       -0.718891        1.401161
     2115.96727      2115.95860          3.7272          1.3409         18.9287         99.9000          0.5531         -0.2473        2.543270        1.340900
     2115.97422      2115.96554          3.1066          1.3570         18.9157         99.9000         -2.8695         -0.2473        1.001195        1.356999
     2115.98116      2115.97248          4.0073          1.3950         18.8857         99.9000         -0.8883         -0.2599        0.462334        1.395042
     2115.98811      2115.97943         -1.0833          1.3921         18.8880         99.9000          1.1675         -0.2599        0.177949        1.392122
     2115.99505      2115.98637          3.2884          1.3728         18.9032         99.9000         -1.9420         -0.2473        2.347091        1.372792
     2116.00200      2115.99332          6.4891          1.4098         18.4095          0.2359         -2.1333         -0.2473        5.561675        1.409765
     2116.00894      2116.00026         -6.3801          1.4115         18.8730         99.9000          0.1674         -0.2473       -3.993563        1.411529
     2116.01588      2116.00721         -3.9937          1.3694         18.9058         99.9000         -0.2400         -0.2068       -0.626324        1.369432
     2116.02283      2116.01415          4.7836          1.3678         18.7406          0.3104         -2.7433         -0.2473        0.039452        1.367792
     2116.02977      2116.02110          0.6908          1.3785         18.8986         99.9000         -2.5721         -0.2473       -0.259872        1.378539
     2116.03672      2116.02804          1.8474          1.3939         18.8866         99.9000         -1.4972         -0.2473        0.611035        1.393867
     2116.04366      2116.03498         -0.6998          1.4132         18.8717         99.9000          0.3550         -0.2599        0.503890        1.413226
     2116.05061      2116.04193          2.9893          1.4466         18.8464         99.9000         -3.0309         -0.2473       -0.952043        1.446566
     2116.05755      2116.04887          3.7292          1.4086         18.8752         99.9000          0.1049         -0.2473        0.215499        1.408617
     2116.06450      2116.05582         -6.4446          1.3989         18.8827         99.9000         -4.2892         -0.2473       -1.875748        1.398899
     2116.07144      2116.06276         -0.0454          1.3780         18.8990         99.9000         -3.0302         -0.2473       -0.421768        1.378036
     2116.07838      2116.06971         -4.2276          1.4282         18.8603         99.9000         -0.1510         -0.2599       -1.350034        1.428157
     2116.08533      2116.07665          2.6805          1.4356         18.8546         99.9000         -2.7538         -0.2599       -0.473727        1.435593
     2116.09227      2116.08360          0.0917          1.3915         18.8885         99.9000         -1.7489         -0.4218       -0.623560        1.391508
     2116.09922      2116.09054          0.5580          1.3927         18.8876         99.9000          1.0635         -0.4218       -1.975413        1.392661
     2116.10616      2116.09748         -1.5638          1.4375         18.8532         99.9000         -4.1610         -0.3114       -1.043136        1.437451
     2116.11311      2116.10443          1.3153          1.4256         18.8622         99.9000         -1.7942         -0.2599        2.135878        1.425640
     2116.12005      2116.11137          4.6415          1.4184         18.7734          0.3318         -0.4067         -0.2068        0.514716        1.418435
     2116.12700      2116.11832          1.4057          1.4479         18.8454         99.9000         -0.2927         -0.1972        0.884567        1.447890
     2116.13394      2116.12526         -1.1158          1.4462         18.8466         99.9000         -3.8429         -0.1906       -0.206775        1.446168
     2116.14089      2116.13221         -3.6364          1.4231         18.8641         99.9000         -0.6391         -0.1906       -1.329720        1.423103
     2116.14783      2116.13915         -1.0435          1.4390         18.8521         99.9000         -0.3899         -0.1972       -1.339402        1.438991
     2116.15478      2116.14610          1.3476          1.4366         18.8539         99.9000          2.0036         -0.2068        0.009001        1.436607
     2116.16172      2116.15304         -0.8832          1.4430         18.8490         99.9000         -1.9363         -0.2599       -0.696152        1.443022
     2116.16866      2116.15998          0.3802          1.4262         18.8617         99.9000         -0.3261         -0.2599        0.683501        1.426231
     2116.17561      2116.16693          3.1187          1.3979         18.8835         99.9000         -2.7014         -0.2599        0.338495        1.397903
     2116.18255      2116.17387         -2.7495          1.4386         18.8524         99.9000          0.9946         -0.2599       -0.966307        1.438585
     2116.18950      2116.18082          0.5995          1.4168         18.8689         99.9000          0.1258         -0.2599       -1.424724        1.416784
     2116.19644      2116.18776         -1.5898          1.4047         18.8782         99.9000          1.3547         -0.2599        1.644879        1.404721
     2116.20339      2116.19471         -1.5447          1.4323         18.8571         99.9000         -1.1324         -0.2351       -0.471449        1.432259
     2116.21033      2116.20165          1.1073          1.4326         18.8569         99.9000         -2.5451         -0.2351        0.709084        1.432623
     2116.21728      2116.20860          0.9389          1.4296         18.8592         99.9000          1.4272         -0.2351       -0.011128        1.429591
     2116.22422      2116.21554          1.3029          1.4199         18.8665         99.9000         -0.2358         -0.2068        2.500631        1.419919
     2116.23117      2116.22248         -4.5668          1.4025         18.8799         99.9000          0.0797         -0.2068       -2.580283        1.402500
     2116.23811      2116.22943         -0.5755          1.4605         18.8360         99.9000         -1.2511         -0.2068       -1.426268        1.460472
     2116.24506      2116.23637         -3.1501          1.4105         18.8737         99.9000          0.5359         -0.1972       -0.197237        1.410541
     2116.25200      2116.24332         -3.4237          1.4119         18.8727         99.9000          0.8821         -0.1972       -0.489189        1.411880
     2116.25894      2116.25026         -0.9517          1.4308         18.8583         99.9000         -1.7382         -0.1906       -0.311437        1.430767
     2116.26589      2116.25721          3.9822          1.4615         18.8352         99.9000          1.5103         -0.1858        1.382870        1.461549
     2116.27283      2116.26415         -1.1469          1.4520         18.8423         99.9000         -0.3681         -0.1413        1.591621        1.451980
     2116.27978      2116.27110         -1.3488          1.4020         18.8804         99.9000          1.9700         -0.0353       -0.190583        1.401969
     2116.28672      2116.27804         -0.0537          1.4415         18.8502         99.9000         -0.9703         -0.0353        0.505057        1.441460
     2116.29367      2116.28498          1.4209          1.4523         18.8421         99.9000         -3.2847         -0.1413        2.941933        1.452307
     2116.30061      2116.29193          0.9100          1.4258         18.8620         99.9000          0.5667         -0.1413        0.200182        1.425836
     2116.30756      2116.29887         -5.5191          1.4300         18.8589         99.9000          0.9282         -0.1413       -3.112682        1.429979
     2116.31450      2116.30582         -9.1990          1.4048         18.8781         99.9000         -0.5374         -0.1413       -4.220800        1.404840
     2116.32145      2116.31276         -0.5949          1.4229         18.8643         99.9000         -0.7429         -0.0353       -0.760000        1.422863
     2116.32839      2116.31971          1.7690          1.3784         18.8988         99.9000         -0.0254         -0.0353       -0.235087        1.378363
