# reference_flux:         55.8023
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2115.89107      2115.88221         56.8795          1.3211         16.0526          0.0252         -0.1269         -0.2281        0.442560        1.321051
     2115.89801      2115.88915         54.2187          1.3150         16.1046          0.0263          1.7090         -0.2281        0.404034        1.315016
     2115.90495      2115.89610         50.6869          1.3098         16.1778          0.0281         -0.1667         -0.2281       -0.996762        1.309819
     2115.91190      2115.90304         53.8008          1.3344         16.1130          0.0269         -1.0116         -0.2281       -0.683849        1.334367
     2115.91884      2115.90998         55.0595          1.1829         16.0879          0.0233         -0.2309         -0.2281        0.004467        1.182927
     2115.92579      2115.91693         55.6328          1.3255         16.0767          0.0259          0.2465         -0.2281       -0.163519        1.325478
     2115.93273      2115.92387         54.1914          1.3586         16.1052          0.0272          0.0387         -0.1635       -0.228111        1.358617
     2115.93968      2115.93082         51.4047          1.2691         16.1625          0.0268         -0.8820         -0.1635       -0.517379        1.269094
     2115.94662      2115.93776         58.5081          1.3406         16.0220          0.0249          0.0477         -0.1635        0.687695        1.340630
     2115.95357      2115.94471         56.5378          1.4704         16.0592          0.0282         -1.7990         -0.1635        2.922013        1.470450
     2115.96051      2115.95165         49.5472          1.5006         16.2025          0.0329          0.2031         -0.1635       -0.971339        1.500556
     2115.96746      2115.95860         57.9286          1.1761         16.0328          0.0220          0.9115         -0.1635        1.042697        1.176122
     2115.97440      2115.96554         50.7445          1.5125         16.1765          0.0324         -0.6491         -0.1635       -1.416420        1.512522
     2115.98134      2115.97248         56.4537          1.4409         16.0608          0.0277         -1.6985         -0.1635       -0.234973        1.440933
     2115.98829      2115.97943         58.4863          1.2916         16.0224          0.0240         -0.8120         -0.1635        0.636638        1.291573
     2115.99523      2115.98637         52.7522          1.4283         16.1344          0.0294          0.4857         -0.1799       -0.242092        1.428329
     2116.00218      2115.99332         48.9005          1.4616         16.2167          0.0325          0.6878         -0.2281       -0.823101        1.461633
     2116.00912      2116.00026         56.1326          1.4271         16.0670          0.0276          1.4863         -0.2281        0.009401        1.427085
     2116.01607      2116.00721         50.9893          1.3757         16.1713          0.0293          1.1519         -0.1799       -3.370426        1.375673
     2116.02301      2116.01415         47.6771          1.4468         16.2442          0.0329          2.0451         -0.1799       -0.657276        1.446799
     2116.02996      2116.02110         53.3006          1.3517         16.1232          0.0275         -0.8864         -0.2281        0.296469        1.351735
     2116.03690      2116.02804         55.1956          1.4341         16.0852          0.0282          0.3184         -0.1799       -0.958181        1.434129
     2116.04385      2116.03498         54.1464          1.3859         16.1061          0.0278         -0.9320         -0.1635        0.022712        1.385871
     2116.05079      2116.04193         51.1857          1.4581         16.1671          0.0309          0.7919         -0.1635       -0.019629        1.458066
     2116.05774      2116.04887         55.3574          1.4241         16.0821          0.0279          1.7386         -0.1635       -0.252985        1.424097
     2116.06468      2116.05582         56.4870          1.4592         16.0601          0.0280          0.1269         -0.1799        1.053578        1.459171
     2116.07163      2116.06276         52.0591          1.4282         16.1488          0.0298         -1.2412         -0.1799        1.569303        1.428186
     2116.07857      2116.06971         50.5062          1.4444         16.1816          0.0310          0.3362         -0.1799       -1.602255        1.444379
     2116.08551      2116.07665         51.0232          1.4381         16.1706          0.0306          1.1748         -0.1799       -0.077650        1.438127
     2116.09246      2116.08360         54.7406          1.4535         16.0942          0.0288          0.8791         -0.1799        3.209092        1.453525
     2116.09940      2116.09054         51.6020          1.4564         16.1583          0.0306         -1.3767         -0.2281        0.000573        1.456396
     2116.10635      2116.09748         53.3765          1.4256         16.1216          0.0290         -0.2023         -0.2350        1.141232        1.425649
     2116.11329      2116.10443         50.1627          1.3978         16.1890          0.0303          1.5398         -0.2350       -0.179939        1.397777
     2116.12024      2116.11137         53.2756          1.3713         16.1237          0.0279          1.1609         -0.2350        0.206712        1.371281
     2116.12718      2116.11832         53.9312          1.4224         16.1104          0.0286         -0.4008         -0.2421       -1.334999        1.422414
     2116.13413      2116.12526         53.1903          1.4357         16.1254          0.0293          1.5454         -0.2421       -1.422013        1.435650
     2116.14107      2116.13221         51.3030          1.4176         16.1646          0.0300         -0.2217         -0.2421       -1.598047        1.417602
     2116.14802      2116.13915         55.1382          1.4513         16.0864          0.0286         -0.4154         -0.2421       -0.854340        1.451287
     2116.15496      2116.14610         50.0181          1.4911         16.1922          0.0324          0.4345         -0.2421       -0.616761        1.491075
     2116.16191      2116.15304         54.5940          1.3910         16.0971          0.0277          1.8051         -0.2530       -0.541670        1.391030
     2116.16885      2116.15998         54.1327          1.4983         16.1064          0.0301          0.6244         -0.2530       -0.765112        1.498291
     2116.17580      2116.16693         54.8456          1.4478         16.0921          0.0287          1.2340         -0.1799        0.763806        1.447778
     2116.18274      2116.17387         54.4532          1.4204         16.0999          0.0283          2.6673         -0.1799        1.198901        1.420369
     2116.18968      2116.18082         53.9844          1.4356         16.1093          0.0289         -0.3000         -0.0776       -0.387435        1.435556
     2116.19663      2116.18776         56.0090          1.4353         16.0694          0.0278         -0.8271         -0.0196        1.568868        1.435280
