# reference_flux:        -16.5947
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2115.89108      2115.88221          0.3702          1.5218         18.7913         99.9000         -0.2831          0.0080       -0.188134        1.521788
     2115.89803      2115.88915          0.5539          1.5187         18.7935         99.9000         -0.6860          0.0080        1.329740        1.518688
     2115.90497      2115.89610         -3.6359          1.5198         18.7927         99.9000          0.6526         -0.0712        0.041154        1.519801
     2115.91192      2115.90304          3.0216          1.5195         18.7930         99.9000         -1.4933          0.0080        1.933023        1.519492
     2115.91886      2115.90998          3.1232          1.5228         18.7906         99.9000         -1.5129          0.0080        3.143368        1.522795
     2115.92581      2115.91693         -1.8238          1.5191         18.7932         99.9000          0.1919          0.0080       -3.453383        1.519086
     2115.93275      2115.92387         -3.4294          1.5186         18.7936         99.9000         -1.5977         -0.0712        0.549746        1.518594
     2115.93970      2115.93082         -3.1994          1.5130         18.7976         99.9000          0.8227         -0.0712       -2.720666        1.512991
     2115.94664      2115.93776          1.4760          1.5231         18.7904         99.9000          1.1751         -0.0712        0.489927        1.523111
     2115.95359      2115.94471         -1.6518          1.5157         18.7957         99.9000         -1.3458          0.0080       -0.471044        1.515691
     2115.96053      2115.95165         -3.8128          1.5156         18.7958         99.9000         -2.4327          0.0412       -0.788902        1.515578
     2115.96748      2115.95860         -2.2191          1.5120         18.7984         99.9000         -2.3703          0.0412       -1.143422        1.511953
     2115.97442      2115.96554         -5.0855          1.5167         18.7950         99.9000          0.7499          0.0412       -4.170496        1.516684
     2115.98137      2115.97248         -9.5574          1.5141         18.7968         99.9000         -0.3652          0.0412       -4.551811        1.514071
     2115.98831      2115.97943         -0.1086          1.5176         18.7943         99.9000          0.7625          0.0412       -0.672505        1.517599
     2115.99525      2115.98637         -3.7078          1.5152         18.7960         99.9000         -2.9954          0.0412       -2.007342        1.515201
     2116.00220      2115.99332         -2.5479          1.5113         18.7989         99.9000         -1.0282          0.0412        0.007977        1.511252
     2116.00914      2116.00026          2.6349          1.5159         18.7955         99.9000         -3.9662          0.0412        0.814892        1.515892
     2116.01609      2116.00721         -1.9909          1.5140         18.7969         99.9000         -1.2096          0.0412        1.242281        1.514013
     2116.02303      2116.01415          5.8819          1.5207         18.5162          0.2807         -2.4505          0.0412        2.834043        1.520729
     2116.02998      2116.02110         -3.1349          1.5092         18.8003         99.9000          1.5244          0.0412        1.053370        1.509230
     2116.03692      2116.02804         -2.7483          1.5128         18.7977         99.9000         -3.1714          0.0412       -3.145568        1.512840
     2116.04387      2116.03498          1.6308          1.5071         18.8018         99.9000          0.9579          0.0080        2.182643        1.507135
     2116.05081      2116.04193         -3.7662          1.5087         18.8007         99.9000         -1.1417         -0.0712        0.946491        1.508656
     2116.05776      2116.04887         -0.3242          1.5054         18.8031         99.9000         -0.4138          0.0080       -0.071243        1.505391
