# reference_flux:          6.7395
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2115.88969      2115.88222          4.9373          1.1128         18.7063          0.2447          0.5426          0.0142       -1.098626        1.112766
     2115.89664      2115.88917          7.5330          1.1505         18.2476          0.1658          0.9747          0.0142        1.169204        1.150470
     2115.90358      2115.89611          3.3971          1.1508         19.0947         99.9000         -0.0883          0.0142       -2.270487        1.150814
     2115.91052      2115.90306          3.2408          1.1413         19.1037         99.9000         -0.3080          0.0142        0.014166        1.141263
     2115.91747      2115.91000          3.6814          1.0839         19.0250          0.3197          1.0213          0.0142       -1.837480        1.083945
     2115.92441      2115.91695          4.9200          1.0814         18.7101          0.2386          0.2336         -0.2205       -0.225338        1.081400
     2115.93136      2115.92389          6.9212          1.1111         18.3395          0.1743         -1.1646         -0.2205        0.838354        1.111062
     2115.93830      2115.93084          5.6127          1.1380         18.5671          0.2201          0.3704         -0.2205       -1.867832        1.137979
     2115.94525      2115.93778          5.6334          1.1823         18.5631          0.2279         -1.3557         -0.2205        1.774203        1.182326
     2115.95219      2115.94472          8.9809          1.1283         18.0567          0.1364         -2.7630         -0.2205        0.701702        1.128349
     2115.95914      2115.95167          7.7672          1.1218         18.2143          0.1568         -0.7387         -0.2205        1.493955        1.121839
     2115.96608      2115.95861          6.2830          1.1380         18.4446          0.1967          0.3298         -0.2205       -0.220469        1.138009
     2115.97303      2115.96556         10.2320          1.0627         17.9151          0.1128          0.2871         -0.2205        1.948489        1.062730
     2115.97997      2115.97250          6.8090          1.1235         18.3573          0.1792         -2.4158         -0.2253       -0.858589        1.123525
     2115.98691      2115.97945          2.0667          1.1117         19.1322         99.9000          0.6290         -0.2253       -1.816575        1.111685
     2115.99386      2115.98639          5.9562          1.1282         18.5026          0.2057         -0.3444         -0.2253       -0.810758        1.128213
     2116.00080      2115.99334          7.9269          1.1076         18.1922          0.1517         -1.3107         -0.2253       -0.425550        1.107605
     2116.00775      2116.00028          8.3208          1.0582         18.1396          0.1381         -1.3290         -0.2253        0.066197        1.058192
     2116.01469      2116.00722          3.2127          1.1237         19.1205         99.9000         -2.3057         -0.4255        0.897820        1.123740
     2116.02164      2116.01417          7.0299          1.1593         18.3226          0.1791         -1.5069         -0.4366        1.157718        1.159332
     2116.02858      2116.02111          7.8288          1.1199         18.2058          0.1553         -0.2621         -0.4366        1.838045        1.119902
     2116.03553      2116.02806         10.3136          1.1261         17.9065          0.1185         -1.1570         -0.4660        3.385434        1.126123
     2116.04247      2116.03500          5.5155          1.1200         18.5860          0.2205         -1.0769         -0.4366       -0.812258        1.119992
     2116.04942      2116.04195          6.0748          1.0814         18.4812          0.1933         -0.3699         -0.4366        0.149606        1.081423
     2116.05636      2116.04889          6.8355          1.1228         18.3531          0.1783         -2.6402         -0.4255       -0.514266        1.122813
     2116.06331      2116.05584          9.5976          1.1034         17.9846          0.1248         -1.1394         -0.4255        1.141757        1.103441
