# reference_flux:          7.6277
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2115.89042      2115.88222          8.0357          1.2723         18.1774          0.1719          0.4422         -0.0355        0.511223        1.272311
     2115.89736      2115.88917          3.7654          1.2649         18.9921         99.9000          0.3395          0.0491       -1.854500        1.264897
     2115.90431      2115.89611          2.7706          1.2619         18.9946         99.9000         -0.9190         -0.0355       -1.953167        1.261916
     2115.91125      2115.90306          9.7510          1.2637         17.9674          0.1407         -0.7837         -0.0355        0.407483        1.263661
     2115.91820      2115.91000          5.8140          1.2685         18.5288          0.2369         -1.3075         -0.0355       -0.547847        1.268462
     2115.92514      2115.91695          5.5784          1.2618         18.5737          0.2456          1.1079         -0.0355       -0.886102        1.261828
     2115.93209      2115.92389          7.2647          1.2686         18.2870          0.1896         -2.2302          0.0491       -1.052949        1.268637
     2115.93903      2115.93084          9.3087          1.2769         18.0178          0.1489         -2.5859          0.0491        2.462794        1.276939
     2115.94598      2115.93778          7.1232          1.2712         18.3083          0.1938          0.0828         -0.0355        1.724757        1.271226
     2115.95292      2115.94472          8.1175          1.2736         18.1664          0.1704         -0.7786         -0.0355        1.568947        1.273633
     2115.95986      2115.95167         10.7314          1.2712         17.8634          0.1286         -2.0135         -0.0355        0.657300        1.271153
     2115.96681      2115.95861          8.9987          1.2729         18.0545          0.1536         -0.4702         -0.0355       -0.035490        1.272909
     2115.97375      2115.96556          6.6221          1.2684         18.3875          0.2080          0.0161         -0.0355        0.252387        1.268368
     2115.98070      2115.97250         12.5062          1.2715         17.6972          0.1104         -1.2012          0.0317        2.562442        1.271507
     2115.98764      2115.97945          6.1044          1.2668         18.4759          0.2253         -0.2859          0.0317       -0.446249        1.266804
     2115.99459      2115.98639          3.6020          1.2594         18.9968         99.9000         -0.3508          0.0317       -1.356114        1.259430
     2116.00153      2115.99334          8.8519          1.2633         18.0724          0.1549         -1.6839         -0.0355        1.164300        1.263283
     2116.00848      2116.00028          3.3967          1.2646         18.9923         99.9000          1.3373         -0.2745       -1.461945        1.264582
     2116.01542      2116.00722          3.5334          1.2556         19.0001         99.9000          2.0434         -0.0355       -0.817655        1.255597
     2116.02237      2116.01417         10.4256          1.2584         17.8948          0.1311         -1.0808         -0.0123        2.521418        1.258444
     2116.02931      2116.02111          9.0497          1.2611         18.0484          0.1513          0.4381          0.0317        0.049078        1.261082
     2116.03626      2116.02806          7.1321          1.2578         18.3070          0.1915         -0.7297          0.0317       -0.428327        1.257822
     2116.04320      2116.03500          6.6328          1.2637         18.3858          0.2069         -1.2392          0.0317        1.983745        1.263706
     2116.05015      2116.04195          4.5307          1.2540         18.7996          0.3005         -2.4682          0.0317       -1.208728        1.253961
     2116.05709      2116.04889          9.0719          1.2547         18.0458          0.1502         -0.9080         -0.0123        1.641862        1.254725
     2116.06403      2116.05584          5.8242          1.2573         18.5269          0.2344         -2.7066         -0.0123       -2.168498        1.257322
     2116.07098      2116.06278          4.4224          1.2521         18.8258          0.3074          1.0287          0.0317       -0.621207        1.252105
     2116.07792      2116.06972          9.1504          1.2516         18.0364          0.1485         -2.0780          0.0317        2.007059        1.251596
     2116.08487      2116.07667          6.3028          1.2517         18.4412          0.2156          0.3096          0.0317        0.067944        1.251681
     2116.09181      2116.08361          7.5739          1.2568         18.2417          0.1802         -0.2898          0.0491        1.570543        1.256816
     2116.09876      2116.09056          5.8754          1.2578         18.5174          0.2324         -2.1579          0.0679       -0.684691        1.257763
     2116.10570      2116.09750          7.0628          1.2536         18.3176          0.1927          0.2219          0.2238       -0.274521        1.253607
     2116.11265      2116.10445          6.0702          1.2617         18.4820          0.2257         -0.8190          0.2238       -0.341419        1.261710
     2116.11959      2116.11139          5.0928          1.2659         18.6726          0.2699          0.6849          0.0679       -1.775683        1.265906
     2116.12654      2116.11834         10.1362          1.2584         17.9253          0.1348         -1.4308          0.0491        0.257367        1.258376
     2116.13348      2116.12528          6.7411          1.2607         18.3682          0.2031          0.6487          0.0491        0.031670        1.260713
     2116.14043      2116.13222          7.6706          1.2650         18.2279          0.1791          0.8345          0.0491        3.048382        1.265009
     2116.14737      2116.13917          6.7584          1.2621         18.3654          0.2028          0.5970          0.0317        1.801479        1.262074
     2116.15432      2116.14611          7.7363          1.2581         18.2187          0.1766         -0.5798          0.0317        2.755824        1.258108
     2116.16126      2116.15306          6.1448          1.2612         18.4687          0.2229         -2.9822          0.0491       -1.229340        1.261245
     2116.16821      2116.16000          5.9136          1.2618         18.5104          0.2317         -0.6791          0.0491       -0.751365        1.261765
     2116.17515      2116.16695          8.0522          1.2687         18.1752          0.1711         -1.3200          0.0317       -0.012305        1.268740
     2116.18209      2116.17389          6.5457          1.2691         18.4001          0.2105         -0.3605          0.0491        0.403016        1.269064
     2116.18904      2116.18084          6.3603          1.2708         18.4313          0.2169          0.6804          0.0679        1.466492        1.270783
     2116.19598      2116.18778         10.2518          1.2707         17.9130          0.1346          1.5170          0.0679        3.501009        1.270671
     2116.20293      2116.19472          1.6756          1.2693         18.9882         99.9000          0.2466          0.0679       -2.569391        1.269346
     2116.20987      2116.20167          9.9117          1.2758         17.9496          0.1397         -0.6338          0.2238       -0.642173        1.275763
     2116.21682      2116.20861          7.5662          1.2783         18.2428          0.1834          0.6723          0.0679       -0.203443        1.278340
     2116.22376      2116.21556         10.6716          1.2682         17.8694          0.1290         -2.3099          0.0679        0.223847        1.268217
     2116.23071      2116.22250          9.9120          1.2691         17.9496          0.1390         -0.8638          0.0679        1.301720        1.269132
     2116.23765      2116.22945         10.6480          1.2721         17.8718          0.1297         -1.5595          0.2238       -0.000473        1.272051
     2116.24460      2116.23639          9.9220          1.2699         17.9485          0.1390         -1.9658          0.2238        1.868436        1.269870
     2116.25154      2116.24334          8.4389          1.2758         18.1243          0.1641          0.3402          0.0679        1.950476        1.275827
     2116.25849      2116.25028          8.8740          1.2688         18.0697          0.1552         -0.2957          0.1846        0.495754        1.268807
     2116.26543      2116.25722          4.9677          1.2710         18.6996          0.2778          0.2478          0.1846        1.930736        1.271038
