# reference_flux:        -38.9493
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2115.88847      2115.88221         -1.0606          1.1847         19.0631         99.9000         -2.7612         -2.0499       -2.654110        1.184731
     2115.89541      2115.88916         -2.8866          1.1894         19.0589         99.9000          0.3311         -2.0499       -3.153160        1.189402
     2115.90236      2115.89610         -0.9710          1.1885         19.0597         99.9000         -0.3450         -2.0499       -2.738701        1.188523
     2115.90930      2115.90305         -3.0754          1.1874         19.0607         99.9000         -0.0811         -2.0499       -1.428914        1.187363
     2115.91625      2115.90999         -2.7634          1.1855         19.0624         99.9000          2.0352         -2.0499       -1.615196        1.185505
     2115.92319      2115.91694         -4.2297          1.1864         19.0616         99.9000         -1.5273         -2.0499       -2.320886        1.186417
     2115.93013      2115.92388         -1.5046          1.1932         19.0554         99.9000         -0.1967         -2.0499       -0.901085        1.193224
     2115.93708      2115.93082         -1.8505          1.1972         19.0518         99.9000         -0.2573         -2.0499       -2.605348        1.197203
     2115.94402      2115.93777         -0.6175          1.2036         19.0460         99.9000         -0.4858         -2.0499       -1.224453        1.203554
     2115.95097      2115.94471         -4.0823          1.1933         19.0553         99.9000          4.2224         -2.0499       -2.860210        1.193294
     2115.95791      2115.95166         -0.7332          1.1931         19.0555         99.9000          0.8085         -2.0397       -2.123096        1.193077
     2115.96486      2115.95860         -3.9749          1.1974         19.0516         99.9000          1.8205         -2.0499       -1.651200        1.197413
     2115.97180      2115.96555         -4.7686          1.1913         19.0571         99.9000          0.6512         -2.0397       -2.049906        1.191308
     2115.97875      2115.97249         -3.7792          1.1837         19.0641         99.9000          1.0169         -2.0397       -1.920695        1.183719
     2115.98569      2115.97944         -3.3914          1.1893         19.0589         99.9000          0.5472         -2.0397       -4.158256        1.189338
     2115.99264      2115.98638         -3.7214          1.1879         19.0603         99.9000          0.5436         -1.9207       -2.039687        1.187891
     2115.99958      2115.99332         -2.5022          1.1848         19.0631         99.9000          0.9484         -1.9207       -0.658772        1.184817
     2116.00653      2116.00027         -0.5573          1.1996         19.0496         99.9000          0.0931         -1.9207       -0.998947        1.199617
     2116.01347      2116.00721         -5.2177          1.1987         19.0504         99.9000         -2.8608         -1.9207       -3.336540        1.198705
     2116.02041      2116.01416          0.8099          1.1957         19.0531         99.9000          0.7454         -1.8252        0.414241        1.195741
     2116.02736      2116.02110         -6.3653          1.2035         19.0461         99.9000         -0.9176         -1.8252       -5.322938        1.203457
     2116.03430      2116.02805         -2.2475          1.1965         19.0524         99.9000          1.6764         -1.9207       -1.825214        1.196472
     2116.04125      2116.03499         -3.5509          1.2011         19.0482         99.9000         -1.0955         -1.9207       -3.758465        1.201144
     2116.04819      2116.04194          1.2681          1.2028         19.0467         99.9000          1.1747         -1.9207       -0.297918        1.202813
     2116.05514      2116.04888          1.0366          1.2062         19.0437         99.9000          0.4977         -1.8252        0.560460        1.206155
     2116.06208      2116.05582         -2.7276          1.2027         19.0468         99.9000          0.7910         -1.8252       -4.095457        1.202721
     2116.06903      2116.06277         -1.8261          1.2079         19.0422         99.9000          2.8877         -1.8252       -2.352391        1.207855
     2116.07597      2116.06971         -4.5178          1.2153         19.0355         99.9000          0.5891         -1.8009       -0.389003        1.215267
     2116.08292      2116.07666         -2.0705          1.2189         19.0322         99.9000          0.6677         -1.8009       -0.556234        1.218942
     2116.08986      2116.08360         -6.8678          1.1966         19.0524         99.9000          1.0412         -1.8252       -4.698751        1.196557
     2116.09681      2116.09055         -4.8313          1.1957         19.0531         99.9000          0.2809         -1.8252       -1.239034        1.195737
     2116.10375      2116.09749         -1.0303          1.2080         19.0420         99.9000          1.5781         -1.9207        1.027030        1.208027
     2116.11069      2116.10444          0.9361          1.1994         19.0498         99.9000         -0.0743         -1.8252       -1.800873        1.199391
     2116.11764      2116.11138         -1.4656          1.1994         19.0498         99.9000          1.1919         -1.9207       -0.808845        1.199357
     2116.12458      2116.11832         -4.4754          1.1903         19.0580         99.9000         -0.1237         -1.9207       -4.677736        1.190334
     2116.13153      2116.12527          1.3723          1.1985         19.0506         99.9000         -1.2656         -1.8252        0.232238        1.198549
     2116.13847      2116.13221          0.2894          1.2019         19.0475         99.9000          1.2739         -1.8252       -0.219073        1.201907
     2116.14542      2116.13916         -3.4332          1.1943         19.0544         99.9000          1.1607         -1.8252       -2.527140        1.194269
     2116.15236      2116.14610         -1.7922          1.1905         19.0579         99.9000         -0.8471         -1.8252       -1.661036        1.190459
     2116.15931      2116.15305          4.7996          1.2027         18.7370          0.2721          0.9055         -1.8252        0.063359        1.202671
     2116.16625      2116.15999         -1.2096          1.1920         19.0565         99.9000          2.2849         -1.8252       -2.974370        1.191964
     2116.17320      2116.16694          0.8639          1.1959         19.0530         99.9000          2.9452         -1.8252        0.562415        1.195891
     2116.18014      2116.17388          1.6167          1.1967         19.0522         99.9000         -0.1057         -1.9476        1.391143        1.196738
