# reference_flux:         30.9616
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2144.52285      2144.51414         27.9361          1.5217         16.8246          0.0591          0.2779         -1.0578       -1.459200        1.521693
     2144.52979      2144.52108         21.4030          1.5167         17.1138          0.0769          0.3263         -0.7842       -0.784233        1.516651
     2144.53674      2144.52803         26.5435          1.5438         16.8801          0.0631          0.3365         -0.7842       -3.216403        1.543817
     2144.54368      2144.53497         28.1692          1.5398         16.8156          0.0593         -0.4431         -0.7842       -1.251048        1.539773
     2144.55063      2144.54192         28.9248          1.5504         16.7868          0.0582          1.2197         -0.8807        1.118315        1.550360
     2144.55757      2144.54886         27.1658          1.5421         16.8549          0.0616          1.6231         -0.8807       -0.081884        1.542148
     2144.56452      2144.55581         25.7807          1.5462         16.9118          0.0651          0.9310         -0.8807       -0.477918        1.546204
     2144.57146      2144.56275         27.2981          1.5376         16.8497          0.0612          2.1102         -0.8625        0.798221        1.537603
     2144.57840      2144.56970         25.8770          1.5532         16.9077          0.0652          0.3501         -0.7842       -1.932327        1.553241
     2144.58535      2144.57664         31.5599          1.5433         16.6922          0.0531          1.0169         -0.8625        1.018587        1.543338
     2144.59229      2144.58358         24.5406          1.5339         16.9653          0.0679          3.1934         -0.7842       -2.427490        1.533888
     2144.59924      2144.59053         26.7277          1.5443         16.8726          0.0627          2.8871         -0.8625       -1.822464        1.544261
     2144.60618      2144.59747         28.9091          1.5365         16.7874          0.0577          0.3795         -0.8807        1.456630        1.536482
     2144.61313      2144.60442         27.5786          1.5730         16.8386          0.0619          3.5054         -0.8625        0.392725        1.572994
     2144.62007      2144.61136         27.1699          1.5727         16.8548          0.0628          0.4863         -0.8625       -1.536298        1.572724
     2144.62702      2144.61831         29.4589          1.5576         16.7670          0.0574         -0.0217         -0.8625        0.677009        1.557555
     2144.63396      2144.62525         25.7245          1.5736         16.9141          0.0664          3.1696         -0.7842       -1.057823        1.573634
     2144.64091      2144.63220         25.2859          1.5435         16.9328          0.0663          2.8702         -0.8625       -1.378062        1.543550
     2144.64785      2144.63914         29.1845          1.5467         16.7771          0.0575          0.1260         -0.8807        0.831653        1.546707
     2144.65480      2144.64608         27.8753          1.5468         16.8270          0.0602         -0.7340         -0.9916       -1.830135        1.546779
     2144.66174      2144.65303         22.6953          1.5585         17.0502          0.0746          1.8090         -0.9916        1.587288        1.558544
     2144.66869      2144.65997         27.4927          1.5612         16.8420          0.0617          1.7025         -0.9916       -2.791127        1.561154
     2144.67563      2144.66692         29.8819          1.5480         16.7515          0.0562          3.5076         -0.8807        0.396236        1.547967
     2144.68258      2144.67386         24.4863          1.5514         16.9677          0.0688          1.2861         -0.9916       -1.811714        1.551403
     2144.68952      2144.68081         24.9030          1.5694         16.9494          0.0684          1.7399         -0.8807        1.283585        1.569373
     2144.69646      2144.68775         27.3462          1.5306         16.8478          0.0608          0.4362         -0.8625        1.752245        1.530574
     2144.70341      2144.69470         27.1504          1.5606         16.8556          0.0624          1.4495         -0.8625       -1.241164        1.560568
     2144.71035      2144.70164         26.8761          1.5559         16.8666          0.0629          1.1589         -0.5673       -0.880657        1.555924
     2144.71730      2144.70858         23.2482          1.5450         17.0240          0.0722          1.6003         -0.5673       -1.703717        1.545047
     2144.72424      2144.71553         28.6172          1.5418         16.7984          0.0585         -1.2049         -0.5673       -0.862537        1.541790
     2144.73119      2144.72247         23.3977          1.5591         17.0171          0.0723          0.1941         -0.5673        0.440160        1.559112
     2144.73813      2144.72942         30.1122          1.5668         16.7431          0.0565         -0.8008         -0.8625        1.584490        1.566805
     2144.74508      2144.73636         31.0603          1.5974         16.7095          0.0558         -1.4668         -0.8625       -0.991641        1.597447
     2144.75202      2144.74331         27.4620          1.5710         16.8432          0.0621         -2.7949         -0.5673        0.208065        1.571028
     2144.75897      2144.75025         27.4417          1.6036         16.8440          0.0634         -1.2160         -0.5673       -1.393136        1.603576
     2144.76591      2144.75720         26.7983          1.5473         16.8697          0.0627         -4.5630         -0.5673       -3.100993        1.547309
     2144.77286      2144.76414         28.6671          1.5512         16.7965          0.0588         -0.7856         -0.5673       -0.142447        1.551226
     2144.77980      2144.77108         22.2778          1.6060         17.0703          0.0783          1.4297         -0.5673       -5.064094        1.605996
     2144.78675      2144.77803         25.3932          1.5728         16.9282          0.0673         -0.7594         -0.5673       -0.330239        1.572848
     2144.79369      2144.78497         29.7950          1.6063         16.7546          0.0585         -2.5354         -0.5673        0.484424        1.606267
     2144.80064      2144.79192         28.7254          1.5612         16.7943          0.0590         -1.2604         -0.5673       -1.449316        1.561176
     2144.80758      2144.79886         25.3096          1.5789         16.9318          0.0677         -0.2890         -0.4947       -3.177862        1.578866
     2144.81452      2144.80581         24.6075          1.5519         16.9623          0.0685         -1.2588         -0.4947       -2.377417        1.551908
     2144.82147      2144.81275         28.0352          1.5480         16.8207          0.0599         -0.4700         -0.5673       -0.494703        1.547961
     2144.82841      2144.81970         28.5808          1.5318         16.7998          0.0582         -1.2588         -0.5673       -1.206727        1.531836
     2144.83536      2144.82664         28.2407          1.5743         16.8128          0.0605         -2.3464         -0.5673       -0.567295        1.574269
     2144.84230      2144.83358         21.0754          1.5184         17.1306          0.0782         -0.5925         -0.5673       -1.504272        1.518446
     2144.84925      2144.84053         25.7164          1.5206         16.9145          0.0642         -5.6321         -0.7332       -0.364683        1.520598
     2144.85619      2144.84747         27.8537          1.5123         16.8278          0.0590         -1.0315         -0.7332        1.494746        1.512325
     2144.86314      2144.85442         28.8094          1.5321         16.7912          0.0577         -2.2176         -0.7466        0.273686        1.532053
     2144.87008      2144.86136         29.4052          1.5835         16.7689          0.0585         -2.3382         -0.8625        1.211409        1.583468
     2144.87703      2144.86831         27.8235          1.5837         16.8290          0.0618         -0.2065         -0.7466       -2.762521        1.583722
     2144.88397      2144.87525         28.2558          1.5376         16.8122          0.0591         -4.2329         -0.7466        0.746237        1.537550
     2144.89092      2144.88220         28.7695          1.5772         16.7927          0.0595          0.6404         -0.7466       -0.206128        1.577220
     2144.89786      2144.88914         22.0109          1.5682         17.0834          0.0774          1.7664         -0.7332       -2.528782        1.568236
     2144.90481      2144.89608         29.7633          1.5415         16.7558          0.0562         -0.7431         -0.7466        0.029624        1.541529
     2144.91175      2144.90303         26.1224          1.5618         16.8975          0.0649          3.1334         -0.7466       -0.406792        1.561760
     2144.91870      2144.90997         24.9181          1.5465         16.9487          0.0674          0.4575         -0.7466        0.585184        1.546533
     2144.92564      2144.91692         26.2256          1.5648         16.8932          0.0648         -0.7700         -0.8735       -1.008966        1.564797
     2144.93258      2144.92386         27.4168          1.5748         16.8450          0.0624         -0.8264         -0.7466       -1.490955        1.574779
     2144.93953      2144.93081         24.9652          1.5557         16.9467          0.0677          0.2907         -0.7466        0.235773        1.555717
     2144.94647      2144.93775         30.9414          1.5482         16.7136          0.0543          1.7874         -0.7563       -0.188223        1.548201
     2144.95342      2144.94470         25.5963          1.5498         16.9196          0.0657          2.4303         -0.7563       -3.291694        1.549754
     2144.96036      2144.95164         28.9608          1.5472         16.7855          0.0580          1.6630         -0.7563       -0.200084        1.547221
     2144.96731      2144.95858         29.5378          1.5226         16.7641          0.0560         -1.1383         -0.8261        0.590021        1.522598
     2144.97425      2144.96553         27.2603          1.5271         16.8512          0.0608         -2.3781         -0.7563       -1.482704        1.527127
     2144.98120      2144.97247         26.4767          1.5308         16.8828          0.0628         -0.7469         -0.7563       -1.634464        1.530773
