# reference_flux:         88.0727
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2144.52275      2144.51414        142.7412          1.8859         15.0536          0.0143         -0.7707          1.7878        3.242873        1.885894
     2144.52969      2144.52108        144.2588          1.9074         15.0421          0.0144          1.8869          1.7878        2.498765        1.907374
     2144.53664      2144.52803        139.1595          1.9080         15.0812          0.0149          3.6756          1.7878        2.314315        1.907977
     2144.54358      2144.53497        141.1672          1.8871         15.0657          0.0145          1.9912          1.7711        1.544007        1.887091
     2144.55053      2144.54192        137.1267          1.8754         15.0972          0.0148          0.2032          1.7711        1.899514        1.875370
     2144.55747      2144.54886        131.5071          1.8821         15.1426          0.0155          0.9661          1.7711        1.340212        1.882053
     2144.56441      2144.55581        139.3562          1.8834         15.0797          0.0147         -1.3795          1.7711        3.535767        1.883352
     2144.57136      2144.56275        133.1800          1.8896         15.1289          0.0154          0.7381          1.7711       -0.717134        1.889559
     2144.57830      2144.56970        135.2684          1.8990         15.1120          0.0152          2.8321          1.7711       -0.942271        1.899017
     2144.58525      2144.57664        133.1093          1.8657         15.1295          0.0152          1.0849          1.7711        1.816527        1.865722
     2144.59219      2144.58358        128.6747          1.8783         15.1663          0.0158          1.6705          1.7878        1.824462        1.878334
     2144.59914      2144.59053        135.2233          1.8946         15.1124          0.0152          2.8931          1.7878        1.787762        1.894610
     2144.60608      2144.59747        134.3805          1.8976         15.1192          0.0153          2.0831          1.7711        3.317618        1.897617
     2144.61303      2144.60442        127.7757          1.8950         15.1739          0.0161          2.9466          1.7474        1.224155        1.895023
     2144.61997      2144.61136        126.4187          1.8953         15.1855          0.0163          0.2821          1.6975        1.057218        1.895327
     2144.62692      2144.61831        124.6247          1.8946         15.2010          0.0165         -0.4539          1.5440        1.697480        1.894606
     2144.63386      2144.62525        125.8107          1.9054         15.1907          0.0164          2.1454          1.5440        2.978548        1.905364
     2144.64081      2144.63220        120.0264          1.9438         15.2418          0.0176          2.6095          1.6975        4.191921        1.943754
     2144.64775      2144.63914        116.1921          1.8994         15.2771          0.0177          2.1047          1.5440        0.594039        1.899431
     2144.65470      2144.64608        114.9633          1.9852         15.2886          0.0187          2.2024          1.5440        1.086501        1.985236
     2144.66164      2144.65303        114.1196          1.8949         15.2966          0.0180         -1.0622          1.5440       -0.262157        1.894949
     2144.66859      2144.65997        106.8852          1.9168         15.3677          0.0195          2.8630          1.4085        2.370966        1.916816
     2144.67553      2144.66692        117.5283          1.9726         15.2646          0.0182          3.1915          1.3402        1.771141        1.972579
     2144.68248      2144.67386        105.5390          1.8792         15.3815          0.0193         -0.9537          1.3239        4.851770        1.879235
     2144.68942      2144.68081        106.7267          1.8866         15.3693          0.0192          0.8395          1.2242        0.080420        1.886604
     2144.69636      2144.68775        102.3254          1.8831         15.4150          0.0200         -0.8017          1.2215        0.890993        1.883134
     2144.70331      2144.69470        101.3609          1.8856         15.4253          0.0202          2.0958          1.2215        1.408463        1.885567
     2144.71025      2144.70164         96.4774          1.9003         15.4789          0.0214         -1.8812          1.1932       -0.864391        1.900285
     2144.71720      2144.70858         96.2261          1.8935         15.4818          0.0214          0.2316          1.1557       -1.805185        1.893503
     2144.72414      2144.71553         94.9670          1.9167         15.4961          0.0219          0.9886          1.0865        0.535600        1.916691
     2144.73109      2144.72247         89.1393          1.8842         15.5648          0.0229         -0.8144          1.0572        2.124072        1.884159
     2144.73803      2144.72942         91.9999          1.9225         15.5305          0.0227          3.5312          1.0502        2.426150        1.922518
     2144.74498      2144.73636         82.4972          1.9270         15.6489          0.0254          1.8738          1.0502        0.334672        1.927016
     2144.75192      2144.74331         91.2504          2.0079         15.5394          0.0239          3.2299          1.0502        4.892392        2.007922
     2144.75887      2144.75025         83.9502          1.9269         15.6299          0.0249          2.3522          0.9290        1.221542        1.926910
     2144.76581      2144.75720         83.7913          2.0040         15.6320          0.0260          3.9043          0.8910        1.747394        2.003975
     2144.77276      2144.76414         81.3231          1.9350         15.6645          0.0258          1.3723          0.8263       -0.699767        1.935045
     2144.77970      2144.77108         81.1640          1.9886         15.6666          0.0266          1.3112          0.5940        1.155665        1.988623
     2144.78665      2144.77803         77.9945          1.8995         15.7098          0.0264         -1.3540          0.5356        0.826310        1.899490
     2144.79359      2144.78497         76.4918          1.9749         15.7310          0.0280          2.2690          0.3347        1.193197        1.974890
     2144.80054      2144.79192         75.0394          1.9237         15.7518          0.0278         -1.4251          0.0804        3.632973        1.923670
     2144.80748      2144.79886         72.6976          1.9023         15.7862          0.0284          1.0489         -0.0639        1.050250        1.902280
     2144.81443      2144.80581         70.6097          1.9043         15.8178          0.0293         -1.3822         -0.0639       -0.454978        1.904291
     2144.82137      2144.81275         71.5719          1.9235         15.8031          0.0292         -0.8669         -0.2622       -1.975334        1.923452
     2144.82831      2144.81970         73.6584          1.9189         15.7719          0.0283         -0.0288         -0.2622        0.928976        1.918916
