# reference_flux:        107.4560
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2144.52303      2144.51414        109.8271          1.4366         15.3382          0.0142          1.2332          0.5290        1.274374        1.436584
     2144.52997      2144.52108        106.0997          1.4914         15.3757          0.0153          5.3363          0.5290        0.930941        1.491435
     2144.53692      2144.52803        104.6226          1.5016         15.3909          0.0156          0.9693          0.5290       -2.018536        1.501631
     2144.54386      2144.53497        108.9585          1.4835         15.3468          0.0148          3.4368          0.6517        1.583259        1.483501
     2144.55080      2144.54192        108.9565          1.4733         15.3469          0.0147         -1.0196          0.5290        2.481892        1.473279
     2144.55775      2144.54886        104.2661          1.4554         15.3946          0.0152          0.5402          0.6517       -0.878892        1.455390
     2144.56469      2144.55581        108.9630          1.4817         15.3468          0.0148          5.8650          0.6517        1.031191        1.481715
     2144.57164      2144.56275        110.2891          1.4632         15.3337          0.0144          1.9169          0.6517        1.591585        1.463214
     2144.57858      2144.56970        111.3058          1.4414         15.3237          0.0141          3.7789          0.6517        1.912945        1.441383
     2144.58553      2144.57664        105.3516          1.4633         15.3834          0.0151          6.7545          0.6517       -1.057311        1.463313
     2144.59247      2144.58358        107.0759          1.4849         15.3658          0.0151          1.5109          0.6517       -2.669775        1.484884
     2144.59942      2144.59053        105.1024          1.4567         15.3860          0.0150          0.5407          0.6517       -0.058165        1.456702
     2144.60636      2144.59747        111.4878          1.5843         15.3219          0.0154          0.9163          0.8938       -0.714344        1.584348
     2144.61331      2144.60442        109.2378          1.5778         15.3441          0.0157          0.8022          0.9153        1.624560        1.577758
     2144.62025      2144.61136        108.0891          1.5328         15.3555          0.0154          0.6101          0.9153        0.085811        1.532819
     2144.62720      2144.61831        106.7558          1.5898         15.3690          0.0162         -3.3851          0.9309       -0.581552        1.589799
     2144.63414      2144.62525        107.5911          1.5895         15.3606          0.0160         -6.1234          0.9309       -0.647965        1.589501
     2144.64109      2144.63220        110.0860          1.6018         15.3357          0.0158         -3.0724          0.9153        0.893839        1.601774
     2144.64803      2144.63914        104.8541          1.6011         15.3885          0.0166         -1.6012          0.8938        0.915328        1.601104
     2144.65498      2144.64608        106.8256          1.5926         15.3683          0.0162         -3.4093          0.8938        0.529005        1.592555
     2144.66192      2144.65303        112.4807          1.5898         15.3123          0.0153         -1.9631          0.6517        2.042428        1.589786
     2144.66886      2144.65997        107.6204          1.5911         15.3603          0.0161          0.9302          0.6517       -0.528692        1.591051
     2144.67581      2144.66692        111.2447          1.5851         15.3243          0.0155          2.8300          0.6517       -0.777307        1.585063
     2144.68275      2144.67386        112.0252          1.5841         15.3167          0.0154          1.8052          0.5569        0.651714        1.584070
     2144.68970      2144.68081        110.7062          1.5853         15.3296          0.0155          2.5335          0.5290        1.059780        1.585336
     2144.69664      2144.68775        113.7750          1.5798         15.2999          0.0151          3.4159          0.5290        0.345674        1.579849
     2144.70359      2144.69470        117.3636          1.5874         15.2662          0.0147          3.5815          0.3457        4.395040        1.587445
     2144.71053      2144.70164        110.9376          1.5424         15.3273          0.0151          1.5163          0.3457       -0.540471        1.542382
     2144.71748      2144.70858        115.4229          1.5887         15.2843          0.0149          2.0105          0.3457        2.257985        1.588673
     2144.72442      2144.71553        113.3986          1.5796         15.3035          0.0151         -3.4010          0.1948        2.245943        1.579616
     2144.73137      2144.72247        113.8096          1.5952         15.2996          0.0152         -0.0222          0.1948        2.774258        1.595166
     2144.73831      2144.72942        107.0533          1.5922         15.3660          0.0161          0.4261          0.1948       -2.576856        1.592227
     2144.74526      2144.73636        109.1734          1.5759         15.3447          0.0157          5.2736          0.1948       -0.923214        1.575932
     2144.75220      2144.74331        107.8527          1.5887         15.3579          0.0160          1.3627          0.1948       -0.437161        1.588653
     2144.75914      2144.75025        110.8391          1.5860         15.3283          0.0155         -4.7658          0.1948        2.533656        1.586040
     2144.76609      2144.75720        110.7742          1.5218         15.3289          0.0149          0.9179          0.3457        3.014038        1.521833
     2144.77303      2144.76414        114.0742          1.4684         15.2970          0.0140         -2.9334          0.4484        4.065214        1.468444
     2144.77998      2144.77108        106.0090          1.6055         15.3766          0.0164         -3.3740          0.4484        0.071167        1.605488
     2144.78692      2144.77803        109.9852          1.5823         15.3367          0.0156         -0.5137          0.3457        2.031121        1.582255
     2144.79387      2144.78497        106.4693          1.4253         15.3719          0.0145          0.7034          0.3457        2.561956        1.425330
     2144.80081      2144.79192        108.1730          1.5213         15.3547          0.0153          0.2747          0.4484        0.556899        1.521341
     2144.80776      2144.79886        107.3858          1.5749         15.3626          0.0159          1.2472          0.4484       -0.148362        1.574930
     2144.81470      2144.80581        109.3682          1.5776         15.3428          0.0157          0.2160          0.3457       -0.046374        1.577595
     2144.82165      2144.81275        108.4515          1.5360         15.3519          0.0154          3.4811          0.1948       -0.361437        1.535998
     2144.82859      2144.81970        111.2362          1.5591         15.3244          0.0152          1.1842          0.0712        1.783829        1.559082
     2144.83554      2144.82664        106.9688          1.5553         15.3669          0.0158          4.3672          0.0133       -3.770211        1.555347
     2144.84248      2144.83358        108.5654          1.5330         15.3508          0.0153          6.7372          0.0712        0.194844        1.533037
     2144.84943      2144.84053        107.0105          1.5388         15.3664          0.0156          4.1680          0.0712       -0.967125        1.538793
     2144.85637      2144.84747        107.1174          1.5428         15.3653          0.0156          1.3585          0.0133        0.989748        1.542838
     2144.86331      2144.85442        109.0968          1.5633         15.3455          0.0156          2.4297          0.0133       -1.345899        1.563282
     2144.87026      2144.86136        107.0529          1.5878         15.3660          0.0161          2.2224         -0.0004       -2.532642        1.587840
     2144.87720      2144.86831        109.0485          1.5665         15.3460          0.0156         -0.5686         -0.0004        1.202669        1.566453
     2144.88415      2144.87525        105.9705          1.5832         15.3770          0.0162          5.8888          0.0133       -0.878208        1.583213
     2144.89109      2144.88220        105.7926          1.5344         15.3789          0.0157          4.1374         -0.0004       -0.577719        1.534395
     2144.89804      2144.88914        112.2685          1.5881         15.3144          0.0154         -1.2218         -0.0223        4.292772        1.588136
     2144.90498      2144.89608        112.3130          1.5867         15.3139          0.0153         -2.5884         -0.0464        2.956078        1.586737
