# reference_flux:         21.8770
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2144.52314      2144.51414         20.4068          1.1904         17.1656          0.0633          0.6523         -0.5232       -0.730892        1.190373
     2144.53009      2144.52108         20.3440          1.0693         17.1689          0.0571          0.4244         -0.4508        1.183239        1.069263
     2144.53703      2144.52803         21.2947          1.2463         17.1193          0.0635         -0.8364         -0.4508       -1.990748        1.246281
     2144.54398      2144.53497         22.4931          1.2538         17.0599          0.0605          0.4569         -0.4508        1.837052        1.253832
     2144.55092      2144.54192         23.3261          1.3011         17.0204          0.0606         -0.1882         -0.4508       -0.819188        1.301121
     2144.55787      2144.54886         19.5945          1.3364         17.2097          0.0741         -0.3939         -0.4571       -0.176047        1.336450
     2144.56481      2144.55581         23.1613          1.3044         17.0281          0.0611         -0.5320         -0.5232        1.653218        1.304355
     2144.57176      2144.56275         17.5335          1.2766         17.3303          0.0791         -0.2313         -0.5232       -3.057809        1.276643
     2144.57870      2144.56970         18.1505          1.3170         17.2928          0.0788         -2.4024         -0.4571       -2.339732        1.316955
     2144.58564      2144.57664         19.7728          1.2963         17.1998          0.0712         -0.2801         -0.5232       -1.581052        1.296261
     2144.59259      2144.58358         21.2137          1.3706         17.1235          0.0701         -0.8346         -0.5232       -0.911607        1.370620
     2144.59953      2144.59053         22.0637          1.2715         17.0808          0.0626         -0.3061         -0.7309       -1.061681        1.271481
     2144.60648      2144.59747         22.3237          1.2306         17.0681          0.0599         -2.0253         -0.7309       -0.450777        1.230628
     2144.61342      2144.60442         22.0818          1.3643         17.0799          0.0671          0.1478         -0.5232       -0.448520        1.364277
     2144.62037      2144.61136         19.6331          1.4714         17.2075          0.0814         -0.9364         -0.4571       -1.339345        1.471364
     2144.62731      2144.61831         17.9194          1.3567         17.3067          0.0822         -0.5818         -0.4508        0.168817        1.356697
     2144.63425      2144.62525         24.6194          1.2813         16.9618          0.0565         -1.2023         -0.4485       -0.523221        1.281275
     2144.64120      2144.63220         26.5804          1.3736         16.8786          0.0561         -1.6077         -0.3381        2.821717        1.373617
     2144.64814      2144.63914         20.1805          1.3791         17.1777          0.0742          0.6174         -0.4407        1.763197        1.379052
     2144.65509      2144.64608         19.3247          1.4585         17.2247          0.0819          2.5601         -0.4407        2.155709        1.458513
     2144.66203      2144.65303         16.8084          1.4712         17.3762          0.0950          0.7355         -0.3381       -0.338104        1.471155
     2144.66898      2144.65997         21.0809          1.4223         17.1303          0.0733         -1.8916         -0.3381       -1.156855        1.422326
     2144.67592      2144.66692         24.0067          1.5385         16.9892          0.0696          3.6462         -0.2580        1.751757        1.538541
     2144.68287      2144.67386         16.4052          1.4421         17.4025          0.0954          2.3158         -0.2580       -0.998078        1.442097
     2144.68981      2144.68081         23.8137          1.4860         16.9979          0.0678          1.0554         -0.2580        2.578013        1.486036
     2144.69675      2144.68775         22.1488          1.4103         17.0766          0.0691         -1.2988         -0.1760       -0.147267        1.410280
     2144.70370      2144.69470         24.9508          1.4027         16.9473          0.0610          0.5567         -0.1760        4.044503        1.402652
     2144.71064      2144.70164         21.1560          1.4676         17.1264          0.0753         -1.0309         -0.1473       -1.162236        1.467625
     2144.71759      2144.70858         22.4550          1.4685         17.0617          0.0710         -0.2892         -0.1473       -0.457095        1.468517
     2144.72453      2144.71553         17.3556          1.3690         17.3414          0.0856          2.0500         -0.1473       -3.210333        1.368960
     2144.73148      2144.72247         24.5460          1.5012         16.9650          0.0664         -1.4625         -0.0053        1.052520        1.501213
     2144.73842      2144.72942         23.4850          1.4328         17.0130          0.0662         -1.9056         -0.0053        2.447094        1.432800
     2144.74537      2144.73636         17.7671          1.5218         17.3160          0.0930          0.4290          0.0136       -0.852400        1.521764
     2144.75231      2144.74331         20.6635          1.3762         17.1520          0.0723         -1.0868          0.1688       -1.595095        1.376185
     2144.75926      2144.75025         17.2448          1.4129         17.3484          0.0890         -0.0655          0.2408       -4.012710        1.412903
     2144.76620      2144.75720         23.2881          1.3040         17.0222          0.0608         -1.4781          0.2408        0.771246        1.303985
     2144.77314      2144.76414         24.7531          1.3955         16.9559          0.0612         -3.1224          0.2408        1.365330        1.395527
     2144.78009      2144.77108         21.2223          1.4763         17.1230          0.0755          2.4679          0.3779        2.122688        1.476304
     2144.78703      2144.77803         26.5132          1.4966         16.8813          0.0613         -1.2805          0.7023        2.314115        1.496558
     2144.79398      2144.78497         21.6845          1.5151         17.0996          0.0759         -2.2762          0.7023        1.439599        1.515101
     2144.80092      2144.79192         17.6187          1.4071         17.3251          0.0867         -1.1277          0.7712        0.240835        1.407132
     2144.80787      2144.79886         26.3330          1.4499         16.8887          0.0598         -3.1498          0.8336       -0.440733        1.449865
     2144.81481      2144.80581         24.4224          1.4989         16.9705          0.0666         -2.6904          0.8336        5.048740        1.498902
     2144.82176      2144.81275         21.6587          0.2491         17.1009          0.0125          0.0772          0.7712       -0.005250        0.249146
     2144.82870      2144.81970         25.5602          1.5690         16.9211          0.0666         -1.8292          0.7023        0.702262        1.568992
     2144.83564      2144.82664         26.0845          1.5152         16.8990          0.0631         -3.4840          0.7712       -0.257980        1.515169
     2144.84259      2144.83358         23.3354          1.6218         17.0200          0.0755         -1.4871          0.8336        1.282213        1.621847
     2144.84953      2144.84053         26.0676          1.5518         16.8997          0.0646         -1.4464          0.7712       -0.434252        1.551833
     2144.85648      2144.84747         25.4952          1.3420         16.9239          0.0572         -1.7120          0.8336        0.377879        1.342005
     2144.86342      2144.85442         23.2413          1.2783         17.0243          0.0597          1.0873          0.7712        0.833581        1.278276
     2144.87037      2144.86136         25.1616          1.5490         16.9382          0.0668         -0.3558          0.8336        2.736709        1.548958
     2144.87731      2144.86831         24.0870          1.5166         16.9855          0.0684         -1.3031          0.7712        4.563631        1.516648
     2144.88426      2144.87525         21.1435          1.4588         17.1271          0.0749          0.0639          0.7712       -0.292921        1.458779
     2144.89120      2144.88220         25.5249          1.5518         16.9226          0.0660         -0.2494          0.8336        4.068618        1.551829
     2144.89814      2144.88914         19.2090          1.5380         17.2312          0.0869          2.5767          0.9298        1.462567        1.537976
     2144.90509      2144.89608         17.7854          1.3791         17.3148          0.0842          0.1044          0.9298        0.013620        1.379113
     2144.91203      2144.90303         24.4800          1.5371         16.9680          0.0682         -1.0025          0.9298        4.342614        1.537119
     2144.91898      2144.90997         27.4173          1.4409         16.8449          0.0571         -2.3616          1.0380        3.617622        1.440918
     2144.92592      2144.91692         21.1318          1.2655         17.1277          0.0650         -0.1671          1.0380       -0.345823        1.265456
     2144.93287      2144.92386         20.8574          1.4744         17.1418          0.0768         -1.1305          1.2126        0.211241        1.474429
     2144.93981      2144.93081         21.9268          1.5572         17.0876          0.0771         -3.9508          1.2126        2.272781        1.557161
     2144.94676      2144.93775         21.4941          1.4053         17.1092          0.0710         -0.5257          1.0380        1.212649        1.405311
     2144.95370      2144.94470         17.9310          1.4808         17.3060          0.0897         -1.7927          0.9298       -2.835227        1.480759
     2144.96065      2144.95164         21.2014          1.4543         17.1241          0.0745         -2.2667          0.9298        1.037984        1.454259
     2144.96759      2144.95858         19.4604          1.2273         17.2171          0.0685         -0.3748          0.8336        1.743148        1.227350
     2144.97453      2144.96553         25.1579          1.5101         16.9383          0.0652         -0.2318          0.8336        5.843552        1.510081
     2144.98148      2144.97247         21.3683          1.5076         17.1156          0.0766         -1.2910          0.8336       -0.572464        1.507600
     2144.98842      2144.97942         19.8956          1.5307         17.1931          0.0835         -1.2034          0.7023       -0.695981        1.530683
     2144.99537      2144.98636         21.4217          1.3856         17.1129          0.0702         -2.1892          0.7023        1.216426        1.385611
     2145.00231      2144.99331         23.9893          1.3213         16.9900          0.0598         -0.0527          0.8336        1.276101        1.321257
     2145.00926      2145.00025         18.1998          1.4232         17.2898          0.0849         -0.2309          0.8336       -3.252297        1.423160
     2145.01620      2145.00720         23.3776          1.4349         17.0180          0.0666          2.4536          0.8336        1.551453        1.434860
     2145.02315      2145.01414         17.0934          1.3115         17.3579          0.0833         -0.3470          0.9298       -1.025313        1.311477
     2145.03009      2145.02108         23.6702          1.4400         17.0045          0.0661         -1.7092          0.9298        3.270161        1.440042
     2145.03703      2145.02803         21.7697          1.4515         17.0954          0.0724         -0.2045          0.9539       -2.190436        1.451515
     2145.04398      2145.03497         21.2887          1.4063         17.1196          0.0717          1.3646          0.9539        0.318145        1.406298
     2145.05092      2145.04192         27.5211          1.4134         16.8408          0.0558          0.1656          0.9298        5.015047        1.413353
     2145.05787      2145.04886         22.0082          1.3822         17.0835          0.0682         -0.3573          0.9539        0.929767        1.382191
     2145.06481      2145.05581         26.2340          1.3094         16.8928          0.0542         -0.4883          0.9298        3.976668        1.309369
     2145.07176      2145.06275         24.1367          1.4023         16.9833          0.0631         -0.1135          0.5973        1.623057        1.402311
     2145.07870      2145.06970         24.2020          1.4263         16.9804          0.0640         -3.8349          0.5973        2.857776        1.426257
     2145.08565      2145.07664         20.5481          1.4248         17.1581          0.0753         -4.7283          0.4983       -1.424821        1.424762
     2145.09259      2145.08358         23.0914          1.3869         17.0314          0.0652          1.5629          0.4978        1.519169        1.386860
     2145.09953      2145.09053         20.6845          1.4366         17.1509          0.0754         -2.4800          0.4983       -1.455765        1.436613
     2145.10648      2145.09747         18.8977          1.4165         17.2490          0.0814         -1.7827          0.4983        0.284404        1.416519
     2145.11342      2145.10442         23.1248          1.4900         17.0298          0.0700         -2.3944          0.4978        0.405716        1.489996
     2145.12037      2145.11136         22.8129          1.4274         17.0446          0.0679         -1.3970          0.4057        0.953869        1.427430
     2145.12731      2145.11831         21.6761          1.5014         17.1000          0.0752         -3.4652          0.4057        0.597344        1.501425
     2145.13426      2145.12525         22.1482          1.4238         17.0767          0.0698         -3.3466          0.4057       -0.183685        1.423850
     2145.14120      2145.13220         18.8877          1.4476         17.2496          0.0832         -2.0009          0.4057       -1.649445        1.447605
     2145.14815      2145.13914         17.4522          1.4469         17.3354          0.0900         -1.0993          0.4057       -0.686461        1.446886
     2145.15509      2145.14608         19.8711          1.4189         17.1944          0.0775         -1.5361          0.4978       -1.532832        1.418950
     2145.16204      2145.15303         24.7064          1.4941         16.9580          0.0657         -3.5314          0.4978        2.867720        1.494075
     2145.16898      2145.15997         21.0533          1.4334         17.1317          0.0739          0.0990          0.4978       -4.008019        1.433413
     2145.17592      2145.16692         25.8453          1.4745         16.9090          0.0619         -0.6884          0.4978        1.556551        1.474496
     2145.18287      2145.17386         27.6572          1.4789         16.8355          0.0581          0.4145          0.4978        3.589940        1.478877
     2145.18981      2145.18081         20.7869          1.4428         17.1455          0.0754          0.0579          0.4057        0.497775        1.442839
     2145.19676      2145.18775         25.0854          1.5115         16.9414          0.0654         -1.2383          0.4978        2.213597        1.511483
     2145.20370      2145.19470         18.1291          1.4800         17.2941          0.0886          0.2095          0.4978        0.999070        1.480044
     2145.21065      2145.20164         19.1237          1.5562         17.2361          0.0884         -1.1668          0.4983        0.498288        1.556239
     2145.21759      2145.20858         21.9090          1.5821         17.0884          0.0784          2.1223          0.4983        2.166282        1.582131
     2145.22454      2145.21553         18.8217          1.5633         17.2534          0.0902         -1.5480          0.4978       -1.294766        1.563313
     2145.23148      2145.22247         24.9550          1.4358         16.9471          0.0625         -3.2592          0.4057       -2.192242        1.435781
     2145.23842      2145.22942         18.9039          1.3173         17.2486          0.0757         -0.0466          0.4057       -0.155576        1.317320
     2145.24537      2145.23636         18.9602          1.4394         17.2454          0.0824          1.0455          0.3045       -1.864403        1.439448
     2145.25231      2145.24331         23.1200          1.5471         17.0300          0.0727         -1.0113          0.2844       -1.494930        1.547132
     2145.25926      2145.25025         21.5409          1.3765         17.1068          0.0694         -0.9921          0.3045        1.054357        1.376463
     2145.26620      2145.25720         22.9836          1.4292         17.0365          0.0675         -1.3883          0.2844       -0.346609        1.429180
     2145.27315      2145.26414         23.2362          1.4352         17.0246          0.0671         -1.6769          0.3045       -1.712498        1.435213
     2145.28009      2145.27108         21.8848          1.4437         17.0896          0.0716         -2.6065          0.3045        0.103260        1.443722
     2145.28704      2145.27803         21.3984          1.4302         17.1140          0.0726         -1.5375          0.1033       -0.242279        1.430249
     2145.29398      2145.28497         23.1034          1.5822         17.0308          0.0744         -0.2113          0.1033        0.927605        1.582219
     2145.30092      2145.29192         21.3522          1.3495         17.1164          0.0686          0.5785         -0.0431        1.360417        1.349469
     2145.30787      2145.29886         24.8669          1.4199         16.9509          0.0620         -0.4214          0.1033        1.415113        1.419900
     2145.31481      2145.30581         22.7866          1.3496         17.0458          0.0643          2.0059          0.3045        3.654787        1.349605
     2145.32176      2145.31275         22.9349          1.4058         17.0388          0.0666         -1.3366          0.4255        0.304503        1.405809
     2145.32870      2145.31970         23.4677          1.3978         17.0138          0.0647         -1.6009          0.4978        2.776095        1.397751
     2145.33565      2145.32664         21.7710          1.3590         17.0953          0.0678          0.1881          0.4843        0.998648        1.358957
     2145.34259      2145.33358         26.8523          1.4224         16.8675          0.0575         -0.8406          0.4978       -0.202078        1.422351
     2145.34954      2145.34053         21.8948          1.3868         17.0891          0.0688          1.4362          0.4978       -0.043094        1.386756
     2145.35648      2145.34747         21.9138          1.2031         17.0882          0.0596          2.1123          0.4843        1.122727        1.203094
     2145.36342      2145.35442         23.2532          1.3160         17.0238          0.0614          0.0528          0.4843        1.910540        1.316025
     2145.37037      2145.36136         23.4964          1.4244         17.0125          0.0658         -2.6860          0.4843        2.215838        1.424354
     2145.37731      2145.36831         16.3347          1.5550         17.4072          0.1034         -1.2138          0.4255       -1.461756        1.554950
     2145.38426      2145.37525         20.5661          1.4043         17.1571          0.0741         -1.0807          0.4255       -0.441779        1.404262
     2145.39120      2145.38220         19.2865          1.5235         17.2269          0.0858          2.8974          0.3045       -1.347812        1.523501
     2145.39815      2145.38914         23.6238          1.3940         17.0066          0.0641         -1.2393          0.3045        1.741456        1.393956
     2145.40509      2145.39608         22.6413          1.3411         17.0527          0.0643         -1.1684          0.4255       -0.356201        1.341074
