# reference_flux:         80.8269
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2144.52154      2144.51416         86.7299          1.2716         15.5946          0.0159         -2.4566          0.2019        2.014736        1.271630
     2144.52849      2144.52110         79.2435          1.2688         15.6926          0.0174          1.0843          0.2290       -0.090080        1.268796
     2144.53543      2144.52805         81.5599          1.2691         15.6613          0.0169          0.4933          0.2290        0.190919        1.269141
     2144.54237      2144.53499         77.5973          1.2644         15.7154          0.0177         -1.9141          0.2290       -2.660562        1.264424
     2144.54932      2144.54194         80.1336          1.2707         15.6805          0.0172          0.9753          0.2290        1.055619        1.270653
     2144.55626      2144.54888         80.3509          1.2490         15.6775          0.0169         -2.7307          0.2290        0.885217        1.248994
     2144.56321      2144.55582         78.3227          1.2632         15.7053          0.0175          2.4512          0.2290       -2.042033        1.263182
     2144.57015      2144.56277         82.4085          1.2641         15.6501          0.0167         -2.3296          0.2290        1.017112        1.264119
     2144.57710      2144.56971         80.0788          1.2682         15.6812          0.0172         -1.0934          0.2290       -1.133518        1.268162
     2144.58404      2144.57666         82.7233          1.2602         15.6459          0.0165         -1.2705          0.2290        1.711091        1.260179
     2144.59099      2144.58360         77.1856          1.2624         15.7212          0.0178          0.1213          0.2290       -3.144741        1.262416
     2144.59793      2144.59055         78.8496          1.2533         15.6980          0.0173         -0.4117          0.2019       -2.886773        1.253333
     2144.60488      2144.59749         82.2284          1.2660         15.6524          0.0167         -1.7565          0.2290        0.201900        1.266048
     2144.61182      2144.60444         80.2185          1.2580         15.6793          0.0170         -1.2697          0.2884        0.229047        1.257963
     2144.61877      2144.61138         86.2663          1.2732         15.6004          0.0160         -0.1463          0.3200        2.527426        1.273163
     2144.62571      2144.61832         82.0526          1.2652         15.6548          0.0167         -0.7894          0.3200       -0.174463        1.265202
     2144.63265      2144.62527         82.6994          1.2729         15.6462          0.0167          1.3171          0.4655        0.481375        1.272895
     2144.63960      2144.63221         77.4352          1.2636         15.7177          0.0177          1.8292          0.3200       -3.252709        1.263601
     2144.64654      2144.63916         80.7623          1.2727         15.6720          0.0171          1.8423          0.3200        0.465510        1.272735
     2144.65349      2144.64610         85.5801          1.2612         15.6091          0.0160         -0.1752          0.2884        3.153726        1.261192
     2144.66043      2144.65305         80.1715          1.2852         15.6800          0.0174          0.9948          0.2290        0.288367        1.285190
     2144.66738      2144.65999         81.8854          1.2687         15.6570          0.0168          0.7259          0.2884       -0.916449        1.268653
     2144.67432      2144.66693         83.0142          1.2782         15.6421          0.0167         -2.1975          0.2884        3.113120        1.278164
     2144.68127      2144.67388         76.4536          1.2664         15.7315          0.0180          0.9051          0.3200       -3.597148        1.266433
