# reference_flux:         67.3763
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2144.52141      2144.51416         67.3570          1.2478         15.8690          0.0201          1.2261         -0.9898       -0.417958        1.247811
     2144.52836      2144.52110         67.1573          1.2509         15.8723          0.0202          1.2436         -0.9898        0.858935        1.250926
     2144.53530      2144.52805         61.5037          1.2395         15.9677          0.0219          1.2788         -0.4753       -4.482500        1.239527
     2144.54225      2144.53499         65.8393          1.1858         15.8938          0.0196         -2.0968         -0.4753        0.258291        1.185839
     2144.54919      2144.54194         62.4667          1.1906         15.9509          0.0207          1.2271         -0.4753       -2.252838        1.190628
     2144.55613      2144.54888         62.0831          1.1869         15.9576          0.0208          0.8206         -0.6535       -2.647686        1.186904
     2144.56308      2144.55582         64.5753          1.2384         15.9148          0.0208          0.4410         -0.4753       -0.475282        1.238352
     2144.57002      2144.56277         69.1655          1.1741         15.8403          0.0184          0.5459         -0.4753        2.095409        1.174110
     2144.57697      2144.56971         63.0068          1.1815         15.9415          0.0204          0.2802         -0.6535       -3.718833        1.181494
     2144.58391      2144.57666         69.5456          1.1899         15.8343          0.0186         -0.9901         -0.6535       -1.097449        1.189868
     2144.59086      2144.58360         64.4353          1.2356         15.9172          0.0208         -0.1533         -0.4753        0.497024        1.235605
     2144.59780      2144.59055         62.8114          1.2434         15.9449          0.0215         -0.9381         -0.4753       -3.993838        1.243425
     2144.60475      2144.59749         67.4679          1.2066         15.8673          0.0194         -1.8785         -0.4753        2.099417        1.206646
     2144.61169      2144.60444         61.2602          1.2159         15.9721          0.0215          0.9009         -0.4753       -2.861471        1.215880
     2144.61864      2144.61138         66.1593          1.1989         15.8885          0.0197         -0.1177         -0.4753       -0.989816        1.198898
     2144.62558      2144.61832         64.5938          1.2207         15.9145          0.0205          2.3929         -0.4753       -2.370099        1.220730
     2144.63253      2144.62527         62.9032          1.2245         15.9433          0.0211          3.0101         -0.4655        0.051603        1.224456
     2144.63947      2144.63221         66.9080          1.2246         15.8763          0.0199         -0.5359         -0.4655        0.687460        1.224633
     2144.64642      2144.63916         60.9411          1.2568         15.9777          0.0224          0.0925         -0.4655       -2.522820        1.256839
     2144.65336      2144.64610         66.7877          1.2153         15.8783          0.0198         -0.0284         -0.4655        0.881203        1.215255
     2144.66030      2144.65305         65.8967          1.2153         15.8928          0.0200          1.3673         -0.4655        0.387947        1.215268
     2144.66725      2144.65999         59.9960          1.2245         15.9947          0.0222         -0.2251         -0.4753       -3.254710        1.224502
     2144.67419      2144.66693         65.8372          1.2450         15.8938          0.0205         -1.1408         -0.4655       -1.576153        1.244950
     2144.68114      2144.67388         69.7101          1.2233         15.8318          0.0191          0.0493         -0.4753        4.454346        1.223294
     2144.68808      2144.68082         65.1309          1.2251         15.9055          0.0204         -0.2922         -0.4753        1.547442        1.225051
     2144.69503      2144.68777         67.9286          1.2186         15.8599          0.0195          2.7227         -0.4753        0.044793        1.218600
     2144.70197      2144.69471         64.3373          1.2093         15.9188          0.0204         -1.0941         -0.5019        0.971899        1.209324
     2144.70892      2144.70166         62.3513          1.2063         15.9529          0.0210          1.6393         -0.4753       -3.334625        1.206303
     2144.71586      2144.70860         65.4912          1.2087         15.8995          0.0200         -0.9239         -0.5019       -0.653489        1.208725
     2144.72281      2144.71555         68.0576          1.2096         15.8578          0.0193          0.5985         -0.5019        0.383383        1.209580
     2144.72975      2144.72249         68.5187          1.2165         15.8505          0.0193         -1.0376         -0.4753        1.394728        1.216503
     2144.73669      2144.72943         69.0892          1.2152         15.8415          0.0191         -0.0471         -0.4655       -0.932680        1.215238
     2144.74364      2144.73638         66.8064          1.2608         15.8780          0.0205          1.5681         -0.5019       -2.453564        1.260816
     2144.75058      2144.74332         65.0436          1.2101         15.9070          0.0202          1.9479         -0.5019       -0.372271        1.210135
     2144.75753      2144.75027         68.2227          1.2281         15.8552          0.0195         -0.3839         -0.4655        0.276229        1.228082
     2144.76447      2144.75721         63.4625          1.2136         15.9337          0.0208         -1.9148         -0.4655       -1.210733        1.213620
     2144.77142      2144.76416         65.8644          1.2133         15.8934          0.0200         -0.4978         -0.4655       -1.569578        1.213319
     2144.77836      2144.77110         65.5689          1.2112         15.8983          0.0201          0.4172         -0.4655       -0.465495        1.211240
     2144.78531      2144.77805         67.9080          1.2607         15.8602          0.0202          0.2668         -0.4655        1.048949        1.260724
     2144.79225      2144.78499         67.4873          1.2091         15.8669          0.0195         -3.1706         -0.4655        0.174530        1.209069
     2144.79920      2144.79193         66.0549          1.2085         15.8902          0.0199         -2.4006         -0.3963        0.228611        1.208522
     2144.80614      2144.79888         60.7626          1.2773         15.9809          0.0228          1.5787         -0.4655       -0.501931        1.277329
     2144.81309      2144.80582         66.5981          1.2399         15.8813          0.0202          0.7872         -0.5019       -0.629599        1.239899
     2144.82003      2144.81277         65.0861          1.2297         15.9063          0.0205          1.2092         -0.5019       -1.701888        1.229723
     2144.82697      2144.81971         67.6059          1.2226         15.8650          0.0196         -0.0782         -0.5220       -1.099377        1.222628
     2144.83392      2144.82666         62.9851          1.2177         15.9419          0.0210         -0.1932         -0.6296        0.090799        1.217686
     2144.84086      2144.83360         64.1674          1.2214         15.9217          0.0207         -0.2200         -0.5220       -1.982240        1.221373
     2144.84781      2144.84055         65.3025          1.2167         15.9027          0.0202         -0.4703         -0.5220        0.112863        1.216670
