# reference_flux:          3.8066
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2174.25898      2174.25024          3.9749          1.2185         18.9417          0.3328          0.9147         -0.5265       -1.228892        1.218495
     2174.26592      2174.25718          6.6872          1.2167         18.3769          0.1976         -1.1314         -0.5265        0.260660        1.216745
     2174.27287      2174.26413          1.8115          1.2172         19.0338         99.9000         -0.9027         -0.4103       -1.318910        1.217156
     2174.27981      2174.27107          8.0471          1.2197         18.1759          0.1646         -2.8223         -0.4103        0.432571        1.219672
     2174.28676      2174.27801          2.0157          1.2206         19.0307         99.9000         -1.9239         -0.5265       -1.301636        1.220631
     2174.29370      2174.28496          0.7688          1.2262         19.0257         99.9000         -0.9573         -0.4103       -1.595925        1.226249
     2174.30065      2174.29190          8.2317          1.2281         18.1513          0.1620         -2.4909         -0.4103        2.242366        1.228140
     2174.30759      2174.29885          7.3347          1.2239         18.2766          0.1812         -1.8356         -0.4103       -0.842450        1.223930
     2174.31454      2174.30579         -0.5822          1.2223         19.0293         99.9000         -0.5911         -0.4103       -2.842741        1.222285
     2174.32148      2174.31274          7.9447          1.2250         18.1898          0.1674          0.1503         -0.4103        2.548183        1.224962
     2174.32843      2174.31968          1.9523          1.2237         19.0280         99.9000         -1.9095         -0.4067       -0.811062        1.223696
     2174.33537      2174.32663          2.9987          1.2225         19.0291         99.9000         -1.5406         -0.4103       -0.406675        1.222503
     2174.34231      2174.33357          4.6865          1.2255         18.7629          0.2839         -1.7328         -0.4067       -0.410343        1.225500
     2174.34926      2174.34051          8.7316          1.2259         18.0873          0.1524         -1.5256         -0.4103        1.472817        1.225926
     2174.35620      2174.34746          2.0206          1.2267         19.0254         99.9000         -0.0060         -0.4067       -0.526483        1.226700
     2174.36315      2174.35440          5.1420          1.2309         18.6622          0.2599         -3.3241         -0.4103       -1.518562        1.230851
     2174.37009      2174.36135          3.1132          1.2273         19.0248         99.9000         -3.7795         -0.4067       -1.355617        1.227290
     2174.37704      2174.36829          4.8966          1.2297         18.7153          0.2727         -3.8608         -0.3859       -0.243237        1.229653
     2174.38398      2174.37524          6.0722          1.2295         18.4816          0.2198          0.2946         -0.3865        1.266251        1.229519
     2174.39093      2174.38218          2.7132          1.2240         19.0278         99.9000          0.2232         -0.3865       -0.747370        1.223988
