# reference_flux:         32.1686
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2174.25883      2174.25024         35.2421          1.2822         16.5723          0.0395         -0.2559         -0.2019        1.835884        1.282193
     2174.26578      2174.25718         24.6832          1.2815         16.9590          0.0564          3.0547         -0.0018       -1.124654        1.281487
     2174.27272      2174.26413         33.4042          1.2786         16.6305          0.0416         -1.6308         -0.0018        0.208447        1.278595
     2174.27967      2174.27107         33.3465          1.2805         16.6324          0.0417          1.0468         -0.0018        0.172199        1.280453
     2174.28661      2174.27801         35.4086          1.2812         16.5672          0.0393          2.2034         -0.0018        1.149454        1.281226
     2174.29356      2174.28496         31.3056          1.2816         16.7009          0.0444          0.7339         -0.0018       -1.175676        1.281554
     2174.30050      2174.29190         28.9366          1.2767         16.7864          0.0479          1.4530         -0.0018       -1.658505        1.276719
     2174.30745      2174.29885         30.4483          1.2773         16.7311          0.0455          0.7489         -0.0018       -0.201915        1.277297
     2174.31439      2174.30579         29.5423          1.2804         16.7639          0.0471          2.8054         -0.0896       -3.286814        1.280444
     2174.32133      2174.31274         32.1661          1.2800         16.6715          0.0432         -1.0839         -0.0896       -0.800355        1.279960
     2174.32828      2174.31968         29.4369          1.2760         16.7678          0.0471          1.6243         -0.2019       -2.390513        1.276010
     2174.33522      2174.32663         32.4497          1.2769         16.6620          0.0427          1.1499         -0.2019        0.453933        1.276934
     2174.34217      2174.33357         33.7784          1.2769         16.6184          0.0410          0.7698         -0.2019        2.029515        1.276930
     2174.34911      2174.34051         32.6508          1.2783         16.6553          0.0425          1.8975         -0.2019        1.284001        1.278333
     2174.35606      2174.34746         30.8974          1.2808         16.7152          0.0450         -0.4097         -0.2019        0.022219        1.280804
     2174.36300      2174.35440         33.5793          1.2801         16.6248          0.0414         -0.5654         -0.0896       -0.649848        1.280055
     2174.36995      2174.36135         31.0434          1.2802         16.7101          0.0448         -1.6601         -0.0018       -0.001777        1.280250
     2174.37689      2174.36829         31.9413          1.2741         16.6791          0.0433          1.2652          0.0222       -1.936168        1.274096
     2174.38384      2174.37524         30.1984          1.2734         16.7400          0.0458          0.6304          0.0804        1.183863        1.273356
     2174.39078      2174.38218         34.7468          1.2760         16.5877          0.0399         -0.0093          0.1722        1.876254        1.276016
     2174.39772      2174.38913         32.7212          1.2761         16.6529          0.0423         -1.7724          0.0804       -0.737951        1.276061
     2174.40467      2174.39607         34.0759          1.2793         16.6089          0.0408         -1.1440          0.0222        0.312879        1.279344
     2174.41161      2174.40301         30.5286          1.2789         16.7282          0.0455         -0.7353         -0.0018       -0.955303        1.278931
     2174.41856      2174.40996         31.2563          1.2798         16.7027          0.0445         -1.6219         -0.0018       -2.285771        1.279750
     2174.42550      2174.41690         31.1451          1.2794         16.7065          0.0446         -0.6388         -0.0896        0.227813        1.279412
     2174.43245      2174.42385         30.9279          1.2736         16.7141          0.0447          0.2367         -0.0896        0.488252        1.273566
     2174.43939      2174.43079         29.2782          1.2748         16.7736          0.0473         -0.8064         -0.0018       -2.428914        1.274809
     2174.44634      2174.43774         37.3555          1.2749         16.5091          0.0371         -0.8948         -0.0018        2.799785        1.274865
     2174.45328      2174.44468         28.3490          1.2754         16.8087          0.0488         -0.7612         -0.0018       -2.585267        1.275414
     2174.46022      2174.45163         33.3513          1.2761         16.6322          0.0415          0.7799         -0.0896        0.711372        1.276087
     2174.46717      2174.45857         30.3856          1.2784         16.7333          0.0457          0.0909         -0.0896       -1.766542        1.278423
     2174.47411      2174.46551         35.6611          1.2795         16.5595          0.0390         -1.0042         -0.0018       -0.089581        1.279526
     2174.48106      2174.47246         30.9792          1.2770         16.7123          0.0448         -3.7401          0.0222       -0.920331        1.277005
     2174.48800      2174.47940         29.9468          1.2736         16.7491          0.0462         -1.1434          0.0222       -1.014077        1.273553
     2174.49495      2174.48635         32.3695          1.2752         16.6647          0.0428          0.5849          0.0804        1.510383        1.275247
     2174.50189      2174.49329         32.2355          1.2740         16.6692          0.0429         -1.0496          0.0804        0.080365        1.273997
     2174.50884      2174.50024         31.7377          1.2748         16.6861          0.0436         -3.8065          0.0222        0.646000        1.274781
     2174.51578      2174.50718         33.0727          1.2793         16.6413          0.0420         -0.0433         -0.0018       -0.812458        1.279253
     2174.52273      2174.51413         32.8214          1.2794         16.6496          0.0423          2.2688         -0.0018        1.925874        1.279364
     2174.52967      2174.52107         32.9530          1.2781         16.6453          0.0421         -1.6778         -0.0018        1.016211        1.278116
     2174.53661      2174.52801         34.8321          1.2784         16.5850          0.0398         -1.6199          0.0804        1.442554        1.278382
     2174.54356      2174.53496         36.0260          1.2769         16.5485          0.0385         -0.8809          0.1327        2.346834        1.276945
     2174.55050      2174.54190         34.9967          1.2768         16.5799          0.0396         -0.6972          0.1327        2.688958        1.276849
     2174.55745      2174.54885         30.2347          1.2771         16.7387          0.0459         -0.3283          0.1140       -1.153840        1.277082
     2174.56439      2174.55579         30.7552          1.2763         16.7202          0.0451         -3.1046          0.0804       -1.637546        1.276343
     2174.57134      2174.56274         31.7638          1.2773         16.6852          0.0437         -1.9111          0.0804       -1.937478        1.277251
     2174.57828      2174.56968         31.1055          1.2788         16.7079          0.0446         -1.8880          0.0804       -0.643051        1.278782
     2174.58523      2174.57663         27.2983          1.2765         16.8497          0.0508         -0.3588          0.1140       -2.591696        1.276455
     2174.59217      2174.58357         32.8315          1.2768         16.6493          0.0422         -2.3861          0.1140        1.087695        1.276754
     2174.59911      2174.59051         29.7993          1.2774         16.7545          0.0465         -0.0989          0.1140        1.023245        1.277415
     2174.60606      2174.59746         33.7167          1.2770         16.6204          0.0411         -3.5914          0.1140        0.134182        1.276979
     2174.61300      2174.60440         31.5268          1.2753         16.6933          0.0439         -1.1976          0.1140        0.252578        1.275260
     2174.61995      2174.61135         29.6899          1.2746         16.7585          0.0466         -2.8970          0.0804       -0.533179        1.274614
     2174.62689      2174.61829         30.9159          1.2760         16.7145          0.0448         -0.1399          0.0804       -0.136632        1.275961
     2174.63384      2174.62524         33.8178          1.2770         16.6171          0.0410         -2.3097          0.0804        0.729239        1.277020
     2174.64078      2174.63218         34.1859          1.2781         16.6054          0.0406         -1.3951          0.1140        1.498901        1.278081
     2174.64773      2174.63913         32.7641          1.2776         16.6515          0.0423         -0.8354          0.1140       -1.172512        1.277577
     2174.65467      2174.64607         34.6211          1.2756         16.5916          0.0400         -0.7671          0.1327        1.923136        1.275612
     2174.66162      2174.65301         32.0042          1.2757         16.6770          0.0433         -0.6951          0.1342       -0.049766        1.275650
     2174.66856      2174.65996         33.3669          1.2753         16.6317          0.0415         -1.2319          0.1342       -0.699676        1.275329
     2174.67550      2174.66690         29.5790          1.2738         16.7625          0.0468         -1.8302          0.1424       -1.082583        1.273807
     2174.68245      2174.67385         35.8010          1.2751         16.5553          0.0387         -4.5243          0.1424        0.150505        1.275054
     2174.68939      2174.68079         31.6361          1.2755         16.6895          0.0438         -1.7311          0.1505        0.464782        1.275542
     2174.69634      2174.68774         32.2719          1.2753         16.6679          0.0429         -2.7819          0.1505        0.132701        1.275260
     2174.70328      2174.69468         33.4198          1.2741         16.6300          0.0414         -1.0177          0.1505        2.453879        1.274110
     2174.71023      2174.70163         33.3050          1.2762         16.6337          0.0416         -1.4948          0.1505        0.113992        1.276235
     2174.71717      2174.70857         35.2272          1.2763         16.5728          0.0393         -1.7807          0.1505       -0.518329        1.276347
     2174.72412      2174.71551         32.5038          1.2758         16.6602          0.0426         -2.0664          0.1424       -1.882836        1.275756
     2174.73106      2174.72246         31.9320          1.2758         16.6794          0.0434         -2.0868          0.1424       -0.310530        1.275794
     2174.73800      2174.72940         47.4384          1.2796         16.2497          0.0293         -3.4788          0.1424        1.495323        1.279636
     2174.74495      2174.73635         36.0449          1.2774         16.5479          0.0385         -1.1914          0.1424        2.003677        1.277369
     2174.75189      2174.74329         31.0025          1.2726         16.7115          0.0446         -2.3302          0.1505       -1.473342        1.272580
     2174.75884      2174.75024         33.8736          1.2746         16.6153          0.0409         -0.1195          0.2382        2.057281        1.274635
     2174.76578      2174.75718         28.8401          1.2768         16.7900          0.0481         -2.4075          0.1505        0.142428        1.276754
     2174.77273      2174.76413         28.3178          1.2743         16.8099          0.0489          0.2556          0.1505       -0.941725        1.274338
     2174.77967      2174.77107         29.2237          1.2729         16.7757          0.0473         -1.2965          0.1505       -2.030350        1.272923
     2174.78662      2174.77801         34.0563          1.2746         16.6095          0.0406         -1.7658          0.1424       -0.086324        1.274570
