# reference_flux:        101.8122
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2174.25910      2174.25024         93.8286          1.5870         15.5092          0.0184         -2.3272          0.5149        0.445834        1.586976
     2174.26604      2174.25718         98.2991          1.5993         15.4586          0.0177         -0.3503          0.5149       -0.769008        1.599263
     2174.27299      2174.26413         96.7382          1.5660         15.4760          0.0176          0.3275          0.5089       -0.917125        1.566040
     2174.27993      2174.27107         96.2970          1.5880         15.4810          0.0179         -3.1458          0.5089        0.601726        1.587980
     2174.28688      2174.27801         91.3910          1.5543         15.5377          0.0185          3.2801          0.5089        3.846022        1.554306
     2174.29382      2174.28496         96.0335          1.5675         15.4839          0.0177         -1.3493          0.5089        0.156961        1.567459
     2174.30077      2174.29190         93.1774          1.6046         15.5167          0.0187          0.2806          0.5089        0.969587        1.604571
     2174.30771      2174.29885         93.6234          1.5682         15.5115          0.0182         -0.2631          0.4458        0.508858        1.568187
     2174.31466      2174.30579         94.0394          1.5300         15.5067          0.0177         -0.2935          0.5089       -0.072626        1.530029
     2174.32160      2174.31274         97.3090          1.5570         15.4696          0.0174         -1.0545          0.4458        1.601634        1.556958
     2174.32854      2174.31968        100.7582          1.5440         15.4318          0.0166         -0.1830          0.5089        1.047392        1.544049
     2174.33549      2174.32663         92.2549          1.5352         15.5275          0.0181         -2.0725          0.5089       -0.814193        1.535194
     2174.34243      2174.33357         98.8118          1.5394         15.4530          0.0169         -0.5271          0.4458        0.911105        1.539365
     2174.34938      2174.34051         96.4687          1.5977         15.4790          0.0180         -2.1745          0.4458        1.103612        1.597676
     2174.35632      2174.34746         95.6848          1.5398         15.4879          0.0175          1.7180          0.4458        0.365743        1.539788
     2174.36327      2174.35440         92.6692          1.5301         15.5227          0.0179         -1.6218          0.4458        1.811302        1.530078
     2174.37021      2174.36135         95.8249          1.6078         15.4863          0.0182         -2.0270          0.5089       -1.968194        1.607778
     2174.37716      2174.36829        101.2451          1.5678         15.4266          0.0168         -1.3952          0.4458        2.747852        1.567802
     2174.38410      2174.37524         97.1847          1.6009         15.4710          0.0179         -3.1644          0.4458       -1.826186        1.600871
     2174.39105      2174.38218         93.1403          1.6066         15.5172          0.0187         -1.3590          0.4458       -0.743226        1.606640
     2174.39799      2174.38913         99.3007          1.6070         15.4476          0.0176         -3.5838          0.3657        0.514899        1.607031
     2174.40493      2174.39607         91.3354          1.6034         15.5384          0.0191         -0.2004          0.3418        0.832479        1.603421
     2174.41188      2174.40301         98.5716          1.6139         15.4556          0.0178          0.7812          0.3657        1.350138        1.613861
     2174.41882      2174.40996         96.1025          1.6076         15.4832          0.0182         -0.2149          0.4458        1.578213        1.607551
     2174.42577      2174.41690         94.0074          1.5424         15.5071          0.0178         -1.7847          0.3657       -0.345197        1.542366
     2174.43271      2174.42385         99.2862          1.6238         15.4478          0.0178         -0.4612          0.3418       -0.549574        1.623758
     2174.43966      2174.43079         96.0376          1.6100         15.4839          0.0182         -3.0335          0.3418        1.225397        1.609961
     2174.44660      2174.43774         95.8605          1.6165         15.4859          0.0183          1.9375          0.3657       -2.411653        1.616480
     2174.45355      2174.44468         95.7462          1.5829         15.4872          0.0180         -3.5953          0.3657       -1.123816        1.582949
     2174.46049      2174.45163         99.2451          1.5950         15.4482          0.0174         -1.1407          0.3657       -0.235944        1.594958
     2174.46743      2174.45857         99.0186          1.5674         15.4507          0.0172         -0.8765          0.5089        0.341768        1.567376
     2174.47438      2174.46551         99.1509          1.5596         15.4493          0.0171         -2.0779          0.3657        1.357086        1.559621
     2174.48132      2174.47246         99.3818          1.5867         15.4467          0.0173          0.5994          0.3657       -0.132811        1.586736
     2174.48827      2174.47940         97.7458          1.6022         15.4648          0.0178         -2.2867          0.3657        3.043996        1.602246
     2174.49521      2174.48635        104.9764          1.6238         15.3873          0.0168         -0.3709          0.3455        2.304231        1.623764
     2174.50216      2174.49329         89.5721          1.6010         15.5596          0.0194          1.1944          0.3455       -3.859046        1.600975
     2174.50910      2174.50024         95.7104          1.5838         15.4876          0.0180         -0.1715          0.3657       -0.499593        1.583810
     2174.51605      2174.50718        100.3213          1.6041         15.4365          0.0174         -2.4444          0.3657        0.752718        1.604114
     2174.52299      2174.51413         98.8123          1.5681         15.4530          0.0172         -0.2134          0.3657        1.651781        1.568148
     2174.52994      2174.52107         97.7179          1.5777         15.4651          0.0175         -1.7652          0.3455        1.639827        1.577682
     2174.53688      2174.52801         94.3670          1.5836         15.5029          0.0182          0.2001          0.3418       -1.856726        1.583566
     2174.54382      2174.53496         95.5757          1.5977         15.4891          0.0181          0.9266          0.3418       -0.759222        1.597658
     2174.55077      2174.54190        100.2714          1.5462         15.4371          0.0167         -2.1742          0.3418        0.170421        1.546200
     2174.55771      2174.54885         97.6475          1.5180         15.4658          0.0169          1.0322          0.3418       -0.319465        1.517990
     2174.56466      2174.55579         96.5568          1.5933         15.4780          0.0179         -1.4160          0.3455       -0.385558        1.593267
     2174.57160      2174.56274         98.1035          1.5744         15.4608          0.0174          1.8105          0.3455        0.862336        1.574371
     2174.57855      2174.56968         98.4534          1.5697         15.4569          0.0173         -0.5198          0.3455        0.755301        1.569676
     2174.58549      2174.57663         97.6622          1.5370         15.4657          0.0171         -1.6718          0.3455        0.340132        1.537015
     2174.59244      2174.58357         97.3773          1.5751         15.4689          0.0176          0.4978          0.3418       -2.112237        1.575067
     2174.59938      2174.59051         93.2224          1.5652         15.5162          0.0182          0.7435          0.3418       -1.762961        1.565190
     2174.60632      2174.59746         98.7205          1.5645         15.4540          0.0172         -2.6210          0.3455        1.433490        1.564450
     2174.61327      2174.60440         95.6827          1.5576         15.4879          0.0177          0.7003          0.3455        0.934226        1.557632
     2174.62021      2174.61135         99.2674          1.5277         15.4480          0.0167          0.0705          0.6084        0.995717        1.527715
     2174.62716      2174.61829         98.4711          1.5545         15.4567          0.0171         -1.6709          0.6794        1.505737        1.554491
     2174.63410      2174.62524         96.7133          1.5757         15.4763          0.0177         -3.9692          0.7527       -0.897445        1.575735
