# reference_flux:         21.3571
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2174.25852      2174.25024         29.5679          1.8621         16.7630          0.0684          5.8434         -1.6524        1.398610        1.862116
     2174.26546      2174.25718         28.7288          1.8192         16.7942          0.0688          9.4066         -1.6524        1.501427        1.819225
     2174.27241      2174.26413         19.3390          1.8384         17.2239          0.1032          8.3625         -1.6524        1.287588        1.838438
     2174.27935      2174.27107         21.5041          1.8139         17.1087          0.0916          9.2171         -1.6524       -3.051716        1.813932
     2174.28630      2174.27801         20.3356          1.8134         17.1694          0.0968          7.1665         -1.6524       -2.548806        1.813408
     2174.29324      2174.28496         20.8610          1.8033         17.1417          0.0939          7.6474         -1.6524        1.968520        1.803350
     2174.30018      2174.29190         26.5291          1.7734         16.8807          0.0726          5.4660         -1.6524        0.899742        1.773371
     2174.30713      2174.29885         20.6413          1.8141         17.1532          0.0954          8.7110         -1.6524       -1.831439        1.814122
     2174.31407      2174.30579         25.6898          1.8215         16.9156          0.0770          6.4111         -1.6524        1.521286        1.821510
     2174.32102      2174.31274         22.6167          1.7880         17.0539          0.0858          6.0948         -1.6524       -0.804955        1.788032
     2174.32796      2174.31968         20.2984          1.7894         17.1713          0.0957          7.9835         -1.2679       -2.200101        1.789371
     2174.33491      2174.32663         22.7283          1.7678         17.0486          0.0844          3.9270         -1.2679       -3.200777        1.767817
     2174.34185      2174.33357         22.2731          1.7732         17.0705          0.0864          4.6989         -1.6524       -0.493088        1.773204
     2174.34880      2174.34051         20.9954          1.7609         17.1347          0.0911          6.2696         -1.6524       -0.300177        1.760908
     2174.35574      2174.34746         23.4782          1.7770         17.0133          0.0822          5.2701         -1.2679       -1.652388        1.777012
     2174.36269      2174.35440         18.4915          1.7627         17.2726          0.1035          7.2687         -1.6524       -4.740830        1.762729
     2174.36963      2174.36135         11.7168          1.7320         17.7680          0.1605          3.4788         -1.7247       -6.232180        1.732024
     2174.37658      2174.36829         23.8406          1.7368         16.9967          0.0791          6.3300         -1.6524       -1.267927        1.736838
     2174.38352      2174.37524         16.4543          1.7501         17.3993          0.1155          6.0996         -1.6524       -2.509668        1.750068
     2174.39047      2174.38218         17.7333          1.7329         17.3180          0.1061          3.5750         -1.7247       -1.754440        1.732926
     2174.39741      2174.38913         20.3781          1.7526         17.1671          0.0934          5.4521         -1.7247        0.767669        1.752553
     2174.40436      2174.39607         20.3830          1.7615         17.1668          0.0938          4.5999         -1.7247       -1.724665        1.761518
     2174.41130      2174.40301         21.9236          1.7419         17.0877          0.0863          4.4998         -1.7247       -2.290406        1.741928
     2174.41825      2174.40996         23.3511          1.7494         17.0192          0.0813          2.5078         -1.7544        0.327308        1.749438
     2174.42519      2174.41690         15.2888          1.7664         17.4791          0.1254          2.6391         -1.8314        0.905829        1.766449
     2174.43213      2174.42385          6.9802          1.7414         18.3303          0.2709          2.1301         -1.9312       -3.653052        1.741447
     2174.43908      2174.43079         12.0776          1.7590         17.7350          0.1581          7.8746         -1.9312       -2.765300        1.759041
     2174.44602      2174.43774         17.1406          1.7664         17.3549          0.1119          4.3621         -1.9605       -1.960460        1.766430
     2174.45297      2174.44468         15.0205          1.7432         17.4983          0.1260          6.4272         -1.9605       -4.465049        1.743250
     2174.45991      2174.45163         18.6352          1.7678         17.2642          0.1030          5.8554         -1.9605       -0.984376        1.767784
     2174.46686      2174.45857         10.1053          1.7609         17.9286          0.1892          4.3122         -2.0594       -5.304036        1.760943
     2174.47380      2174.46551          8.3948          1.7496         18.1300          0.2263          9.9687         -2.2001       -2.806270        1.749572
     2174.48075      2174.47246         16.4637          1.7605         17.3987          0.1161          4.4054         -2.2001       -0.627961        1.760530
     2174.48769      2174.47940         21.8093          1.7842         17.0934          0.0888          4.7164         -2.2001       -0.250966        1.784247
     2174.49464      2174.48635         17.5991          1.7731         17.3263          0.1094          4.4613         -2.2001       -0.254483        1.773100
     2174.50158      2174.49329         15.9240          1.7959         17.4349          0.1224          7.7098         -2.0594       -4.355133        1.795897
     2174.50853      2174.50024          9.2268          1.7885         18.0274          0.2105          6.5998         -2.0594       -6.518842        1.788547
     2174.51547      2174.50718         17.5614          1.8001         17.3286          0.1113          5.2184         -2.2904        2.307945        1.800068
     2174.52242      2174.51413         11.6122          1.8085         17.7777          0.1691         10.4538         -2.2904       -6.026526        1.808547
     2174.52936      2174.52107         15.3998          1.8023         17.4712          0.1271          8.6293         -2.2904       -8.141939        1.802339
     2174.53631      2174.52801         18.6396          1.8046         17.2639          0.1051          7.3293         -2.2904       -0.681568        1.804564
     2174.54325      2174.53496         18.6657          1.8143         17.2624          0.1055          4.5353         -2.0594       -0.701180        1.814331
     2174.55020      2174.54190         19.5595          1.8078         17.2116          0.1003          4.4639         -2.0594       -3.634346        1.807792
     2174.55714      2174.54885         19.7516          1.8277         17.2010          0.1005          5.0429         -1.9605       -2.059429        1.827729
     2174.56408      2174.55579         25.5835          1.8176         16.9201          0.0771          4.2390         -2.0594       -2.409060        1.817612
     2174.57103      2174.56274         21.3504          1.8086         17.1165          0.0920          4.7279         -2.0594       -0.119485        1.808571
     2174.57797      2174.56968         19.8930          1.7706         17.1932          0.0966          5.0573         -2.0594       -2.882480        1.770584
     2174.58492      2174.57663         19.0022          1.8402         17.2430          0.1051          6.7233         -2.0594       -1.931226        1.840223
     2174.59186      2174.58357         19.6752          1.8619         17.2052          0.1027          5.7330         -2.4091       -4.829393        1.861928
     2174.59881      2174.59051         23.3986          1.8601         17.0170          0.0863          3.6950         -2.4091        0.479250        1.860130
     2174.60575      2174.59746         18.2698          1.7875         17.2857          0.1062          4.5705         -2.0594       -2.622640        1.787464
     2174.61270      2174.60440         14.7203          1.7863         17.5202          0.1317          4.5503         -2.0594       -6.587589        1.786256
     2174.61964      2174.61135         14.6327          1.7623         17.5267          0.1308          6.3958         -2.4091       -4.625738        1.762318
     2174.62659      2174.61829         18.4891          1.7565         17.2727          0.1031          3.6593         -2.4091       -2.449936        1.756507
     2174.63353      2174.62524         21.6841          1.7306         17.0996          0.0867          6.5962         -2.4091       -2.968153        1.730581
     2174.64048      2174.63218         23.5882          1.7550         17.0083          0.0808          2.5916         -2.4091       -1.916646        1.755013
     2174.64742      2174.63913         26.3616          1.7507         16.8876          0.0721          6.1995         -2.0594        1.217138        1.750663
     2174.65437      2174.64607         20.8089          1.7072         17.1444          0.0891          4.1265         -2.0594        2.280674        1.707216
     2174.66131      2174.65301         25.3855          1.7348         16.9285          0.0742         -1.5164         -2.0594       -0.752422        1.734838
     2174.66825      2174.65996         19.5980          1.7155         17.2095          0.0950          3.3326         -2.4091       -5.454594        1.715501
     2174.67520      2174.66690         27.4423          1.7622         16.8439          0.0697          4.8178         -2.0594       -2.672229        1.762152
     2174.68214      2174.67385         23.4053          1.7501         17.0167          0.0812          6.3134         -1.9729        2.557855        1.750076
     2174.68909      2174.68079         18.9979          1.7523         17.2432          0.1001          4.8448         -2.0594        0.568014        1.752343
     2174.69603      2174.68774         22.6834          1.7625         17.0507          0.0844          4.6603         -1.9729       -6.158662        1.762495
     2174.70298      2174.69468         25.8189          1.7422         16.9102          0.0733          5.7445         -1.9729        1.274147        1.742184
     2174.70992      2174.70163         22.3059          1.7490         17.0690          0.0851          4.7507         -2.0594        0.908825        1.749001
     2174.71687      2174.70857         28.0023          1.7336         16.8220          0.0672          3.8463         -2.4091       -1.520926        1.733646
     2174.72381      2174.71551         19.2689          1.8542         17.2279          0.1045          0.7966         -2.4091       -3.730532        1.854219
     2174.73076      2174.72246         21.0444          1.8514         17.1322          0.0955          5.8165         -2.4324       -1.972887        1.851413
     2174.73770      2174.72940         22.6400          1.8250         17.0528          0.0875          4.8644         -2.4499       -1.120585        1.825027
     2174.74465      2174.73635         22.8668          1.7493         17.0420          0.0831          1.9828         -2.5629       -4.586394        1.749313
     2174.75159      2174.74329         22.1576          1.7297         17.0762          0.0848          5.2819         -2.5629       -2.432382        1.729661
     2174.75854      2174.75024         24.4249          1.7267         16.9704          0.0768          5.9373         -2.6226        1.266083        1.726735
     2174.76548      2174.75718         21.8898          1.7461         17.0894          0.0866          5.5471         -2.5832       -0.549123        1.746146
     2174.77243      2174.76413         17.3634          1.7576         17.3409          0.1099          6.3744         -2.5832       -4.545897        1.757617
     2174.77937      2174.77107         14.4483          1.7535         17.5405          0.1318          7.4006         -2.5832       -3.424043        1.753517
     2174.78632      2174.77801         15.0738          1.7237         17.4944          0.1242          7.5874         -2.5832       -4.848177        1.723653
     2174.79326      2174.78496         23.0800          1.7265         17.0319          0.0812          5.4633         -2.5832       -0.552322        1.726509
     2174.80021      2174.79190         18.9853          1.7247         17.2440          0.0986          3.8778         -2.6722       -2.968874        1.724698
     2174.80715      2174.79885         21.1269          1.7302         17.1279          0.0889          2.9923         -2.6722       -1.635067        1.730204
     2174.81409      2174.80579         21.9316          1.7252         17.0873          0.0854          2.5030         -2.9547        3.877099        1.725178
     2174.82104      2174.81274         19.7312          1.7482         17.2021          0.0962          5.7639         -2.9689       -1.821545        1.748239
     2174.82798      2174.81968         14.3523          1.7561         17.5477          0.1328          4.8038         -2.9689       -5.390557        1.756071
     2174.83493      2174.82663         20.7054          1.7399         17.1498          0.0912          0.3393         -3.4240        0.174596        1.739949
     2174.84187      2174.83357         17.9836          1.7527         17.3028          0.1058          4.5969         -3.4240        0.440117        1.752697
     2174.84882      2174.84051         17.2963          1.7655         17.3451          0.1108          1.7760         -3.4240       -4.036833        1.765471
     2174.85576      2174.84746         23.9071          1.7721         16.9937          0.0805         -1.1156         -3.4240       -1.149866        1.772147
     2174.86271      2174.85440         22.6656          1.8105         17.0516          0.0867         -2.5665         -3.4240       -2.562922        1.810463
     2174.86965      2174.86135         15.7871          1.8169         17.4442          0.1250          0.7871         -2.9689       -7.795538        1.816866
     2174.87660      2174.86829         16.6694          1.8111         17.3852          0.1180          0.1471         -2.9689       -4.733837        1.811136
     2174.88354      2174.87524          8.3977          1.8193         18.1296          0.2352          5.4919         -3.4240       -8.435864        1.819324
     2174.89049      2174.88218         13.0171          1.8088         17.6537          0.1509          6.1947         -3.7305       -5.280792        1.808832
     2174.89743      2174.88913          9.9568          1.7999         17.9447          0.1963          1.7746         -3.4240       -7.418167        1.799857
     2174.90438      2174.89607          8.1665          1.7969         18.1599          0.2389          7.5443         -3.4240       -5.668492        1.796895
     2174.91132      2174.90301         14.1588          1.7827         17.5624          0.1367          0.5156         -3.4240       -5.181056        1.782705
     2174.91827      2174.90996         11.6823          1.7743         17.7712          0.1649          3.4765         -3.4240       -7.701719        1.774270
     2174.92521      2174.91690         12.4912          1.7518         17.6985          0.1523          2.1375         -3.4240       -2.583220        1.751769
     2174.93215      2174.92385         16.4591          1.7253         17.3990          0.1138          0.9674         -3.4240       -2.326555        1.725319
     2174.93910      2174.93079         12.2503          1.7075         17.7196          0.1513         -0.6628         -3.8545       -6.168522        1.707548
     2174.94604      2174.93774         18.2544          1.7547         17.2866          0.1044          2.7455         -3.8545       -5.218870        1.754655
