# reference_flux:         12.8433
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2174.25908      2174.25024         16.2277          1.3900         17.4144          0.0930          1.1591          0.8456        1.613533        1.389984
     2174.26602      2174.25718         10.4106          1.4106         17.8963          0.1471          1.9014          0.8456       -1.459315        1.410593
     2174.27297      2174.26413         11.8645          1.4147         17.7544          0.1295          0.4759          0.9982        0.845614        1.414706
     2174.27991      2174.27107         12.4472          1.4229         17.7023          0.1241          0.2094          0.8456        1.650030        1.422906
     2174.28686      2174.27801         15.4309          1.2966         17.4690          0.0912          0.7743          0.8456        0.998209        1.296619
     2174.29380      2174.28496         13.2230          1.4108         17.6367          0.1158          1.7073          0.8456        1.637313        1.410850
     2174.30075      2174.29190         10.2499          1.4008         17.9132          0.1484         -0.4531          0.8456       -2.290259        1.400782
     2174.30769      2174.29885         13.9487          1.3915         17.5787          0.1083         -0.2651          0.9982       -0.735913        1.391476
     2174.31464      2174.30579         10.3737          1.3703         17.9002          0.1434          1.0554          0.9982       -0.241922        1.370293
     2174.32158      2174.31274         12.1651          1.4306         17.7272          0.1277          2.1648          0.8456       -2.479345        1.430638
     2174.32853      2174.31968         16.5705          1.4025         17.3917          0.0919          2.3243          0.8456        1.010519        1.402492
     2174.33547      2174.32663         16.3430          1.4071         17.4067          0.0935          2.0210          0.8456        1.960270        1.407138
     2174.34242      2174.33357         13.2542          1.4462         17.6341          0.1185          3.2690          0.8456        1.394842        1.446241
     2174.34936      2174.34051         12.4844          1.4984         17.6991          0.1303         -0.1351          0.8456        0.774249        1.498373
     2174.35631      2174.34746          9.8215          1.4850         17.9596          0.1642          3.4292          0.8456       -0.357935        1.485025
     2174.36325      2174.35440         18.1353          1.5448         17.2937          0.0925          3.6309          0.8456        1.309995        1.544840
     2174.37019      2174.36135         17.4881          1.3910         17.3331          0.0864          0.5130          0.8456        3.305937        1.391019
     2174.37714      2174.36829         16.1189          1.4561         17.4217          0.0981          1.4055          0.8456        0.736344        1.456056
     2174.38408      2174.37524         15.1587          1.3618         17.4883          0.0975          1.0616          0.9982        0.474151        1.361752
     2174.39103      2174.38218          7.9262          1.4898         18.1923          0.2041          1.9035          0.8456        1.645168        1.489765
     2174.39797      2174.38913         11.4447          1.5046         17.7935          0.1427          1.7246          0.8456       -1.118842        1.504610
     2174.40492      2174.39607         14.2707          1.4934         17.5539          0.1136         -2.4995          0.7742        1.218496        1.493410
     2174.41186      2174.40301          9.7878          1.4904         17.9633          0.1653          0.8810          0.7742        0.069987        1.490355
     2174.41881      2174.40996         16.7431          1.4937         17.3804          0.0969          0.6592          0.8456        1.550010        1.493744
     2174.42575      2174.41690          9.0175          1.4582         18.0523          0.1756          2.5600          0.7742        1.473879        1.458196
     2174.43270      2174.42385         17.3615          1.4572         17.3410          0.0911          0.6730          0.7363        4.166354        1.457240
     2174.43964      2174.43079         13.1842          1.4894         17.6399          0.1227          2.7501          0.7742        0.645423        1.489419
     2174.44659      2174.43774         14.5073          1.4727         17.5360          0.1102          0.1290          0.7742        0.444882        1.472678
     2174.45353      2174.44468         15.0334          1.4431         17.4974          0.1042         -0.0446          0.7742        0.694709        1.443102
     2174.46047      2174.45163         14.5781          1.5039         17.5307          0.1120          3.0456          0.7742        1.534356        1.503906
