# reference_flux:         88.0959
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2174.25925      2174.25024         86.3989          1.6832         15.5987          0.0212          4.4607         -0.3062        0.709325        1.683202
     2174.26620      2174.25718         89.3354          1.6834         15.5624          0.0205          0.5241         -0.3062        0.380781        1.683400
     2174.27314      2174.26413         87.1007          1.6728         15.5899          0.0209          2.0938         -0.3062       -1.286021        1.672808
     2174.28009      2174.27107         86.3934          1.6665         15.5988          0.0209         -2.9896         -0.3062       -0.974585        1.666535
     2174.28703      2174.27801         89.8200          1.6668         15.5566          0.0201         -0.0068         -0.3062        0.191781        1.666786
     2174.29398      2174.28496         83.5104          1.6333         15.6356          0.0212         -3.8875         -0.3062       -3.888061        1.633332
     2174.30092      2174.29190         88.7549          1.6014         15.5695          0.0196         -1.3951         -0.2363       -0.174918        1.601392
     2174.30786      2174.29885         87.3294          1.6441         15.5871          0.0204          0.3394         -0.3062       -0.306189        1.644090
     2174.31481      2174.30579         84.1764          1.6656         15.6270          0.0215         -0.1712         -0.3062       -3.157592        1.665584
     2174.32175      2174.31274         91.3113          1.6237         15.5387          0.0193          1.1493         -0.3062        1.909388        1.623743
     2174.32870      2174.31968         88.4545          1.6725         15.5732          0.0205         -0.8586         -0.3062       -0.615117        1.672506
     2174.33564      2174.32663         89.0799          1.6382         15.5656          0.0200          0.7585         -0.3062        0.305475        1.638189
     2174.34259      2174.33357         86.3538          1.6801         15.5993          0.0211         -0.5161         -0.2363       -0.921917        1.680106
     2174.34953      2174.34051         83.6697          1.6796         15.6336          0.0218          0.9551         -0.3062       -6.864856        1.679625
     2174.35648      2174.34746         83.4215          1.6635         15.6368          0.0217         -0.4227         -0.3062       -2.601072        1.663467
     2174.36342      2174.35440         84.2279          1.6119         15.6264          0.0208          1.0554         -0.3062       -0.236265        1.611866
     2174.37036      2174.36135         92.2991          1.6711         15.5270          0.0197         -1.6383         -0.3062        2.581085        1.671057
     2174.37731      2174.36829         88.0133          1.6271         15.5786          0.0201          1.7342         -0.2363        0.580110        1.627059
     2174.38425      2174.37524         84.1567          1.6245         15.6273          0.0210          0.6377         -0.2363       -2.523796        1.624458
     2174.39120      2174.38218         84.8654          1.6389         15.6182          0.0210          0.9646         -0.2363       -1.638203        1.638903
     2174.39814      2174.38913         89.4021          1.6111         15.5616          0.0196          0.0106         -0.2363        0.796004        1.611135
     2174.40509      2174.39607         86.7892          1.6282         15.5938          0.0204         -0.9437         -0.1759        0.269208        1.628226
     2174.41203      2174.40301         93.5443          1.6180         15.5125          0.0188         -3.6444         -0.1759        1.408350        1.617991
     2174.41898      2174.40996         85.0594          1.6165         15.6157          0.0206          0.9744         -0.1759       -3.462309        1.616452
     2174.42592      2174.41690         89.6437          1.6311         15.5587          0.0198          0.8738         -0.1759       -1.008786        1.631147
     2174.43286      2174.42385         86.3838          1.6138         15.5989          0.0203          0.4997         -0.1759       -2.379198        1.613801
     2174.43981      2174.43079         91.8462          1.5773         15.5323          0.0186         -2.6016         -0.2363        2.847662        1.577310
     2174.44675      2174.43774         91.0480          1.5747         15.5418          0.0188         -1.4480         -0.2363        1.834893        1.574687
     2174.45370      2174.44468         91.0093          1.5761         15.5423          0.0188          0.6141         -0.1759        2.310610        1.576100
     2174.46064      2174.45163         93.2539          1.6067         15.5158          0.0187         -0.9531         -0.2363        2.720953        1.606714
     2174.46759      2174.45857         85.9769          1.5940         15.6040          0.0201          0.4578         -0.1759       -1.745696        1.593977
     2174.47453      2174.46551         83.1229          1.6027         15.6407          0.0209          0.7379         -0.2363       -0.681795        1.602682
     2174.48147      2174.47246         89.1683          1.5769         15.5645          0.0192         -3.1342         -0.2363        0.514551        1.576877
     2174.48842      2174.47940         90.5143          1.5843         15.5482          0.0190         -2.2211         -0.2363       -2.216392        1.584314
     2174.49536      2174.48635         93.1095          1.5920         15.5175          0.0186          3.3330         -0.2363        2.558963        1.591981
     2174.50231      2174.49329         87.1676          1.5691         15.5891          0.0195          0.6475         -0.1759        0.319891        1.569113
     2174.50925      2174.50024         86.7026          1.5694         15.5949          0.0197         -0.5858         -0.1759       -0.622973        1.569355
     2174.51620      2174.50718         84.9034          1.5412         15.6177          0.0197          2.0145         -0.1759       -3.250199        1.541157
     2174.52314      2174.51413         90.8153          1.5622         15.5446          0.0187          0.6660         -0.1704        3.714610        1.562154
     2174.53009      2174.52107         88.3774          1.5552         15.5741          0.0191          0.8674          0.1151       -0.527243        1.555201
     2174.53703      2174.52801         96.6334          1.5764         15.4772          0.0177         -1.2745          0.1151        2.802818        1.576427
     2174.54398      2174.53496         88.0228          1.5812         15.5785          0.0195         -1.4278         -0.1704       -0.175916        1.581155
     2174.55092      2174.54190         85.2277          1.5675         15.6135          0.0200          2.2522         -0.1704       -1.269005        1.567477
     2174.55786      2174.54885         93.8388          1.5707         15.5090          0.0182          0.6387         -0.1704        0.749637        1.570660
     2174.56481      2174.55579         91.6984          1.5678         15.5341          0.0186          2.1479         -0.1704        2.214948        1.567778
     2174.57175      2174.56274         87.5339          1.5481         15.5846          0.0192         -1.8546         -0.1704       -0.966747        1.548109
     2174.57870      2174.56968         88.3068          1.5673         15.5750          0.0193         -1.0158         -0.1704        0.679395        1.567298
     2174.58564      2174.57663         90.0835          1.5628         15.5534          0.0188         -0.4653         -0.1759       -0.170392        1.562777
     2174.59259      2174.58357         91.9623          1.5686         15.5310          0.0185         -2.2147         -0.1759        2.224170        1.568629
     2174.59953      2174.59051         83.8189          1.5654         15.6316          0.0203          1.3580         -0.1704       -1.609003        1.565358
     2174.60648      2174.59746         86.6324          1.5652         15.5958          0.0196         -1.2989          0.1151       -3.283116        1.565180
     2174.61342      2174.60440         90.6373          1.5598         15.5467          0.0187         -2.5355          0.1151        1.976822        1.559751
     2174.62036      2174.61135         89.8225          1.5444         15.5565          0.0187         -1.2329          0.1151       -1.568443        1.544361
     2174.62731      2174.61829         88.5743          1.5676         15.5717          0.0192         -2.2409         -0.1704        1.050042        1.567569
     2174.63425      2174.62524         85.6488          1.5525         15.6082          0.0197          0.7789         -0.1704       -1.684437        1.552529
     2174.64120      2174.63218         86.4259          1.5431         15.5984          0.0194          1.4457          0.1151       -0.552888        1.543052
     2174.64814      2174.63913         87.5906          1.5335         15.5839          0.0190          1.7332          0.1151       -0.777895        1.533512
     2174.65509      2174.64607         89.8344          1.5472         15.5564          0.0187         -0.7938         -0.1704        0.115098        1.547248
     2174.66203      2174.65301         88.4461          1.5268         15.5733          0.0187         -1.5267         -0.1704        0.516678        1.526828
     2174.66898      2174.65996         90.8952          1.5540         15.5436          0.0186         -4.3756         -0.1704        1.806578        1.554023
     2174.67592      2174.66690         89.8287          1.5452         15.5565          0.0187          1.1706         -0.1704       -1.600332        1.545221
     2174.68286      2174.67385         89.8248          1.5523         15.5565          0.0188         -3.2901         -0.1704        1.513905        1.552271
     2174.68981      2174.68079         85.4091          1.5291         15.6112          0.0194          0.1207         -0.1704        0.513312        1.529142
     2174.69675      2174.68774         87.7641          1.5446         15.5817          0.0191         -0.1567         -0.1704       -0.489218        1.544556
     2174.70370      2174.69468         82.7444          1.5270         15.6457          0.0200          2.3273         -0.1704       -2.648251        1.526987
     2174.71064      2174.70163         88.1148          1.5407         15.5774          0.0190         -0.1716         -0.1759        1.309297        1.540651
     2174.71759      2174.70857         84.9033          1.5321         15.6177          0.0196         -0.2614         -0.1704       -2.223865        1.532063
     2174.72453      2174.71551         84.2509          1.5351         15.6261          0.0198         -0.9819         -0.1704       -1.636075        1.535060
     2174.73148      2174.72246         91.4367          1.5285         15.5372          0.0181          0.6569         -0.1762        1.152156        1.528476
     2174.73842      2174.72940         91.5330          1.5297         15.5361          0.0181          0.2931         -0.2708        1.745614        1.529704
     2174.74536      2174.73635         84.3260          1.5161         15.6251          0.0195         -0.1035         -0.2708       -3.174181        1.516055
     2174.75231      2174.74329         85.6347          1.5387         15.6084          0.0195         -1.5615         -0.2708       -2.781429        1.538685
     2174.75925      2174.75024         88.6961          1.5289         15.5702          0.0187         -0.8560         -0.4892        0.164074        1.528936
