# reference_flux:        325.2770
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2174.25787      2174.25025        330.6498          1.3292         14.1416          0.0044         -1.4860         -0.3159        1.021493        1.329221
     2174.26481      2174.25720        326.5504          1.3808         14.1551          0.0046         -1.8003         -0.3159       -2.931970        1.380762
     2174.27176      2174.26414        327.2072          1.3735         14.1529          0.0046         -0.6382         -0.3159        1.348582        1.373484
     2174.27870      2174.27109        327.9222          1.3581         14.1506          0.0045          2.0300         -0.3159       -0.171824        1.358135
     2174.28565      2174.27803        325.4896          1.3447         14.1587          0.0045          1.8949         -0.3159       -1.870284        1.344717
     2174.29259      2174.28498        331.8855          1.3702         14.1375          0.0045         -0.3761         -0.3159        0.615058        1.370201
     2174.29953      2174.29192        326.5597          1.3450         14.1551          0.0045          1.2265         -0.2208        2.939345        1.345017
     2174.30648      2174.29887        324.5891          1.3627         14.1617          0.0046          1.4747         -0.1904       -0.315892        1.362713
     2174.31342      2174.30581        325.3269          1.3404         14.1592          0.0045          1.5237         -0.2208        1.751687        1.340389
     2174.32037      2174.31275        327.8888          1.3344         14.1507          0.0044         -0.4350         -0.1904        2.293688        1.334400
     2174.32731      2174.31970        325.2143          1.3300         14.1596          0.0044          0.3172         -0.1718       -0.477567        1.329973
     2174.33426      2174.32664        326.0196          1.3101         14.1569          0.0044          2.1656         -0.1718       -3.278626        1.310086
     2174.34120      2174.33359        328.3391          1.3162         14.1492          0.0044         -0.1832         -0.1718       -0.976312        1.316226
     2174.34815      2174.34053        323.9892          1.3267         14.1637          0.0044         -0.2865         -0.1718        0.473476        1.326666
     2174.35509      2174.34748        328.9856          1.3119         14.1471          0.0043         -0.2563          0.0042       -1.531129        1.311916
     2174.36204      2174.35442        325.5504          1.3236         14.1585          0.0044          0.1904          0.0042       -0.567860        1.323614
     2174.36898      2174.36137        328.8668          1.3114         14.1474          0.0043         -0.4857         -0.1718        1.989352        1.311389
     2174.37592      2174.36831        325.8877          1.3044         14.1573          0.0043          2.5114         -0.1718       -0.353155        1.304388
     2174.38287      2174.37525        327.4326          1.2825         14.1522          0.0043          4.9987         -0.1718       -1.095353        1.282467
     2174.38981      2174.38220        326.3494          1.2779         14.1558          0.0043          1.3601         -0.1718        0.785600        1.277932
     2174.39676      2174.38914        329.9618          1.2889         14.1438          0.0042         -0.6601         -0.1718       -0.909399        1.288937
     2174.40370      2174.39609        329.7712          1.3121         14.1445          0.0043         -3.1791         -0.1718        2.099249        1.312128
     2174.41065      2174.40303        328.7687          1.3141         14.1478          0.0043          0.1197         -0.1718        0.172415        1.314066
     2174.41759      2174.40998        325.1291          1.3022         14.1599          0.0043          0.9926         -0.1718       -2.738512        1.302247
     2174.42454      2174.41692        326.3559          1.2854         14.1558          0.0043         -0.8311         -0.1904       -1.787611        1.285394
     2174.43148      2174.42387        333.2465          1.3086         14.1331          0.0043         -1.4632         -0.1904        1.625658        1.308606
     2174.43843      2174.43081        328.5568          1.3320         14.1485          0.0044         -2.1817         -0.1718       -0.892205        1.332043
     2174.44537      2174.43775        326.7820          1.3287         14.1544          0.0044          0.2577         -0.1718        0.831017        1.328743
     2174.45231      2174.44470        324.6684          1.3191         14.1614          0.0044         -0.1613         -0.1904       -0.220824        1.319063
     2174.45926      2174.45164        328.7998          1.3176         14.1477          0.0044          1.9617          0.0042        2.886699        1.317614
     2174.46620      2174.45859        327.8052          1.2764         14.1510          0.0042         -1.2202         -0.1904       -0.190380        1.276408
     2174.47315      2174.46553        329.3017          1.2900         14.1460          0.0043          1.3214         -0.1904       -1.083390        1.290020
     2174.48009      2174.47248        327.9801          1.3217         14.1504          0.0044          2.1714          0.0042        0.315058        1.321666
     2174.48704      2174.47942        330.4947          1.3168         14.1421          0.0043         -2.1473         -0.1904        0.004215        1.316838
     2174.49398      2174.48637        332.0745          1.3146         14.1369          0.0043         -0.4688         -0.2208        0.503139        1.314633
