# reference_flux:        -63.0043
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2174.25780      2174.25025         -4.6886          1.5577         18.7660         99.9000          1.3042          0.7254        3.650573        1.557688
     2174.26474      2174.25720         13.3697          1.3475         17.6247          0.1094         -1.4506          1.6474        2.394280        1.347511
     2174.27169      2174.26414          5.4564          1.2496         18.5977          0.2486         -1.3839          0.7254        0.454883        1.249592
     2174.27863      2174.27109          2.5101          1.2752         18.9832         99.9000         -1.2417          0.7254        2.862311        1.275230
     2174.28557      2174.27803          3.5845          1.4776         18.8233         99.9000          2.5285          0.7254        2.789378        1.477600
     2174.29252      2174.28498         -3.6263          1.5286         18.7865         99.9000         -1.9464          1.6474       -3.283027        1.528608
     2174.29946      2174.29192          4.7011          1.1918         18.7595          0.2753         -0.5638          0.8667        3.238157        1.191831
     2174.30641      2174.29887        -14.2765          1.4539         18.8409         99.9000          3.3894          0.8667       -2.383926        1.453901
     2174.31335      2174.30581         -3.4899          1.4130         18.8718         99.9000          0.1876          0.7254        2.590149        1.412996
     2174.32030      2174.31275         -7.2834          1.4349         18.8552         99.9000          1.7050          0.7210       -2.403477        1.434865
     2174.32724      2174.31970         -1.0480          1.4709         18.8282         99.9000          3.8838          0.7254        2.867185        1.470904
     2174.33419      2174.32664         -5.6854          1.4861         18.8171         99.9000          1.3663          0.8667       -0.134618        1.486136
     2174.34113      2174.33359         -8.3460          1.4407         18.8508         99.9000          2.6067          1.1074        0.700073        1.440713
     2174.34808      2174.34053         -6.6583          1.4466         18.8464         99.9000         -2.3447          1.4458        0.175931        1.446563
     2174.35502      2174.34748         -7.6092          1.4243         18.8632         99.9000         -0.2914          1.1074       -2.044727        1.424322
     2174.36196      2174.35442         -1.0772          1.4664         18.8315         99.9000         -0.7227          1.1074        1.966828        1.466449
     2174.36891      2174.36137          1.7589          1.4549         18.8401         99.9000          1.0041          1.1074        4.218444        1.454852
