# reference_flux:        112.5081
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2174.25757      2174.25025        116.2569          1.7104         15.2765          0.0160          0.1730          0.0623        0.604017        1.710421
     2174.26452      2174.25720        115.5051          1.5785         15.2835          0.0148         -0.3993          0.4292       -0.066279        1.578498
     2174.27146      2174.26414        115.7820          1.5460         15.2809          0.0145         -0.4354          0.4292        1.088762        1.545991
     2174.27841      2174.27109        113.6533          1.5482         15.3010          0.0148          3.3467          0.4292       -0.360303        1.548234
     2174.28535      2174.27803        118.4468          1.5644         15.2562          0.0143          2.5107          0.4292        1.103165        1.564423
     2174.29230      2174.28498        115.0705          1.5459         15.2876          0.0146         -2.1434          0.4292        1.006165        1.545943
     2174.29924      2174.29192        118.1736          1.5295         15.2587          0.0141         -0.8570          0.4292       -0.119257        1.529454
     2174.30618      2174.29887        119.4361          1.5650         15.2472          0.0142         -0.7658          0.4292        3.369305        1.564975
     2174.31313      2174.30581        114.3250          1.5420         15.2946          0.0146          1.3434          0.0623       -1.672440        1.541993
     2174.32007      2174.31275        112.3356          1.5413         15.3137          0.0149         -0.6912          0.0556        1.274921        1.541256
     2174.32702      2174.31970        116.2377          1.5348         15.2766          0.0143         -0.3623          0.0623        2.640211        1.534801
     2174.33396      2174.32664        112.7885          1.5213         15.3093          0.0146         -1.5310          0.0623       -0.476179        1.521321
     2174.34091      2174.33359        118.0634          1.5235         15.2597          0.0140          0.0440          0.0556        2.129767        1.523522
     2174.34785      2174.34053        114.7671          1.5200         15.2905          0.0144         -0.5381          0.0623        1.692035        1.520032
     2174.35480      2174.34748        118.4964          1.5265         15.2557          0.0140          0.1383          0.0623        0.055592        1.526498
     2174.36174      2174.35442        115.7831          1.5400         15.2809          0.0144          0.5669          0.0623        0.479727        1.539975
     2174.36869      2174.36137        118.3159          1.5393         15.2574          0.0141          0.0588          0.4292        0.429169        1.539304
     2174.37563      2174.36831        108.9781          1.4982         15.3467          0.0149         -0.1768          0.0623        0.934361        1.498218
     2174.38258      2174.37525        114.8159          1.5321         15.2900          0.0145         -0.9079          0.4292       -1.378976        1.532063
     2174.38952      2174.38220        119.0272          1.5257         15.2509          0.0139         -0.0844          0.0623        0.062255        1.525664
     2174.39647      2174.38914        119.4467          1.5228         15.2471          0.0138         -1.7434          0.0623       -1.214891        1.522849
     2174.40341      2174.39609        113.5067          1.6542         15.3024          0.0158          1.8867          0.4292       -0.936622        1.654214
     2174.41035      2174.40303        111.3864          1.5212         15.3229          0.0148         -0.0938          0.4292       -0.236011        1.521153
     2174.41730      2174.40998        113.5461          1.5263         15.3021          0.0146          0.7507          0.4797       -0.772081        1.526264
     2174.42424      2174.41692        111.7893          1.5045         15.3190          0.0146          1.1423          0.4292        1.022912        1.504525
     2174.43119      2174.42387        118.1997          1.5189         15.2585          0.0140         -0.8848          0.1427       -0.357058        1.518913
     2174.43813      2174.43081        115.7526          1.5153         15.2812          0.0142         -0.2217          0.1427       -0.714051        1.515348
     2174.44508      2174.43775        114.0327          1.6499         15.2974          0.0157          1.5788          0.1427        1.787105        1.649893
     2174.45202      2174.44470        112.8387          1.5278         15.3089          0.0147          1.1317          0.1427       -1.577459        1.527768
     2174.45897      2174.45164        114.8205          1.5238         15.2900          0.0144          0.5205          0.1427       -0.826189        1.523760
     2174.46591      2174.45859        115.8421          1.5248         15.2803          0.0143         -1.4861          0.0623       -3.449281        1.524848
     2174.47286      2174.46553        114.0774          1.5255         15.2970          0.0145         -1.3789          0.0623       -0.802034        1.525533
     2174.47980      2174.47248        111.0198          1.6555         15.3265          0.0162         -1.2634          0.0556       -1.264908        1.655540
     2174.48675      2174.47942        112.7181          1.5217         15.3100          0.0147          0.6852          0.0623        1.956239        1.521716
     2174.49369      2174.48637        118.8538          1.6445         15.2525          0.0150          2.1040          0.0556        0.989916        1.644482
     2174.50063      2174.49331        121.3978          1.5101         15.2295          0.0135         -0.5772         -0.0862       -0.611608        1.510096
     2174.50758      2174.50025        116.7627          1.5084         15.2717          0.0140         -1.0547         -0.0862        1.112839        1.508358
     2174.51452      2174.50720        117.7000          1.5256         15.2631          0.0141         -2.2937         -0.0862        1.056719        1.525621
     2174.52147      2174.51414        115.4269          1.6338         15.2842          0.0154         -1.5634         -0.1031        2.117864        1.633801
     2174.52841      2174.52109        112.5112          1.5121         15.3120          0.0146         -0.3668         -0.1734        1.209537        1.512059
     2174.53536      2174.52803        114.6475          1.5374         15.2916          0.0146          1.0774         -0.1906       -0.330698        1.537365
     2174.54230      2174.53498        114.6549          1.6439         15.2915          0.0156          0.0375         -0.2360        0.593193        1.643898
     2174.54925      2174.54192        118.3080          1.6262         15.2575          0.0149          1.3064         -0.2360       -0.902747        1.626162
     2174.55619      2174.54887        119.9539          1.5649         15.2425          0.0142         -0.6848         -0.2360        0.606630        1.564905
     2174.56314      2174.55581        119.6748          1.6352         15.2450          0.0148         -0.7259         -0.2360        2.928477        1.635194
     2174.57008      2174.56275        117.4942          1.6168         15.2650          0.0149          0.0253         -0.2360        3.220864        1.616839
     2174.57703      2174.56970        119.8223          1.5458         15.2437          0.0140         -1.3261         -0.1906        1.464234        1.545837
     2174.58397      2174.57664        114.8609          1.5905         15.2896          0.0150          1.5798         -0.1906       -0.543077        1.590458
     2174.59092      2174.58359        116.2600          1.5873         15.2764          0.0148          0.5790         -0.1734        0.142694        1.587348
     2174.59786      2174.59053        122.2103          1.5428         15.2222          0.0137         -0.5243         -0.1734       -0.173400        1.542771
     2174.60481      2174.59748        120.8578          1.5292         15.2343          0.0137         -0.0424         -0.1734        1.505744        1.529185
     2174.61175      2174.60442        119.5634          1.5362         15.2460          0.0139         -2.2552         -0.1031       -0.086195        1.536184
     2174.61869      2174.61137        119.6090          1.5545         15.2456          0.0141          0.5761         -0.1031        2.712160        1.554524
     2174.62564      2174.61831        111.0218          1.5900         15.3265          0.0155          1.1375         -0.1031       -2.218028        1.589952
     2174.63258      2174.62525        113.3230          1.5450         15.3042          0.0148          0.6218         -0.0862       -1.691874        1.545029
     2174.63953      2174.63220        114.8251          1.6166         15.2899          0.0153          3.0816         -0.0862       -0.103055        1.616576
     2174.64647      2174.63914        118.5234          1.5189         15.2555          0.0139         -0.5288         -0.0862        2.387051        1.518864
     2174.65342      2174.64609        119.2843          1.5819         15.2485          0.0144         -1.2765          0.0137       -0.190572        1.581931
     2174.66036      2174.65303        116.6040          1.5277         15.2732          0.0142          1.9143          0.0137       -0.821397        1.527720
     2174.66731      2174.65998        119.6981          1.5854         15.2448          0.0144          1.0562          0.0137       -1.653757        1.585394
     2174.67425      2174.66692        117.7882          1.5059         15.2622          0.0139          0.8375          0.1427        1.575932        1.505907
