# reference_flux:         46.8610
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2174.25821      2174.25025         49.1825          1.3797         16.2105          0.0305         -0.6937          0.8099        1.361658        1.379727
     2174.26516      2174.25720         46.6873          1.3697         16.2670          0.0319         -2.9163          0.8099       -0.825846        1.369731
     2174.27210      2174.26414         49.5634          1.3612         16.2021          0.0298          1.4922          0.8254        1.509311        1.361239
     2174.27905      2174.27109         50.9896          1.3693         16.1713          0.0292         -0.2576          0.8099        1.642613        1.369256
     2174.28599      2174.27803         47.9314          1.3743         16.2384          0.0311          1.2884          0.8099       -1.034562        1.374256
     2174.29293      2174.28498         46.4060          1.3783         16.2736          0.0322         -1.2278          0.8099       -0.334995        1.378288
     2174.29988      2174.29192         48.5518          1.3711         16.2245          0.0307         -1.8528          0.8099        0.996330        1.371109
     2174.30682      2174.29887         53.4635          1.3730         16.1199          0.0279         -1.4615          0.8099        3.260916        1.372963
     2174.31377      2174.30581         47.8829          1.3700         16.2395          0.0311          0.1925          0.7567        1.106389        1.370028
     2174.32071      2174.31275         52.2672          1.3797         16.1444          0.0287         -2.6160          0.7567        0.756698        1.379731
     2174.32766      2174.31970         45.2846          1.3833         16.3001          0.0332         -0.2787          0.7567       -0.040514        1.383294
     2174.33460      2174.32664         42.4475          1.3751         16.3704          0.0352         -1.4841          0.7567       -1.192136        1.375050
     2174.34155      2174.33359         47.4715          1.3740         16.2489          0.0314         -0.1472          0.7567        1.089063        1.373964
     2174.34849      2174.34053         48.4184          1.3772         16.2275          0.0309         -0.4231          0.7567        0.809883        1.377185
     2174.35544      2174.34748         47.7069          1.3842         16.2435          0.0315         -0.1109          0.7567       -0.286860        1.384186
     2174.36238      2174.35442         52.3188          1.3834         16.1434          0.0287         -1.5369          0.7567        2.653046        1.383354
     2174.36933      2174.36137         51.3477          1.3816         16.1637          0.0292          1.1079          0.7567        1.604920        1.381649
     2174.37627      2174.36831         50.2520          1.3701         16.1871          0.0296          0.8083          0.6266        0.250394        1.370095
     2174.38322      2174.37525         46.4418          1.3764         16.2727          0.0322          0.4242          0.6266       -0.066654        1.376439
     2174.39016      2174.38220         48.7293          1.3793         16.2205          0.0307         -1.2668          0.7549        1.887852        1.379306
     2174.39711      2174.38914         49.7727          1.3690         16.1975          0.0299         -4.6086          0.7549       -0.084436        1.369045
     2174.40405      2174.39609         52.2974          1.3732         16.1438          0.0285         -2.2542          0.6266        1.298116        1.373187
     2174.41099      2174.40303         48.1289          1.3729         16.2340          0.0310         -2.1490          0.5391       -0.287720        1.372862
     2174.41794      2174.40998         50.1861          1.3812         16.1885          0.0299         -1.4954          0.6266        1.847366        1.381176
     2174.42488      2174.41692         49.0027          1.3779         16.2145          0.0305         -2.7741          0.5391        0.825428        1.377871
     2174.43183      2174.42387         47.8394          1.3785         16.2405          0.0313         -1.3284          0.5259        0.953661        1.378514
     2174.43877      2174.43081         46.0216          1.3762         16.2826          0.0325          0.4001          0.5259       -0.551588        1.376218
     2174.44572      2174.43775         48.1306          1.3724         16.2339          0.0310         -2.5791          0.4269       -0.072531        1.372447
     2174.45266      2174.44470         49.4982          1.3688         16.2035          0.0300         -1.5905          0.4269       -0.950699        1.368761
     2174.45961      2174.45164         43.4456          1.3723         16.3451          0.0343         -1.5567          0.4269       -1.950175        1.372265
