# reference_flux:          2.0329
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2174.25848      2174.25025         -4.2538          1.2403         19.0134         99.9000         -1.6363         -2.5808       -1.153864        1.240293
     2174.26543      2174.25720         -2.3435          1.2359         19.0172         99.9000         -0.2519         -2.0934       -2.093426        1.235899
     2174.27237      2174.26414         -0.7334          1.2149         19.0358         99.9000         -0.1490         -2.5808       -2.580826        1.214940
     2174.27932      2174.27109          0.4848          1.2236         19.0281         99.9000          0.1361         -2.0934       -3.127044        1.223610
     2174.28626      2174.27803         -4.5152          1.1969         19.0521         99.9000          1.6961         -2.0934       -3.152242        1.196866
     2174.29321      2174.28498         -0.0875          1.2179         19.0332         99.9000         -0.6433         -2.0934       -1.172885        1.217913
     2174.30015      2174.29192         -1.6744          1.2148         19.0359         99.9000          2.8660         -2.0934        0.608007        1.214786
     2174.30710      2174.29887          0.1667          1.2217         19.0298         99.9000          1.2610         -2.0934       -3.344999        1.221688
     2174.31404      2174.30581          0.3039          1.1976         19.0514         99.9000          0.7305         -2.2559       -2.781548        1.197602
     2174.32099      2174.31275          2.0878          1.2081         19.0420         99.9000          0.9369         -2.2559       -0.185335        1.208065
     2174.32793      2174.31970         -6.7813          1.2291         19.0233         99.9000         -0.2690         -2.2559       -5.321249        1.229069
     2174.33487      2174.32664         -3.6506          1.2124         19.0381         99.9000         -1.6192         -2.0934       -5.171349        1.212404
     2174.34182      2174.33359         -0.7723          1.2187         19.0325         99.9000          1.6543         -2.2559       -1.934417        1.218689
     2174.34876      2174.34053         -6.9362          1.2136         19.0370         99.9000          1.3536         -2.2559       -6.604944        1.213588
     2174.35571      2174.34748         -2.7045          1.2186         19.0326         99.9000         -0.4563         -2.0934       -1.143294        1.218558
     2174.36265      2174.35442         -1.7951          1.2181         19.0330         99.9000          0.7679         -2.2559       -0.783329        1.218110
     2174.36960      2174.36137          0.9605          1.2423         19.0116         99.9000         -2.2267         -2.2112       -1.405049        1.242284
     2174.37654      2174.36831         -2.2955          1.1885         19.0597         99.9000          1.1081         -2.2112       -4.057036        1.188459
     2174.38349      2174.37525         -3.0886          1.2316         19.0210         99.9000         -1.4831         -2.2112       -5.174701        1.231608
     2174.39043      2174.38220         -1.7624          1.2212         19.0303         99.9000         -0.7794         -2.2559       -1.115441        1.221151
     2174.39737      2174.38914         -0.3725          1.1994         19.0498         99.9000         -1.0287         -2.2112       -1.815808        1.199351
     2174.40432      2174.39609         -3.3819          1.2079         19.0421         99.9000         -3.2228         -2.0934       -2.717691        1.207886
     2174.41126      2174.40303          2.1207          1.2009         19.0484         99.9000         -1.6107         -2.0934       -0.264152        1.200943
     2174.41821      2174.40998         -0.3982          1.2164         19.0345         99.9000          0.7436         -2.0934       -3.586533        1.216442
     2174.42515      2174.41692          1.0959          1.2075         19.0425         99.9000         -0.9580         -2.0934       -0.635972        1.207464
     2174.43210      2174.42387         -5.6678          1.2141         19.0365         99.9000          1.7030         -2.2112       -4.180723        1.214147
     2174.43904      2174.43081          3.3427          1.2107         19.0396         99.9000         -0.8557         -2.2559        0.619882        1.210689
     2174.44599      2174.43775          0.3607          1.2087         19.0414         99.9000         -1.3084         -2.2112        0.780515        1.208721
     2174.45293      2174.44470         -0.7080          1.2203         19.0310         99.9000          0.1247         -2.0767       -1.049663        1.220314
     2174.45987      2174.45164         -4.6555          1.2214         19.0301         99.9000         -0.9038         -2.0767       -5.464818        1.221361
     2174.46682      2174.45859         -4.7501          1.2130         19.0375         99.9000          0.0027         -2.0767       -4.635741        1.213008
     2174.47376      2174.46553         -2.2081          1.2238         19.0280         99.9000          0.6826         -2.2112       -2.255944        1.223762
     2174.48071      2174.47248          3.5335          1.2224         19.0291         99.9000         -2.1858         -2.2112        0.568611        1.222420
     2174.48765      2174.47942         -0.0940          1.2083         19.0418         99.9000          0.6882         -2.0767       -0.208361        1.208262
     2174.49460      2174.48637         -0.4571          1.2212         19.0303         99.9000         -0.3706         -2.2112       -1.481727        1.221161
     2174.50154      2174.49331         -0.1996          1.2052         19.0445         99.9000         -0.6556         -2.0767       -2.281810        1.205208
     2174.50849      2174.50025         -0.2859          1.1995         19.0497         99.9000         -0.5126         -1.9373       -4.128349        1.199508
     2174.51543      2174.50720          0.8331          1.1938         19.0549         99.9000          1.1467         -1.9373       -0.081424        1.193786
     2174.52237      2174.51414         -2.9274          1.1794         19.0680         99.9000         -0.9057         -1.9373       -5.624284        1.179409
     2174.52932      2174.52109         -4.1414          1.1821         19.0656         99.9000          1.1482         -2.0767       -2.211213        1.182106
     2174.53626      2174.52803         -2.4297          1.1901         19.0582         99.9000         -1.7469         -2.0767       -4.328348        1.190108
     2174.54321      2174.53498         -0.2827          1.1914         19.0570         99.9000          0.0196         -2.0767       -2.076666        1.191431
     2174.55015      2174.54192          0.0393          1.1696         19.0771         99.9000         -1.9761         -2.0421       -2.361002        1.169576
     2174.55710      2174.54887         -1.4730          1.2076         19.0424         99.9000         -1.9384         -2.0421       -1.937320        1.207556
     2174.56404      2174.55581          0.6574          1.1739         19.0731         99.9000         -0.6060         -2.0421        1.847750        1.173935
     2174.57099      2174.56275         -2.0318          1.1872         19.0609         99.9000         -1.5928         -2.0421       -3.453284        1.187185
     2174.57793      2174.56970         -1.8457          1.2068         19.0431         99.9000          2.3114         -1.9373       -1.258500        1.206806
     2174.58487      2174.57664         -1.5087          1.2015         19.0479         99.9000          2.0385         -1.9373        0.520246        1.201487
     2174.59182      2174.58359         -3.2844          1.2006         19.0487         99.9000         -0.7432         -1.9373       -3.896468        1.200635
     2174.59876      2174.59053          0.6046          1.1839         19.0639         99.9000         -3.6471         -1.9373       -4.474073        1.183919
     2174.60571      2174.59748          1.4048          1.1820         19.0657         99.9000         -2.1778         -1.9373       -1.785627        1.181954
     2174.61265      2174.60442          2.9674          1.2003         19.0489         99.9000         -1.2216         -2.0421        1.145622        1.200336
     2174.61960      2174.61137         -0.6569          1.1748         19.0723         99.9000         -0.8676         -2.0421       -2.358686        1.174798
     2174.62654      2174.61831          2.9044          1.2008         19.0485         99.9000          0.6640         -2.0421        1.831792        1.200776
     2174.63349      2174.62525         -0.0268          1.1766         19.0706         99.9000         -0.2737         -1.9373       -3.354135        1.176627
     2174.64043      2174.63220         -4.3319          1.1727         19.0743         99.9000          1.2286         -1.8706       -2.446897        1.172678
     2174.64737      2174.63914          1.7429          1.2087         19.0414         99.9000         -0.2024         -1.8706        0.586427        1.208747
     2174.65432      2174.64609         -0.7647          1.2292         19.0232         99.9000         -1.8555         -1.8706       -4.240344        1.229172
     2174.66126      2174.65303          0.5065          1.1965         19.0525         99.9000         -0.0197         -1.8706       -1.781887        1.196452
     2174.66821      2174.65998          2.6087          1.1716         19.0753         99.9000         -3.1390         -1.8706       -0.839478        1.171557
     2174.67515      2174.66692          2.5694          1.1892         19.0590         99.9000          1.9064         -1.8706       -0.890903        1.189226
     2174.68210      2174.67387          0.1622          1.1860         19.0620         99.9000          0.4065         -1.7856       -2.853574        1.185994
     2174.68904      2174.68081          0.7021          1.2181         19.0330         99.9000         -2.0910         -1.8706       -2.176322        1.218072
     2174.69599      2174.68775          0.3704          1.1913         19.0572         99.9000          0.0617         -1.7856       -0.551104        1.191278
     2174.70293      2174.69470         -2.5253          1.1949         19.0538         99.9000          1.2864         -1.7856       -1.016853        1.194930
     2174.70987      2174.70164         -1.1042          1.1962         19.0527         99.9000          0.3594         -1.7819       -2.042109        1.196185
     2174.71682      2174.70859         -2.0246          1.2018         19.0476         99.9000         -0.2085         -1.3880       -4.393519        1.201810
     2174.72376      2174.71553          0.0813          1.1872         19.0609         99.9000          0.7011         -1.3721       -0.296586        1.187218
     2174.73071      2174.72248         -1.2318          1.1841         19.0638         99.9000          0.5256         -1.3721       -1.870629        1.184069
     2174.73765      2174.72942         -1.3124          1.2208         19.0305         99.9000          1.0766         -1.3880        0.623437        1.220850
     2174.74460      2174.73637         -3.9360          1.2075         19.0425         99.9000         -0.9370         -1.3880       -0.918223        1.207501
     2174.75154      2174.74331         -2.2886          1.2031         19.0464         99.9000         -0.5232         -1.3880       -2.980667        1.203106
     2174.75848      2174.75025          2.3643          1.1939         19.0548         99.9000          0.0604         -1.3880        0.370555        1.193872
     2174.76543      2174.75720         -0.9600          1.1802         19.0673         99.9000         -3.7076         -1.3880       -2.987489        1.180189
     2174.77237      2174.76414         -1.8084          1.2038         19.0459         99.9000          1.3958         -1.3880       -2.742536        1.203754
     2174.77932      2174.77109          1.6161          1.2094         19.0408         99.9000         -0.7019         -1.3721        0.380731        1.209360
     2174.78626      2174.77803          0.1501          1.1978         19.0513         99.9000          1.1348         -1.3721       -1.220552        1.197776
     2174.79321      2174.78498         -1.5098          1.1948         19.0539         99.9000         -2.0942         -1.2283       -1.372105        1.194823
     2174.80015      2174.79192          2.2256          1.2052         19.0445         99.9000          0.9202         -1.2483       -0.253366        1.205220
     2174.80710      2174.79887         -0.5114          1.2092         19.0409         99.9000          1.1092         -1.2283       -2.320940        1.209202
     2174.81404      2174.80581         -0.7112          1.2517         19.0034         99.9000          0.7405         -1.2283       -1.171651        1.251730
     2174.82098      2174.81275         -1.6759          1.1929         19.0557         99.9000         -0.0202         -1.2283       -1.387976        1.192907
     2174.82793      2174.81970          0.6392          1.2278         19.0244         99.9000         -0.0759         -1.2206       -1.021643        1.227830
     2174.83487      2174.82664         -0.0160          1.2159         19.0349         99.9000         -3.0559         -1.2206       -2.334113        1.215935
     2174.84182      2174.83359         -4.0973          1.2644         18.9925         99.9000          0.7764         -1.2206       -0.144250        1.264403
     2174.84876      2174.84053         -3.5738          1.2871         18.9732         99.9000          0.4964         -1.2283       -2.438448        1.287098
     2174.85571      2174.84748          2.1838          1.2731         18.9850         99.9000         -3.9552         -1.2206       -0.931044        1.273109
     2174.86265      2174.85442         -5.0655          1.2850         18.9750         99.9000          0.2687         -1.2206       -2.368693        1.284951
     2174.86960      2174.86137         -0.3176          1.2244         19.0274         99.9000         -1.6085         -1.2206        0.389578        1.224396
     2174.87654      2174.86831          1.3256          1.2848         18.9751         99.9000          1.3082         -1.2206        1.603556        1.284758
     2174.88348      2174.87525         -0.2583          1.2440         19.0101         99.9000          0.9598         -1.2206        0.866311        1.244008
     2174.89043      2174.88220         -1.3935          1.3008         18.9617         99.9000         -1.9225         -1.1717       -1.600646        1.300757
     2174.89737      2174.88914         -3.6179          1.2596         18.9966         99.9000         -0.9339         -1.1717       -1.621830        1.259643
     2174.90432      2174.89609         -0.8908          1.2537         19.0017         99.9000         -1.5043         -1.0641       -2.359156        1.253681
