# reference_flux:        174.9894
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2174.25685      2174.25024        169.7315          1.2603         14.8656          0.0081         -2.0583         -1.9120       -2.764576        1.260316
     2174.26379      2174.25719        166.1992          1.2622         14.8884          0.0082          4.0105         -1.9120       -3.368372        1.262234
     2174.27074      2174.26413        165.6697          1.2628         14.8919          0.0083         -3.0485         -1.9120       -3.376900        1.262848
     2174.27768      2174.27108        167.7648          1.2645         14.8782          0.0082         -1.0683         -1.9550       -1.639273        1.264536
     2174.28463      2174.27802        164.4362          1.2631         14.9000          0.0083         -2.2240         -1.9550       -1.912012        1.263063
     2174.29157      2174.28496        160.9884          1.2656         14.9230          0.0085          1.9289         -1.9120       -2.780642        1.265619
     2174.29851      2174.29191        173.1631          1.2693         14.8439          0.0080          0.6269         -1.9120        1.685394        1.269255
     2174.30546      2174.29885        169.0659          1.2489         14.8699          0.0080         -0.6645         -1.9120        0.630627        1.248912
     2174.31240      2174.30580        168.5705          1.2750         14.8730          0.0082          3.4731         -1.9550       -3.599152        1.275005
     2174.31935      2174.31274        167.2075          1.2475         14.8819          0.0081         -1.1582         -1.9120       -1.406059        1.247507
     2174.32629      2174.31969        166.3435          1.2508         14.8875          0.0082         -0.2493         -1.9120        0.261805        1.250801
     2174.33324      2174.32663        166.0499          1.2464         14.8894          0.0081          0.4990         -1.9550       -2.886911        1.246377
     2174.34018      2174.33358        167.9937          1.2496         14.8768          0.0081         -0.1211         -1.9120       -2.631526        1.249579
     2174.34713      2174.34052        170.5728          1.2479         14.8602          0.0079         -4.9239         -1.9120       -1.794089        1.247941
     2174.35407      2174.34746        171.4071          1.2502         14.8549          0.0079         -3.1867         -1.9120       -0.640576        1.250202
     2174.36101      2174.35441        164.6101          1.2509         14.8989          0.0083          1.0920         -1.9120       -3.740884        1.250913
     2174.36796      2174.36135        169.7827          1.2507         14.8653          0.0080          0.1602         -1.9120        1.866181        1.250737
     2174.37490      2174.36830        166.2155          1.2471         14.8883          0.0081         -1.2797         -1.9120       -0.766520        1.247107
     2174.38185      2174.37524        168.2392          1.2491         14.8752          0.0081         -1.0044         -1.9120       -3.468160        1.249134
     2174.38879      2174.38219        160.8904          1.2458         14.9237          0.0084         -0.7865         -1.9120       -4.951708        1.245799
     2174.39574      2174.38913        172.8975          1.2476         14.8455          0.0078         -2.7887         -1.7941        3.104404        1.247555
     2174.40268      2174.39608        166.4723          1.2461         14.8866          0.0081         -2.4316         -1.7941       -0.653641        1.246055
     2174.40963      2174.40302        168.9239          1.2486         14.8708          0.0080         -3.7471         -1.6393       -2.245507        1.248629
     2174.41657      2174.40996        171.4844          1.2477         14.8544          0.0079         -5.4291         -1.6393       -1.000856        1.247667
