# reference_flux:        135.6501
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2174.25661      2174.25024        150.8962          1.2891         14.9933          0.0093         -1.3560          0.8500       -1.462377        1.289148
     2174.26355      2174.25719        158.2478          1.2800         14.9417          0.0088         -0.1076          0.8500        1.127974        1.279954
     2174.27050      2174.26413        153.0528          1.2870         14.9779          0.0091         -1.5289          0.8500        1.032912        1.286994
     2174.27744      2174.27108        150.4445          1.2860         14.9966          0.0093         -0.0002          0.8500        2.213498        1.285982
     2174.28439      2174.27802        153.8266          1.2877         14.9724          0.0091         -0.4938          0.8500        3.508855        1.287715
     2174.29133      2174.28496        149.4845          1.2932         15.0035          0.0094         -2.1482          0.8500        0.012405        1.293203
     2174.29828      2174.29191        152.0651          1.2894         14.9849          0.0092         -2.5234          0.8500        2.411869        1.289409
     2174.30522      2174.29885        153.5312          1.2450         14.9745          0.0088         -2.0816          0.8500        1.951558        1.244975
     2174.31216      2174.30580        152.4640          1.2851         14.9821          0.0092         -1.9413          0.9322        1.173944        1.285077
     2174.31911      2174.31274        153.6301          1.2457         14.9738          0.0088          0.6553          0.8500       -0.231748        1.245657
     2174.32605      2174.31969        151.2256          1.2411         14.9909          0.0089         -1.7975          0.8500        1.255912        1.241057
     2174.33300      2174.32663        152.3643          1.2871         14.9828          0.0092         -2.3337          0.8500       -0.503390        1.287111
     2174.33994      2174.33358        148.3924          1.2444         15.0115          0.0091          0.4138          0.9322        0.323484        1.244441
     2174.34689      2174.34052        152.8739          1.2512         14.9792          0.0089          1.4928          1.0329        2.900385        1.251196
     2174.35383      2174.34746        149.7493          1.2442         15.0016          0.0090         -1.8518          0.9322       -0.758202        1.244215
     2174.36078      2174.35441        151.4479          1.2498         14.9893          0.0090         -0.9772          0.9322        1.528916        1.249789
     2174.36772      2174.36135        154.1462          1.2409         14.9702          0.0087         -1.4789          0.9322        0.250785        1.240926
     2174.37466      2174.36830        151.2769          1.2421         14.9906          0.0089         -0.0607          0.8500        0.849979        1.242084
     2174.38161      2174.37524        149.2880          1.2426         15.0049          0.0090         -1.6108          0.7525        0.051151        1.242568
     2174.38855      2174.38219        146.9351          1.2476         15.0222          0.0092         -1.9285          0.7525       -2.295747        1.247624
     2174.39550      2174.38913        149.3878          1.2501         15.0042          0.0091          0.0644          0.7251       -0.372623        1.250078
     2174.40244      2174.39608        152.0722          1.2448         14.9849          0.0089          0.0571          0.6353        0.932161        1.244801
     2174.40939      2174.40302        149.5066          1.2528         15.0033          0.0091         -0.0355          0.5573        2.498339        1.252843
     2174.41633      2174.40996        149.0141          1.2480         15.0069          0.0091         -2.7884          0.3841       -0.673143        1.248045
     2174.42328      2174.41691        145.2332          1.2488         15.0348          0.0093         -0.0711          0.5573       -1.372047        1.248757
     2174.43022      2174.42385        153.0226          1.2495         14.9781          0.0089         -2.3842          0.6353        2.775844        1.249532
     2174.43717      2174.43080        152.0433          1.2469         14.9851          0.0089         -1.1931          0.5573       -0.148301        1.246922
     2174.44411      2174.43774        145.9363          1.2507         15.0296          0.0093          2.1483          0.5573        0.752460        1.250695
     2174.45105      2174.44469        147.6503          1.2474         15.0169          0.0092         -1.8793          0.3841        0.107853        1.247431
     2174.45800      2174.45163        147.1010          1.2430         15.0210          0.0092         -0.9333          0.3235        1.816412        1.242988
     2174.46494      2174.45858        145.6616          1.2484         15.0316          0.0093         -2.1718          0.3841        0.557339        1.248438
     2174.47189      2174.46552        151.5727          1.2504         14.9884          0.0090         -1.4627          0.3841        2.755485        1.250403
     2174.47883      2174.47246        152.0775          1.2723         14.9848          0.0091         -1.6538          0.3235        0.635315        1.272346
     2174.48578      2174.47941        150.1327          1.2408         14.9988          0.0090         -2.2677          0.3182       -0.303461        1.240839
     2174.49272      2174.48635        149.2160          1.2449         15.0055          0.0091         -1.7494          0.3235        2.027009        1.244916
     2174.49967      2174.49330        145.5919          1.2532         15.0322          0.0093         -2.2779          0.3182        2.795394        1.253158
     2174.50661      2174.50024        151.1183          1.2544         14.9917          0.0090         -1.8193          0.3235        3.091638        1.254396
     2174.51355      2174.50719        147.4584          1.2630         15.0183          0.0093         -2.6877          0.3182        0.384120        1.263042
     2174.52050      2174.51413        145.9029          1.2556         15.0298          0.0093         -0.4539          0.3051       -0.326092        1.255641
     2174.52744      2174.52108        141.0602          1.2649         15.0665          0.0097         -1.2056          0.3182        1.624128        1.264910
     2174.53439      2174.52802        150.2452          1.2623         14.9980          0.0091         -2.4622          0.3051        0.725131        1.262258
     2174.54133      2174.53496        136.0071          1.2672         15.1061          0.0101          0.7532          0.3182       -2.898519        1.267218
     2174.54828      2174.54191        145.3238          1.2680         15.0342          0.0095         -0.9178          0.3051       -1.587208        1.267965
     2174.55522      2174.54885        135.3287          1.2630         15.1115          0.0101         -1.6672          0.3051       -2.298563        1.263033
     2174.56217      2174.55580        147.5078          1.2695         15.0180          0.0093         -0.0889          0.3182       -1.470774        1.269526
     2174.56911      2174.56274        147.5772          1.2626         15.0175          0.0093          0.7096          0.3182       -1.167156        1.262647
     2174.57605      2174.56969        144.2364          1.2603         15.0423          0.0095          1.2777          0.3051       -0.296862        1.260300
     2174.58300      2174.57663        143.7668          1.2579         15.0459          0.0095         -0.4721          0.1079        1.416862        1.257873
     2174.58994      2174.58358        142.2560          1.2703         15.0573          0.0097         -2.9126          0.1079        0.650427        1.270275
     2174.59689      2174.59052        147.3282          1.2671         15.0193          0.0093         -1.8693          0.2192        0.318221        1.267114
     2174.60383      2174.59746        146.1158          1.2560         15.0283          0.0093         -1.4228          0.2192        2.973311        1.256028
     2174.61078      2174.60441        145.1376          1.2768         15.0356          0.0096         -0.2018          0.3051       -1.825759        1.276846
     2174.61772      2174.61135        144.5025          1.2474         15.0403          0.0094          0.0967          0.3051        0.305140        1.247372
     2174.62467      2174.61830        149.1374          1.2581         15.0060          0.0092         -1.0847          0.3051        2.938812        1.258130
     2174.63161      2174.62524        147.7464          1.2580         15.0162          0.0092         -1.6339          0.2192        1.391664        1.257981
     2174.63855      2174.63219        146.2127          1.2541         15.0275          0.0093         -1.0665          0.2168       -1.486522        1.254111
     2174.64550      2174.63913        143.0061          1.2513         15.0516          0.0095          0.4621          0.2168       -0.671628        1.251274
     2174.65244      2174.64608        145.0782          1.2531         15.0360          0.0094          0.9293          0.0670        2.254645        1.253130
     2174.65939      2174.65302        140.9463          1.2561         15.0674          0.0097         -0.7549          0.0670       -1.630629        1.256121
     2174.66633      2174.65996        145.2350          1.2657         15.0348          0.0095         -0.4961          0.0670        0.323767        1.265739
     2174.67328      2174.66691        142.8340          1.2911         15.0529          0.0098          1.8407          0.0670       -2.046193        1.291113
     2174.68022      2174.67385        143.1506          1.2839         15.0505          0.0097          0.1572          0.0670       -1.101065        1.283927
     2174.68717      2174.68080        146.3270          1.2694         15.0267          0.0094         -1.0476         -0.0850        0.981862        1.269447
     2174.69411      2174.68774        140.3144          1.2552         15.0722          0.0097         -0.6111          0.0670       -4.097428        1.255174
     2174.70105      2174.69469        144.8884          1.2705         15.0374          0.0095          1.4288          0.0670        1.140610        1.270450
     2174.70800      2174.70163        143.4347          1.2737         15.0484          0.0096          1.4935          0.0670       -1.022887        1.273678
     2174.71494      2174.70858        143.2225          1.2634         15.0500          0.0096         -1.2092          0.0670       -1.421583        1.263394
