# reference_flux:         31.2353
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2174.25626      2174.25024         36.3713          1.0555         16.5381          0.0315          1.2181          3.3510        3.435246        1.055471
     2174.26321      2174.25719         32.3345          1.1766         16.6658          0.0395          2.3745          3.3510        2.122372        1.176577
     2174.27015      2174.26413         31.5586          1.1831         16.6922          0.0407          1.4188          3.3510        1.764334        1.183070
     2174.27709      2174.27108         35.8562          1.1986         16.5536          0.0363         -1.1131          3.3510        3.351043        1.198629
     2174.28404      2174.27802         33.5569          1.1964         16.6255          0.0387          0.0552          3.3510        2.002611        1.196426
     2174.29098      2174.28496         33.3122          1.1898         16.6335          0.0388          1.8647          3.3510        2.901523        1.189782
     2174.29793      2174.29191         31.8717          1.1916         16.6815          0.0406          0.2145          3.3510        0.756436        1.191614
     2174.30487      2174.29885         35.3942          1.1965         16.5677          0.0367         -0.4269          3.3510        4.458478        1.196520
     2174.31182      2174.30580         35.8874          1.2178         16.5526          0.0368         -0.1749          3.3114        3.898597        1.217817
     2174.31876      2174.31274         31.5739          1.2083         16.6917          0.0416          2.2722          3.3114        1.406856        1.208345
     2174.32571      2174.31969         35.7686          1.2042         16.5562          0.0366          0.9422          3.2232        3.505611        1.204164
     2174.33265      2174.32663         31.2532          1.1847         16.7028          0.0412          0.8575          3.2206        0.916968        1.184750
     2174.33959      2174.33358         36.0866          1.1994         16.5466          0.0361         -0.8438          3.1847        4.273547        1.199440
     2174.34654      2174.34052         38.6823          1.1986         16.4712          0.0336         -0.2797          3.2206        6.234730        1.198586
     2174.35348      2174.34746         33.4269          1.2033         16.6298          0.0391          3.1806          3.1847        3.723649        1.203334
     2174.36043      2174.35441         36.4400          1.1754         16.5361          0.0350          0.8558          3.2206        3.220626        1.175417
     2174.36737      2174.36135         33.9984          1.1954         16.6114          0.0382          2.0146          3.2206        5.977514        1.195384
     2174.37432      2174.36830         34.9365          1.1965         16.5818          0.0372          1.7514          3.1847        4.584278        1.196507
     2174.38126      2174.37524         29.2563          1.2040         16.7745          0.0447          2.1725          3.1847        1.257489        1.204013
     2174.38821      2174.38219         36.4019          1.1853         16.5372          0.0354          0.1729          3.1847        4.114543        1.185271
     2174.39515      2174.38913         31.1960          1.1890         16.7048          0.0414          2.0233          3.1847        4.104730        1.189047
     2174.40209      2174.39608         34.8447          1.1804         16.5847          0.0368          2.0575          2.9015        4.221530        1.180377
     2174.40904      2174.40302         31.2635          1.1726         16.7024          0.0407         -0.4841          2.9015        2.128824        1.172632
     2174.41598      2174.40996         31.1077          1.1537         16.7078          0.0403          0.4681          2.9015        1.254003        1.153723
     2174.42293      2174.41691         30.3958          1.0883         16.7330          0.0389          0.6860          2.5844        1.661205        1.088290
     2174.42987      2174.42385         34.8242          1.1620         16.5853          0.0362          0.9303          2.3709        3.311449        1.161996
     2174.43682      2174.43080         36.3263          1.1651         16.5394          0.0348          1.7647          2.5844        5.707202        1.165080
     2174.44376      2174.43774         33.6546          1.1109         16.6224          0.0358          1.1446          2.5844        3.462597        1.110875
     2174.45071      2174.44469         30.3246          1.1840         16.7355          0.0424          1.7043          2.3709        1.231985        1.184030
     2174.45765      2174.45163         36.2736          1.1921         16.5410          0.0357          1.0603          2.3709        4.758505        1.192103
     2174.46459      2174.45858         32.8982          1.2067         16.6471          0.0398          0.0938          2.3709        3.223204        1.206677
     2174.47154      2174.46552         30.0845          1.1213         16.7441          0.0405          3.3918          2.3709        0.891818        1.121269
     2174.47848      2174.47246         32.5203          1.1153         16.6596          0.0372          0.6049          2.3709        3.184728        1.115315
     2174.48543      2174.47941         31.1229          1.2190         16.7073          0.0425          1.0461          2.3709        2.370899        1.218971
     2174.49237      2174.48635         32.5721          1.1133         16.6579          0.0371          1.4700          2.5844        0.901978        1.113340
     2174.49932      2174.49330         34.4142          1.2209         16.5982          0.0385          2.9245          2.3709        2.063644        1.220916
     2174.50626      2174.50024         33.6321          1.2105         16.6231          0.0391          1.6570          2.5844        4.037151        1.210540
     2174.51321      2174.50719         30.2605          1.1168         16.7378          0.0401          0.8275          2.3709        1.546549        1.116828
     2174.52015      2174.51413         33.5705          1.1313         16.6251          0.0366          0.4897          2.1288        3.445133        1.131270
     2174.52709      2174.52108         35.5253          1.2215         16.5637          0.0373         -2.3518          2.1288        3.668988        1.221455
     2174.53404      2174.52802         31.3595          1.1286         16.6991          0.0391          1.2765          2.0636        1.867223        1.128589
     2174.54098      2174.53496         31.6380          1.0788         16.6895          0.0370          1.2082          1.8672        2.584401        1.078808
     2174.54793      2174.54191         31.3919          1.1216         16.6980          0.0388          1.1742          1.8652        1.326968        1.121583
     2174.55487      2174.54885         30.8134          1.1847         16.7182          0.0417          2.5068          1.8672        1.111745        1.184656
     2174.56182      2174.55580         31.1338          1.0957         16.7069          0.0382          1.0559          1.8672        1.149774        1.095705
     2174.56876      2174.56274         33.6402          1.1015         16.6229          0.0356          0.6208          1.8652        1.838633        1.101503
     2174.57571      2174.56969         31.4314          1.1196         16.6966          0.0387          1.5793          1.8652        1.193127        1.119569
     2174.58265      2174.57663         31.5053          1.1206         16.6940          0.0386          0.4614          1.8386        0.021447        1.120576
     2174.58960      2174.58358         32.0117          1.1120         16.6767          0.0377          1.4017          1.8386        1.108047        1.112049
     2174.59654      2174.59052         33.5987          1.1439         16.6242          0.0370          3.1959          1.8386        3.719065        1.143858
     2174.60348      2174.59746         31.8422          1.1860         16.6825          0.0404          0.1627          1.8386       -0.827395        1.185954
     2174.61043      2174.60441         32.7093          1.1126         16.6533          0.0369         -0.1534          1.8292        1.865219        1.112636
     2174.61737      2174.61135         30.9107          1.0758         16.7147          0.0378          1.3957          1.8292        1.675240        1.075782
     2174.62432      2174.61830         29.1541          1.1472         16.7783          0.0427          4.5190          1.8292        2.678574        1.147225
     2174.63126      2174.62524         28.8998          1.1341         16.7878          0.0426          0.2291          1.7432       -0.140363        1.134094
     2174.63821      2174.63219         35.4588          1.0683         16.5657          0.0327         -0.6960          1.6960        4.230375        1.068260
     2174.64515      2174.63913         32.6866          1.1800         16.6541          0.0392         -0.4746          1.6960        2.613222        1.180017
     2174.65210      2174.64608         34.9513          1.1840         16.5813          0.0368          1.4624          1.6960        4.390010        1.184042
     2174.65904      2174.65302         34.3544          1.1386         16.6000          0.0360          1.4689          1.6960        1.829165        1.138574
     2174.66598      2174.65996         33.5761          1.1255         16.6249          0.0364          2.4281          1.7432        4.277834        1.125484
     2174.67293      2174.66691         32.7042          1.1767         16.6535          0.0391          0.6419          1.6960        0.591388        1.176698
     2174.67987      2174.67385         33.8105          1.1325         16.6174          0.0364          1.3962          1.6752        0.953842        1.132538
     2174.68682      2174.68080         34.3332          1.1928         16.6007          0.0377          3.5133          1.6752        2.755942        1.192768
     2174.69376      2174.68774         29.9732          1.1549         16.7482          0.0418          0.5793          1.6139        0.946799        1.154856
     2174.70071      2174.69469         31.5586          1.1363         16.6922          0.0391         -0.1311          1.6139        0.554266        1.136326
     2174.70765      2174.70163         31.5009          1.1473         16.6942          0.0395         -0.0917          1.6139        0.880408        1.147347
     2174.71460      2174.70858         31.2176          1.1418         16.7040          0.0397          2.2944          1.3270        2.642684        1.141793
     2174.72154      2174.71552         34.8779          1.2549         16.5836          0.0391          0.3817          1.2153        2.883619        1.254933
     2174.72848      2174.72246         34.2752          1.2030         16.6026          0.0381         -0.2008          1.6139        1.743185        1.203004
     2174.73543      2174.72941         34.7865          1.2035         16.5865          0.0376          0.6624          1.6139        3.208535        1.203502
     2174.74237      2174.73635         34.5005          1.2313         16.5954          0.0387         -0.2672          1.2153        0.331583        1.231317
     2174.74932      2174.74330         29.1316          1.2280         16.7791          0.0458          1.7723          1.2153       -1.947689        1.228011
     2174.75626      2174.75024         32.9975          1.2268         16.6438          0.0404         -0.7254          1.6139        1.696034        1.226803
     2174.76321      2174.75719         34.9762          1.2181         16.5806          0.0378          1.4423          1.6752        3.651055        1.218115
     2174.77015      2174.76413         31.5894          1.2076         16.6911          0.0415          2.3132          1.6752        0.082013        1.207594
     2174.77710      2174.77108         33.5547          1.2205         16.6256          0.0395          0.6945          1.6752        2.696648        1.220458
     2174.78404      2174.77802         32.1954          1.2060         16.6705          0.0407         -1.7190          1.6139        0.942381        1.206045
     2174.79099      2174.78496         32.5306          1.2077         16.6593          0.0403         -0.6985          1.2153       -1.043392        1.207720
     2174.79793      2174.79191         32.6359          1.1824         16.6558          0.0393          2.5312          1.2153        1.613886        1.182360
     2174.80487      2174.79885         33.2142          1.2025         16.6367          0.0393         -0.9350          1.6139        1.215323        1.202450
     2174.81182      2174.80580         33.1771          1.2083         16.6379          0.0395          2.6283          1.2153        5.599286        1.208287
     2174.81876      2174.81274         30.9107          1.2143         16.7147          0.0427          2.1004          0.9538        3.076510        1.214349
     2174.82571      2174.81969         37.0606          1.2107         16.5177          0.0355          0.2862          0.9538        5.070116        1.210696
     2174.83265      2174.82663         32.6381          1.2167         16.6557          0.0405         -1.2064          0.9538        0.606141        1.216715
     2174.83960      2174.83358         33.7667          1.1783         16.6188          0.0379         -0.5134          0.9527       -0.208895        1.178254
     2174.84654      2174.84052         31.7225          1.1963         16.6866          0.0409          1.5920          0.9527       -1.338501        1.196318
     2174.85349      2174.84746         30.9497          1.2134         16.7134          0.0426          0.3210          0.9468        0.129826        1.213402
     2174.86043      2174.85441         32.6975          1.2297         16.6537          0.0408          3.4638          0.9468        1.675415        1.229733
     2174.86737      2174.86135         32.6862          1.1979         16.6541          0.0398          2.2154          0.9424        2.267481        1.197860
     2174.87432      2174.86830         32.0784          1.2169         16.6745          0.0412          0.0954          0.9527        0.075537        1.216948
     2174.88126      2174.87524         29.3311          1.2366         16.7717          0.0458         -1.3592          0.9527       -1.088946        1.236633
     2174.88821      2174.88219         33.0373          1.2056         16.6425          0.0396         -0.3697          0.9527        3.155135        1.205556
     2174.89515      2174.88913         33.9685          1.2098         16.6123          0.0387          0.5941          0.9424       -0.986474        1.209789
