# reference_flux:        432.0111
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2174.25358      2174.25025        437.5689          1.7904         13.8374          0.0044          9.6472          3.1634        5.165902        1.790402
     2174.26053      2174.25719        435.9445          1.9570         13.8414          0.0049          7.5017          3.8451        1.099066        1.956966
     2174.26747      2174.26414        427.8984          1.8117         13.8616          0.0046          9.4488          3.8451        0.273840        1.811710
     2174.27442      2174.27108        435.9063          1.7875         13.8415          0.0045          2.8317          3.7631        1.278972        1.787512
     2174.28136      2174.27803        435.3135          1.8325         13.8430          0.0046          7.7312          3.7631        1.782357        1.832492
     2174.28830      2174.28497        436.4487          1.7882         13.8402          0.0044          5.3275          3.7631        2.787548        1.788240
     2174.29525      2174.29192        435.4318          1.7904         13.8427          0.0045          5.9467          3.7631        4.531200        1.790361
     2174.30219      2174.29886        437.3312          1.8168         13.8380          0.0045          4.5008          3.1634        5.628415        1.816764
     2174.30914      2174.30580        431.0369          1.8194         13.8537          0.0046          8.8151          3.1634       -0.983739        1.819388
     2174.31608      2174.31275        434.5763          1.8225         13.8448          0.0046          2.6579          3.7631        3.163392        1.822460
     2174.32303      2174.31969        441.7617          1.8322         13.8270          0.0045          1.7277          3.7631        4.684702        1.832201
     2174.32997      2174.32664        436.6233          1.8384         13.8397          0.0046          4.5952          3.8451        6.079580        1.838413
     2174.33691      2174.33358        432.6228          1.8089         13.8497          0.0045          6.0933          4.2020        2.893719        1.808915
     2174.34386      2174.34053        436.1998          1.8228         13.8408          0.0045          4.2739          3.8451        2.017340        1.822771
     2174.35080      2174.34747        433.2214          1.8410         13.8482          0.0046          6.1130          3.8451        0.560021        1.840987
     2174.35775      2174.35442        429.9923          1.8095         13.8563          0.0046          5.0438          4.2020        1.775006        1.809463
     2174.36469      2174.36136        436.3442          1.8504         13.8404          0.0046          5.1042          4.2904        6.904636        1.850449
     2174.37164      2174.36830        437.8472          1.8208         13.8367          0.0045          4.4025          4.2904        4.881577        1.820836
     2174.37858      2174.37525        440.7601          1.8179         13.8295          0.0045          3.9874          4.2904        5.066945        1.817942
     2174.38553      2174.38219        440.8349          1.8426         13.8293          0.0045          2.9943          4.5312        5.313017        1.842551
     2174.39247      2174.38914        444.4859          1.8506         13.8204          0.0045          4.4205          4.6847        8.089870        1.850557
     2174.39941      2174.39608        442.6741          1.8564         13.8248          0.0046          1.5654          4.7678        8.425798        1.856401
     2174.40636      2174.40303        432.0187          1.8333         13.8512          0.0046          4.2760          4.7678        3.845073        1.833272
     2174.41330      2174.40997        436.3640          1.8464         13.8404          0.0046          1.9104          4.7678        2.028334        1.846442
     2174.42025      2174.41692        434.0166          1.8607         13.8462          0.0047          2.1808          4.7678        4.767790        1.860650
     2174.42719      2174.42386        435.8184          1.8322         13.8417          0.0046          3.1600          4.7678        4.290363        1.832236
     2174.43414      2174.43080        439.1566          1.8406         13.8335          0.0046          1.5811          4.7903        3.763082        1.840606
     2174.44108      2174.43775        440.0934          1.8327         13.8311          0.0045          0.5149          4.7903        4.921637        1.832659
     2174.44802      2174.44469        439.8722          1.8584         13.8317          0.0046          4.7950          4.8816        5.130004        1.858357
     2174.45497      2174.45164        441.9625          1.8432         13.8265          0.0045          0.4223          4.8816        7.672962        1.843177
     2174.46191      2174.45858        436.4553          1.8385         13.8402          0.0046          3.2548          4.8875        2.764334        1.838460
     2174.46886      2174.46553        438.2322          1.8488         13.8357          0.0046          1.3796          4.9216        6.341120        1.848791
     2174.47580      2174.47247        439.0197          1.8549         13.8338          0.0046          2.2095          4.8875        6.107507        1.854852
     2174.48275      2174.47941        434.8754          1.8482         13.8441          0.0046          4.3397          4.9216        3.406362        1.848179
     2174.48969      2174.48636        441.5160          1.8546         13.8276          0.0046          1.1035          5.0255        7.140465        1.854556
     2174.49663      2174.49330        437.5853          1.8365         13.8373          0.0046          3.6070          5.0397        4.202009        1.836490
     2174.50358      2174.50025        434.2769          1.8621         13.8456          0.0047          2.1584          5.0397        3.302396        1.862116
     2174.51052      2174.50719        441.7612          1.8357         13.8270          0.0045          0.1013          5.0397        5.793109        1.835684
     2174.51747      2174.51414        437.3459          1.8546         13.8379          0.0046          2.1271          5.0397        6.627242        1.854644
     2174.52441      2174.52108        440.1642          1.8693         13.8310          0.0046          2.6258          5.0397        5.571329        1.869273
     2174.53136      2174.52803        433.7210          1.8512         13.8470          0.0046          0.6421          5.0397        6.459718        1.851226
     2174.53830      2174.53497        436.9916          1.8396         13.8388          0.0046          2.7940          5.0255        6.261477        1.839648
     2174.54525      2174.54191        435.2480          1.8454         13.8432          0.0046          3.5690          5.0397        5.039735        1.845382
     2174.55219      2174.54886        440.1603          1.8794         13.8310          0.0046         -0.5036          5.0255        5.093696        1.879413
     2174.55913      2174.55580        434.9984          1.8564         13.8438          0.0046          4.5268          4.9216        4.790274        1.856392
     2174.56608      2174.56275        432.8936          1.8675         13.8490          0.0047          1.1369          4.9216        4.132879        1.867537
     2174.57302      2174.56969        437.0993          1.8468         13.8385          0.0046         -2.4211          4.8875        4.459110        1.846819
     2174.57997      2174.57664        441.7928          1.8527         13.8270          0.0046         -1.5943          4.9216        5.610821        1.852667
     2174.58691      2174.58358        439.8365          1.8562         13.8318          0.0046         -2.5863          5.0255        5.499493        1.856198
     2174.59386      2174.59053        443.4638          1.8300         13.8229          0.0045          2.1199          5.0255        7.252712        1.830012
     2174.60080      2174.59747        433.7146          1.8724         13.8470          0.0047          0.9217          5.0255        4.763072        1.872355
     2174.60774      2174.60441        434.2512          1.8632         13.8456          0.0047          1.6409          5.0255        4.887504        1.863177
     2174.61469      2174.61136        432.2813          1.8648         13.8506          0.0047          1.8437          5.0397        1.279210        1.864800
     2174.62163      2174.61830        439.2549          1.8746         13.8332          0.0046          0.9635          5.0397        5.025539        1.874584
     2174.62858      2174.62525        441.1431          1.8711         13.8286          0.0046          1.1246          5.0397        8.387779        1.871148
     2174.63552      2174.63219        436.2021          1.8455         13.8408          0.0046         -0.8244          5.0397        4.148142        1.845485
     2174.64247      2174.63914        438.3470          1.8555         13.8355          0.0046         -0.8881          5.0397        6.506717        1.855516
     2174.64941      2174.64608        443.4668          1.8660         13.8228          0.0046         -0.7843          5.0255        5.669995        1.865984
     2174.65636      2174.65303        441.7529          1.8780         13.8271          0.0046          0.6142          5.0397        7.290505        1.877991
     2174.66330      2174.65997        437.3877          1.8843         13.8378          0.0047         -0.8338          5.0397        7.034894        1.884315
     2174.67024      2174.66691        438.4970          1.8947         13.8351          0.0047         -1.5145          5.0397        3.716822        1.894688
     2174.67719      2174.67386        433.7747          1.8720         13.8468          0.0047          0.1309          5.0397        0.615890        1.871988
     2174.68413      2174.68080        441.0962          1.8864         13.8287          0.0046         -4.7421          5.0255        4.679811        1.886407
     2174.69108      2174.68775        440.2091          1.8824         13.8309          0.0046         -3.4804          4.8875        3.138178        1.882363
     2174.69802      2174.69469        434.4039          1.8842         13.8453          0.0047          2.8196          4.8603        4.446066        1.884247
     2174.70497      2174.70164        438.8107          1.8833         13.8343          0.0047         -0.7652          4.8603        6.649457        1.883269
     2174.71191      2174.70858        428.9992          1.8643         13.8589          0.0047         -0.1708          4.8603       -0.737144        1.864339
     2174.71886      2174.71553        430.7144          1.8785         13.8545          0.0047          2.7940          4.7903        4.248557        1.878465
     2174.72580      2174.72247        431.8218          1.8762         13.8517          0.0047          2.2187          4.7631        7.456230        1.876196
     2174.73274      2174.72941        439.9849          1.8704         13.8314          0.0046         -3.6377          4.7631        3.084135        1.870389
     2174.73969      2174.73636        433.3627          1.8925         13.8479          0.0047          5.0966          4.7631        6.020038        1.892516
     2174.74663      2174.74330        433.6291          1.8603         13.8472          0.0047         -0.4212          4.8603        5.195874        1.860293
