# reference_flux:      -1560.8509
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2201.73815      2201.72939        -10.0179          2.0593         18.4629         99.9000          2.1185         -2.0745       -2.678485        2.059305
     2201.74510      2201.73634         -8.8408          2.1046         18.4393         99.9000          0.9937         -2.0745       -2.606047        2.104587
     2201.75204      2201.74328         -8.1182          2.0523         18.4666         99.9000          2.1792         -2.0745       -3.088733        2.052312
     2201.75898      2201.75022        -15.8145          2.1026         18.4403         99.9000          2.7841         -2.0745       -9.254616        2.102616
     2201.76593      2201.75717         -8.1062          2.1152         18.4338         99.9000         -3.9801         -2.0745       -2.074511        2.115245
     2201.77287      2201.76411         -9.1509          2.1021         18.4406         99.9000         -0.3646         -2.2950        0.510663        2.102125
     2201.77982      2201.77106         -4.5523          2.1178         18.4325         99.9000         -1.5346         -2.0745       -0.977608        2.117767
     2201.78676      2201.77800         -6.3851          2.0919         18.4458         99.9000         -1.3612         -2.0745       -1.287723        2.091901
     2201.79371      2201.78495          0.5095          2.0949         18.4443         99.9000          0.9467         -2.0745       -1.837925        2.094891
     2201.80065      2201.79189        -10.9410          2.0881         18.4478         99.9000          2.9701         -2.0745       -3.637095        2.088058
     2201.80760      2201.79884         -5.1452          2.1050         18.4391         99.9000         -0.7517         -2.0745       -3.452736        2.105015
     2201.81454      2201.80578         -2.6408          2.0873         18.4482         99.9000          0.2262         -2.0745       -0.589061        2.087326
     2201.82149      2201.81272         -4.0477          2.1046         18.4393         99.9000         -0.8180         -1.8379       -3.289818        2.104592
     2201.82843      2201.81967         -0.8425          2.1120         18.4355         99.9000          0.6462         -1.8379        0.306631        2.112003
     2201.83538      2201.82661        -13.9038          2.1307         18.4259         99.9000          0.3963         -1.8379       -2.295035        2.130747
     2201.84232      2201.83356          1.6155          2.0908         18.4464         99.9000          0.2351         -1.8379        2.517345        2.090754
     2201.84926      2201.84050         -5.3927          2.0969         18.4433         99.9000          0.1013         -1.8069       -1.720282        2.096887
     2201.85621      2201.84745         -7.1840          2.1070         18.4380         99.9000         -1.2433         -1.8069       -1.521735        2.106999
     2201.86315      2201.85439         -2.9840          2.1138         18.4345         99.9000          1.1421         -1.8069       -3.565333        2.113788
     2201.87010      2201.86134         -7.7407          2.0960         18.4437         99.9000         -1.2063         -1.8069       -0.806315        2.095974
     2201.87704      2201.86828         -1.4890          2.1062         18.4384         99.9000          1.0872         -1.7246       -0.311484        2.106201
     2201.88399      2201.87522         -3.6764          2.0946         18.4444         99.9000         -4.4615         -1.7203       -3.015976        2.094590
     2201.89093      2201.88217         -7.1993          2.1042         18.4395         99.9000         -0.5712         -1.7203       -4.147860        2.104231
     2201.89788      2201.88911         -7.0482          2.0847         18.4496         99.9000         -0.9154         -1.5424       -1.542388        2.084702
     2201.90482      2201.89606        -10.3671          2.0840         18.4499         99.9000         -1.0960         -1.5424       -5.850372        2.084047
     2201.91177      2201.90300          3.0293          2.1080         18.4375         99.9000         -0.9541         -1.5217        1.094369        2.108049
     2201.91871      2201.90995         -0.1546          2.1141         18.4344         99.9000         -1.7342         -1.2877       -2.378335        2.114144
     2201.92565      2201.91689        -10.2925          2.0925         18.4455         99.9000          0.5578         -1.2809       -4.190149        2.092507
     2201.93260      2201.92384        -14.0293          2.0980         18.4427         99.9000          1.1310         -1.2809       -3.406128        2.097972
     2201.93954      2201.93078          1.4253          2.1022         18.4405         99.9000         -0.1699         -1.2809        2.733632        2.102190
     2201.94649      2201.93772         -2.8579          2.0906         18.4465         99.9000         -1.5112         -1.2809       -0.901108        2.090566
     2201.95343      2201.94467         -4.9406          2.0998         18.4417         99.9000          2.1531         -1.2809       -0.436622        2.099810
     2201.96038      2201.95161         -5.2305          2.0866         18.4486         99.9000         -1.5393         -0.9582       -0.718000        2.086636
     2201.96732      2201.95856          2.3457          2.0780         18.4531         99.9000         -2.2977         -0.9582        1.705250        2.078035
     2201.97427      2201.96550         -1.6864          2.0809         18.4516         99.9000         -0.4439         -0.9582        0.893826        2.080931
     2201.98121      2201.97245         -9.1382          2.0912         18.4462         99.9000          2.5219         -0.9011       -1.724573        2.091214
     2201.98816      2201.97939         -3.5207          2.0908         18.4464         99.9000         -3.0466         -0.9582        0.725697        2.090821
     2201.99510      2201.98634         -6.3978          2.1055         18.4388         99.9000         -3.0967         -0.9011       -2.158545        2.105538
     2202.00205      2201.99328         -2.3370          2.0812         18.4514         99.9000         -1.0185         -0.9582        0.510395        2.081159
     2202.00899      2202.00022         -4.1138          2.0766         18.4538         99.9000         -1.7115         -0.9582       -1.806896        2.076554
     2202.01593      2202.00717         -7.7012          2.0707         18.4569         99.9000          0.0989         -0.9582        2.536954        2.070742
