# reference_flux:      -4444.7655
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2229.04371      2229.03494         -8.7212          2.0501         18.4677         99.9000        -30.7980         -0.9914        0.377572        2.050146
     2229.05066      2229.04188         -6.5810          2.0178         18.4850         99.9000        -32.3183         -0.8184        0.472108        2.017789
     2229.05760      2229.04882          0.5396          1.9884         18.5010         99.9000        -31.9435         -0.8184        0.361556        1.988356
     2229.06455      2229.05577         -7.2669          1.9554         18.5191         99.9000        -33.0920         -0.8184        1.213572        1.955423
     2229.07149      2229.06271         -3.1861          1.9283         18.5343         99.9000        -39.5481         -0.8184        1.427867        1.928305
     2229.07844      2229.06966         -4.4462          1.9005         18.5500         99.9000        -41.4311         -0.8184       -4.236288        1.900523
     2229.08538      2229.07660          0.5637          1.8735         18.5656         99.9000        -43.9660         -0.8184        4.445839        1.873506
     2229.09233      2229.08355         -0.4124          1.8478         18.5806         99.9000        -50.8257         -0.8184        1.753002        1.847779
     2229.09927      2229.09049         -3.7726          1.8205         18.5967         99.9000        -45.7014         -0.8184       -1.726170        1.820526
     2229.10621      2229.09744         -3.8179          1.7969         18.6109         99.9000        -45.4908         -0.9914        6.024332        1.796925
     2229.11316      2229.10438         -9.7734          1.7710         18.6266         99.9000        -38.7871         -0.8184       -3.577653        1.771042
     2229.12010      2229.11132         -2.0120          1.7501         18.6395         99.9000        -42.8276         -0.8184        0.276134        1.750102
     2229.12705      2229.11827         -7.2669          1.7108         18.6642         99.9000        -34.7622         -0.8184       -2.303607        1.710761
     2229.13399      2229.12521         -8.0268          1.6888         18.6783         99.9000        -33.1812         -0.9914       -2.294306        1.688800
     2229.14094      2229.13216         -3.3357          1.6676         18.6920         99.9000        -28.7930         -0.9914       -1.104593        1.667596
     2229.14788      2229.13910         -5.5471          1.6481         18.7047         99.9000        -22.7004         -1.0322       -0.379508        1.648101
     2229.15483      2229.14605         -5.5298          1.6277         18.7182         99.9000        -21.3808         -1.0322       -3.580593        1.627731
     2229.16177      2229.15299         -6.4940          1.6089         18.7309         99.9000        -20.0993         -1.0377       -0.818444        1.608861
     2229.16872      2229.15994         -2.9670          1.5883         18.7449         99.9000        -18.6307         -1.1046       -0.706210        1.588263
     2229.17566      2229.16688         -2.1078          1.5759         18.7533         99.9000        -11.8853         -1.1046       -1.778436        1.575949
     2229.18261      2229.17382         -4.1148          1.5601         18.7643         99.9000        -11.3209         -1.4347       -0.991382        1.560108
     2229.18955      2229.18077         -9.3333          1.5442         18.7754         99.9000         -9.9357         -1.4347       -3.683932        1.544230
     2229.19650      2229.18771         -2.4529          1.5326         18.7837         99.9000        -11.4299         -1.4347       -1.755277        1.532557
     2229.20344      2229.19466         -8.3195          1.5182         18.7938         99.9000         -6.9046         -1.4347       -3.414190        1.518236
     2229.21039      2229.20160         -3.0561          1.5119         18.7984         99.9000         -3.7398         -1.4405        0.205664        1.511922
     2229.21733      2229.20855         -6.4899          1.5037         18.8043         99.9000         -4.0022         -1.5967       -1.698438        1.503697
     2229.22427      2229.21549         -5.2894          1.4973         18.8089         99.9000         -2.7647         -1.5967       -1.037673        1.497286
     2229.23122      2229.22244         -4.6424          1.4914         18.8132         99.9000         -3.7201         -1.5967       -0.043807        1.491409
     2229.23816      2229.22938         -4.3911          1.4889         18.8151         99.9000          0.5044         -1.6966       -1.596727        1.488870
     2229.24511      2229.23632         -6.1269          1.4845         18.8182         99.9000         -1.8021         -1.6966       -2.763063        1.484547
     2229.25205      2229.24327         -0.7259          1.4835         18.8189         99.9000         -1.9913         -1.5967       -0.711431        1.483546
     2229.25900      2229.25021         -7.5289          1.4798         18.8217         99.9000         -0.3868         -1.5967       -3.745552        1.479764
     2229.26594      2229.25716         -7.9274          1.4795         18.8219         99.9000         -0.0156         -1.6966       -6.885772        1.479528
     2229.27289      2229.26410         -2.7765          1.4819         18.8201         99.9000          0.1604         -1.5967       -0.817898        1.481914
     2229.27983      2229.27105         -2.7777          1.4813         18.8206         99.9000         -0.4630         -1.6966       -1.434722        1.481333
     2229.28678      2229.27799         -6.1934          1.4803         18.8213         99.9000          2.0483         -1.6966       -1.440550        1.480335
     2229.29372      2229.28494         -3.8068          1.4796         18.8218         99.9000         -2.1432         -1.6984       -1.967155        1.479628
     2229.30067      2229.29188         -2.9064          1.4808         18.8210         99.9000         -1.7238         -1.6966       -3.224934        1.480773
     2229.30761      2229.29882         -4.0969          1.4818         18.8202         99.9000          0.6459         -1.6828       -1.032235        1.481838
     2229.31456      2229.30577         -3.6049          1.4812         18.8207         99.9000         -2.0087         -1.6828       -1.696580        1.481180
     2229.32150      2229.31271         -7.7714          1.4806         18.8211         99.9000          1.1283         -1.6966       -2.680269        1.480620
     2229.32845      2229.31966         -4.5910          1.4808         18.8210         99.9000         -1.1277         -1.6828       -2.407970        1.480786
     2229.33539      2229.32660         -1.8463          1.4832         18.8192         99.9000          1.4093         -1.6828       -2.898924        1.483228
     2229.34233      2229.33355         -4.7940          1.4810         18.8208         99.9000         -0.0389         -1.6966       -3.797809        1.481010
     2229.34928      2229.34049         -1.5677          1.4862         18.8170         99.9000          1.0435         -1.6828        0.236232        1.486151
     2229.35622      2229.34744         -0.4807          1.4855         18.8175         99.9000         -1.8358         -1.6966       -0.965444        1.485504
     2229.36317      2229.35438         -6.1183          1.4806         18.8211         99.9000          0.0341         -1.6966       -1.024642        1.480594
     2229.37011      2229.36132         -7.1515          1.4791         18.8222         99.9000         -2.8952         -1.6828       -2.480634        1.479137
     2229.37706      2229.36827         -1.0071          1.4808         18.8210         99.9000         -1.3858         -1.5967       -4.640658        1.480806
     2229.38400      2229.37521          1.3883          1.4820         18.8201         99.9000          0.5034         -1.6828       -1.524091        1.482026
     2229.39095      2229.38216         -0.7475          1.4808         18.8210         99.9000         -1.4394         -1.5967       -0.934773        1.480785
     2229.39789      2229.38910         -4.5055          1.4810         18.8208         99.9000          0.5724         -1.5967       -2.720768        1.481028
     2229.40484      2229.39605          3.0341          1.4822         18.8199         99.9000         -1.1057         -1.6828       -1.112804        1.482173
     2229.41178      2229.40299          0.2052          1.4830         18.8194         99.9000         -2.2730         -1.6828        0.712957        1.482979
     2229.41873      2229.40994          0.5260          1.4814         18.8205         99.9000         -0.0428         -1.6828       -0.804657        1.481403
     2229.42567      2229.41688         -1.9963          1.4832         18.8192         99.9000         -1.8386         -1.6828       -2.114180        1.483160
     2229.43262      2229.42382         -3.8401          1.4804         18.8213         99.9000         -0.0396         -1.6175       -0.062939        1.480377
     2229.43956      2229.43077         -3.5903          1.4848         18.8180         99.9000          0.8160         -1.5241       -3.289542        1.484798
     2229.44651      2229.43771         -6.8515          1.4801         18.8215         99.9000          0.2588         -1.5241       -2.366483        1.480051
     2229.45345      2229.44466         -5.3068          1.4826         18.8196         99.9000         -0.8212         -1.5241       -2.887171        1.482635
     2229.46039      2229.45160         -0.4546          1.4832         18.8192         99.9000         -1.2789         -1.6175        0.720310        1.483247
     2229.46734      2229.45855         -4.5825          1.4824         18.8198         99.9000         -1.6839         -1.6175       -1.682815        1.482400
     2229.47428      2229.46549         -1.1340          1.4805         18.8212         99.9000         -1.0339         -1.5241       -0.023580        1.480497
     2229.48123      2229.47244         -6.8437          1.4794         18.8220         99.9000         -1.9038         -1.6175       -3.273170        1.479394
     2229.48817      2229.47938         -2.6617          1.4827         18.8195         99.9000         -1.3696         -1.6175       -0.613630        1.482730
     2229.49512      2229.48632          2.0685          1.4838         18.8188         99.9000         -2.6289         -1.6175       -0.873539        1.483808
     2229.50206      2229.49327         -5.4361          1.4807         18.8210         99.9000          0.3157         -1.6175       -2.399205        1.480696
     2229.50901      2229.50021         -3.3433          1.4804         18.8213         99.9000         -2.0926         -1.6175        1.535869        1.480363
     2229.51595      2229.50716         -0.7558          1.4814         18.8205         99.9000          1.3006         -1.5241       -3.250751        1.481354
     2229.52290      2229.51410         -6.5546          1.4798         18.8217         99.9000          0.4911         -1.5241       -3.394659        1.479808
     2229.52984      2229.52105         -5.5891          1.4802         18.8214         99.9000         -0.7061         -1.6175       -1.187215        1.480180
     2229.53679      2229.52799         -2.8779          1.4796         18.8218         99.9000         -1.8732         -1.6175       -0.844002        1.479593
     2229.54373      2229.53494         -4.0688          1.4804         18.8212         99.9000          1.3400         -1.5241       -3.007842        1.480445
     2229.55068      2229.54188         -5.5756          1.4787         18.8225         99.9000          0.6635         -1.5241       -1.219182        1.478702
     2229.55762      2229.54882         -1.2977          1.4805         18.8212         99.9000         -2.5889         -1.2810       -0.122226        1.480457
     2229.56457      2229.55577         -6.3956          1.4786         18.8226         99.9000         -0.2204         -1.6175       -2.514813        1.478589
     2229.57151      2229.56271         -6.9423          1.4796         18.8219         99.9000          0.7382         -1.2810       -1.617457        1.479576
     2229.57845      2229.56966         -5.6527          1.4805         18.8212         99.9000         -0.4435         -1.2810       -3.081738        1.480509
     2229.58540      2229.57660          0.2776          1.4824         18.8198         99.9000         -2.1768         -1.2810       -0.817746        1.482427
     2229.59234      2229.58355         -4.4727          1.4811         18.8207         99.9000          0.0548         -1.5858       -1.281024        1.481128
     2229.59929      2229.59049         -7.2533          1.4793         18.8221         99.9000         -0.0971         -1.5858       -1.009585        1.479261
     2229.60623      2229.59744         -1.8178          1.4809         18.8209         99.9000         -2.2511         -1.5858        0.952392        1.480877
     2229.61318      2229.60438         -2.6004          1.4809         18.8209         99.9000         -1.6194         -1.5479       -0.745110        1.480895
