# reference_flux:         45.0150
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2229.07156      2229.06271         36.1063          2.1111         16.5460          0.0635        -16.0565         -6.8147       -6.856802        2.111117
     2229.07850      2229.06966         31.3043          2.1094         16.7010          0.0732        -12.9466         -6.7946      -10.944872        2.109443
     2229.08545      2229.07660         36.2524          1.9410         16.5417          0.0581        -15.3650         -6.7946       -2.397106        1.941003
     2229.09239      2229.08355         44.0959          1.7842         16.3290          0.0439        -14.7976         -6.7946       -1.493242        1.784205
     2229.09934      2229.09049         40.8842          1.8627         16.4111          0.0495        -11.8872         -6.7946       -4.121842        1.862670
     2229.10628      2229.09744         36.2265          1.8286         16.5424          0.0548         -9.6104         -6.8147      -11.552207        1.828614
     2229.11323      2229.10438         35.6526          1.8129         16.5598          0.0552         -6.6845         -6.8147       -9.658283        1.812880
     2229.12017      2229.11132         29.4192          1.7485         16.7684          0.0645         -7.8470         -6.8147      -15.210104        1.748477
     2229.12712      2229.11827         34.0944          1.7360         16.6083          0.0553         -7.4862         -6.8147       -8.651487        1.735987
     2229.13406      2229.12521         31.6125          1.7128         16.6904          0.0588         -4.5388         -6.8147      -12.437384        1.712760
     2229.14100      2229.13216         35.5175          1.7079         16.5639          0.0522         -2.1320         -6.8147       -6.794602        1.707943
     2229.14795      2229.13910         29.9267          1.7218         16.7499          0.0625         -1.5840         -6.8147      -14.128126        1.721845
     2229.15489      2229.14605         32.2975          1.6635         16.6671          0.0559         -0.0701         -6.7946       -8.444378        1.663549
     2229.16184      2229.15299         37.9899          1.6645         16.4908          0.0476          0.3649         -6.7946       -8.433628        1.664504
     2229.16878      2229.15994         35.5188          1.6327         16.5639          0.0499         -0.4511         -6.7946       -6.814716        1.632657
     2229.17573      2229.16688         40.6642          1.6044         16.4170          0.0428         -4.2444         -6.6320       -2.992431        1.604373
     2229.18267      2229.17382         41.5505          1.5772         16.3936          0.0412         -4.9504         -6.4702        1.117933        1.577204
     2229.18962      2229.18077         44.4001          1.5596         16.3215          0.0381         -4.5177         -6.4446       -1.604479        1.559630
     2229.19656      2229.18771         40.6260          1.5266         16.4180          0.0408         -5.3188         -6.4120       -1.933241        1.526629
     2229.20351      2229.19466         41.4791          1.4978         16.3954          0.0392         -5.1741         -5.8712       -0.921210        1.497837
     2229.21045      2229.20160         42.1217          1.4363         16.3787          0.0370         -5.0140         -5.8712       -2.308400        1.436319
     2229.21740      2229.20855         40.1769          1.4236         16.4301          0.0385         -2.8381         -5.8712       -2.006882        1.423588
     2229.22434      2229.21549         43.8233          1.4356         16.3357          0.0356          0.0840         -5.8712       -1.683918        1.435591
     2229.23128      2229.22244         38.0823          1.4245         16.4882          0.0406         -2.2128         -5.8712       -8.913190        1.424484
     2229.23823      2229.22938         43.1728          1.4124         16.3520          0.0355         -0.1616         -5.8712       -0.654076        1.412410
     2229.24517      2229.23632         43.9388          1.4106         16.3329          0.0349         -2.4257         -5.3134       -2.629347        1.410557
