# reference_flux:        272.9606
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2228.75778      2228.75023        290.1358          6.0251         14.2835          0.0225        -10.2192          1.9206       -0.423334        6.025085
     2228.76473      2228.75718        275.1885          5.8009         14.3409          0.0229         -3.6531          1.9206        2.883611        5.800859
     2228.77167      2228.76412        275.6891          5.5921         14.3390          0.0220          9.8564          1.9206       -1.055720        5.592128
     2228.77862      2228.77106        283.5122          5.4881         14.3086          0.0210         -3.9045          1.9206       10.896755        5.488138
     2228.78556      2228.77801        272.1095          5.2783         14.3531          0.0211          5.6517          1.8530       -2.477295        5.278284
     2228.79251      2228.78495        279.9592          5.0327         14.3223          0.0195         -4.5843          1.8530        5.168781        5.032683
     2228.79945      2228.79190        286.7179          4.9899         14.2964          0.0189          2.8702          1.9206       10.125562        4.989908
     2228.80640      2228.79884        279.5806          4.8188         14.3237          0.0187         -1.5083          1.9206        6.711310        4.818807
     2228.81334      2228.80579        281.2514          4.6963         14.3173          0.0181         -6.3773          1.9206       12.265428        4.696255
     2228.82028      2228.81273        265.2619          4.5227         14.3808          0.0185         -2.0714          1.9206       -7.121908        4.522727
     2228.82723      2228.81968        270.7695          4.3821         14.3585          0.0176         11.4940          1.9206        2.403474        4.382095
     2228.83417      2228.82662        271.3960          4.2476         14.3560          0.0170          7.9775          1.9206        1.404064        4.247581
     2228.84112      2228.83356        273.8901          4.1332         14.3461          0.0164        -38.2909          1.9206        1.920616        4.133210
     2228.84806      2228.84051        277.2492          4.0381         14.3328          0.0158        -23.8531          2.3009        7.005868        4.038060
     2228.85501      2228.84745        271.2383          3.8748         14.3566          0.0155        -26.9175          2.3009        3.859153        3.874835
     2228.86195      2228.85440        267.9438          3.7844         14.3699          0.0153        -32.6958          2.3009       -3.189072        3.784388
     2228.86890      2228.86134        268.8239          3.7443         14.3663          0.0151        -28.0117          1.9206        1.293532        3.744278
     2228.87584      2228.86829        268.8429          3.6417         14.3663          0.0147        -26.9994          1.9206        1.853037        3.641705
     2228.88279      2228.87523        267.3006          3.5589         14.3725          0.0145        -24.5379          1.9206       -1.531993        3.558923
     2228.88973      2228.88218        281.3790          3.4992         14.3168          0.0135        -17.8218          1.8530        0.084639        3.499195
     2228.89668      2228.88912        281.6490          3.4379         14.3157          0.0133        -18.0328          1.9206        3.120064        3.437877
     2228.90362      2228.89606        285.5464          3.3138         14.3008          0.0126        -22.4299          1.9206        5.961563        3.313805
     2228.91056      2228.90301        281.5982          3.2357         14.3159          0.0125        -16.6778          1.9206        1.692385        3.235725
     2228.91751      2228.90995        269.7620          3.1916         14.3625          0.0128        -18.5060          1.8530        4.559336        3.191596
     2228.92445      2228.91690        281.6159          3.1454         14.3159          0.0121         -6.7817          1.8530        4.806346        3.145419
     2228.93140      2228.92384        268.9374          3.0843         14.3659          0.0125        -11.5492          1.8530       -0.633546        3.084346
     2228.93834      2228.93079        269.3519          3.0333         14.3642          0.0122         -9.8429          1.6924       -0.697599        3.033300
     2228.94529      2228.93773        271.2972          2.9823         14.3564          0.0119        -10.8795          1.6924       -1.579398        2.982287
     2228.95223      2228.94468        275.2074          2.9302         14.3408          0.0116        -24.5793          1.4183       -0.746382        2.930157
     2228.95918      2228.95162        270.3561          2.8948         14.3602          0.0116        -11.4892          1.4183        5.430892        2.894809
     2228.96612      2228.95856        263.5216          2.8518         14.3880          0.0117        -20.7984          1.4041        0.320531        2.851780
     2228.97307      2228.96551        269.3048          2.7987         14.3644          0.0113        -18.2102          1.3833       -1.419330        2.798731
     2228.98001      2228.97245        281.1416          2.7395         14.3177          0.0106        -18.0163          1.2935        2.300883        2.739497
     2228.98696      2228.97940        273.6064          2.6991         14.3472          0.0107        -17.4610          1.2935        5.425333        2.699091
     2228.99390      2228.98634        266.7721          2.6512         14.3746          0.0108         -9.6200          1.2935       -1.181557        2.651188
     2229.00085      2228.99329        275.9955          2.5999         14.3377          0.0102        -11.6974          1.2935        3.845827        2.599853
     2229.00779      2229.00023        270.2908          2.5467         14.3604          0.0102        -13.0397          1.2935        2.881321        2.546732
     2229.01474      2229.00718        276.5921          2.5108         14.3354          0.0099        -12.7382          1.2935        5.378014        2.510766
     2229.02168      2229.01412        272.9005          2.4583         14.3500          0.0098        -11.7308          1.2931       -1.033436        2.458307
     2229.02862      2229.02106        271.1733          2.4125         14.3569          0.0097        -15.8134          1.2120        0.010804        2.412487
     2229.03557      2229.02801        271.0708          2.3758         14.3573          0.0095        -22.3334          1.2931        4.093253        2.375782
     2229.04251      2229.03495        273.9893          2.3143         14.3457          0.0092        -17.6434          1.2120        4.559239        2.314293
     2229.04946      2229.04190        266.7241          2.2740         14.3748          0.0093        -13.2171          1.2120       -0.317940        2.274023
     2229.05640      2229.04884        272.6657          2.2561         14.3509          0.0090        -16.4814          1.2120        2.166105        2.256099
     2229.06335      2229.05579        270.7275          2.2294         14.3587          0.0089        -15.7314          1.2120        5.918408        2.229401
     2229.07029      2229.06273        267.9899          2.1821         14.3697          0.0088         -9.5397          0.8731       -0.808359        2.182068
     2229.07724      2229.06968        269.0674          2.1582         14.3653          0.0087        -13.3008          0.8731        1.211970        2.158211
     2229.08418      2229.07662        269.2307          2.1374         14.3647          0.0086        -11.6818          0.8731        1.418303        2.137419
     2229.09113      2229.08356        267.9478          2.1092         14.3699          0.0085         -9.5845          0.8034       -0.911656        2.109154
     2229.09807      2229.09051        264.1502          2.0570         14.3854          0.0085         -7.8407          0.7577       -3.566875        2.056996
     2229.10502      2229.09745        267.2920          2.0203         14.3725          0.0082        -10.0944          0.8034       -2.146663        2.020332
     2229.11196      2229.10440        270.1694          2.0205         14.3609          0.0081         -8.7435          0.8034        1.293100        2.020481
     2229.11891      2229.11134        266.1770          1.9914         14.3771          0.0081         -7.1015          0.8034        0.588899        1.991351
     2229.12585      2229.11829        268.6789          1.9754         14.3669          0.0080         -8.5230          0.8034       -2.401309        1.975364
     2229.13280      2229.12523        276.3710          1.9622         14.3363          0.0077        -10.5660          0.8034        1.383266        1.962151
     2229.13974      2229.13218        267.8330          1.9455         14.3703          0.0079        -10.8344          0.8034       -2.146455        1.945481
     2229.14668      2229.13912        275.6163          1.9258         14.3392          0.0076         -4.9188          0.8034        4.008532        1.925833
     2229.15363      2229.14606        272.5211          1.9035         14.3515          0.0076         -5.4156          0.7577        0.757699        1.903531
     2229.16057      2229.15301        272.4913          1.8836         14.3516          0.0075         -3.0216          0.7577        2.770073        1.883641
     2229.16752      2229.15995        271.8035          1.8552         14.3544          0.0074         -6.0176          0.7577        3.064768        1.855157
     2229.17446      2229.16690        278.7671          1.8523         14.3269          0.0072         -0.8053          0.7225        2.899972        1.852319
     2229.18141      2229.17384        275.7168          1.8292         14.3388          0.0072         -2.6674          0.7225        0.873055        1.829185
     2229.18835      2229.18079        268.0048          1.8197         14.3696          0.0074          0.9544          0.7225        0.722465        1.819656
     2229.19530      2229.18773        272.5674          1.8248         14.3513          0.0073         -1.4192          0.7225        3.888056        1.824800
     2229.20224      2229.19468        269.6990          1.7906         14.3628          0.0072         -0.2595          0.7577       -1.698628        1.790622
     2229.20919      2229.20162        276.9891          1.7865         14.3338          0.0070         -3.0245          0.7225        2.498809        1.786547
