# reference_flux:        612.2685
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2228.75835      2228.75023        610.9529          4.4931         13.4750          0.0080       -135.4763         -7.1877       -8.361217        4.493083
     2228.76529      2228.75718        605.4460          4.3363         13.4848          0.0078       -145.5099         -7.1877      -10.146919        4.336261
     2228.77224      2228.76412        608.2904          4.1974         13.4797          0.0075       -117.6342         -7.1877       -3.230652        4.197439
     2228.77918      2228.77106        595.0842          4.0690         13.5036          0.0074       -108.4473         -7.1877       -6.050314        4.068978
     2228.78613      2228.77801        603.1333          3.8976         13.4890          0.0070       -102.8524         -7.1877       -7.187676        3.897624
     2228.79307      2228.78495        605.3389          3.7996         13.4850          0.0068        -99.1959         -7.1877      -10.136658        3.799589
     2228.80002      2228.79190        607.2427          3.6718         13.4816          0.0066        -89.1591         -7.1832       -8.619168        3.671838
     2228.80696      2228.79884        603.6831          3.5585         13.4880          0.0064        -82.8435         -7.1832       -5.505355        3.558546
     2228.81390      2228.80579        605.0305          3.4724         13.4856          0.0062        -79.5602         -7.1832       -8.613671        3.472376
     2228.82085      2228.81273        604.7768          3.3662         13.4860          0.0060        -74.6089         -6.5262       -5.704389        3.366157
     2228.82779      2228.81968        602.7716          3.7893         13.4896          0.0068        -98.4664         -6.0503      -13.830844        3.789277
     2228.83474      2228.82662        606.8744          3.6827         13.4823          0.0066        -97.5226         -6.0503      -14.412322        3.682681
     2228.84168      2228.83356        611.8041          3.5998         13.4735          0.0064        -85.4120         -6.0503       -3.852073        3.599787
     2228.84863      2228.84051        613.9045          3.5189         13.4697          0.0062        -80.9082         -6.0503       -4.706458        3.518872
     2228.85557      2228.84745        597.1289          3.4360         13.4998          0.0062        -74.4754         -5.7640      -11.410118        3.435971
     2228.86252      2228.85440        605.4917          3.3704         13.4847          0.0060        -69.2552         -5.7640       -7.940237        3.370447
     2228.86946      2228.86134        602.5789          3.3016         13.4900          0.0059        -66.0682         -5.7044       -7.183179        3.301592
     2228.87641      2228.86829        608.4103          3.2019         13.4795          0.0057        -70.9370         -5.7640       -2.987355        3.201851
     2228.88335      2228.87523        592.9334          3.1102         13.5075          0.0057        -64.7385         -5.7044      -13.278358        3.110187
     2228.89030      2228.88218        605.5240          3.0500         13.4847          0.0055       -112.3403         -5.5054       -5.397481        3.049958
     2228.89724      2228.88912        609.5742          2.9978         13.4774          0.0053        -58.9828         -5.3975       -7.602520        2.997828
     2228.90419      2228.89606        612.0719          2.9925         13.4730          0.0053        -54.9495         -5.0756       -3.889591        2.992471
