# reference_flux:        386.6339
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2228.75492      2228.75022        406.4554          4.4556         13.9175          0.0119       -296.5103          9.2238       18.866590        4.455582
     2228.76187      2228.75716        411.9920          4.2913         13.9028          0.0113       -197.3870          9.2238       20.728484        4.291264
     2228.76881      2228.76411        414.9868          4.1704         13.8949          0.0109       -253.0733          9.2238       23.157748        4.170357
     2228.77576      2228.77105        403.6644          4.0171         13.9249          0.0108       -185.1403          9.2238       15.026392        4.017099
     2228.78270      2228.77800        399.6788          3.8885         13.9357          0.0106       -203.0562          7.7171       12.168645        3.888545
     2228.78964      2228.78494        401.5504          3.7687         13.9306          0.0102       -193.1688          7.7171       22.793795        3.768701
     2228.79659      2228.79189        387.7439          3.6531         13.9686          0.0102       -151.1969          7.7171        7.717102        3.653069
     2228.80353      2228.79883        405.2768          3.5438         13.9206          0.0095       -145.5112          7.7171       17.308926        3.543758
     2228.81048      2228.80577        399.7183          3.4419         13.9356          0.0093       -142.3034          7.7171       14.720077        3.441899
     2228.81742      2228.81272        400.7801          3.3459         13.9327          0.0091       -155.5886          7.7171        7.123047        3.345933
     2228.82437      2228.81966        393.0524          3.2494         13.9539          0.0090       -140.7270          7.7171       11.019678        3.249391
     2228.83131      2228.82661        393.6399          3.1567         13.9523          0.0087       -124.4570          7.7171        5.932813        3.156711
     2228.83826      2228.83355        398.1410          3.0699         13.9399          0.0084       -116.1076          7.1230       12.631841        3.069924
     2228.84520      2228.84050        392.0496          2.9819         13.9566          0.0083       -107.4710          7.1230        3.189322        2.981941
     2228.85215      2228.84744        392.8045          2.9068         13.9546          0.0080       -102.7297          7.1230        1.241982        2.906826
     2228.85909      2228.85439        402.8513          2.8305         13.9271          0.0076       -100.1372          7.0194       12.504507        2.830546
     2228.86604      2228.86133        384.9240          2.7551         13.9766          0.0078        -85.5822          6.7458       -1.650043        2.755097
     2228.87298      2228.86827        395.2040          2.6835         13.9479          0.0074        -66.6954          5.9328        5.903715        2.683518
     2228.87992      2228.87522        395.8971          2.6179         13.9460          0.0072        -55.5721          5.9037        6.745755        2.617932
     2228.88687      2228.88216        393.3336          2.5551         13.9531          0.0071        -61.4323          4.5198        2.676223        2.555141
     2228.89381      2228.88911        394.4454          2.4958         13.9500          0.0069        -54.6672          4.3572        9.223833        2.495812
     2228.90076      2228.89605        392.4713          2.4281         13.9555          0.0067        -45.3641          4.3451        4.519806        2.428088
     2228.90770      2228.90300        401.1095          2.3903         13.9318          0.0065        -33.9291          3.8122       12.096431        2.390345
     2228.91465      2228.90994        391.7512          2.3375         13.9575          0.0065        -28.1736          3.6036        3.458117        2.337525
     2228.92159      2228.91689        394.8941          2.2985         13.9488          0.0063        -33.1709          3.4581        1.412866        2.298548
     2228.92854      2228.92383        390.8698          2.2439         13.9599          0.0062        -34.1809          3.2807        3.170869        2.243911
     2228.93548      2228.93077        394.9913          2.2018         13.9485          0.0061        -29.4855          3.1893        4.345115        2.201783
     2228.94243      2228.93772        394.8343          2.1719         13.9490          0.0060        -28.2564          3.1709        2.701647        2.171894
     2228.94937      2228.94466        395.2380          2.1260         13.9479          0.0058        -23.2111          3.0307        7.019362        2.126044
     2228.95631      2228.95161        395.7901          2.0972         13.9463          0.0058        -21.4998          2.7016        4.357205        2.097183
     2228.96326      2228.95855        391.1951          2.0612         13.9590          0.0057        -20.4943          2.6762        1.733450        2.061208
     2228.97020      2228.96550        393.7971          2.0294         13.9518          0.0056        -21.1906          2.3362        2.336172        2.029392
     2228.97715      2228.97244        393.6057          1.9938         13.9523          0.0055        -21.5702          1.8718        0.123791        1.993792
     2228.98409      2228.97939        385.4028          1.9585         13.9752          0.0055        -19.0559          1.8136       -2.113946        1.958533
     2228.99104      2228.98633        388.2141          1.9308         13.9673          0.0054        -26.6673          1.7334       -2.355725        1.930784
     2228.99798      2228.99327        388.6997          1.9000         13.9660          0.0053        -25.7869          1.7334       -2.095046        1.899996
     2229.00493      2229.00022        389.3015          1.8695         13.9643          0.0052        -18.0166          1.4129       -0.437254        1.869473
     2229.01187      2229.00716        386.6810          1.8400         13.9716          0.0052        -17.9544          1.3233       -1.182924        1.840042
     2229.01882      2229.01411        393.1436          1.8131         13.9536          0.0050        -18.9026          1.2420        0.170854        1.813103
     2229.02576      2229.02105        389.3897          1.7850         13.9640          0.0050        -16.0122          0.9734        3.603564        1.784953
     2229.03270      2229.02800        390.8905          1.7609         13.9599          0.0049        -15.3119          0.9734       -0.328927        1.760896
     2229.03965      2229.03494        391.0664          1.7331         13.9594          0.0048        -15.8871          0.9734        3.030682        1.733061
     2229.04659      2229.04189        392.0286          1.7096         13.9567          0.0047        -13.4772          0.8763        3.280739        1.709648
     2229.05354      2229.04883        393.6351          1.6872         13.9523          0.0047        -13.9482          0.7933        3.812154        1.687196
     2229.06048      2229.05577        390.9102          1.6637         13.9598          0.0046        -13.0901          0.6605       -0.364166        1.663688
     2229.06743      2229.06272        390.9910          1.6438         13.9596          0.0046         -9.5275          0.4638       -0.256026        1.643796
     2229.07437      2229.06966        388.2968          1.6179         13.9671          0.0045         -8.6859          0.4638       -2.697810        1.617950
