# reference_flux:        -34.4870
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2254.99438      2254.98633         29.1085          8.5057         16.7800          0.3173        165.4480          4.7609       20.115042        8.505667
     2255.00132      2254.99327         22.5140          8.4945         16.9244         99.9000        160.5463          4.7609        0.306152        8.494511
     2255.00827      2255.00022         20.1167          8.5414         16.9184         99.9000        166.9666          4.8336        3.639923        8.541374
     2255.01521      2255.00716         24.9199          8.5396         16.9186         99.9000        183.2814          5.6481        4.208024        8.539590
     2255.02216      2255.01411         21.3673          8.7234         16.8955         99.9000        168.2824          4.8336       21.854141        8.723392
     2255.02910      2255.02105         24.2578          8.8309         16.8822         99.9000        170.1199          4.8336        5.648087        8.830854
     2255.03605      2255.02800         32.2817          9.0366         16.6676          0.3039        193.9165          5.5504        9.381977        9.036580
     2255.04299      2255.03494         17.8423          8.8638         16.8781         99.9000        184.4162          5.6481       -4.463469        8.863809
     2255.04994      2255.04189         26.2640          9.0713         16.8530         99.9000        207.3184          5.6481       -4.070221        9.071290
     2255.05688      2255.04883         53.2014          9.1166         16.1252          0.1861        214.7728          5.9264       11.908689        9.116613
     2255.06383      2255.05577         32.0607          9.2508         16.6751          0.3133        214.0717          5.9264        1.837758        9.250773
     2255.07077      2255.06272         51.0499          9.5009         16.1700          0.2021        262.2401          5.9264        7.859947        9.500888
     2255.07772      2255.06966         45.0866          9.5774         16.3049          0.2306        224.5815          5.9264       11.458698        9.577353
     2255.08466      2255.07661         25.3000          9.6292         16.7882         99.9000        217.3318          5.9264        6.958976        9.629176
     2255.09160      2255.08355         34.9652          9.5588         16.5809          0.2968        219.1462          6.3001        6.300101        9.558791
     2255.09855      2255.09050         42.6054          9.5537         16.3663          0.2435        225.2325          6.3001       -1.082222        9.553677
     2255.10549      2255.09744          7.4515          9.5676         16.7952         99.9000        245.2844          6.4625        2.760280        9.567591
     2255.11244      2255.10439         28.4278          9.4112         16.8056          0.3594        202.4821          6.9590       -0.844346        9.411153
     2255.11938      2255.11133         36.5705          9.5650         16.5322          0.2840        234.8071          6.4625        4.760934        9.564968
     2255.12633      2255.11827         42.2414          9.5938         16.3757          0.2466        220.7983          6.9590        6.462461        9.593769
     2255.13327      2255.12522         17.8985          9.6078         16.7906         99.9000        231.7053          6.8762        9.046472        9.607784
     2255.14022      2255.13216         10.9435          9.4940         16.8036         99.9000        230.3013          6.8762       -7.360860        9.494025
     2255.14716      2255.13911         48.8420          9.4165         16.2180          0.2093        240.4665          6.9590       -0.961223        9.416467
     2255.15411      2255.14605         40.1662          9.4681         16.4303          0.2559        249.0520          7.1492       14.196957        9.468078
     2255.16105      2255.15300         30.0040          9.4421         16.7471          0.3417        234.2175          7.1492        5.926355        9.442138
     2255.16799      2255.15994         34.9683          9.4074         16.5808          0.2921        232.4198          7.1492        4.833637        9.407433
     2255.17494      2255.16689         34.9384          9.3424         16.5817          0.2903        249.2081          7.2534        8.140321        9.342363
     2255.18188      2255.17383         25.8674          9.2272         16.8345         99.9000        249.2804          7.8599        0.516771        9.227239
     2255.18883      2255.18077         32.6637          9.1464         16.6548          0.3040        240.3323          7.9859        5.550424        9.146431
     2255.19577      2255.18772         29.8446          8.9405         16.7528          0.3253        236.8879          7.9859       12.012404        8.940473
     2255.20272      2255.19466         44.8183          8.6920         16.3114          0.2106        217.6845          7.9859        9.580841        8.691966
     2255.20966      2255.20161         26.1259          8.6981         16.8973          0.3615        217.9581          7.9859        9.818215        8.698107
     2255.21661      2255.20855         37.6593          8.5848         16.5003          0.2475        224.5455          8.1403       17.845110        8.584829
     2255.22355      2255.21550         23.5701          8.5313         16.9197         99.9000        227.5388          8.1403       11.915271        8.531342
     2255.23050      2255.22244         12.9283          8.2660         16.9540         99.9000        222.1977          8.1403       14.496975        8.265994
     2255.23744      2255.22939         10.8873          8.1467         16.9697         99.9000        216.1297          8.3810       12.552325        8.146723
     2255.24438      2255.23633         45.6126          7.9440         16.2923          0.1891        196.5130          8.3810       23.497184        7.943965
     2255.25133      2255.24327         47.7843          7.9155         16.2418          0.1799        178.4765          8.1403       27.164194        7.915537
     2255.25827      2255.25022         21.9139          7.8138         17.0150         99.9000        175.3361          8.3810       13.626117        7.813764
     2255.26522      2255.25716         30.9601          7.7124         16.7130          0.2705        188.2974          9.0465        7.985928        7.712371
     2255.27216      2255.26411         12.3435          7.5101         17.0581         99.9000        169.6404          9.0465        7.149182        7.510110
     2255.27911      2255.27105         -3.6585          7.4196         17.0712         99.9000        176.6877          9.0465        1.593088        7.419625
     2255.28605      2255.27800         35.6472          7.2071         16.5599          0.2195        161.9219          9.0465        9.863084        7.207108
     2255.29300      2255.28494         18.8676          6.9823         17.1372         99.9000        158.3660          9.0465        6.876194        6.982256
     2255.29994      2255.29189         18.3825          6.8848         17.1525         99.9000        147.9143          9.2861        2.137224        6.884793
     2255.30689      2255.29883          5.0252          6.7471         17.1744         99.9000        148.9524          9.2861        7.253442        6.747125
     2255.31383      2255.30577         22.4191          6.5678         17.0635          0.3181        133.5274          9.5808       17.610346        6.567778
     2255.32078      2255.31272         22.7279          6.5114         17.0486          0.3111        137.0338          9.5808       10.814890        6.511416
     2255.32772      2255.31966          8.9559          6.3114         17.2469         99.9000        133.1293          9.5808        8.380976        6.311413
     2255.33466      2255.32661         47.1143          6.1786         16.2571          0.1424        119.5206          9.5808       12.798430        6.178589
     2255.34161      2255.33355         26.6698          5.9824         16.8750          0.2435        135.8238          9.8182       13.782483        5.982402
     2255.34855      2255.34050         12.3136          5.8920         17.3215         99.9000        119.1275          9.8182       11.224637        5.891952
     2255.35550      2255.34744          7.8545          5.7980         17.3390         99.9000        108.1093          9.8182       15.308534        5.797971
     2255.36244      2255.35439          7.9905          5.7084         17.3559         99.9000        120.4095          9.8182        2.434562        5.708427
     2255.36939      2255.36133         21.7634          5.5569         17.0957          0.2772        115.6641          9.5808       14.468799        5.556890
     2255.37633      2255.36827         23.3766          5.0765         17.0180          0.2358        105.7009          9.2861       13.415187        5.076455
     2255.38328      2255.37522         20.6142          5.1472         17.1546          0.2711        106.5565          8.9968        4.678763        5.147218
     2255.39022      2255.38216         28.5088          4.8797         16.8026          0.1858        104.0458          8.9968       17.241403        4.879659
     2255.39717      2255.38911         15.8269          4.8216         17.4415          0.3308         93.1384          8.6660       11.338095        4.821610
     2255.40411      2255.39605         11.3714          4.7206         17.5622         99.9000         87.3042          8.3810        5.984889        4.720596
     2255.41105      2255.40300         18.9261          4.6189         17.2473          0.2650         74.1387          8.3810        7.344224        4.618912
     2255.41800      2255.40994         28.0163          4.5255         16.8215          0.1754         74.9078          8.0604       11.091228        4.525467
     2255.42494      2255.41689         16.6466          4.4494         17.3867          0.2902         84.8997          7.9859       11.668133        4.449420
     2255.43189      2255.42383         15.9588          4.3033         17.4325          0.2928         83.1780          7.7864        4.525449        4.303261
     2255.43883      2255.43077         21.3785          4.2753         17.1151          0.2171         66.6214          7.3442        5.030499        4.275305
     2255.44578      2255.43772         16.9209          4.1434         17.3689          0.2659         50.0453          7.3442        6.732195        4.143419
     2255.45272      2255.44466         -0.1920          4.0988         17.7156         99.9000         72.4411          7.3442        8.060422        4.098781
     2255.45967      2255.45161          7.8888          4.0279         17.7345         99.9000         66.1831          7.3094        9.286062        4.027930
     2255.46661      2255.45855          9.7491          3.9352         17.7598         99.9000         62.8763          7.3094        5.295849        3.935177
     2255.47356      2255.46550          5.6826          3.9026         17.7688         99.9000         63.9002          7.3094       10.242674        3.902585
     2255.48050      2255.47244         18.3177          3.8248         17.2828          0.2267         55.6266          7.3094        7.786383        3.824796
     2255.48745      2255.47939         16.4041          3.7664         17.4026          0.2493         59.1805          6.9511       10.342305        3.766379
