# reference_flux:          1.1443
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2254.98962      2254.98632         16.3707          5.6937         17.3587         99.9000         30.1649          8.6459        5.055894        5.693731
     2254.99656      2254.99327         17.6852          6.0141         17.2993         99.9000         28.1164          8.6459        8.645892        6.014098
     2255.00351      2255.00021         36.3120          6.0817         16.5399          0.1818         15.1464          8.6459       21.246259        6.081713
     2255.01045      2255.00716         27.3996          6.0963         16.8456          0.2416          5.2018          8.6459       17.778088        6.096303
     2255.01740      2255.01410         12.6330          6.1087         17.2823         99.9000         13.0712          8.6459        1.812892        6.108718
     2255.02434      2255.02105         18.4227          6.1383         17.2766          0.3618        -10.8133          8.6459       13.724479        6.138303
     2255.03129      2255.02799         48.0766          6.0964         16.2352          0.1377        -30.4205          8.6459       21.537922        6.096431
     2255.03823      2255.03494         20.8422          6.1116         17.1426          0.3184        -29.9920          8.6459       11.970185        6.111625
     2255.04517      2255.04188         25.6860          6.1763         16.9158          0.2611        -27.6673          8.6459       16.766100        6.176319
     2255.05212      2255.04882         21.9323          6.1235         17.0873          0.3031        -28.8472          8.6459       21.377908        6.123505
     2255.05906      2255.05577         21.8929          6.1836         17.0892          0.3067        -44.7391          8.6320        7.832996        6.183614
     2255.06601      2255.06271          1.9190          6.1242         17.2796         99.9000        -28.0721          8.4782        1.750989        6.124182
     2255.07295      2255.06966         20.4898          6.1618         17.1612          0.3265        -58.0466          8.4343       13.513239        6.161825
     2255.07990      2255.07660         16.7471          6.1576         17.2737         99.9000        -59.5557          8.4343       14.255997        6.157582
     2255.08684      2255.08355         16.8380          6.1663         17.2721         99.9000        -68.5351          8.4343       11.680778        6.166311
     2255.09379      2255.09049         11.5673          6.1840         17.2690         99.9000        -78.3259          7.8330       12.146828        6.183997
     2255.10073      2255.09744          3.8273          6.1605         17.2732         99.9000        -81.7650          6.3480        1.209525        6.160516
     2255.10767      2255.10438          1.0897          6.1283         17.2788         99.9000        -84.5777          5.4066       -1.122650        6.128311
     2255.11462      2255.11132          9.6281          6.0958         17.2846         99.9000        -97.2307          5.2518        4.042276        6.095815
     2255.12156      2255.11827         10.5047          6.1339         17.2779         99.9000       -101.8093          5.0559        5.251810        6.133926
     2255.12851      2255.12521         11.3726          6.0778         17.2878         99.9000       -111.9526          5.0559        9.683792        6.077764
     2255.13545      2255.13216          8.7657          6.0364         17.2953         99.9000       -114.3755          5.0559        8.434268        6.036361
     2255.14240      2255.13910         11.1793          6.0362         17.2953         99.9000       -117.7407          4.6667        2.954168        6.036224
