# reference_flux:        590.2767
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2280.91211      2280.90297        601.2156          4.5369         13.4924          0.0082      -1378.9630          3.4212       -0.869838        4.536895
     2280.91906      2280.90991        570.9726          4.5540         13.5485          0.0087      -1420.4596          3.4212      -11.947310        4.553952
     2280.92600      2280.91686        595.5829          4.6342         13.5026          0.0084      -1524.7670          3.4212        4.329391        4.634193
     2280.93294      2280.92380        561.3080          4.7138         13.5670          0.0091      -1588.2627          3.4212      -20.266540        4.713835
     2280.93989      2280.93075        583.1369          4.7877         13.5256          0.0089      -1740.1551          3.4212      -13.489321        4.787726
     2280.94683      2280.93769        618.5122          5.2734         13.4616          0.0093      -2450.0395         -0.0245       34.881755        5.273405
     2280.95378      2280.94463        587.7074          5.5059         13.5171          0.0102      -2405.2516          3.4212      -12.384360        5.505858
     2280.96072      2280.95158        571.3759          5.6224         13.5477          0.0107      -2833.7238          3.4212      -20.580041        5.622371
     2280.96767      2280.95852        581.7575          5.7006         13.5281          0.0106      -3013.6024         -0.0245      -19.763060        5.700633
     2280.97461      2280.96547        598.1113          5.8282         13.4980          0.0106      -3210.6409         -0.0245       -2.507566        5.828198
     2280.98156      2280.97241        594.0548          5.2201         13.5054          0.0095      -2561.7434         -0.2957        4.636515        5.220060
     2280.98850      2280.97936        578.1251          5.8594         13.5349          0.0110      -3273.2824         -0.2957        4.322006        5.859356
     2280.99544      2280.98630        602.4461          5.9584         13.4902          0.0107      -3416.5287         -0.8698       13.597024        5.958356
     2281.00239      2280.99325        590.2262          5.9597         13.5125          0.0110      -3335.4706         -0.8698       -0.295734        5.959713
     2281.00933      2281.00019        578.0069          5.9999         13.5352          0.0113      -3312.4291         -2.5076       -0.024476        5.999894
     2281.01628      2281.00713        580.4595          6.1621         13.5306          0.0115      -3635.8477         -2.5076        3.421250        6.162067
     2281.02322      2281.01408        583.3819          6.1372         13.5251          0.0114      -3825.4194         -2.5076       10.649908        6.137163
     2281.03017      2281.02102        567.8212          6.2455         13.5545          0.0119      -3989.8017         -2.5076       18.002687        6.245477
     2281.03711      2281.02797        575.4744          6.3260         13.5399          0.0119      -4162.6896         -2.5076      -31.240138        6.326038
     2281.04406      2281.03491        605.4764          6.4654         13.4848          0.0116      -4592.2771         -2.5076       18.682734        6.465381
     2281.05100      2281.04186        595.7269          6.5230         13.5024          0.0119      -4740.8751         -0.8698       12.093955        6.523028
     2281.05794      2281.04880        600.6518          6.6829         13.4934          0.0121      -5051.3082         -0.8698       17.480598        6.682877
     2281.06489      2281.05575        603.7900          6.6510         13.4878          0.0120      -5175.3069         -0.8698       16.443704        6.651031
     2281.07183      2281.06269        613.1037          6.7699         13.4712          0.0120      -5323.2106         -0.2957       19.546844        6.769892
     2281.07878      2281.06963        595.1856          6.9485         13.5034          0.0127      -5944.6049         -0.0245        8.875990        6.948517
     2281.08572      2281.07658        626.4568          7.0232         13.4478          0.0122      -6198.8153          3.4212       38.497679        7.023234
     2281.09267      2281.08352        453.8963          6.8625         13.7976          0.0164      -4812.7776          3.4212     -121.534210        6.862535
     2281.09961      2281.09047        670.6293          7.2083         13.3738          0.0117      -7257.8895          3.4212       85.265191        7.208279
     2281.10656      2281.09741        466.6207          7.0328         13.7676          0.0164      -5153.9693          4.3220     -136.408912        7.032813
     2281.11350      2281.10436        695.0619          7.3981         13.3349          0.0116      -7880.9035          4.6365       71.872502        7.398110
     2281.12044      2281.11130        672.9799          7.4270         13.3700          0.0120      -7988.5557          4.6365       95.658690        7.426992
     2281.12739      2281.11825        479.3792          7.2835         13.7383          0.0165      -6112.0986          8.8760     -132.942900        7.283461
     2281.13433      2281.12519        483.3086          7.4031         13.7294          0.0166      -6392.5139         10.6499     -127.805570        7.403086
     2281.14128      2281.13213        468.5500          7.4647         13.7631          0.0173      -6514.4900         12.0940     -133.988385        7.464696
     2281.14822      2281.13908        467.5873          7.5668         13.7653          0.0176      -6773.5545         13.5970     -118.313320        7.566798
     2281.15517      2281.14602        475.1575          7.7649         13.7479          0.0177      -7597.7418         16.4437     -103.618598        7.764895
     2281.16211      2281.15297        496.5848          7.7837         13.7000          0.0170      -7692.0420         17.4806      -79.065815        7.783722
     2281.16906      2281.15991        466.9947          7.8506         13.7667          0.0183      -7798.8668         18.0027     -149.380023        7.850560
     2281.17600      2281.16686        460.1021          7.9540         13.7829          0.0188      -8016.7266         18.6827     -162.366921        7.954033
     2281.18294      2281.17380        483.1107          8.0621         13.7299          0.0181      -8260.8734         19.5468     -116.274395        8.062070
     2281.18989      2281.18075        475.1687          8.1960         13.7479          0.0187      -7902.2823         29.2954     -120.245841        8.195987
     2281.19683      2281.18769        178.2781         10.5611         14.8123          0.0643     -12706.9656         38.4977     -396.469055       10.561099
     2281.20378      2281.19463        562.4460         14.8714         13.5648          0.0287     -52645.9936         38.4977       40.391576       14.871396
     2281.21072      2281.20158       2083.3024         10.5626         12.1431          0.0055     -22889.1858         38.4977     1523.825484       10.562609
     2281.21767      2281.20852       1319.6478          6.2083         12.6389          0.0051      -6578.8248         38.4977      762.825571        6.208350
     2281.22461      2281.21547       1657.3642          5.4316         12.3915          0.0036      -4099.7910         38.4977     1090.318583        5.431576
     2281.23156      2281.22241       2875.7280         10.7323         11.7931          0.0041     -32366.0378         38.4977     2366.441559       10.732272
     2281.23850      2281.22936       1724.5645          9.2257         12.3483          0.0058      -7175.4389         38.4977     1176.036622        9.225672
     2281.24544      2281.23630       2131.7785         12.4023         12.1181          0.0063     -21950.0252         38.4977     1608.603218       12.402265
     2281.25239      2281.24325       -161.3890         20.2435         15.9815         99.9000     -21632.8717         40.3916     -753.558295       20.243522
     2281.25933      2281.25019        924.9538         25.6118         13.0247          0.0301     -10323.1596         40.3916      239.303334       25.611790
     2281.26628      2281.25713       2043.9120         23.2463         12.1638          0.0123      -4603.5430         40.3916     1356.715831       23.246350
     2281.27322      2281.26408       1199.3308         13.1477         12.7427          0.0119      -3087.7420         29.2954      642.223548       13.147722
     2281.28017      2281.27102       1334.3841         13.5074         12.6268          0.0110      -1474.0990         40.3916      746.985397       13.507447
     2281.28711      2281.27797       1475.6715         12.7897         12.5175          0.0094      -2645.6526         29.2954      861.865241       12.789677
     2281.29406      2281.28491       1046.4453          9.1028         12.8907          0.0094      -1050.9519         21.2779      428.042209        9.102766
     2281.30100      2281.29186       1247.2753         15.6317         12.7001          0.0136      -4117.4388         21.2779      640.217957       15.631652
     2281.30794      2281.29880        670.0367         19.1602         13.3748          0.0310      -3939.4930         29.2954       78.715543       19.160219
     2281.31489      2281.30575       1435.3880         23.3702         12.5476          0.0177      -4400.9761         40.3916      825.323916       23.370209
     2281.32183      2281.31269       1692.9465         25.4342         12.3684          0.0163      -8854.9639         41.3734     1037.895678       25.434166
     2281.32878      2281.31963       1672.8115         19.1864         12.3814          0.0125      -6988.7242         41.6077     1058.160013       19.186438
     2281.33572      2281.32658        607.8081         20.7316         13.4806          0.0370     -10468.6395         41.7207       29.295380       20.731649
     2281.34267      2281.33352       1323.2359         15.2046         12.6359          0.0125      -7122.9061         43.2737      697.233482       15.204579
     2281.34961      2281.34047       1367.5913         14.3441         12.6001          0.0114      -6775.3280         49.2604      756.594840       14.344090
     2281.35656      2281.34741       1014.7181         14.0249         12.9241          0.0150      -8852.2582         53.1683      350.574400       14.024857
     2281.36350      2281.35436        530.7558         10.0390         13.6278          0.0205      -7169.6104         53.1683      -88.753026       10.039031
     2281.37044      2281.36130        506.5587          9.3361         13.6784          0.0200      -7633.2649         70.9747      -90.422707        9.336082
     2281.37739      2281.36825        539.1924         10.8863         13.6106          0.0219     -11463.4113         70.9747     -114.426523       10.886299
     2281.38433      2281.37519        575.1262          8.1559         13.5406          0.0154      -7783.6456         53.1683       15.380746        8.155852
     2281.39128      2281.38213        609.0229          7.7976         13.4784          0.0139      -8117.9800         49.2604       17.551150        7.797563
     2281.39822      2281.38908        579.4063          7.5283         13.5325          0.0141      -7898.3784         49.2604       11.856488        7.528346
     2281.40517      2281.39602        570.6021          7.3634         13.5492          0.0140      -8154.7336         43.2737       21.277852        7.363436
     2281.41211      2281.40297        617.8814          7.1857         13.4627          0.0126      -7919.1002         41.7207       41.373402        7.185724
     2281.41906      2281.40991        576.7234          8.8645         13.5376          0.0167     -11633.1317         41.7207       12.139009        8.864490
     2281.42600      2281.41686        554.8020          6.9646         13.5797          0.0136      -6655.8737         41.7207      -54.686941        6.964579
     2281.43294      2281.42380        546.7973          6.8816         13.5954          0.0137      -6864.4270         41.6077      -14.998891        6.881555
     2281.43989      2281.43075        637.5702          6.7762         13.4287          0.0115      -6735.7353         41.3734       41.607662        6.776207
